datetime,open,high,low,close,volume
2022-01-01T00:00:00,311650,322400,311650,319550,9069.762364
2022-01-01T04:00:00,319550,323100,315300,316450,5050.162897
2022-01-01T08:00:00,316450,317650,308050,308100,6109.370162
2022-01-01T12:00:00,308150,313450,307000,311200,5911.431306
2022-01-01T16:00:00,311250,315850,310650,312500,3266.174639
2022-01-01T20:00:00,312500,323950,311000,323900,2804.867099
2022-01-02T00:00:00,323900,325000,314000,314250,9830.312783
2022-01-02T04:00:00,314350,318000,310000,311500,5897.699562
2022-01-02T08:00:00,311250,314000,307300,312150,12113.121161
2022-01-02T12:00:00,312300,313650,309600,312050,6231.798292
2022-01-02T16:00:00,312400,318250,311400,316200,3579.81873
2022-01-02T20:00:00,316900,327050,315350,321900,4502.871115
2022-01-03T00:00:00,322650,325000,318800,324300,7006.144957
2022-01-03T04:00:00,324400,335850,323600,334800,11826.427257
2022-01-03T08:00:00,334800,349450,332400,344350,44993.706563
2022-01-03T12:00:00,344350,344400,329600,332200,13344.699496
2022-01-03T16:00:00,332200,335650,322650,332850,7177.80174
2022-01-03T20:00:00,332850,335750,323800,325450,8321.269206
2022-01-04T00:00:00,325450,329250,310500,313050,16264.35628
2022-01-04T04:00:00,313000,317900,309550,317450,6565.708356
2022-01-04T08:00:00,318000,328350,317000,324400,6518.985012
2022-01-04T12:00:00,324750,326950,318950,320650,7272.310522
2022-01-04T16:00:00,321450,322400,303550,308350,5103.366511
2022-01-04T20:00:00,309450,316800,307100,307950,3369.608561
2022-01-05T00:00:00,308400,315850,307000,312100,7047.104254
2022-01-05T04:00:00,312950,313300,308700,311300,2619.594216
2022-01-05T08:00:00,311300,311750,307200,308000,3559.953175
2022-01-05T12:00:00,308000,315000,306550,314700,5667.37437
2022-01-05T16:00:00,314700,314900,291000,295750,5345.737128
2022-01-05T20:00:00,295150,298300,266750,285050,14705.841814
2022-01-06T00:00:00,285650,289200,270000,270450,9627.15969
2022-01-06T04:00:00,272300,283550,269950,280750,4724.786698
2022-01-06T08:00:00,280750,280750,267300,272250,5554.116369
2022-01-06T12:00:00,272250,279500,268450,275700,7170.33939
2022-01-06T16:00:00,275700,281650,271750,278000,1776.945046
2022-01-06T20:00:00,277600,278300,272800,273600,3268.620772
