datetime,open,high,low,close,volume
2022-01-01T00:00:00,1610,1635,1605,1615,2265399.745272
2022-01-01T04:00:00,1615,1630,1600,1620,3077411.722647
2022-01-01T08:00:00,1615,1630,1605,1615,1688974.820166
2022-01-01T12:00:00,1615,1635,1610,1630,1755647.933595
2022-01-01T16:00:00,1630,1645,1620,1640,1388198.354232
2022-01-01T20:00:00,1635,1675,1630,1675,2063672.809866
2022-01-02T00:00:00,1675,1680,1645,1650,3051637.513744
2022-01-02T04:00:00,1650,1670,1635,1650,2280733.234224
2022-01-02T08:00:00,1650,1665,1640,1665,3196106.015696
2022-01-02T12:00:00,1660,1675,1650,1670,5293284.194192
2022-01-02T16:00:00,1665,1695,1655,1665,3106472.202897
2022-01-02T20:00:00,1660,1680,1655,1675,2316785.764298
2022-01-03T00:00:00,1670,1675,1640,1645,5223791.329514
2022-01-03T04:00:00,1645,1655,1635,1645,2872382.009959
2022-01-03T08:00:00,1640,1670,1640,1665,3201516.775923
2022-01-03T12:00:00,1665,1670,1650,1650,2425544.143421
2022-01-03T16:00:00,1650,1655,1620,1625,2560633.128772
2022-01-03T20:00:00,1625,1625,1605,1610,3807005.667112
2022-01-04T00:00:00,1610,1615,1575,1600,6469891.212562
2022-01-04T04:00:00,1600,1615,1590,1615,2856498.169111
2022-01-04T08:00:00,1615,1635,1600,1635,2898074.758107
2022-01-04T12:00:00,1630,1655,1610,1620,4240280.008308
2022-01-04T16:00:00,1620,1640,1595,1605,1968552.858847
2022-01-04T20:00:00,1605,1620,1595,1605,1240767.919958
2022-01-05T00:00:00,1595,1630,1595,1615,2470433.316837
2022-01-05T04:00:00,1615,1645,1615,1625,2164351.636864
2022-01-05T08:00:00,1625,1645,1615,1620,2224227.540911
2022-01-05T12:00:00,1620,1630,1605,1610,3831382.09302
2022-01-05T16:00:00,1615,1620,1550,1555,5054097.066703
2022-01-05T20:00:00,1555,1565,1485,1520,12704844.884423
2022-01-06T00:00:00,1520,1545,1480,1480,7205229.760673
2022-01-06T04:00:00,1485,1510,1470,1505,5558680.080358
2022-01-06T08:00:00,1510,1510,1475,1490,3425333.358043
2022-01-06T12:00:00,1490,1545,1470,1525,5715194.556849
2022-01-06T16:00:00,1520,1545,1510,1535,1286121.509168
2022-01-06T20:00:00,1540,1595,1530,1580,3666397.902703
2022-01-07T00:00:00,1575,1590,1490,1495,5776649.703135
2022-01-07T04:00:00,1495,1535,1475,1495,8002009.060491
2022-01-07T08:00:00,1495,1540,1490,1525,3463696.850832
2022-01-07T12:00:00,1530,1550,1490,1500,4769463.264401
2022-01-07T16:00:00,1505,1535,1490,1510,1969152.462481
2022-01-07T20:00:00,1510,1520,1490,1500,1747586.575568
2022-01-08T00:00:00,1495,1525,1490,1510,2362776.583906
2022-01-08T04:00:00,1505,1530,1500,1530,2140542.329741
2022-01-08T08:00:00,1525,1550,1520,1525,2086928.691936
2022-01-08T12:00:00,1525,1540,1500,1500,2279127.34031
2022-01-08T16:00:00,1500,1515,1420,1440,8084775.893568
2022-01-08T20:00:00,1430,1535,1425,1480,4945262.40965
2022-01-09T00:00:00,1480,1495,1460,1460,4550345.152753
2022-01-09T04:00:00,1465,1480,1460,1465,4174568.43632
2022-01-09T08:00:00,1465,1475,1430,1445,6394218.467717
2022-01-09T12:00:00,1445,1450,1420,1435,4885347.071558
2022-01-09T16:00:00,1440,1485,1430,1475,2921387.502261
2022-01-09T20:00:00,1475,1485,1445,1445,2456441.185835
2022-01-10T00:00:00,1450,1460,1425,1430,3287912.862411
2022-01-10T04:00:00,1435,1450,1430,1445,3302776.376647
2022-01-10T08:00:00,1445,1445,1410,1410,3910382.815837
2022-01-10T12:00:00,1410,1420,1310,1370,22354471.646518
2022-01-10T16:00:00,1370,1395,1340,1375,6047913.328291
2022-01-10T20:00:00,1375,1400,1365,1380,2490588.033016
2022-01-11T00:00:00,1380,1425,1375,1410,6767283.140897
2022-01-11T04:00:00,1415,1420,1390,1405,3715897.08568
2022-01-11T08:00:00,1400,1415,1380,1400,4143990.679834
2022-01-11T12:00:00,1395,1420,1385,1420,4127735.64683
2022-01-11T16:00:00,1415,1455,1410,1450,4488673.704021
2022-01-11T20:00:00,1450,1460,1435,1450,3167150.781683
2022-01-12T00:00:00,1450,1485,1445,1485,7523885.176154
2022-01-12T04:00:00,1480,1490,1465,1465,2751060.382949
2022-01-12T08:00:00,1465,1530,1465,1515,5838447.935685
2022-01-12T12:00:00,1520,1575,1515,1550,9887374.984667
2022-01-12T16:00:00,1550,1575,1545,1565,2309628.834967
2022-01-12T20:00:00,1565,1595,1560,1590,2958498.346018
