datetime,open,high,low,close,volume
2020-07-01T00:00:00,99.1,116,98.6,116,132114883.754862
2020-07-02T00:00:00,116,116,106,112,85957626.003376
2020-07-03T00:00:00,112,122,110,116,112339160.747321
2020-07-04T00:00:00,116,122,114,120,61706580.461933
2020-07-05T00:00:00,119,120,112,118,55085115.213012
2020-07-06T00:00:00,118,125,115,124,88278324.400513
2020-07-07T00:00:00,125,141,122,139,188009719.62063
2020-07-08T00:00:00,139,163,136,154,375186178.229792
2020-07-09T00:00:00,154,154,139,148,141244956.370705
2020-07-10T00:00:00,147,148,131,141,112861625.178708
2020-07-11T00:00:00,141,148,140,146,96779356.641172
2020-07-12T00:00:00,146,150,141,150,48284946.568229
2020-07-13T00:00:00,150,160,145,147,137435806.781409
2020-07-14T00:00:00,148,161,145,158,105922879.544472
2020-07-15T00:00:00,158,159,152,156,56027986.710854
2020-07-16T00:00:00,156,160,142,151,91893240.436799
2020-07-17T00:00:00,151,152,146,147,52628491.116322
2020-07-18T00:00:00,146,149,141,146,35795331.039423
2020-07-19T00:00:00,146,149,145,148,30689770.589275
2020-07-20T00:00:00,148,148,140,141,29320258.120947
2020-07-21T00:00:00,140,148,139,146,32675946.731192
2020-07-22T00:00:00,145,147,143,146,21315281.51109
2020-07-23T00:00:00,146,148,145,146,26895809.416818
2020-07-24T00:00:00,146,146,143,145,19288765.871832
2020-07-25T00:00:00,144,167,144,166,115410884.448591
2020-07-26T00:00:00,167,182,163,176,235358072.533314
2020-07-27T00:00:00,174,177,156,163,162579178.933299
2020-07-28T00:00:00,162,176,159,174,116551270.142762
2020-07-29T00:00:00,174,175,164,166,86912348.095693
2020-07-30T00:00:00,165,169,162,166,48236021.200167
2020-07-31T00:00:00,165,167,161,165,37290941.390265
2020-08-01T00:00:00,165,173,163,170,69592308.06121
2020-08-02T00:00:00,170,175,151,157,130596939.373441
2020-08-03T00:00:00,157,165,155,162,53304602.870628
2020-08-04T00:00:00,162,172,160,168,67444459.724013
2020-08-05T00:00:00,168,170,165,167,36491014.752273
2020-08-06T00:00:00,166,170,164,168,27716070.132648
2020-08-07T00:00:00,168,171,160,166,34748621.925595
2020-08-08T00:00:00,165,174,163,173,36579408.107867
2020-08-09T00:00:00,173,180,168,172,62859490.328169
2020-08-10T00:00:00,172,173,168,170,38491527.853289
2020-08-11T00:00:00,169,170,158,164,48831597.576541
2020-08-12T00:00:00,164,164,147,161,58667314.365448
2020-08-13T00:00:00,161,168,156,164,40204224.370399
2020-08-14T00:00:00,163,166,162,164,31411063.751293
2020-08-15T00:00:00,163,166,161,162,25690404.051987
2020-08-16T00:00:00,161,164,159,163,29183177.467723
2020-08-17T00:00:00,163,169,161,163,56772278.723448
2020-08-18T00:00:00,163,167,156,161,35861972.082127
2020-08-19T00:00:00,160,162,151,152,34525077.663224
2020-08-20T00:00:00,154,159,149,157,39624519.737372
2020-08-21T00:00:00,158,159,145,147,48798100.353862
2020-08-22T00:00:00,148,150,140,148,45012341.776886
2020-08-23T00:00:00,148,149,142,144,26801428.814974
2020-08-24T00:00:00,145,150,142,147,26406275.585373
2020-08-25T00:00:00,147,147,127,134,66884931.997497
2020-08-26T00:00:00,133,139,130,136,66097657.7536
2020-08-27T00:00:00,135,137,121,126,108637178.512586
2020-08-28T00:00:00,127,131,125,128,60980582.009945
2020-08-29T00:00:00,128,139,127,136,44633155.774404
2020-08-30T00:00:00,136,140,134,137,57916377.154683
2020-08-31T00:00:00,138,149,132,144,94339741.18081
2020-09-01T00:00:00,145,150,140,146,86163473.153738
2020-09-02T00:00:00,147,148,132,136,83979511.847499
2020-09-03T00:00:00,136,139,113,115,99816222.288419
2020-09-04T00:00:00,114,126,112,122,162668549.798919
2020-09-05T00:00:00,122,126,105,109,113588204.186355
2020-09-06T00:00:00,110,115,103,111,107523990.940202
