datetime,open,high,low,close,volume
2020-07-01T00:00:00,32,32.3,31.1,32,7943761.164888
2020-07-02T00:00:00,32.2,32.8,31.2,32,7774822.80585
2020-07-03T00:00:00,32,34,31.7,32.8,5743392.275604
2020-07-04T00:00:00,32.7,33.6,32.1,33.6,1709447.329503
2020-07-05T00:00:00,33.6,33.7,31.9,32.8,3119639.382538
2020-07-06T00:00:00,32.7,33.5,31.2,32.3,14078253.930292
2020-07-07T00:00:00,32.3,33.3,31.6,32.5,4324313.380331
2020-07-08T00:00:00,32.6,33.3,32.2,33.1,6620542.302189
2020-07-09T00:00:00,33.1,33.4,31.6,32.4,6196981.31814
2020-07-10T00:00:00,32.2,32.6,31,31.9,7040740.52669
2020-07-11T00:00:00,31.7,32.5,31.6,32.5,3291575.527251
2020-07-12T00:00:00,32.5,33.2,31.9,32.5,2749121.070306
2020-07-13T00:00:00,32.5,33.2,31.7,32.2,6474492.59993
2020-07-14T00:00:00,32.2,32.9,31.5,32.3,3729041.696745
2020-07-15T00:00:00,32.3,33.5,31.8,32.9,5011968.145068
2020-07-16T00:00:00,33.1,35.7,32.7,35.6,17938736.582566
2020-07-17T00:00:00,35.6,37.9,33.8,37.7,12907075.818338
2020-07-18T00:00:00,37.7,50.5,37.5,48.4,114066145.655862
2020-07-19T00:00:00,48.4,55.3,47.3,51.6,179781740.4479
2020-07-20T00:00:00,51.6,72,50.9,56.2,255330668.370844
2020-07-21T00:00:00,56.2,66,51.3,64.9,175633277.494304
2020-07-22T00:00:00,65,78,62.1,64.9,177535782.412486
2020-07-23T00:00:00,64.9,67.5,59,60.5,73537148.604501
2020-07-24T00:00:00,60.5,60.9,52.2,53.7,64667404.636978
2020-07-25T00:00:00,53.7,54.4,52.2,53,41943016.472856
2020-07-26T00:00:00,53,53,47.4,49.2,44364115.205743
2020-07-27T00:00:00,49.1,49.2,42.6,43.7,51143163.344724
2020-07-28T00:00:00,43.7,46.6,42.8,44.4,27327714.98467
2020-07-29T00:00:00,44.4,47.4,43,45.7,30971637.836864
2020-07-30T00:00:00,45.7,46,42.9,44.8,19317837.708277
2020-07-31T00:00:00,44.7,48.7,43.9,47.2,38907256.082643
2020-08-01T00:00:00,47.2,47.3,45.3,46.7,8775892.304452
2020-08-02T00:00:00,46.6,46.8,40.5,43.5,16486238.429157
2020-08-03T00:00:00,43.5,45.1,42.8,43.7,8271296.537724
2020-08-04T00:00:00,43.8,45.6,42.5,44.8,11831911.120472
2020-08-05T00:00:00,44.8,46.7,43.5,46.6,7518297.977323
2020-08-06T00:00:00,46.6,53.1,46.5,52.1,32034100.744614
2020-08-07T00:00:00,52.1,53.5,49.4,51.6,11085830.473079
2020-08-08T00:00:00,51.6,56.2,50.2,55.5,12025476.156326
2020-08-09T00:00:00,55.5,61.6,52.9,60.6,16811162.763566
2020-08-10T00:00:00,60.6,76.9,56.2,73.7,56413452.997285
2020-08-11T00:00:00,73.7,96.5,72,87,154527529.434584
2020-08-12T00:00:00,87.1,91.6,74.6,83.8,57352255.027926
2020-08-13T00:00:00,83.8,90.2,74,76.1,50699930.349922
2020-08-14T00:00:00,76,77.9,70,74.3,23683147.981036
2020-08-15T00:00:00,74,75.9,71.7,72.9,11698437.255589
2020-08-16T00:00:00,72.9,74.9,71.7,74.1,6400035.870394
2020-08-17T00:00:00,74,76,71.1,73.6,7928063.67693
2020-08-18T00:00:00,73.5,78.2,71.2,77.8,15207802.846101
2020-08-19T00:00:00,77.9,78.1,72.1,73.4,4755473.672902
2020-08-20T00:00:00,72.6,75,72.3,75,2248997.443031
2020-08-21T00:00:00,75,76,67,67.7,5821558.042721
2020-08-22T00:00:00,67.7,71.5,64.5,67,6905638.115375
2020-08-23T00:00:00,66.8,69.2,65.1,66.8,2737980.472494
2020-08-24T00:00:00,66.8,74.6,65.1,72.4,15008484.076481
2020-08-25T00:00:00,72.4,74.3,65.1,68,8656544.708273
2020-08-26T00:00:00,68,74.1,68,74.1,6673214.428088
2020-08-27T00:00:00,74,74.3,70.6,72,4090467.343746
2020-08-28T00:00:00,72.2,83.3,71.7,83.1,18163397.216082
2020-08-29T00:00:00,83.1,87,74.2,75.1,39271874.231419
2020-08-30T00:00:00,75.1,79,71.7,72.3,21584633.502665
2020-08-31T00:00:00,72.4,77.3,72.3,73.7,14931821.494255
2020-09-01T00:00:00,73.4,73.5,66.2,68,17591839.898174
2020-09-02T00:00:00,67.5,68.6,58,60.8,15137445.827839
2020-09-03T00:00:00,60.9,63.5,51.1,51.5,9516235.768025
2020-09-04T00:00:00,51.5,55.8,48.5,52,4156853.184213
2020-09-05T00:00:00,52.1,62.4,49.2,51.3,47757689.906298
2020-09-06T00:00:00,51.7,54.9,45.1,49.5,21041651.968569
2020-09-07T00:00:00,50.1,51.3,42.6,46.6,14701705.455299
2020-09-08T00:00:00,46.6,50.7,43.4,45.3,12345648.607801
2020-09-09T00:00:00,45.3,48.9,44,48.6,8112892.768715
2020-09-10T00:00:00,48.5,51.4,47.6,50.2,6626197.148999
2020-09-11T00:00:00,50.2,50.6,47.5,49,4249796.227177
2020-09-12T00:00:00,49,55.7,48.7,53.1,29581613.110432
2020-09-13T00:00:00,53.1,53.7,48,50.2,11879755.650527
2020-09-14T00:00:00,50.3,52.9,49.4,51.8,8807447.59102
2020-09-15T00:00:00,51.8,52.8,47.1,47.7,23687012.538048
2020-09-16T00:00:00,48,49.5,45,46,5587444.724037
2020-09-17T00:00:00,46,46,41.9,43.8,4182645.627089
2020-09-18T00:00:00,44,48.5,41.4,46.9,11039810.315582
2020-09-19T00:00:00,46.9,58.5,46.4,51,96638447.008393
2020-09-20T00:00:00,51.4,54.5,48.1,49.9,41238442.128835
2020-09-21T00:00:00,49.9,52.7,42.5,44.1,33069224.041885
2020-09-22T00:00:00,44,44.4,39.6,42.9,7704723.822023
2020-09-23T00:00:00,42.6,43.6,37.3,38,3957575.294726
2020-09-24T00:00:00,38,41.7,36.4,41.1,8737700.265823
2020-09-25T00:00:00,41.1,43,38.7,40.5,7783495.311318
2020-09-26T00:00:00,40.7,41.6,40,40.9,4416381.498918
2020-09-27T00:00:00,40.9,41.2,39.3,40.7,3317887.120776
2020-09-28T00:00:00,40.5,44.1,40.3,42.8,14388016.361288
2020-09-29T00:00:00,42.8,43.9,41,42.7,8726150.975603
2020-09-30T00:00:00,42.7,43.8,41.5,42.2,2956529.07404
2020-10-01T00:00:00,42.2,42.8,39.5,41,2559145.083171
2020-10-02T00:00:00,40.7,43.5,38.1,39.6,3586939.607073
2020-10-03T00:00:00,39.6,41.1,39.1,40.2,1524224.921057
2020-10-04T00:00:00,40.2,42.8,40.2,41.2,9283768.494412
2020-10-05T00:00:00,41.1,42.1,40,40.5,1912747.717887
2020-10-06T00:00:00,40.6,48.5,39.7,41.4,39697277.218278
2020-10-07T00:00:00,41.6,44.8,40,42.4,17885261.822825
2020-10-08T00:00:00,42.4,44.8,40.7,44.7,15548206.802268
2020-10-09T00:00:00,44.6,49.3,44.3,47,47152805.738412
2020-10-10T00:00:00,47.3,54.5,45.9,48.2,18419678.795226
2020-10-11T00:00:00,47.5,48.2,46.1,48.2,4358222.525813
2020-10-12T00:00:00,47.3,52,46.6,49.8,11547735.425563
2020-10-13T00:00:00,49.7,49.7,47,48.5,4580899.717597
2020-10-14T00:00:00,48.5,55.5,47.5,51.2,29730500.837505
2020-10-15T00:00:00,51.2,51.2,48.1,49.1,4103624.018367
2020-10-16T00:00:00,48.9,50.8,46.5,48,3975259.883828
2020-10-17T00:00:00,48,48.8,47.1,48,532695.44884
2020-10-18T00:00:00,47.9,50.8,46.8,48.2,6076347.22064
2020-10-19T00:00:00,48.2,51.4,46.5,50.8,11000284.778083
2020-10-20T00:00:00,50.7,54.1,48,49.2,17402932.460889
2020-10-21T00:00:00,49.1,70,47.3,48.8,183884241.402074
