datetime,open,high,low,close,volume
2022-01-01T00:00:00,14.6,14.9,14.6,14.7,60250127.685138
2022-01-02T00:00:00,14.8,17.2,14.7,16,556835792.795971
2022-01-03T00:00:00,16,17.3,15.7,16.9,613661155.353475
2022-01-04T00:00:00,16.9,17.7,15.3,16,449441384.129656
2022-01-05T00:00:00,16,16.8,14.3,14.8,319762178.197901
2022-01-06T00:00:00,14.8,16.7,14.6,15,449723811.444319
2022-01-07T00:00:00,15.1,15.1,14,14.2,148742028.350798
2022-01-08T00:00:00,14.2,14.6,13.5,14,77478122.07557
2022-01-09T00:00:00,14,14.4,13.6,14.2,94051154.198585
2022-01-10T00:00:00,14.2,14.4,12.3,13.4,206611087.178391
2022-01-11T00:00:00,13.4,14.1,12.8,13.9,185897206.743208
2022-01-12T00:00:00,13.9,14.4,13.4,14.3,263409460.293745
2022-01-13T00:00:00,14.2,15.2,14.2,14.4,399280842.088116
2022-01-14T00:00:00,14.3,14.9,13.9,14.5,140066746.36493
2022-01-15T00:00:00,14.4,14.6,14.2,14.6,63835597.412809
2022-01-16T00:00:00,14.6,14.6,14.3,14.5,52892905.875137
2022-01-17T00:00:00,14.5,14.6,13.8,13.9,78697256.408498
2022-01-18T00:00:00,13.9,14.2,12.8,13.2,539612830.963258
2022-01-19T00:00:00,13.2,13.3,12.1,12.5,249982364.253201
2022-01-20T00:00:00,12.5,13,12,12.2,134299550.916808
2022-01-21T00:00:00,12.2,12.3,10.5,10.8,236768768.038602
2022-01-22T00:00:00,10.8,11.6,9,9.98,440674257.597542
2022-01-23T00:00:00,9.98,10.6,9.93,10.4,109997186.359187
2022-01-24T00:00:00,10.3,10.4,9.03,10.1,165819365.393097
2022-01-25T00:00:00,10.1,10.1,9.45,10,106029366.783945
2022-01-26T00:00:00,10.1,11.5,9.74,10.3,646846358.642697
2022-01-27T00:00:00,10.3,10.8,10.1,10.5,166385003.808914
2022-01-28T00:00:00,10.5,11,10.5,11,186642482.46459
2022-01-29T00:00:00,10.8,11.2,10.8,11.2,220549207.69283
2022-01-30T00:00:00,11.1,11.5,10.8,11,178286797.797953
2022-01-31T00:00:00,10.9,11.1,10.5,10.9,175825740.327265
2022-02-01T00:00:00,10.8,11,10.7,11,70104303.040522
2022-02-02T00:00:00,10.9,11.7,10.8,11.4,399722969.071284
2022-02-03T00:00:00,11.4,12.3,11,12.1,744144235.551427
2022-02-04T00:00:00,12.1,12.8,11.7,12.8,317489003.566092
2022-02-05T00:00:00,12.8,13.5,12.7,13.2,431132958.315605
2022-02-06T00:00:00,13.2,13.6,12.8,13.3,330773951.991234
2022-02-07T00:00:00,13.2,13.7,13,13.7,250604736.783827
2022-02-08T00:00:00,13.7,13.9,12.5,13.1,237606358.192573
2022-02-09T00:00:00,13.1,13.5,12.9,13.3,239881433.498567
2022-02-10T00:00:00,13.2,13.3,12.5,12.7,148330100.078596
2022-02-11T00:00:00,12.7,12.9,11.9,12.2,102567428.855082
2022-02-12T00:00:00,12.3,12.6,11.5,11.8,189163056.427893
2022-02-13T00:00:00,11.8,12.3,11.7,11.9,172021585.910182
2022-02-14T00:00:00,11.9,12,11.1,11.5,213840791.645811
2022-02-15T00:00:00,11.4,12.1,11.3,12.1,189818298.932096
2022-02-16T00:00:00,12,12.4,11.8,12.1,196442921.472042
2022-02-17T00:00:00,12,12.2,11.2,11.3,142385365.757265
2022-02-18T00:00:00,11.3,11.6,11,11.2,81159010.812924
2022-02-19T00:00:00,11.1,11.4,10.7,11.1,63172350.826204
2022-02-20T00:00:00,11,11.1,10.1,10.6,85243556.568664
2022-02-21T00:00:00,10.5,11.1,9.89,9.89,142376031.66626
2022-02-22T00:00:00,10,11.9,9.87,10.4,1489027174.25022
2022-02-23T00:00:00,10.3,10.7,10.1,10.4,213402393.655287
2022-02-24T00:00:00,10.3,10.5,9.34,10.3,248685267.61838
2022-02-25T00:00:00,10.2,11,10.1,10.9,181580720.775126
2022-02-26T00:00:00,10.9,11.8,10.8,11.7,285956993.042444
2022-02-27T00:00:00,11.7,12.2,11.3,11.9,490557479.919157
2022-02-28T00:00:00,11.8,12.6,11.1,12.5,382711771.376203
2022-03-01T00:00:00,12.6,12.6,12,12.4,332741963.926247
2022-03-02T00:00:00,12.4,12.9,11.6,12,551407823.49217
2022-03-03T00:00:00,11.9,12,11.4,11.7,119533191.418212
2022-03-04T00:00:00,11.7,11.7,11.2,11.3,93716529.503526
2022-03-05T00:00:00,11.2,11.6,11.2,11.6,70922814.070942
2022-03-06T00:00:00,11.6,11.9,11.2,11.7,205966820.301421
2022-03-07T00:00:00,11.6,12.3,11.1,11.6,652020855.416237
2022-03-08T00:00:00,11.5,12,11.3,11.8,276768879.37239
2022-03-09T00:00:00,11.7,12.1,11.6,12,168474236.244722
2022-03-10T00:00:00,12,12,11.3,11.5,142961719.339895
2022-03-11T00:00:00,11.4,11.5,11.2,11.4,75147741.279102
2022-03-12T00:00:00,11.3,12.2,11.3,11.7,234852404.625939
2022-03-13T00:00:00,11.6,11.7,11.2,11.4,82738168.105692
2022-03-14T00:00:00,11.4,11.9,11.1,11.7,248341030.034596
2022-03-15T00:00:00,11.8,12.9,11.6,12.2,919615621.747333
2022-03-16T00:00:00,12.2,12.6,11.7,12.1,399706736.235504
2022-03-17T00:00:00,12.1,12.4,11.6,12,213908416.650015
2022-03-18T00:00:00,11.9,12.2,11.7,12.2,107709966.895032
