datetime,open,high,low,close,volume
2022-01-01T00:00:00,4570,4600,4520,4575,146828.088812
2022-01-01T04:00:00,4575,4585,4550,4555,109929.366441
2022-01-01T08:00:00,4570,4595,4545,4555,108504.861409
2022-01-01T12:00:00,4555,4585,4530,4570,86157.985999
2022-01-01T16:00:00,4570,4595,4555,4575,43507.377337
2022-01-01T20:00:00,4575,4625,4565,4625,93464.258225
2022-01-02T00:00:00,4625,4700,4565,4675,392965.138517
2022-01-02T04:00:00,4680,4685,4580,4635,208663.516666
2022-01-02T08:00:00,4640,4930,4625,4830,1690179.656153
2022-01-02T12:00:00,4835,4965,4800,4835,982559.644382
2022-01-02T16:00:00,4865,4895,4825,4870,124453.699856
2022-01-02T20:00:00,4880,4920,4845,4900,170815.351273
2022-01-03T00:00:00,4890,5530,4870,5305,10153982.967565
2022-01-03T04:00:00,5300,5335,5075,5140,2463810.76969
2022-01-03T08:00:00,5140,5140,4850,4935,1663939.472442
2022-01-03T12:00:00,4935,5075,4900,4900,1252206.924574
2022-01-03T16:00:00,4910,4935,4815,4850,356777.416097
2022-01-03T20:00:00,4860,4860,4760,4825,369693.171005
2022-01-04T00:00:00,4825,4830,4585,4645,802839.411727
2022-01-04T04:00:00,4645,4715,4590,4715,374936.496956
2022-01-04T08:00:00,4705,4745,4645,4735,257436.788554
2022-01-04T12:00:00,4735,4750,4645,4725,384172.196344
2022-01-04T16:00:00,4720,4750,4675,4700,72887.655103
2022-01-04T20:00:00,4730,4730,4675,4700,101197.578756
2022-01-05T00:00:00,4770,4780,4625,4700,612176.411127
2022-01-05T04:00:00,4705,4705,4655,4705,178958.826716
2022-01-05T08:00:00,4700,4735,4680,4720,225655.730262
2022-01-05T12:00:00,4715,4730,4670,4695,255668.90585
2022-01-05T16:00:00,4705,4705,4615,4615,140224.681214
2022-01-05T20:00:00,4615,4630,4250,4445,662567.045243
2022-01-06T00:00:00,4420,4695,4240,4265,1742741.081178
2022-01-06T04:00:00,4265,4390,4255,4375,172236.990278
2022-01-06T08:00:00,4375,4375,4265,4310,145244.435938
2022-01-06T12:00:00,4310,4435,4265,4340,224036.215146
2022-01-06T16:00:00,4340,4470,4320,4470,55045.525254
2022-01-06T20:00:00,4470,4480,4375,4475,146921.435572
2022-01-07T00:00:00,4480,4480,4200,4220,350849.399096
2022-01-07T04:00:00,4215,4240,4050,4195,440317.446256
2022-01-07T08:00:00,4200,4285,4200,4230,158535.199817
2022-01-07T12:00:00,4230,4270,4085,4210,194785.727841
2022-01-07T16:00:00,4210,4235,4135,4182.5,57699.820749
2022-01-07T20:00:00,4180,4230,4150,4185,77549.596879
2022-01-08T00:00:00,4190,4225,4130,4165,191184.440187
2022-01-08T04:00:00,4165,4210,4165,4190,63453.681278
2022-01-08T08:00:00,4190,4220,4165,4190,82383.92515
2022-01-08T12:00:00,4190,4200,4120,4120,88322.578598
2022-01-08T16:00:00,4120,4150,3970,4000,265631.861976
2022-01-08T20:00:00,4005,4125,3990,4100,86243.386892
2022-01-09T00:00:00,4105,4130,4025,4080,223170.036426
2022-01-09T04:00:00,4080,4230,4080,4150,213224.835183
2022-01-09T08:00:00,4155,4170,4025,4090,168495.942758
2022-01-09T12:00:00,4090,4125,4045,4070,114949.642462
2022-01-09T16:00:00,4070,4140,4060,4125,39180.022596
2022-01-09T20:00:00,4125,4175,4125,4145,112604.780253
2022-01-10T00:00:00,4140,4165,4065,4120,320823.679766
2022-01-10T04:00:00,4125,4200,4115,4160,282569.75688
2022-01-10T08:00:00,4160,4180,4005,4010,239044.77473
2022-01-10T12:00:00,4010,4020,3675,3855,884452.752359
2022-01-10T16:00:00,3865,3945,3810,3880,106983.983359
2022-01-10T20:00:00,3880,3960,3860,3960,109135.025008
2022-01-11T00:00:00,3960,3995,3830,3920,288372.617753
2022-01-11T04:00:00,3930,3930,3745,3810,352313.232431
2022-01-11T08:00:00,3810,3850,3740,3795,219110.337429
2022-01-11T12:00:00,3795,3830,3750,3810,142739.880555
2022-01-11T16:00:00,3810,3980,3810,3925,197318.366366
2022-01-11T20:00:00,3930,4150,3930,4130,282520.530013
2022-01-12T00:00:00,4130,4130,3970,4005,389888.677924
2022-01-12T04:00:00,4010,4055,3990,4020,162065.162589
2022-01-12T08:00:00,4015,4105,4010,4090,139256.392427
2022-01-12T12:00:00,4090,4195,4070,4180,460136.042739
2022-01-12T16:00:00,4180,4235,4130,4190,83906.047316
2022-01-12T20:00:00,4190,4240,4185,4225,172623.888794
2022-01-13T00:00:00,4225,4285,4155,4205,663061.7246
2022-01-13T04:00:00,4205,4240,4165,4180,186581.225569
2022-01-13T08:00:00,4180,4255,4180,4195,170764.471212
2022-01-13T12:00:00,4195,4235,4095,4135,281649.506475
2022-01-13T16:00:00,4140,4160,4055,4085,125272.393701
2022-01-13T20:00:00,4090,4110,4020,4070,194074.710557
2022-01-14T00:00:00,4115,4345,4045,4065,2306754.819846
2022-01-14T04:00:00,4065,4095,4025,4060,392542.981251
2022-01-14T08:00:00,4060,4065,3925,3955,271851.58435
2022-01-14T12:00:00,3955,4050,3935,4045,158468.899018
2022-01-14T16:00:00,4045,4085,4025,4065,50947.59534
2022-01-14T20:00:00,4070,4140,4065,4115,111408.550586
2022-01-15T00:00:00,4105,4110,4050,4050,245652.229869
2022-01-15T04:00:00,4050,4075,4045,4060,74934.864096
2022-01-15T08:00:00,4065,4095,4045,4065,118409.285645
2022-01-15T12:00:00,4065,4100,4035,4095,112950.765575
2022-01-15T16:00:00,4095,4135,4075,4120,62521.682064
2022-01-15T20:00:00,4120,4140,4100,4120,76860.088533
2022-01-16T00:00:00,4130,4130,4065,4085,156185.418738
2022-01-16T04:00:00,4085,4100,4075,4090,56732.487639
2022-01-16T08:00:00,4085,4095,4040,4060,86072.720021
2022-01-16T12:00:00,4080,4095,4040,4080,79854.611551
2022-01-16T16:00:00,4090,4115,4080,4095,65238.469028
2022-01-16T20:00:00,4097.5,4130,4095,4120,92870.44523
2022-01-17T00:00:00,4125,4130,4000,4010,200314.5299
2022-01-17T04:00:00,4010,4035,3970,3995,115920.614474
2022-01-17T08:00:00,3995,4020,3965,3985,130368.105563
2022-01-17T12:00:00,3985,3990,3950,3960,96330.405215
2022-01-17T16:00:00,3960,3970,3900,3955,93074.416695
2022-01-17T20:00:00,3955,3985,3910,3945,93647.585965
2022-01-18T00:00:00,3960,3975,3845,3845,240795.125213
2022-01-18T04:00:00,3850,3880,3780,3830,182071.031834
2022-01-18T08:00:00,3835,3835,3740,3805,157636.07411
2022-01-18T12:00:00,3805,3825,3735,3765,168516.221562
2022-01-18T16:00:00,3765,3830,3755,3800,44445.303559
2022-01-18T20:00:00,3795,3860,3765,3845,99995.96233
2022-01-19T00:00:00,3840,3905,3745,3755,354980.197403
2022-01-19T04:00:00,3755,3770,3610,3620,212193.485668
2022-01-19T08:00:00,3620,3755,3580,3710,188313.542178
2022-01-19T12:00:00,3720,3770,3695,3730,103872.667763
2022-01-19T16:00:00,3715,3730,3695,3705,59888.661855
2022-01-19T20:00:00,3695,3725,3640,3655,80163.977384
2022-01-20T00:00:00,3650,3680,3595,3650,180878.041534
2022-01-20T04:00:00,3650,3845,3595,3700,346970.680119
2022-01-20T08:00:00,3700,3710,3645,3695,86126.988575
2022-01-20T12:00:00,3690,3780,3665,3765,152626.503438
2022-01-20T16:00:00,3765,3780,3740,3740,64549.369102
2022-01-20T20:00:00,3745,3750,3490,3525,267336.850681
2022-01-21T00:00:00,3520,3700,3250,3275,1369586.127189
2022-01-21T04:00:00,3285,3355,3260,3340,249911.407496
2022-01-21T08:00:00,3345,3370,3295,3325,172729.392544
2022-01-21T12:00:00,3320,3320,3200,3300,306106.630575
2022-01-21T16:00:00,3305,3320,3250,3275,57068.503928
2022-01-21T20:00:00,3275,3285,2940,3035,572434.282377
2022-01-22T00:00:00,3035,3095,2930,2950,551486.942317
2022-01-22T04:00:00,2950,3050,2620,2625,1215054.519048
2022-01-22T08:00:00,2645,2735,2425,2575,859639.343327
2022-01-22T12:00:00,2575,2740,2565,2590,523034.86869
2022-01-22T16:00:00,2590,2640,2550,2607.5,96530.193722
2022-01-22T20:00:00,2600,2720,2585,2710,116194.639593
2022-01-23T00:00:00,2710,2930,2635,2740,1168060.299906
