datetime,open,high,low,close,volume
2022-01-01T00:00:00,1420,1455,1415,1445,688211.005198
2022-01-02T00:00:00,1445,1825,1440,1565,22966358.339535
2022-01-03T00:00:00,1560,1795,1535,1585,32250214.765146
2022-01-04T00:00:00,1590,1795,1580,1740,24969146.06869
2022-01-05T00:00:00,1730,1740,1460,1525,6979586.873518
2022-01-06T00:00:00,1535,1560,1420,1470,3545987.188087
2022-01-07T00:00:00,1480,1480,1180,1370,3866800.403604
2022-01-08T00:00:00,1375,1570,1315,1380,21606029.969548
2022-01-09T00:00:00,1380,1490,1325,1410,9683771.294554
2022-01-10T00:00:00,1410,1415,1100,1335,5376968.393009
2022-01-11T00:00:00,1335,1430,1250,1390,7873988.585899
2022-01-12T00:00:00,1390,1430,1330,1425,2551864.499357
2022-01-13T00:00:00,1425,1430,1370,1375,1947148.906301
2022-01-14T00:00:00,1380,1415,1335,1390,1580149.669846
2022-01-15T00:00:00,1385,1415,1370,1410,1101628.129509
2022-01-16T00:00:00,1405,1405,1380,1395,1038225.23616
2022-01-17T00:00:00,1395,1400,1320,1340,878589.902737
2022-01-18T00:00:00,1350,1410,1260,1300,3089082.868938
2022-01-19T00:00:00,1295,1300,1200,1245,933065.311483
2022-01-20T00:00:00,1250,1350,1205,1210,3144702.577343
2022-01-21T00:00:00,1210,1305,1065,1085,3991479.057404
2022-01-22T00:00:00,1085,1150,922,988,4785793.074761
2022-01-23T00:00:00,999,1030,969,1020,2187736.664524
2022-01-24T00:00:00,1020,1045,868,970,4066638.08597
2022-01-25T00:00:00,970,1010,886,957,5971623.774936
2022-01-26T00:00:00,960,1070,937,1005,6026522.377665
2022-01-27T00:00:00,1005,1030,963,1025,2497378.823716
2022-01-28T00:00:00,1030,1060,1000,1055,1558878.887784
2022-01-29T00:00:00,1055,1085,1035,1075,2305395.050064
2022-01-30T00:00:00,1070,1110,1050,1085,2343853.371519
2022-01-31T00:00:00,1080,1110,1015,1105,1748098.327355
2022-02-01T00:00:00,1105,1105,1065,1095,2036185.648586
2022-02-02T00:00:00,1095,1280,1075,1105,29487991.889187
2022-02-03T00:00:00,1110,1215,1090,1165,10157833.679652
2022-02-04T00:00:00,1165,1435,1165,1240,62301218.569553
2022-02-05T00:00:00,1245,1330,1230,1285,18188659.646763
2022-02-06T00:00:00,1290,1305,1230,1280,3530729.829703
2022-02-07T00:00:00,1280,1320,1225,1315,5983908.03104
2022-02-08T00:00:00,1315,1320,1180,1260,5845043.838164
2022-02-09T00:00:00,1265,1270,1205,1260,1815092.298438
2022-02-10T00:00:00,1270,1285,1185,1205,3702533.557279
2022-02-11T00:00:00,1200,1305,1150,1165,10391317.031216
2022-02-12T00:00:00,1175,1265,1090,1145,9352447.155047
2022-02-13T00:00:00,1145,1190,1110,1170,2916445.133988
2022-02-14T00:00:00,1170,1220,1105,1200,3306310.483082
2022-02-15T00:00:00,1200,1270,1175,1265,2898938.078636
2022-02-16T00:00:00,1265,1265,1205,1235,2528816.570931
2022-02-17T00:00:00,1240,1245,1120,1125,2850266.931254
2022-02-18T00:00:00,1125,1155,1070,1105,1706108.490646
2022-02-19T00:00:00,1105,1115,1035,1080,1108722.728347
2022-02-20T00:00:00,1075,1205,1010,1030,30833767.839761
2022-02-21T00:00:00,1030,1135,947,955,11647398.641507
2022-02-22T00:00:00,953,1015,910,984,5163761.935266
2022-02-23T00:00:00,981,1010,954,972,2499012.102859
2022-02-24T00:00:00,989,1010,864,954,5125827.41734
2022-02-25T00:00:00,959,1030,935,1025,9472362.305382
2022-02-26T00:00:00,1025,1340,1015,1160,101680749.299841
2022-02-27T00:00:00,1155,1205,1050,1060,13633180.476796
2022-02-28T00:00:00,1060,1135,1045,1125,9958581.725911
2022-03-01T00:00:00,1135,1145,1095,1140,4679208.419296
2022-03-02T00:00:00,1140,1150,1080,1125,3411298.937745
2022-03-03T00:00:00,1125,1140,1080,1100,2733883.703745
2022-03-04T00:00:00,1100,1130,1045,1075,3040609.08394
2022-03-05T00:00:00,1070,1100,1040,1080,1979218.130919
2022-03-06T00:00:00,1080,1080,1030,1060,1337991.316114
2022-03-07T00:00:00,1065,1200,1000,1040,15205911.646953
2022-03-08T00:00:00,1045,1075,1020,1060,5098247.119831
2022-03-09T00:00:00,1065,1145,1065,1115,14863356.694041
2022-03-10T00:00:00,1120,1125,1035,1080,4853450.132796
2022-03-11T00:00:00,1075,1080,1030,1060,1958474.606518
2022-03-12T00:00:00,1060,1070,1050,1060,1102142.607941
2022-03-13T00:00:00,1055,1060,1015,1025,1752288.208598
2022-03-14T00:00:00,1025,1040,1005,1040,2188263.946029
2022-03-15T00:00:00,1040,1040,994,1010,1708949.540731
2022-03-16T00:00:00,1010,1040,1000,1040,2530773.442185
2022-03-17T00:00:00,1040,1050,1015,1035,1995646.292917
2022-03-18T00:00:00,1035,1060,1020,1060,1765416.871591
2022-03-19T00:00:00,1060,1080,1040,1075,2523652.406128
2022-03-20T00:00:00,1075,1085,1050,1060,2093183.00226
2022-03-21T00:00:00,1065,1085,1040,1080,2304851.483439
2022-03-22T00:00:00,1080,1145,1065,1125,3114868.569699
2022-03-23T00:00:00,1120,1135,1090,1135,3041146.438628
2022-03-24T00:00:00,1135,1155,1110,1145,3878273.390405
2022-03-25T00:00:00,1145,1180,1125,1170,3743528.441959
2022-03-26T00:00:00,1175,1235,1145,1225,7565304.033323
2022-03-27T00:00:00,1230,1420,1210,1320,21100368.826632
2022-03-28T00:00:00,1315,2065,1315,1500,238640972.06852
2022-03-29T00:00:00,1500,1515,1410,1440,25399559.544562
2022-03-30T00:00:00,1435,1465,1360,1450,11004591.950586
2022-03-31T00:00:00,1455,1515,1405,1490,17465380.295336
2022-04-01T00:00:00,1495,1575,1420,1565,10271993.844219
2022-04-02T00:00:00,1560,1605,1465,1560,12681221.874955
2022-04-03T00:00:00,1550,1710,1460,1545,16323629.879792
2022-04-04T00:00:00,1545,1545,1385,1435,7005411.306649
2022-04-05T00:00:00,1435,1440,1385,1435,2882214.363375
2022-04-06T00:00:00,1435,1435,1215,1240,5381011.791645
2022-04-07T00:00:00,1240,1325,1205,1325,2609628.425732
2022-04-08T00:00:00,1325,1340,1250,1265,2477487.792484
2022-04-09T00:00:00,1270,1350,1250,1285,3873087.468668
2022-04-10T00:00:00,1285,1290,1230,1260,1383699.555798
2022-04-11T00:00:00,1255,1330,1185,1220,6389427.914271
2022-04-12T00:00:00,1220,1380,1165,1310,19370523.640682
2022-04-13T00:00:00,1310,1410,1275,1375,11088705.593621
2022-04-14T00:00:00,1375,1380,1300,1320,4364158.663069
2022-04-15T00:00:00,1315,1320,1255,1315,3053715.437419
2022-04-16T00:00:00,1320,1420,1270,1295,8072004.751942
2022-04-17T00:00:00,1295,1330,1270,1300,4777568.121814
2022-04-18T00:00:00,1300,1300,1210,1300,4601714.561192
2022-04-19T00:00:00,1295,1345,1275,1340,3228767.627474
2022-04-20T00:00:00,1385,1385,1275,1340,7347669.548267
2022-04-21T00:00:00,1340,1395,1295,1350,7111135.864891
2022-04-22T00:00:00,1355,1515,1315,1335,29567537.11564
2022-04-23T00:00:00,1335,1460,1320,1380,18783630.05224
2022-04-24T00:00:00,1375,1380,1280,1295,5670392.858496
2022-04-25T00:00:00,1295,1295,1170,1255,5772963.808883
2022-04-26T00:00:00,1255,1270,1160,1170,3949297.960812
2022-04-27T00:00:00,1160,1205,1135,1195,3840594.815395
2022-04-28T00:00:00,1195,1220,1170,1210,2560500.077055
2022-04-29T00:00:00,1210,1210,1140,1150,2025852.16481
2022-04-30T00:00:00,1145,1150,1030,1035,3050983.294202
2022-05-01T00:00:00,1040,1070,971,1035,3423541.231269
2022-05-02T00:00:00,1035,1050,994,1025,1879609.765028
2022-05-03T00:00:00,1020,1040,1005,1015,1351428.762157
2022-05-04T00:00:00,1015,1130,998,1100,4158768.01125
2022-05-05T00:00:00,1100,1220,1025,1035,33885641.131321
2022-05-06T00:00:00,1035,1070,964,1020,6040889.730573
2022-05-07T00:00:00,1015,1025,965,978,1734832.687216
2022-05-08T00:00:00,978,983,916,930,2736256.498938
2022-05-09T00:00:00,928,937,779,789,5615470.722907
2022-05-10T00:00:00,789,844,750,792,3752953.75906
2022-05-11T00:00:00,792,806,588,615,8402925.583853
2022-05-12T00:00:00,615,653,459,519,8838978.334768
2022-05-13T00:00:00,519,620,507,589,4925620.126979
2022-05-14T00:00:00,593,663,560,633,11579066.300717
2022-05-15T00:00:00,630,733,630,691,32195900.468719
2022-05-16T00:00:00,691,692,637,650,3271142.732065
2022-05-17T00:00:00,650,689,647,683,4222636.280058
2022-05-18T00:00:00,686,704,585,591,5419383.372609
2022-05-19T00:00:00,591,622,557,619,3535395.781468
2022-05-20T00:00:00,619,639,581,603,2813312.690282
2022-05-21T00:00:00,606,621,586,617,1732983.681506
2022-05-22T00:00:00,616,710,607,676,27028784.88453
2022-05-23T00:00:00,675,705,639,667,6988869.407765
2022-05-24T00:00:00,667,720,640,720,8381565.785894
2022-05-25T00:00:00,715,722,676,714,4171540.347902
2022-05-26T00:00:00,714,725,640,673,4023185.969908
2022-05-27T00:00:00,673,678,629,649,1856736.572542
2022-05-28T00:00:00,648,674,636,646,2321076.487635
2022-05-29T00:00:00,644,667,619,665,3540659.233674
2022-05-30T00:00:00,662,706,651,701,3251813.317159
2022-05-31T00:00:00,725,728,677,693,5519444.446851
2022-06-01T00:00:00,693,1190,684,890,395352078.898565
2022-06-02T00:00:00,892,909,752,778,71599587.753288
2022-06-03T00:00:00,778,825,727,755,27787182.335484
2022-06-04T00:00:00,756,757,725,748,4161604.185023
2022-06-05T00:00:00,745,786,726,766,18700708.21324
2022-06-06T00:00:00,766,846,753,796,33602307.046918
2022-06-07T00:00:00,796,796,728,759,8178658.737815
2022-06-08T00:00:00,759,761,725,734,3600910.992564
2022-06-09T00:00:00,734,785,726,736,25574811.432358
2022-06-10T00:00:00,736,738,674,686,7809584.78396
2022-06-11T00:00:00,686,698,630,666,4027181.06154
2022-06-12T00:00:00,660,667,589,611,3472366.707622
2022-06-13T00:00:00,611,643,500,513,5962254.514671
2022-06-14T00:00:00,513,521,441,507,4990736.242834
2022-06-15T00:00:00,505,531,445,530,8681315.809003
2022-06-16T00:00:00,530,565,490,517,28359477.325476
2022-06-17T00:00:00,519,562,496,546,15678640.232347
2022-06-18T00:00:00,546,551,490,507,6469960.61245
2022-06-19T00:00:00,509,526,471,524,5783705.810122
2022-06-20T00:00:00,524,537,499,537,5466297.667585
2022-06-21T00:00:00,536,623,526,587,19611597.71678
2022-06-22T00:00:00,587,670,553,574,25894459.133646
2022-06-23T00:00:00,574,610,560,590,19416693.629224
2022-06-24T00:00:00,591,602,575,600,8992531.17307
2022-06-25T00:00:00,599,599,570,590,4883105.689337
2022-06-26T00:00:00,588,604,570,573,5776330.66549
2022-06-27T00:00:00,573,662,563,607,62648883.72185
2022-06-28T00:00:00,608,670,588,600,30776592.595607
2022-06-29T00:00:00,600,613,559,580,10184876.736052
2022-06-30T00:00:00,581,581,512,544,6107633.681039
2022-07-01T00:00:00,544,599,524,562,23831758.225036
2022-07-02T00:00:00,563,628,561,575,57102173.862273
2022-07-03T00:00:00,575,575,547,561,6545727.062664
2022-07-04T00:00:00,561,566,536,566,3550296.911523
2022-07-05T00:00:00,561,566,541,555,3708052.948091
2022-07-06T00:00:00,555,585,548,556,10121535.554057
2022-07-07T00:00:00,556,570,552,568,4228413.584141
2022-07-08T00:00:00,568,598,562,583,21709855.040748
2022-07-09T00:00:00,584,617,573,604,11768057.889273
2022-07-10T00:00:00,605,622,580,596,11534578.261781
2022-07-11T00:00:00,596,610,544,552,6882042.390828
2022-07-12T00:00:00,553,555,525,530,4812411.541854
2022-07-13T00:00:00,530,540,501,539,6411423.41247
2022-07-14T00:00:00,539,548,517,546,3748154.937402
2022-07-15T00:00:00,544,623,533,562,47432578.749711
2022-07-16T00:00:00,562,602,558,583,38187069.02592
2022-07-17T00:00:00,584,620,575,580,30904739.858037
2022-07-18T00:00:00,580,602,569,601,11044428.10824
2022-07-19T00:00:00,601,622,589,621,9399029.942795
2022-07-20T00:00:00,621,668,590,597,25939948.805295
2022-07-21T00:00:00,596,626,578,602,8673585.163061
2022-07-22T00:00:00,602,618,579,590,5858917.175879
2022-07-23T00:00:00,590,597,576,592,3319865.291425
2022-07-24T00:00:00,594,644,591,603,27872145.031485
2022-07-25T00:00:00,605,605,570,574,7142094.229612
2022-07-26T00:00:00,573,597,551,568,5817233.436653
2022-07-27T00:00:00,569,594,557,593,3605425.585008
2022-07-28T00:00:00,593,612,582,606,6581109.133871
2022-07-29T00:00:00,606,614,591,611,5757673.354838
2022-07-30T00:00:00,611,625,605,621,7048910.691205
2022-07-31T00:00:00,619,710,606,654,45338153.543978
2022-08-01T00:00:00,654,763,646,691,65870307.063603
2022-08-02T00:00:00,690,690,625,654,9125028.851882
2022-08-03T00:00:00,652,659,628,658,3498247.410373
2022-08-04T00:00:00,658,658,643,651,3028212.384352
2022-08-05T00:00:00,651,667,645,665,3383034.330785
2022-08-06T00:00:00,665,689,660,673,6397379.050696
2022-08-07T00:00:00,671,679,662,674,2657597.385044
2022-08-08T00:00:00,674,679,661,677,4155793.499204
2022-08-09T00:00:00,678,746,650,666,38871804.229495
2022-08-10T00:00:00,666,692,648,692,7775247.29923
2022-08-11T00:00:00,692,740,681,713,19194757.021075
2022-08-12T00:00:00,713,790,697,725,20980791.760987
2022-08-13T00:00:00,724,731,710,726,4771274.763563
2022-08-14T00:00:00,726,727,705,714,4459521.496353
2022-08-15T00:00:00,714,763,705,728,29303046.833494
2022-08-16T00:00:00,730,730,696,705,4959906.624939
2022-08-17T00:00:00,705,709,666,686,4638118.497744
2022-08-18T00:00:00,685,692,674,687,2082500.832194
2022-08-19T00:00:00,687,687,600,601,5770644.914319
2022-08-20T00:00:00,601,648,586,605,4720157.534851
2022-08-21T00:00:00,605,618,591,609,2560301.610778
2022-08-22T00:00:00,608,611,569,594,2463225.18622
2022-08-23T00:00:00,593,603,571,596,1931451.853228
2022-08-24T00:00:00,596,604,581,591,2127514.161
2022-08-25T00:00:00,591,750,587,633,117533492.94611
2022-08-26T00:00:00,633,679,593,597,54378663.636533
2022-08-27T00:00:00,596,620,572,582,13480406.25225
