datetime,open,high,low,close,volume
2022-01-01T00:00:00,114250,116100,112000,114550,50074.642384
2022-01-02T00:00:00,114600,117600,113900,117100,84649.357768
2022-01-03T00:00:00,117250,118950,113050,114950,94989.577742
2022-01-04T00:00:00,115200,117550,112800,113500,149842.913576
2022-01-05T00:00:00,113450,115200,98000,100700,243489.507576
2022-01-06T00:00:00,100750,100800,93670,97760,281668.005021
2022-01-07T00:00:00,97760,97900,88000,90930,284120.112421
2022-01-08T00:00:00,90960,93550,85220,88100,153522.903902
2022-01-09T00:00:00,87950,91230,85550,88660,119987.198938
2022-01-10T00:00:00,88660,90000,80340,83900,172129.485299
2022-01-11T00:00:00,84000,89590,82530,89000,180195.882197
2022-01-12T00:00:00,89000,96380,87910,94820,205778.109788
2022-01-13T00:00:00,94920,95760,88980,89220,148855.520555
2022-01-14T00:00:00,89220,91690,86500,89340,122937.620081
2022-01-15T00:00:00,89380,92270,88850,91520,59944.839357
2022-01-16T00:00:00,91500,106250,90500,97100,1314123.73365
2022-01-17T00:00:00,97080,102200,91510,93150,1174994.103955
2022-01-18T00:00:00,93150,94200,87500,89240,364402.719477
2022-01-19T00:00:00,89340,89740,85180,86610,158267.734081
2022-01-20T00:00:00,86670,91300,84130,84420,154838.041011
2022-01-21T00:00:00,84410,84700,71290,72690,261595.990715
2022-01-22T00:00:00,72690,73940,59260,62190,355351.667283
2022-01-23T00:00:00,62190,66870,61430,66850,189564.297351
2022-01-24T00:00:00,66850,66850,55100,62620,425450.683003
2022-01-25T00:00:00,62580,63430,60100,61850,185248.100446
2022-01-26T00:00:00,61890,67340,59680,60840,469847.451868
2022-01-27T00:00:00,60840,62220,56200,58660,523608.648033
2022-01-28T00:00:00,58630,59520,56000,58830,838050.598612
2022-01-29T00:00:00,58890,62950,57730,61150,1654109.308232
2022-01-30T00:00:00,61220,71280,60320,66630,3758483.219609
2022-01-31T00:00:00,66680,70300,61840,64550,2691548.692316
2022-02-01T00:00:00,64550,67450,63710,66000,1791087.309609
2022-02-02T00:00:00,66000,66830,60270,60700,1634950.913062
2022-02-03T00:00:00,60710,61120,57210,59450,1186375.744127
2022-02-04T00:00:00,59460,62900,58350,62560,1323883.289366
2022-02-05T00:00:00,62560,73250,61800,69730,4752632.014797
2022-02-06T00:00:00,69730,84100,69730,83600,8812188.197304
2022-02-07T00:00:00,83600,89950,81500,83760,5298763.828477
2022-02-08T00:00:00,83760,84330,75410,81260,2779770.220609
2022-02-09T00:00:00,81260,82190,77100,81540,1347470.077749
