datetime,open,high,low,close,volume
2022-01-01T00:00:00,527100,533300,527100,532000,1671.390378
2022-01-01T04:00:00,532000,534200,529100,532300,872.628466
2022-01-01T08:00:00,532300,539500,531000,532800,1100.864683
2022-01-01T12:00:00,532000,541000,531900,538000,1318.117709
2022-01-01T16:00:00,538000,542800,536700,537800,507.663901
2022-01-01T20:00:00,537800,541800,536300,539700,467.854303
2022-01-02T00:00:00,539700,548600,538000,545300,1652.394389
2022-01-02T04:00:00,545000,548100,541000,542700,1245.610702
2022-01-02T08:00:00,542000,547000,541000,543000,1485.81518
2022-01-02T12:00:00,543000,546200,539200,544100,2683.673747
2022-01-02T16:00:00,544100,550000,542000,542100,1470.402825
2022-01-02T20:00:00,542100,545900,542000,544700,868.280461
2022-01-03T00:00:00,543100,545000,538000,540000,2280.7846
2022-01-03T04:00:00,539000,540600,536900,538200,1300.775874
2022-01-03T08:00:00,538200,542300,536400,541300,1559.956778
2022-01-03T12:00:00,541500,542700,537300,539000,1408.6823
2022-01-03T16:00:00,539000,539800,531500,531500,1051.288931
2022-01-03T20:00:00,532800,532800,528000,530800,1731.128812
2022-01-04T00:00:00,530200,531700,520200,524300,2724.898276
2022-01-04T04:00:00,524300,526300,522000,524800,1346.492687
2022-01-04T08:00:00,524800,531100,523000,530300,1842.322895
2022-01-04T12:00:00,530300,534400,525000,529500,2776.103795
2022-01-04T16:00:00,529500,530600,522000,522100,1205.735057
2022-01-04T20:00:00,523500,526300,520400,521400,641.239118
2022-01-05T00:00:00,521400,526400,520900,523000,1616.827999
2022-01-05T04:00:00,523000,525400,520600,524200,1788.995007
2022-01-05T08:00:00,524600,525100,520600,521400,1407.014753
2022-01-05T12:00:00,521500,524000,518000,522400,3057.275282
2022-01-05T16:00:00,523000,523700,507100,508500,2657.492749
2022-01-05T20:00:00,508500,511800,484000,495800,7258.802144
2022-01-06T00:00:00,495800,502000,483100,483150,4219.77724
2022-01-06T04:00:00,484050,489250,481700,486150,2565.677878
2022-01-06T08:00:00,486900,487000,480000,483400,2305.312207
2022-01-06T12:00:00,484200,489350,480850,487850,2104.129179
2022-01-06T16:00:00,487450,494400,481350,491700,583.961097
2022-01-06T20:00:00,493000,496200,490000,494900,549.433345
2022-01-07T00:00:00,494950,496000,476250,476250,2422.63009
2022-01-07T04:00:00,476800,479350,465100,473800,5010.124392
2022-01-07T08:00:00,473800,497500,473200,489450,9836.242376
2022-01-07T12:00:00,489600,493000,473200,477800,3435.6914
2022-01-07T16:00:00,478000,487200,474550,479600,1242.612974
2022-01-07T20:00:00,480800,481150,474750,477400,1670.891102
2022-01-08T00:00:00,477400,482700,476300,478900,1157.691821
2022-01-08T04:00:00,479000,481450,476450,480600,1214.017133
2022-01-08T08:00:00,480600,483800,478900,482950,1005.504373
2022-01-08T12:00:00,481700,483700,470100,472700,1528.489023
2022-01-08T16:00:00,471800,473400,456150,459700,2674.494469
2022-01-08T20:00:00,460550,472200,458150,466750,1319.863626
2022-01-09T00:00:00,467550,473650,463700,468000,1177.266216
2022-01-09T04:00:00,468000,470500,467000,467700,1034.173249
2022-01-09T08:00:00,467500,469000,460450,462950,1958.907531
2022-01-09T12:00:00,463100,465500,456250,459650,1481.411974
2022-01-09T16:00:00,459750,468500,458900,467950,768.143726
2022-01-09T20:00:00,468000,469450,463900,465450,1237.509992
2022-01-10T00:00:00,465500,467500,461050,461600,1611.787375
2022-01-10T04:00:00,462350,465000,459400,460700,1449.870842
2022-01-10T08:00:00,461450,462200,453700,454350,2932.484023
2022-01-10T12:00:00,454350,455000,428600,439750,9556.404031
2022-01-10T16:00:00,439150,453000,432750,440650,2159.180883
2022-01-10T20:00:00,440650,448550,437800,445500,1342.645234
2022-01-11T00:00:00,445500,449500,442350,448400,2133.713914
2022-01-11T04:00:00,449000,449500,442350,446900,2263.15814
