datetime,open,high,low,close,volume
2020-07-01T00:00:00,12320,13370,11970,12340,195790.062212
2020-07-02T00:00:00,12340,12370,11400,11660,128022.834875
2020-07-03T00:00:00,11660,11660,10990,11170,76638.707726
2020-07-04T00:00:00,11180,11230,10860,11180,40331.617179
2020-07-05T00:00:00,11140,11160,10650,10930,34769.151021
2020-07-06T00:00:00,10920,12590,10700,12100,324386.807245
2020-07-07T00:00:00,12060,13400,11530,11820,388615.83975
2020-07-08T00:00:00,11810,12700,11640,11990,293674.434388
2020-07-09T00:00:00,11990,12200,11180,11450,186380.546772
2020-07-10T00:00:00,11480,11480,11080,11330,59375.085132
2020-07-11T00:00:00,11330,12150,11110,11850,188398.133588
2020-07-12T00:00:00,11840,12090,11550,11800,132224.630094
2020-07-13T00:00:00,11800,11960,11480,11550,101143.582085
2020-07-14T00:00:00,11540,11580,11140,11460,59626.606873
2020-07-15T00:00:00,11490,11520,11250,11370,23773.36225
2020-07-16T00:00:00,11310,11350,10810,11150,64449.196843
2020-07-17T00:00:00,11140,11280,10880,11050,33910.041057
2020-07-18T00:00:00,11100,11210,10940,11140,41419.574935
2020-07-19T00:00:00,11140,11230,10960,11230,34685.871638
2020-07-20T00:00:00,11200,11230,11050,11090,43430.862825
2020-07-21T00:00:00,11100,11960,11080,11670,234748.820063
2020-07-22T00:00:00,11680,11900,11450,11820,82628.509761
2020-07-23T00:00:00,11800,11900,11510,11630,88302.115452
2020-07-24T00:00:00,11660,11700,11290,11350,54804.868258
2020-07-25T00:00:00,11360,11870,11350,11860,88955.504545
2020-07-26T00:00:00,11860,12530,11680,12030,277684.943894
2020-07-27T00:00:00,12030,12770,11770,12560,434149.395293
2020-07-28T00:00:00,12520,13610,12180,12850,508005.87245
2020-07-29T00:00:00,12850,13290,12530,12910,289928.458195
2020-07-30T00:00:00,12910,12910,12240,12620,148851.376447
2020-07-31T00:00:00,12630,13290,12200,13000,286878.079576
2020-08-01T00:00:00,13010,13600,12800,13520,268142.527147
2020-08-02T00:00:00,13520,14700,11950,12190,424806.036132
2020-08-03T00:00:00,12180,13000,12130,12740,206220.430637
2020-08-04T00:00:00,12760,13100,12180,12610,150332.462972
2020-08-05T00:00:00,12610,12820,12300,12650,114401.676586
2020-08-06T00:00:00,12600,13230,12310,12730,259398.992798
2020-08-07T00:00:00,12730,13220,12290,12560,155603.05537
2020-08-08T00:00:00,12580,12800,12410,12590,81990.785728
2020-08-09T00:00:00,12570,12880,12290,12520,95760.110137
2020-08-10T00:00:00,12510,13160,12470,12800,249491.012216
2020-08-11T00:00:00,12770,13100,12220,12540,161932.612008
2020-08-12T00:00:00,12480,12910,12070,12670,131230.470022
2020-08-13T00:00:00,12660,12990,12320,12980,124519.716364
2020-08-14T00:00:00,12870,13000,12390,12940,144696.61154
2020-08-15T00:00:00,12940,13410,12780,13230,209774.02671
2020-08-16T00:00:00,13240,14100,13020,13640,227256.855767
2020-08-17T00:00:00,13660,14150,13380,13730,219838.319122
2020-08-18T00:00:00,13700,14190,12790,13050,216557.982423
2020-08-19T00:00:00,13080,13600,12250,12620,224006.00979
2020-08-20T00:00:00,12640,13100,12200,12900,123574.089853
2020-08-21T00:00:00,12900,14040,12690,12800,357018.741386
2020-08-22T00:00:00,12790,13120,12100,12960,136790.184242
2020-08-23T00:00:00,12980,13380,12300,12910,129683.645853
2020-08-24T00:00:00,12910,13100,12600,13030,128474.92444
2020-08-25T00:00:00,13020,13020,12090,12330,122448.30705
2020-08-26T00:00:00,12330,12340,11680,12070,99334.562857
2020-08-27T00:00:00,12070,12130,11390,11400,75972.804206
2020-08-28T00:00:00,11400,11750,11290,11670,39962.525566
2020-08-29T00:00:00,11670,11800,11450,11670,52833.383664
2020-08-30T00:00:00,11660,12040,11620,11930,89112.900178
