datetime,open,high,low,close,volume
2022-01-01T00:00:00,3525,3575,3460,3565,674823.111102
2022-01-02T00:00:00,3560,3850,3525,3825,3280339.595002
2022-01-03T00:00:00,3835,5495,3835,4080,124595652.271084
2022-01-04T00:00:00,4080,4110,3765,3875,17295678.374842
2022-01-05T00:00:00,3880,3900,3395,3565,5418766.809722
2022-01-06T00:00:00,3565,3600,3360,3520,3207292.192646
2022-01-07T00:00:00,3515,3515,3225,3330,1942498.81359
2022-01-08T00:00:00,3325,3385,3200,3310,1232181.749952
2022-01-09T00:00:00,3300,3590,3245,3590,5485250.880379
2022-01-10T00:00:00,3585,3590,3120,3380,5251686.966312
2022-01-11T00:00:00,3385,3510,3160,3420,4589734.649966
2022-01-12T00:00:00,3420,3505,3290,3485,3092038.399567
2022-01-13T00:00:00,3475,3595,3370,3405,4028361.054148
2022-01-14T00:00:00,3435,3990,3320,3455,19295321.729337
2022-01-15T00:00:00,3460,3460,3375,3445,1524364.785166
2022-01-16T00:00:00,3440,3455,3395,3445,1001913.43845
2022-01-17T00:00:00,3445,3450,3300,3345,1327091.290654
2022-01-18T00:00:00,3330,3345,3160,3250,1427513.776672
2022-01-19T00:00:00,3250,3385,3055,3135,3080187.759597
2022-01-20T00:00:00,3135,3225,3060,3100,1541564.185359
2022-01-21T00:00:00,3100,3160,2650,2735,2243776.18974
2022-01-22T00:00:00,2735,2820,2185,2515,2681709.671531
2022-01-23T00:00:00,2520,2675,2415,2580,1655523.687785
2022-01-24T00:00:00,2570,2630,2190,2485,1870568.516603
2022-01-25T00:00:00,2475,2510,2265,2510,1480199.624671
2022-01-26T00:00:00,2510,2920,2430,2580,10246260.672259
2022-01-27T00:00:00,2580,2640,2470,2620,2081439.741671
2022-01-28T00:00:00,2620,2715,2540,2710,1968872.458213
2022-01-29T00:00:00,2710,2795,2670,2775,2848619.705697
2022-01-30T00:00:00,2775,2920,2705,2800,4782170.469233
2022-01-31T00:00:00,2800,2800,2625,2760,1227674.951432
2022-02-01T00:00:00,2760,2775,2690,2775,905282.231337
2022-02-02T00:00:00,2770,3250,2730,2805,15491060.297319
2022-02-03T00:00:00,2795,3080,2755,2925,11005611.743864
2022-02-04T00:00:00,2925,3060,2835,3040,3495398.735255
2022-02-05T00:00:00,3045,3215,3010,3160,4503364.239758
2022-02-06T00:00:00,3155,3200,3000,3160,2393955.265842
2022-02-07T00:00:00,3160,3395,3075,3255,9041011.421927
2022-02-08T00:00:00,3255,3290,2925,3145,3970937.113823
2022-02-09T00:00:00,3145,3190,3030,3190,1726264.893447
2022-02-10T00:00:00,3185,3295,3010,3040,2636191.205007
2022-02-11T00:00:00,3040,3120,2830,2905,2121945.753318
2022-02-12T00:00:00,2900,2950,2725,2900,1387326.485741
2022-02-13T00:00:00,2900,2945,2820,2935,775159.474532
2022-02-14T00:00:00,2930,2930,2765,2855,1432328.574799
2022-02-15T00:00:00,2845,3005,2800,3000,1635979.869971
2022-02-16T00:00:00,3005,3005,2890,2970,1077371.150402
2022-02-17T00:00:00,2970,2985,2700,2730,1141245.691532
2022-02-18T00:00:00,2735,2800,2640,2725,882000.309608
2022-02-19T00:00:00,2725,2730,2570,2650,757878.138586
2022-02-20T00:00:00,2650,2710,2460,2540,1298009.543232
2022-02-21T00:00:00,2550,2650,2360,2375,1385546.509532
2022-02-22T00:00:00,2375,2555,2270,2465,2165154.050056
2022-02-23T00:00:00,2455,2620,2435,2440,2837064.22308
2022-02-24T00:00:00,2445,2490,2200,2445,1958318.311613
2022-02-25T00:00:00,2440,2690,2385,2660,1710337.802704
2022-02-26T00:00:00,2665,2855,2620,2825,2178254.164315
2022-02-27T00:00:00,2820,3750,2800,2925,99593527.125443
2022-02-28T00:00:00,2925,3000,2640,2970,28939869.275666
2022-03-01T00:00:00,2970,2970,2830,2895,9181865.969562
2022-03-02T00:00:00,2895,2945,2710,2785,5210811.861232
2022-03-03T00:00:00,2770,2790,2640,2705,1539897.300569
2022-03-04T00:00:00,2700,2710,2560,2650,1561432.817717
2022-03-05T00:00:00,2685,2775,2575,2700,1455759.040979
2022-03-06T00:00:00,2690,2700,2580,2620,972236.711386
2022-03-07T00:00:00,2615,2640,2520,2610,1254176.323042
2022-03-08T00:00:00,2610,2680,2565,2675,1519378.932401
2022-03-09T00:00:00,2675,2760,2645,2755,2208197.762061
2022-03-10T00:00:00,2750,2750,2585,2675,1737051.953944
2022-03-11T00:00:00,2675,2695,2580,2635,955369.133994
2022-03-12T00:00:00,2635,2700,2595,2645,842614.978073
2022-03-13T00:00:00,2645,2730,2580,2590,2705270.459122
2022-03-14T00:00:00,2590,2660,2515,2630,1421593.454669
2022-03-15T00:00:00,2605,2635,2535,2600,887804.185471
2022-03-16T00:00:00,2645,2760,2550,2640,4617103.245673
2022-03-17T00:00:00,2635,2650,2585,2630,1157916.348422
2022-03-18T00:00:00,2625,2685,2600,2665,1266816.667196
2022-03-19T00:00:00,2665,2730,2645,2720,2319884.243346
