datetime,open,high,low,close,volume
2022-01-01T00:00:00,403,449,402,446,117575692.186474
2022-01-02T00:00:00,447,535,431,481,162271328.57757
2022-01-03T00:00:00,482,506,447,456,61091115.88532
2022-01-04T00:00:00,456,462,434,436,19191320.767131
2022-01-05T00:00:00,436,470,389,411,44902645.671475
2022-01-06T00:00:00,411,416,388,412,13099132.182067
2022-01-07T00:00:00,413,418,385,411,22569887.457699
2022-01-08T00:00:00,411,419,384,391,22318217.114161
2022-01-09T00:00:00,392,422,387,399,48909385.838619
2022-01-10T00:00:00,398,434,364,384,61503547.633247
2022-01-11T00:00:00,384,397,372,396,13614383.603865
2022-01-12T00:00:00,396,414,387,412,10229791.204347
2022-01-13T00:00:00,412,418,388,391,13247774.932585
2022-01-14T00:00:00,391,401,383,399,11850173.365839
2022-01-15T00:00:00,400,418,397,406,28043744.100011
2022-01-16T00:00:00,406,412,400,408,9962451.65929
2022-01-17T00:00:00,408,410,385,392,7947016.998222
2022-01-18T00:00:00,392,392,370,379,7038379.437665
2022-01-19T00:00:00,379,381,353,360,10123954.827368
2022-01-20T00:00:00,360,385,344,346,17578371.344053
2022-01-21T00:00:00,346,348,289,299,16829707.824526
2022-01-22T00:00:00,299,303,246,269,20618331.548945
2022-01-23T00:00:00,269,281,261,274,12455844.818444
2022-01-24T00:00:00,275,300,235,260,77640491.102744
2022-01-25T00:00:00,260,264,250,261,14843745.634549
2022-01-26T00:00:00,261,301,257,275,59854992.006277
2022-01-27T00:00:00,275,321,266,292,69140870.781228
2022-01-28T00:00:00,291,313,287,311,20080848.48564
2022-01-29T00:00:00,311,335,309,330,26648933.941153
2022-01-30T00:00:00,330,334,315,320,9031917.23898
2022-01-31T00:00:00,321,334,302,331,14975048.197355
2022-02-01T00:00:00,333,382,331,348,116067890.040313
2022-02-02T00:00:00,349,358,331,341,38866571.678672
2022-02-03T00:00:00,341,370,340,360,47382092.106099
2022-02-04T00:00:00,360,375,350,374,27616207.840507
2022-02-05T00:00:00,374,389,369,388,18323845.746507
2022-02-06T00:00:00,388,408,371,391,22704276.975563
2022-02-07T00:00:00,391,402,380,401,14766169.55632
2022-02-08T00:00:00,401,402,364,383,21815142.297269
2022-02-09T00:00:00,384,387,368,385,7951444.52518
2022-02-10T00:00:00,387,417,369,373,77295139.879916
2022-02-11T00:00:00,372,377,341,349,12706866.128758
2022-02-12T00:00:00,349,361,331,348,12991935.070515
2022-02-13T00:00:00,350,358,339,346,6389240.95354
2022-02-14T00:00:00,345,353,331,351,7137699.609274
2022-02-15T00:00:00,351,381,348,380,7397801.796198
2022-02-16T00:00:00,380,382,362,373,7244294.113598
2022-02-17T00:00:00,372,374,331,335,11063623.302199
2022-02-18T00:00:00,335,345,322,328,7748321.69187
2022-02-19T00:00:00,330,371,319,333,72640560.296612
2022-02-20T00:00:00,334,334,303,309,17462657.865195
2022-02-21T00:00:00,311,323,280,281,15978111.280948
2022-02-22T00:00:00,281,299,270,298,10752999.338328
2022-02-23T00:00:00,298,309,287,294,9470684.517072
2022-02-24T00:00:00,294,297,259,290,16481998.40626
2022-02-25T00:00:00,290,327,286,322,82276830.169486
2022-02-26T00:00:00,322,355,320,340,60299099.525925
2022-02-27T00:00:00,340,345,319,330,43913303.001868
2022-02-28T00:00:00,331,360,326,357,38939464.761911
2022-03-01T00:00:00,357,379,353,372,70450426.1659
2022-03-02T00:00:00,372,373,349,360,19808752.017399
2022-03-03T00:00:00,360,360,338,345,11090136.874056
2022-03-04T00:00:00,346,374,320,327,69693341.564549
2022-03-05T00:00:00,326,333,316,332,8222723.398499
2022-03-06T00:00:00,332,335,316,322,8487235.048031
2022-03-07T00:00:00,321,328,305,314,12640837.782485
2022-03-08T00:00:00,315,330,310,324,16534748.0765
2022-03-09T00:00:00,324,338,321,337,12396245.900349
2022-03-10T00:00:00,337,340,315,327,12909784.466525
2022-03-11T00:00:00,327,334,316,324,17938197.404315
2022-03-12T00:00:00,324,327,320,323,4961908.998799
2022-03-13T00:00:00,323,325,307,310,6858478.59374
2022-03-14T00:00:00,310,321,305,321,8150421.628217
2022-03-15T00:00:00,321,321,305,315,7166384.785903
2022-03-16T00:00:00,315,334,309,334,10016481.241231
2022-03-17T00:00:00,334,368,324,347,76381018.074453
2022-03-18T00:00:00,348,366,337,363,13509785.723105
2022-03-19T00:00:00,363,370,354,364,9437777.196865
2022-03-20T00:00:00,364,373,346,366,14912791.686716
2022-03-21T00:00:00,366,370,353,358,7306185.4133
2022-03-22T00:00:00,358,378,355,377,8435055.773138
2022-03-23T00:00:00,377,377,361,375,11048488.866434
2022-03-24T00:00:00,375,381,367,377,8934300.677762
2022-03-25T00:00:00,378,384,365,374,10544642.978455
2022-03-26T00:00:00,378,413,372,393,91439470.30718
2022-03-27T00:00:00,393,440,387,406,129721386.094577
2022-03-28T00:00:00,407,427,400,404,39523544.874768
2022-03-29T00:00:00,407,462,403,424,110304933.61976
2022-03-30T00:00:00,425,498,411,449,196059923.407828
2022-03-31T00:00:00,451,467,424,439,49638006.867633
2022-04-01T00:00:00,439,463,412,459,40368769.645118
2022-04-02T00:00:00,459,524,451,467,93867552.090575
2022-04-03T00:00:00,467,519,446,469,59136203.979594
2022-04-04T00:00:00,470,470,424,442,18595713.567786
2022-04-05T00:00:00,442,448,425,428,11400565.036658
2022-04-06T00:00:00,428,429,368,370,21932395.669626
2022-04-07T00:00:00,372,408,362,404,27202463.085284
2022-04-08T00:00:00,404,431,372,379,64269179.733479
2022-04-09T00:00:00,379,387,369,381,22175407.187653
2022-04-10T00:00:00,381,395,364,367,23955630.483993
2022-04-11T00:00:00,367,371,326,334,18927004.280401
2022-04-12T00:00:00,335,369,328,353,53677723.054101
2022-04-13T00:00:00,352,388,349,375,55287616.196805
2022-04-14T00:00:00,375,383,352,362,25586877.994898
2022-04-15T00:00:00,361,376,355,365,15553800.50584
2022-04-16T00:00:00,366,373,359,371,9744170.866637
2022-04-17T00:00:00,371,372,356,358,10923970.722615
2022-04-18T00:00:00,358,365,338,363,14641948.633866
2022-04-19T00:00:00,362,375,355,372,10824998.287806
2022-04-20T00:00:00,372,385,365,378,19803259.467846
2022-04-21T00:00:00,376,399,372,380,37849687.110046
2022-04-22T00:00:00,381,405,375,386,40154206.453167
2022-04-23T00:00:00,386,417,385,408,95608498.807251
2022-04-24T00:00:00,408,409,376,380,25701369.369759
2022-04-25T00:00:00,381,381,349,366,22077887.296517
2022-04-26T00:00:00,366,395,337,344,40472958.924701
2022-04-27T00:00:00,343,356,339,350,11890361.609299
2022-04-28T00:00:00,350,372,343,364,20568269.339564
2022-04-29T00:00:00,362,396,352,357,99713218.938776
2022-04-30T00:00:00,358,365,323,339,18079163.443276
2022-05-01T00:00:00,340,351,323,345,8490386.837089
2022-05-02T00:00:00,344,348,326,342,7786407.270356
