datetime,open,high,low,close,volume
2022-01-01T00:00:00,3725,3840,3715,3840,3440814.078724
2022-01-02T00:00:00,3830,3990,3815,3950,7219140.108583
2022-01-03T00:00:00,3950,3955,3840,3900,6561354.244236
2022-01-04T00:00:00,3895,3965,3820,3870,5349479.39743
2022-01-05T00:00:00,3870,3920,3465,3580,9743476.039637
2022-01-06T00:00:00,3585,3670,3470,3610,9238739.300392
2022-01-07T00:00:00,3610,3620,3360,3510,11304576.824852
2022-01-08T00:00:00,3510,3580,3370,3445,5258848.578621
2022-01-09T00:00:00,3445,3510,3390,3445,3893605.199706
2022-01-10T00:00:00,3450,3485,3175,3320,11317436.856019
2022-01-11T00:00:00,3320,3420,3280,3390,8196986.807485
2022-01-12T00:00:00,3390,3535,3370,3505,6414079.192835
2022-01-13T00:00:00,3505,3545,3385,3395,6210769.391369
2022-01-14T00:00:00,3400,3555,3370,3470,7901454.763997
2022-01-15T00:00:00,3470,3575,3455,3530,5839485.632084
2022-01-16T00:00:00,3530,3565,3490,3515,3652781.790217
2022-01-17T00:00:00,3515,3525,3395,3455,4646242.029472
2022-01-18T00:00:00,3450,3555,3340,3415,8995850.88514
2022-01-19T00:00:00,3415,3475,3265,3310,6332513.426895
2022-01-20T00:00:00,3310,3440,3190,3220,5462108.211309
2022-01-21T00:00:00,3220,3245,2905,2955,12023879.621838
2022-01-22T00:00:00,2950,3000,2555,2750,15950551.33369
2022-01-23T00:00:00,2750,2815,2665,2770,7740752.301112
2022-01-24T00:00:00,2770,2780,2480,2685,10947180.023728
2022-01-25T00:00:00,2685,2720,2630,2705,6416896.362122
2022-01-26T00:00:00,2705,2895,2670,2715,13582982.217088
2022-01-27T00:00:00,2715,2760,2620,2740,8202012.615691
2022-01-28T00:00:00,2735,2860,2700,2855,7989566.352383
2022-01-29T00:00:00,2855,2930,2835,2890,5562314.900846
2022-01-30T00:00:00,2895,2940,2815,2890,4876651.184959
2022-01-31T00:00:00,2885,2895,2750,2880,4719640.662718
2022-02-01T00:00:00,2880,2920,2835,2910,5890684.178843
2022-02-02T00:00:00,2905,3030,2805,2815,10982427.868475
2022-02-03T00:00:00,2810,2845,2765,2840,5962463.900404
2022-02-04T00:00:00,2835,3030,2810,3020,13111940.823389
2022-02-05T00:00:00,3025,3105,2990,3040,11268595.537567
2022-02-06T00:00:00,3045,3115,2980,3095,7153154.81097
2022-02-07T00:00:00,3095,3335,3055,3290,19634283.574692
2022-02-08T00:00:00,3295,3405,3095,3205,20236724.127909
2022-02-09T00:00:00,3215,3270,3145,3230,6395437.270475
2022-02-10T00:00:00,3225,3355,3110,3115,14098126.284869
2022-02-11T00:00:00,3115,3170,2910,2955,9129696.328423
2022-02-12T00:00:00,2955,2985,2840,2925,7716623.459686
2022-02-13T00:00:00,2930,2975,2895,2915,5313119.938662
2022-02-14T00:00:00,2915,2935,2810,2880,5999338.572509
2022-02-15T00:00:00,2880,3070,2870,3060,7332334.2495
2022-02-16T00:00:00,3055,3130,2975,3095,8420250.017353
2022-02-17T00:00:00,3095,3135,2815,2840,10867985.263507
2022-02-18T00:00:00,2835,2905,2790,2815,8303945.532825
2022-02-19T00:00:00,2815,2850,2720,2800,6110851.749956
2022-02-20T00:00:00,2800,2810,2660,2700,8101188.484054
2022-02-21T00:00:00,2700,2775,2530,2540,10163890.669702
2022-02-22T00:00:00,2550,2650,2505,2635,7483246.972935
2022-02-23T00:00:00,2635,2705,2565,2570,6882312.365122
2022-02-24T00:00:00,2570,2610,2320,2540,15526416.182723
2022-02-25T00:00:00,2545,2640,2485,2620,9851430.116261
2022-02-26T00:00:00,2620,2760,2615,2650,8667695.163014
2022-02-27T00:00:00,2645,2760,2535,2575,19390582.867541
2022-02-28T00:00:00,2575,2765,2540,2755,21543234.876508
2022-03-01T00:00:00,2755,2800,2690,2745,14520040.811566
2022-03-02T00:00:00,2745,2765,2660,2690,9419619.798065
2022-03-03T00:00:00,2690,2715,2600,2635,7746204.696927
2022-03-04T00:00:00,2635,2645,2455,2485,9587522.949679
2022-03-05T00:00:00,2485,2535,2430,2525,5096803.222225
2022-03-06T00:00:00,2520,2550,2430,2440,4854198.40624
2022-03-07T00:00:00,2445,2500,2350,2395,7763878.016137
2022-03-08T00:00:00,2395,2480,2385,2455,4536550.837044
