datetime,open,high,low,close,volume
2022-01-01T00:00:00,41760,42230,41740,42020,47334.977733
2022-01-01T04:00:00,42020,42250,41830,42090,40786.426578
2022-01-01T08:00:00,42090,42150,41780,41850,40556.325305
2022-01-01T12:00:00,41850,42260,41830,42120,27536.735301
2022-01-01T16:00:00,42100,42370,42010,42070,17855.823063
2022-01-01T20:00:00,42110,42410,42060,42410,19892.312125
2022-01-02T00:00:00,42420,42460,42150,42330,62571.303968
2022-01-02T04:00:00,42330,42350,41900,42040,55982.476299
2022-01-02T08:00:00,42040,42670,41980,42630,99628.076455
2022-01-02T12:00:00,42630,43240,42420,43150,145688.868891
2022-01-02T16:00:00,43150,43580,42770,42920,68970.801809
2022-01-02T20:00:00,42920,43210,42920,43020,35610.579526
2022-01-03T00:00:00,43020,43110,42510,42790,137403.313204
2022-01-03T04:00:00,42790,42970,42510,42580,70042.320773
2022-01-03T08:00:00,42580,42970,42430,42910,81968.771882
2022-01-03T12:00:00,42920,42970,42430,42450,68611.775755
2022-01-03T16:00:00,42470,42540,42000,42270,45962.785675
2022-01-03T20:00:00,42250,42400,41900,42390,42753.654068
2022-01-04T00:00:00,42390,42400,41550,42150,110445.925461
2022-01-04T04:00:00,42160,42240,41890,42200,53597.644279
2022-01-04T08:00:00,42200,42440,41910,42410,65256.147515
2022-01-04T12:00:00,42410,42590,41960,42190,153457.733097
2022-01-04T16:00:00,42180,42290,41570,41820,52808.216691
2022-01-04T20:00:00,41820,42080,41690,41710,41044.955061
2022-01-05T00:00:00,41710,42170,41600,42080,69346.072406
2022-01-05T04:00:00,42120,42260,41920,42110,58882.63046
2022-01-05T08:00:00,42110,42230,41770,41930,68885.388939
2022-01-05T12:00:00,41930,42260,41800,42000,70075.320237
2022-01-05T16:00:00,42020,42080,40540,40700,101970.925461
2022-01-05T20:00:00,40700,40880,38010,39640,395165.761478
2022-01-06T00:00:00,39640,39950,38270,38280,233199.426072
2022-01-06T04:00:00,38280,38900,38230,38880,140763.084691
2022-01-06T08:00:00,38880,39040,38100,38430,114314.454507
2022-01-06T12:00:00,38430,38910,38100,38610,122531.184707
2022-01-06T16:00:00,38610,39120,38300,39000,43014.74681
2022-01-06T20:00:00,39000,39220,38790,39090,39147.68731
2022-01-07T00:00:00,39090,39250,37420,37480,181908.353369
2022-01-07T04:00:00,37480,37700,36150,37320,351582.185683
2022-01-07T08:00:00,37320,38550,37260,38160,153978.031488
2022-01-07T12:00:00,38160,38500,36700,37400,141667.221232
2022-01-07T16:00:00,37400,38300,37030,37900,51408.973667
2022-01-07T20:00:00,37940,38050,37360,37730,30821.065511
2022-01-08T00:00:00,37740,38310,37520,37780,63349.924467
2022-01-08T04:00:00,37740,37960,37520,37740,40735.151582
2022-01-08T08:00:00,37750,38200,37690,37840,53916.109372
2022-01-08T12:00:00,37840,37900,36900,37010,77086.550961
2022-01-08T16:00:00,37010,37180,35940,36140,123060.321518
2022-01-08T20:00:00,36160,37150,35940,36760,60256.988402
2022-01-09T00:00:00,36760,37100,36470,36810,60544.46442
2022-01-09T04:00:00,36810,37270,36800,36820,44278.153137
2022-01-09T08:00:00,36820,36970,36460,36800,67817.719287
2022-01-09T12:00:00,36800,37000,36300,36450,50712.936865
2022-01-09T16:00:00,36470,37250,36470,37210,40789.15472
2022-01-09T20:00:00,37210,37240,36660,36780,35473.252986
2022-01-10T00:00:00,36780,37000,36550,36750,63187.71058
2022-01-10T04:00:00,36750,37060,36690,36770,56847.737472
2022-01-10T08:00:00,36770,36870,35940,35970,94056.096584
2022-01-10T12:00:00,35970,36090,33630,34520,453010.714053
2022-01-10T16:00:00,34460,35640,33990,34490,89108.336363
2022-01-10T20:00:00,34570,35070,34450,34970,48394.901592
2022-01-11T00:00:00,34970,35740,34700,35630,94281.017833
2022-01-11T04:00:00,35630,35710,35090,35340,94620.8994
2022-01-11T08:00:00,35390,35840,34990,35710,103009.566741
2022-01-11T12:00:00,35710,36500,35010,35590,186156.108229
2022-01-11T16:00:00,35630,36520,35510,36090,91630.434416
2022-01-11T20:00:00,36050,36430,36010,36320,58619.575835
2022-01-12T00:00:00,36310,36600,36010,36120,71807.878521
2022-01-12T04:00:00,36150,36640,36110,36300,45268.186032
2022-01-12T08:00:00,36300,37160,36300,36860,69104.223934
2022-01-12T12:00:00,36860,38000,36760,37560,162839.361192
2022-01-12T16:00:00,37560,37850,37430,37780,24262.702281
2022-01-12T20:00:00,37780,37940,37660,37840,42608.571091
2022-01-13T00:00:00,37840,38070,37450,37770,108414.016136
2022-01-13T04:00:00,37740,38720,37740,38300,105266.523954
2022-01-13T08:00:00,38300,38650,37920,37950,75043.233016
2022-01-13T12:00:00,37930,38600,37170,37590,106005.99242
2022-01-13T16:00:00,37580,37730,37010,37140,43796.262348
2022-01-13T20:00:00,37140,37280,36800,36850,48738.211652
2022-01-14T00:00:00,36860,37890,36660,37450,89990.175576
2022-01-14T04:00:00,37450,40630,37410,39700,918834.11301
2022-01-14T08:00:00,39080,39700,37760,38140,262068.237362
2022-01-14T12:00:00,38140,39630,37820,39050,231280.046138
2022-01-14T16:00:00,39050,39430,38860,38990,47130.510922
2022-01-14T20:00:00,38990,39360,38620,38800,57700.741912
2022-01-15T00:00:00,38800,39800,38540,39090,186691.061112
2022-01-15T04:00:00,39090,40530,38850,40390,202827.883015
2022-01-15T08:00:00,40390,40400,39650,39940,95683.331945
2022-01-15T12:00:00,39950,40100,39230,40000,106120.856363
2022-01-15T16:00:00,40010,40360,39890,40080,42673.524338
2022-01-15T20:00:00,40120,40340,39890,39920,49666.589271
2022-01-16T00:00:00,39920,39930,38980,39150,108546.769763
2022-01-16T04:00:00,39150,39430,39000,39280,62611.901035
2022-01-16T08:00:00,39300,39480,38930,39160,68082.875472
2022-01-16T12:00:00,39180,39680,38980,39200,103631.846739
2022-01-16T16:00:00,39190,39410,39030,39050,20319.183621
2022-01-16T20:00:00,39050,39270,39010,39100,31334.580039
2022-01-17T00:00:00,39100,39210,38430,38440,103207.587001
2022-01-17T04:00:00,38440,38500,37940,38120,78479.798136
2022-01-17T08:00:00,38120,38320,37970,38020,57408.798385
2022-01-17T12:00:00,38020,38110,37580,37600,89872.691135
2022-01-17T16:00:00,37670,37790,37380,37700,41088.906203
2022-01-17T20:00:00,37740,37940,37200,37760,51131.241451
2022-01-18T00:00:00,37750,39210,37730,37920,264612.820822
2022-01-18T04:00:00,37910,38780,37350,38330,179126.536884
2022-01-18T08:00:00,38310,39880,37320,39580,488866.473197
2022-01-18T12:00:00,39580,41600,38620,40410,1491445.682245
2022-01-18T16:00:00,40420,40640,39210,39490,192095.413157
2022-01-18T20:00:00,39530,39900,38520,39460,172247.595837
2022-01-19T00:00:00,39460,42240,39420,41160,1210937.772611
2022-01-19T04:00:00,41190,41900,38230,38500,873685.624575
2022-01-19T08:00:00,38550,39250,38010,38700,599936.459064
2022-01-19T12:00:00,38700,39430,38320,38620,295390.525037
2022-01-19T16:00:00,38630,38850,38300,38600,59739.378802
