datetime,open,high,low,close,volume
2022-01-01T00:00:00,4505000,4568000,4504000,4553000,5146.133536
2022-01-01T04:00:00,4557000,4599000,4528000,4546000,3846.085017
2022-01-01T08:00:00,4545000,4555000,4505000,4525000,3042.164702
2022-01-01T12:00:00,4526000,4563000,4510000,4543000,2601.152699
2022-01-01T16:00:00,4543000,4575000,4538000,4556000,1553.92105
2022-01-01T20:00:00,4560000,4583000,4548000,4577000,1470.656987
2022-01-02T00:00:00,4577000,4589000,4549000,4576000,2676.530693
2022-01-02T04:00:00,4575000,4580000,4541000,4561000,2069.333215
2022-01-02T08:00:00,4563000,4580000,4543000,4566000,2715.023219
2022-01-02T12:00:00,4565000,4614000,4553000,4600000,4237.349419
2022-01-02T16:00:00,4600000,4681000,4599000,4627000,3497.231292
2022-01-02T20:00:00,4627000,4667000,4625000,4652000,2670.795778
2022-01-03T00:00:00,4651000,4653000,4583000,4608000,6492.482844
2022-01-03T04:00:00,4607000,4646000,4602000,4625000,3071.702409
2022-01-03T08:00:00,4625000,4677000,4615000,4663000,4427.547729
2022-01-03T12:00:00,4664000,4671000,4605000,4618000,3593.454537
2022-01-03T16:00:00,4614000,4620000,4562000,4565000,3297.394418
2022-01-03T20:00:00,4565000,4602000,4513000,4591000,4209.531175
2022-01-04T00:00:00,4591000,4604000,4516000,4559000,5006.041544
2022-01-04T04:00:00,4559000,4586000,4541000,4585000,3385.662016
2022-01-04T08:00:00,4585000,4672000,4578000,4669000,5268.623384
2022-01-04T12:00:00,4668000,4743000,4640000,4677000,9282.515226
2022-01-04T16:00:00,4674000,4693000,4605000,4656000,3812.852547
2022-01-04T20:00:00,4651000,4671000,4618000,4619000,2820.246502
2022-01-05T00:00:00,4619000,4656000,4604000,4634000,3335.747337
2022-01-05T04:00:00,4633000,4653000,4618000,4645000,3277.74961
2022-01-05T08:00:00,4645000,4672000,4619000,4625000,3363.280853
2022-01-05T12:00:00,4626000,4660000,4600000,4648000,5003.139496
2022-01-05T16:00:00,4643000,4648000,4500000,4500000,6392.385451
2022-01-05T20:00:00,4508000,4521000,4240000,4382000,27429.885314
2022-01-06T00:00:00,4382000,4408000,4235000,4238000,15739.149692
2022-01-06T04:00:00,4238000,4266000,4187000,4256000,12333.63113
2022-01-06T08:00:00,4255000,4274000,4094000,4144000,15960.709534
2022-01-06T12:00:00,4143000,4236000,4110000,4194000,12957.797453
2022-01-06T16:00:00,4195000,4259000,4170000,4244000,4439.97213
2022-01-06T20:00:00,4244000,4255000,4204000,4212000,3642.091647
2022-01-07T00:00:00,4212000,4222000,4010000,4016000,14700.806656
2022-01-07T04:00:00,4016000,4030000,3873000,3967000,34937.494508
2022-01-07T08:00:00,3968000,4047000,3950000,4005000,11616.450212
2022-01-07T12:00:00,4005000,4046000,3850000,3901000,17985.537049
2022-01-07T16:00:00,3902000,3980000,3855000,3948000,10213.264593
2022-01-07T20:00:00,3946000,3979000,3913000,3955000,4143.999675
2022-01-08T00:00:00,3956000,4007000,3933000,3954000,8379.797446
2022-01-08T04:00:00,3954000,3995000,3943000,3969000,3599.467845
2022-01-08T08:00:00,3970000,4009000,3960000,3981000,5644.716228
2022-01-08T12:00:00,3981000,3993000,3899000,3910000,5827.423227
2022-01-08T16:00:00,3910000,3937000,3766000,3802000,22975.793109
2022-01-08T20:00:00,3801000,3909000,3773000,3860000,9676.548393
2022-01-09T00:00:00,3859000,3915000,3830000,3877000,9584.104682
2022-01-09T04:00:00,3876000,3902000,3873000,3888000,4026.404341
2022-01-09T08:00:00,3888000,3895000,3826000,3876000,5987.719879
2022-01-09T12:00:00,3876000,3881000,3803000,3834000,4936.176075
2022-01-09T16:00:00,3832000,3949000,3825000,3944000,4644.97109
2022-01-09T20:00:00,3944000,3953000,3884000,3886000,3717.18413
2022-01-10T00:00:00,3886000,3916000,3865000,3887000,6164.141965
2022-01-10T04:00:00,3887000,3919000,3879000,3882000,5983.50966
2022-01-10T08:00:00,3882000,3890000,3800000,3810000,7679.901697
2022-01-10T12:00:00,3810000,3820000,3610000,3692000,37391.603211
2022-01-10T16:00:00,3693000,3790000,3655000,3729000,11271.035634
2022-01-10T20:00:00,3727000,3795000,3720000,3780000,4705.309279
2022-01-11T00:00:00,3781000,3817000,3727000,3799000,8308.982198
2022-01-11T04:00:00,3799000,3805000,3756000,3800000,7284.427194
2022-01-11T08:00:00,3800000,3827000,3762000,3807000,7557.343771
2022-01-11T12:00:00,3808000,3843000,3755000,3829000,8732.574361
2022-01-11T16:00:00,3830000,3957000,3822000,3936000,18002.35902
2022-01-11T20:00:00,3936000,3978000,3936000,3965000,5769.206017
2022-01-12T00:00:00,3965000,3992000,3924000,3930000,7662.692243
2022-01-12T04:00:00,3930000,3965000,3921000,3927000,5992.698537
2022-01-12T08:00:00,3928000,4019000,3926000,4000000,8438.077529
2022-01-12T12:00:00,4000000,4132000,3999000,4091000,18638.201741
2022-01-12T16:00:00,4090000,4129000,4064000,4114000,2544.237023
2022-01-12T20:00:00,4114000,4144000,4088000,4092000,4015.334162
2022-01-13T00:00:00,4092000,4114000,4040000,4071000,6913.468739
2022-01-13T04:00:00,4072000,4095000,4046000,4062000,5146.7505
2022-01-13T08:00:00,4064000,4112000,4060000,4063000,4288.480581
2022-01-13T12:00:00,4064000,4143000,4006000,4037000,10377.925231
2022-01-13T16:00:00,4037000,4049000,3980000,4004000,4717.468796
2022-01-13T20:00:00,4005000,4006000,3940000,3946000,7156.502061
2022-01-14T00:00:00,3947000,3983000,3918000,3973000,6407.900744
2022-01-14T04:00:00,3973000,4020000,3971000,3972000,5639.162134
2022-01-14T08:00:00,3972000,3982000,3896000,3910000,6667.103632
2022-01-14T12:00:00,3911000,4008000,3895000,3980000,6142.386469
2022-01-14T16:00:00,3980000,4050000,3962000,4020000,2856.173562
2022-01-14T20:00:00,4019000,4056000,3999000,4011000,3037.343729
2022-01-15T00:00:00,4012000,4036000,4001000,4011000,3397.572942
2022-01-15T04:00:00,4011000,4036000,4001000,4026000,3207.84962
2022-01-15T08:00:00,4027000,4056000,4023000,4032000,2086.784159
2022-01-15T12:00:00,4032000,4080000,3975000,4074000,5046.693286
2022-01-15T16:00:00,4075000,4082000,4038000,4048000,1565.596175
2022-01-15T20:00:00,4048000,4071000,4031000,4037000,1728.597353
2022-01-16T00:00:00,4037000,4045000,4007000,4022000,2857.983041
2022-01-16T04:00:00,4024000,4046000,4015000,4041000,1603.854187
2022-01-16T08:00:00,4043000,4049000,4000000,4026000,3055.84141
2022-01-16T12:00:00,4026000,4075000,3990000,4061000,7007.674701
2022-01-16T16:00:00,4063000,4100000,4025000,4036000,2306.964987
2022-01-16T20:00:00,4036000,4067000,4025000,4047000,1233.664773
2022-01-17T00:00:00,4049000,4062000,3977000,3977000,5208.048289
2022-01-17T04:00:00,3978000,4021000,3947000,3976000,6608.98698
2022-01-17T08:00:00,3976000,3991000,3961000,3964000,2501.063274
2022-01-17T12:00:00,3965000,3987000,3930000,3946000,3903.756202
2022-01-17T16:00:00,3946000,3953000,3861000,3921000,4587.387633
2022-01-17T20:00:00,3921000,3925000,3838000,3917000,4566.774739
2022-01-18T00:00:00,3917000,3939000,3847000,3854000,5045.699696
2022-01-18T04:00:00,3855000,3890000,3822000,3865000,6445.002607
2022-01-18T08:00:00,3865000,3874000,3801000,3854000,4727.958565
2022-01-18T12:00:00,3853000,3860000,3763000,3785000,7177.708537
2022-01-18T16:00:00,3785000,3809000,3750000,3792000,2905.687948
2022-01-18T20:00:00,3792000,3854000,3764000,3821000,4144.333207
2022-01-19T00:00:00,3821000,3842000,3720000,3744000,7097.248088
2022-01-19T04:00:00,3750000,3764000,3688000,3700000,8170.506763
2022-01-19T08:00:00,3700000,3789000,3694000,3775000,5869.793412
2022-01-19T12:00:00,3775000,3816000,3761000,3777000,4362.152111
