datetime,open,high,low,close,volume
2022-01-01T00:00:00,11.7,11.9,11.7,11.7,47016553.47815
2022-01-01T04:00:00,11.8,11.8,11.6,11.7,36991638.864352
2022-01-01T08:00:00,11.8,11.9,11.7,11.8,22530221.6755
2022-01-01T12:00:00,11.8,11.9,11.7,11.9,30576271.839378
2022-01-01T16:00:00,11.8,11.9,11.8,11.9,7637131.839985
2022-01-01T20:00:00,11.8,12,11.8,12,12203282.610316
2022-01-02T00:00:00,12,12.2,11.8,12.1,58561363.168334
2022-01-02T04:00:00,12.1,12.1,11.9,11.9,49126893.762939
2022-01-02T08:00:00,12,12.5,11.9,12.4,164067023.040948
2022-01-02T12:00:00,12.4,13.2,12.3,12.7,371573949.625724
2022-01-02T16:00:00,12.6,12.7,12.4,12.4,49962153.675099
2022-01-02T20:00:00,12.4,12.8,12.4,12.7,45462896.098091
2022-01-03T00:00:00,12.7,13,12.6,12.9,219161544.182706
2022-01-03T04:00:00,12.8,12.9,12.7,12.8,105959461.975724
2022-01-03T08:00:00,12.9,13.1,12.5,13.1,161432418.807487
2022-01-03T12:00:00,13.1,13.2,12.7,12.7,231725289.523874
2022-01-03T16:00:00,12.8,12.8,12.4,12.6,74727307.125132
2022-01-03T20:00:00,12.5,12.9,12.4,12.8,57587824.121666
2022-01-04T00:00:00,12.7,12.9,12,12.5,163694471.335335
2022-01-04T04:00:00,12.4,12.5,12.2,12.4,68530303.493352
2022-01-04T08:00:00,12.5,12.6,12.3,12.5,74198438.418458
2022-01-04T12:00:00,12.4,12.6,12.3,12.5,67379356.045968
2022-01-04T16:00:00,12.5,12.5,12.2,12.4,36978554.934776
2022-01-04T20:00:00,12.4,12.5,12.2,12.4,31996367.828061
2022-01-05T00:00:00,12.4,12.5,12.2,12.5,69588423.174627
2022-01-05T04:00:00,12.5,12.5,12.3,12.4,49254830.145467
2022-01-05T08:00:00,12.4,12.5,12.3,12.4,34184913.389007
2022-01-05T12:00:00,12.4,12.5,12.3,12.5,72609970.50611
2022-01-05T16:00:00,12.5,12.5,12.3,12.4,31425018.177048
2022-01-05T20:00:00,12.3,12.3,11.1,11.6,216617713.096948
2022-01-06T00:00:00,11.5,11.9,11.2,11.2,163652393.133765
2022-01-06T04:00:00,11.2,11.5,11.1,11.3,108783133.480537
2022-01-06T08:00:00,11.4,11.4,11.1,11.2,50840670.427459
2022-01-06T12:00:00,11.3,11.4,11.1,11.3,56524420.080955
2022-01-06T16:00:00,11.3,11.4,11.2,11.3,12560896.161787
2022-01-06T20:00:00,11.3,11.5,11.3,11.5,28298227.129472
2022-01-07T00:00:00,11.4,11.5,10.1,10.5,222763478.485897
2022-01-07T04:00:00,10.6,10.8,10.3,10.7,165562631.383146
2022-01-07T08:00:00,10.6,10.9,10.6,10.9,63025320.668015
2022-01-07T12:00:00,10.9,11,10.5,10.7,97535333.741684
2022-01-07T16:00:00,10.7,10.9,10.6,10.7,32460971.621915
2022-01-07T20:00:00,10.8,10.9,10.6,10.6,20936269.516958
2022-01-08T00:00:00,10.6,11,10.6,10.7,106844342.997839
2022-01-08T04:00:00,10.7,10.8,10.6,10.8,20630016.222618
2022-01-08T08:00:00,10.8,10.8,10.6,10.6,28385585.050295
2022-01-08T12:00:00,10.7,10.8,10.5,10.6,27404831.772535
2022-01-08T16:00:00,10.6,10.6,9.73,9.92,282354406.764495
2022-01-08T20:00:00,9.93,10.4,9.93,10.2,53682322.242035
2022-01-09T00:00:00,10.2,10.5,10.1,10.3,123095154.375229
2022-01-09T04:00:00,10.3,10.6,10.2,10.4,70346721.87293
2022-01-09T08:00:00,10.5,10.5,10.2,10.5,56181816.827333
2022-01-09T12:00:00,10.4,10.5,10.1,10.2,87937739.953518
2022-01-09T16:00:00,10.2,10.5,10.1,10.5,48836545.706648
2022-01-09T20:00:00,10.5,10.6,10.3,10.4,30588316.602446
2022-01-10T00:00:00,10.4,10.5,9.99,10.3,138296506.876339
2022-01-10T04:00:00,10.2,10.4,10.1,10.3,65496631.324223
2022-01-10T08:00:00,10.3,10.3,9.6,9.66,283636533.719853
2022-01-10T12:00:00,9.66,9.73,9.13,9.53,615999263.197723
2022-01-10T16:00:00,9.54,9.82,9.5,9.75,32301451.502636
2022-01-10T20:00:00,9.75,9.84,9.59,9.8,54875816.261282
2022-01-11T00:00:00,9.8,10.1,9.61,9.72,327724439.209961
2022-01-11T04:00:00,9.72,9.74,9.42,9.55,136555322.109168
2022-01-11T08:00:00,9.52,9.61,9.3,9.45,101296201.332837
2022-01-11T12:00:00,9.45,9.53,9.4,9.46,35874202.544049
2022-01-11T16:00:00,9.51,9.95,9.49,9.94,47745681.930388
2022-01-11T20:00:00,9.94,10.2,9.88,9.99,99492613.794203
2022-01-12T00:00:00,9.99,10.3,9.92,10,175061905.455058
2022-01-12T04:00:00,10,10.1,9.93,9.96,35040924.982583
2022-01-12T08:00:00,9.96,10.2,9.95,10.2,62444778.921202
2022-01-12T12:00:00,10.2,10.5,10.1,10.4,106750636.611298
2022-01-12T16:00:00,10.4,10.5,10.3,10.3,11322963.59197
2022-01-12T20:00:00,10.4,10.5,10.2,10.4,51488838.559547
2022-01-13T00:00:00,10.3,11,10.2,10.6,263996613.3923
2022-01-13T04:00:00,10.7,10.7,10.5,10.6,53849050.96581
2022-01-13T08:00:00,10.6,10.9,10.6,10.6,54216634.574196
2022-01-13T12:00:00,10.6,10.8,10.4,10.6,53226564.894174
2022-01-13T16:00:00,10.5,10.6,10.2,10.3,38691205.492952
2022-01-13T20:00:00,10.3,10.4,10.2,10.3,36945864.687299
2022-01-14T00:00:00,10.3,10.5,10.1,10.4,45151364.160642
2022-01-14T04:00:00,10.4,10.5,10.3,10.3,26673827.502511
2022-01-14T08:00:00,10.3,10.4,10,10.2,70991404.504054
2022-01-14T12:00:00,10.2,10.7,10,10.4,72051130.721282
2022-01-14T16:00:00,10.4,11,10.3,10.7,83037030.431091
2022-01-14T20:00:00,10.7,10.8,10.6,10.6,33992474.894867
2022-01-15T00:00:00,10.6,10.8,10.6,10.7,37748795.572671
2022-01-15T04:00:00,10.7,10.8,10.5,10.6,31219556.343272
2022-01-15T08:00:00,10.6,10.7,10.5,10.6,28069674.286992
2022-01-15T12:00:00,10.6,10.8,10.5,10.7,30415287.258424
2022-01-15T16:00:00,10.6,10.8,10.6,10.7,11199873.260352
2022-01-15T20:00:00,10.8,10.8,10.6,10.7,30920220.447337
2022-01-16T00:00:00,10.7,10.8,10.5,10.7,37452012.063474
2022-01-16T04:00:00,10.6,10.7,10.5,10.6,27844349.063944
2022-01-16T08:00:00,10.7,10.8,10.6,10.7,17134199.491902
2022-01-16T12:00:00,10.7,10.9,10.6,10.85,39516830.132918
2022-01-16T16:00:00,10.9,11.3,10.8,11.1,59781007.333186
2022-01-16T20:00:00,11.2,11.2,11,11.1,30657764.046193
2022-01-17T00:00:00,11,11.1,10.8,10.8,39860665.517182
2022-01-17T04:00:00,10.9,10.9,10.7,10.8,28307129.430439
2022-01-17T08:00:00,10.8,11,10.7,10.8,23799507.141888
2022-01-17T12:00:00,10.8,10.9,10.3,10.5,181180868.196015
2022-01-17T16:00:00,10.5,10.6,10.4,10.6,21835230.495237
2022-01-17T20:00:00,10.6,10.6,10.4,10.5,34904481.366117
2022-01-18T00:00:00,10.5,10.6,10.2,10.3,41415650.433038
2022-01-18T04:00:00,10.3,10.3,10.1,10.3,54837908.621862
2022-01-18T08:00:00,10.2,10.3,9.95,10,141095534.407539
2022-01-18T12:00:00,10,10.1,9.53,9.73,246615527.65479
2022-01-18T16:00:00,9.73,9.91,9.7,9.91,26177230.88283
2022-01-18T20:00:00,9.895,10.1,9.79,10,40036416.551245
2022-01-19T00:00:00,10,10.4,9.7,9.76,263250342.317909
2022-01-19T04:00:00,9.76,9.78,9.38,9.44,109780366.253038
2022-01-19T08:00:00,9.44,9.77,9.39,9.7,105822688.76772
2022-01-19T12:00:00,9.71,10,9.66,9.72,80728394.930714
2022-01-19T16:00:00,9.72,9.96,9.65,9.95,29606325.751316
2022-01-19T20:00:00,9.91,9.99,9.75,9.75,32517083.186459
2022-01-20T00:00:00,9.75,9.95,9.65,9.89,53970445.626592
2022-01-20T04:00:00,9.89,9.94,9.74,9.83,31713022.91374
2022-01-20T08:00:00,9.84,9.9,9.73,9.78,32832790.701846
2022-01-20T12:00:00,9.77,10.2,9.74,10.1,138497654.073938
2022-01-20T16:00:00,10.1,10.2,10,10.1,24151759.480033
2022-01-20T20:00:00,10.1,10.2,9.51,9.54,99203650.086422
2022-01-21T00:00:00,9.54,9.71,8.81,8.95,430056610.968463
2022-01-21T04:00:00,8.92,9.05,8.85,9.03,229092210.791396
2022-01-21T08:00:00,9.02,9.08,8.94,9,63261213.534494
2022-01-21T12:00:00,9.01,9.01,8.64,8.86,176454279.095752
2022-01-21T16:00:00,8.86,8.99,8.83,8.86,23010274.408383
2022-01-21T20:00:00,8.885,8.93,8.09,8.19,160916022.980613
2022-01-22T00:00:00,8.2,8.26,7.94,8.01,213036712.548895
2022-01-22T04:00:00,8.01,8.74,7.27,7.28,389081579.660648
2022-01-22T08:00:00,7.28,7.56,6.56,7.23,311806691.912831
2022-01-22T12:00:00,7.23,7.61,7.13,7.25,176806260.726808
2022-01-22T16:00:00,7.23,7.39,7.15,7.2,22329208.25289
2022-01-22T20:00:00,7.2,7.45,7.12,7.4,28493178.338779
2022-01-23T00:00:00,7.4,8.44,7.38,7.63,977456608.844769
2022-01-23T04:00:00,7.63,7.77,7.53,7.69,69255221.342628
2022-01-23T08:00:00,7.69,7.85,7.67,7.75,44830629.467575
2022-01-23T12:00:00,7.78,7.84,7.38,7.58,100454104.104286
2022-01-23T16:00:00,7.58,7.63,7.3,7.41,41699693.447964
2022-01-23T20:00:00,7.4,7.73,7.33,7.68,43039086.531723
2022-01-24T00:00:00,7.68,7.72,7.23,7.3,96850249.997556
2022-01-24T04:00:00,7.3,7.39,7.12,7.16,88628349.860332
2022-01-24T08:00:00,7.16,7.6,6.7,6.99,248198565.333261
2022-01-24T12:00:00,6.99,7.08,6.81,7.08,60554314.754763
2022-01-24T16:00:00,7.08,7.35,7,7.255,32294228.991264
2022-01-24T20:00:00,7.23,7.45,7.23,7.35,32469654.111819
2022-01-25T00:00:00,7.35,7.37,7.04,7.21,71958645.246726
2022-01-25T04:00:00,7.2,7.21,6.95,7.01,48182262.125457
2022-01-25T08:00:00,7.01,7.23,7.01,7.13,49735931.687579
2022-01-25T12:00:00,7.16,7.25,7.07,7.14,62631391.130293
2022-01-25T16:00:00,7.14,7.4,7.14,7.28,24572122.454562
2022-01-25T20:00:00,7.27,7.36,7.27,7.32,30475600.001519
2022-01-26T00:00:00,7.32,8.1,7.26,7.83,634901750.164183
2022-01-26T04:00:00,7.84,9.1,7.79,8.11,1888061138.462829
2022-01-26T08:00:00,8.11,8.24,7.94,8.13,441000212.54629
2022-01-26T12:00:00,8.13,8.45,8,8.06,840944048.565137
2022-01-26T16:00:00,8.04,8.31,7.83,8.2,132400907.555394
2022-01-26T20:00:00,8.19,8.36,7.79,8.07,318410667.667656
2022-01-27T00:00:00,8.08,8.45,7.91,8.01,371813254.02483
2022-01-27T04:00:00,8.02,8.31,8.01,8.26,117271354.474923
2022-01-27T08:00:00,8.26,8.3,7.92,8.06,351903803.750029
2022-01-27T12:00:00,8.05,8.19,8.01,8.07,138446860.997872
2022-01-27T16:00:00,8.07,8.09,8.02,8.07,27912201.527182
2022-01-27T20:00:00,8.04,8.13,7.94,8.12,61930298.319858
2022-01-28T00:00:00,8.11,8.16,8,8.09,113266815.653201
2022-01-28T04:00:00,8.09,8.12,8.02,8.02,107001821.970454
2022-01-28T08:00:00,8.02,8.05,7.95,7.99,146451375.970049
2022-01-28T12:00:00,7.99,8.11,7.78,8.07,175486971.364124
2022-01-28T16:00:00,8.07,8.13,8.02,8.09,38588407.868944
2022-01-28T20:00:00,8.1,8.26,8.07,8.23,71538659.365547
2022-01-29T00:00:00,8.23,8.34,8.13,8.26,154437577.743618
2022-01-29T04:00:00,8.26,8.32,8.21,8.29,71285009.737366
2022-01-29T08:00:00,8.31,8.31,8.14,8.26,70601953.708972
2022-01-29T12:00:00,8.25,8.33,8.1,8.17,113617286.951271
2022-01-29T16:00:00,8.17,8.28,8.14,8.28,25009273.106395
2022-01-29T20:00:00,8.28,8.35,8.23,8.31,27085733.513442
2022-01-30T00:00:00,8.32,8.39,8.2,8.31,145311822.954918
2022-01-30T04:00:00,8.32,8.36,8.3,8.36,29397945.653546
2022-01-30T08:00:00,8.36,8.41,8.26,8.33,51239857.32366
2022-01-30T12:00:00,8.33,8.36,8.19,8.25,60536121.397848
2022-01-30T16:00:00,8.23,8.27,8.15,8.17,14586221.376724
2022-01-30T20:00:00,8.18,8.31,8.18,8.27,17166618.048867
2022-01-31T00:00:00,8.27,8.9,8,8.31,888846279.360704
2022-01-31T04:00:00,8.31,8.31,8.2,8.25,60338776.976895
2022-01-31T08:00:00,8.25,8.34,8.15,8.21,38969677.818382
2022-01-31T12:00:00,8.21,8.35,8.09,8.24,89571373.657842
2022-01-31T16:00:00,8.24,8.49,8.2,8.44,50334657.248991
2022-01-31T20:00:00,8.48,8.49,8.27,8.36,40786145.362453
2022-02-01T00:00:00,8.33,8.33,8.11,8.28,168435405.253713
2022-02-01T04:00:00,8.28,8.33,8.22,8.25,42505860.884464
2022-02-01T08:00:00,8.28,8.35,8.19,8.24,58090209.304883
2022-02-01T12:00:00,8.25,8.34,8.21,8.27,57394864.895412
2022-02-01T16:00:00,8.27,8.32,8.25,8.276667,29104224.089943
2022-02-01T20:00:00,8.273333,8.32,8.26,8.31,30492247.826229
2022-02-02T00:00:00,8.3,8.32,8.2,8.24,63460684.499013
2022-02-02T04:00:00,8.26,8.32,8.23,8.31,53528185.714089
2022-02-02T08:00:00,8.3,9.14,8.29,8.47,1010604260.796665
2022-02-02T12:00:00,8.46,9.19,8.3,8.45,885629880.090715
2022-02-02T16:00:00,8.44,8.68,8.33,8.57,101171537.465455
2022-02-02T20:00:00,8.57,8.57,8.22,8.24,82526645.987773
2022-02-03T00:00:00,8.24,9.15,8.2,8.56,1149390643.374365
2022-02-03T04:00:00,8.57,9.37,8.56,8.79,1281525681.050594
2022-02-03T08:00:00,8.78,9.53,8.36,8.61,1446839461.500486
2022-02-03T12:00:00,8.61,8.74,8.46,8.53,213796591.013891
2022-02-03T16:00:00,8.53,8.73,8.49,8.57,41921948.474269
2022-02-03T20:00:00,8.56,8.7,8.56,8.68,46821046.050793
2022-02-04T00:00:00,8.68,8.83,8.55,8.63,148849860.601506
2022-02-04T04:00:00,8.63,8.73,8.53,8.72,119041494.06422
2022-02-04T08:00:00,8.71,8.95,8.7,8.84,184715672.087917
2022-02-04T12:00:00,8.84,8.93,8.65,8.92,126657283.924772
2022-02-04T16:00:00,8.92,9.06,8.89,9.04,47675333.270553
2022-02-04T20:00:00,9.04,9.28,9.01,9.23,79880892.948348
2022-02-05T00:00:00,9.23,10.3,9.23,9.99,1996740418.586875
2022-02-05T04:00:00,9.99,10.1,9.75,9.75,550282463.199579
2022-02-05T08:00:00,9.76,9.93,9.71,9.9,259201714.363897
2022-02-05T12:00:00,9.89,9.99,9.82,9.83,248332102.072066
2022-02-05T16:00:00,9.83,9.87,9.58,9.85,86382428.180255
2022-02-05T20:00:00,9.85,9.87,9.79,9.84,30655924.878436
2022-02-06T00:00:00,9.84,9.87,9.72,9.81,176165809.728982
2022-02-06T04:00:00,9.81,9.83,9.59,9.68,106878611.65122
2022-02-06T08:00:00,9.67,9.83,9.6,9.63,61633325.447952
2022-02-06T12:00:00,9.62,9.7,9.37,9.5,111922421.321796
2022-02-06T16:00:00,9.53,9.7,9.48,9.61,22895967.765186
2022-02-06T20:00:00,9.6,9.83,9.58,9.78,57149959.038847
2022-02-07T00:00:00,9.79,9.87,9.58,9.72,161795276.600841
2022-02-07T04:00:00,9.72,9.84,9.7,9.74,80925833.687093
2022-02-07T08:00:00,9.73,9.79,9.55,9.72,66733858.395116
2022-02-07T12:00:00,9.7,10.1,9.64,10,161751178.49377
2022-02-07T16:00:00,10.1,10.1,9.78,9.96,91260664.642739
2022-02-07T20:00:00,9.96,10.1,9.95,10.1,67367532.713985
2022-02-08T00:00:00,10.1,10.2,9.84,10,189120439.138187
2022-02-08T04:00:00,10,10.1,9.62,9.72,189357904.807286
2022-02-08T08:00:00,9.72,9.74,9.2,9.58,288033208.131329
2022-02-08T12:00:00,9.59,9.59,9.34,9.5,79062117.787302
2022-02-08T16:00:00,9.5,9.56,9.41,9.56,16877330.061766
2022-02-08T20:00:00,9.56,9.82,9.55,9.76,42618907.375302
2022-02-09T00:00:00,9.76,9.88,9.41,9.47,95676534.74197
2022-02-09T04:00:00,9.47,9.57,9.42,9.51,32683958.154654
2022-02-09T08:00:00,9.51,9.57,9.35,9.53,73107619.653908
2022-02-09T12:00:00,9.53,9.67,9.49,9.59,50319618.818009
2022-02-09T16:00:00,9.59,9.69,9.57,9.68,16676972.476799
2022-02-09T20:00:00,9.69,9.84,9.65,9.77,69297024.81798
2022-02-10T00:00:00,9.78,9.78,9.47,9.51,96927613.806088
2022-02-10T04:00:00,9.51,9.57,9.44,9.51,35907753.752721
2022-02-10T08:00:00,9.54,9.73,9.5,9.61,67458010.348563
2022-02-10T12:00:00,9.61,9.72,9.31,9.47,151084129.552256
2022-02-10T16:00:00,9.49,9.64,9.49,9.49,28850161.286402
2022-02-10T20:00:00,9.5,9.64,9.35,9.39,31198163.04366
2022-02-11T00:00:00,9.38,9.45,9.21,9.31,65835724.841616
2022-02-11T04:00:00,9.31,9.33,9.21,9.33,33179550.197448
2022-02-11T08:00:00,9.32,9.35,9.27,9.31,24035406.654406
2022-02-11T12:00:00,9.3,9.93,9.28,9.57,646757640.056197
2022-02-11T16:00:00,9.57,9.6,9.34,9.42,89285208.607992
2022-02-11T20:00:00,9.42,9.47,8.51,8.94,145763449.610927
2022-02-12T00:00:00,8.94,9.99,8.77,9.62,2714886947.736441
2022-02-12T04:00:00,9.62,9.98,9.41,9.53,1302879373.161815
2022-02-12T08:00:00,9.53,9.71,9.1,9.29,634349544.211599
2022-02-12T12:00:00,9.28,9.32,8.81,8.88,538814319.248245
2022-02-12T16:00:00,8.87,9.08,8.86,8.97,151235494.976707
2022-02-12T20:00:00,8.98,9.21,8.97,9.17,96463802.242967
2022-02-13T00:00:00,9.16,9.83,9.11,9.61,1904217124.003453
2022-02-13T04:00:00,9.61,9.72,9.42,9.49,378264790.749029
2022-02-13T08:00:00,9.49,9.49,9.25,9.27,303340979.992054
2022-02-13T12:00:00,9.26,9.33,9.16,9.21,157894919.820832
2022-02-13T16:00:00,9.21,11.233077,9.14,9.485385,5047290132.648392
2022-02-13T20:00:00,9.23,11.4,9.228462,9.73,1805068685.213124
2022-02-14T00:00:00,9.86,10.1,9.09,9.55,998861512.199754
2022-02-14T04:00:00,9.57,9.64,9.32,9.37,200369775.534327
2022-02-14T08:00:00,9.37,9.47,9.3,9.37,73906933.468166
2022-02-14T12:00:00,9.37,9.82,9.37,9.5,273664168.737593
2022-02-14T16:00:00,9.49,9.57,9.45,9.49,19727806.902634
2022-02-14T20:00:00,9.51,9.63,9.49,9.51,70288727.59776
2022-02-15T00:00:00,9.52,9.65,9.35,9.54,231313490.418729
2022-02-15T04:00:00,9.54,9.57,9.46,9.52,77770383.937149
2022-02-15T08:00:00,9.52,9.88,9.52,9.78,394272896.099191
2022-02-15T12:00:00,9.77,9.84,9.65,9.73,187571049.299216
2022-02-15T16:00:00,9.73,9.77,9.65,9.74,37318712.138224
2022-02-15T20:00:00,9.74,10.1,9.72,10.1,154439094.838026
2022-02-16T00:00:00,10,10.1,9.83,9.87,270985198.806216
2022-02-16T04:00:00,9.88,9.94,9.69,9.9,190164901.115652
2022-02-16T08:00:00,9.9,9.98,9.86,9.92,115508076.222935
2022-02-16T12:00:00,9.92,9.92,9.67,9.74,112330151.585629
2022-02-16T16:00:00,9.73,9.84,9.71,9.84,19443718.215668
2022-02-16T20:00:00,9.83,9.91,9.81,9.87,56812747.655343
2022-02-17T00:00:00,9.86,9.95,9.65,9.65,173463805.388422
2022-02-17T04:00:00,9.65,9.73,9.35,9.66,196982185.539318
2022-02-17T08:00:00,9.67,9.7,9.42,9.47,98493119.955148
2022-02-17T12:00:00,9.48,9.56,9.3,9.44,158022435.932412
2022-02-17T16:00:00,9.44,9.54,9.35,9.37,30032676.701751
2022-02-17T20:00:00,9.37,9.4,8.94,9,127352112.619487
2022-02-18T00:00:00,9,9.7,9,9.11,908273749.370691
2022-02-18T04:00:00,9.11,9.17,9.04,9.13,84148536.249533
2022-02-18T08:00:00,9.13,9.18,8.78,8.85,173901031.06893
2022-02-18T12:00:00,8.87,9,8.83,8.86,89970058.822564
2022-02-18T16:00:00,8.87,8.96,8.85,8.9,19074708.715259
2022-02-18T20:00:00,8.9,9.06,8.87,9.05,38633345.318284
2022-02-19T00:00:00,9.05,9.51,8.97,9.02,531489152.690714
2022-02-19T04:00:00,9,9.05,8.96,9,37032503.317841
2022-02-19T08:00:00,9,9.03,8.6,8.66,153726069.047441
2022-02-19T12:00:00,8.66,8.78,8.61,8.69,51754102.368272
2022-02-19T16:00:00,8.69,8.88,8.68,8.82,30454911.625139
2022-02-19T20:00:00,8.82,9.02,8.75,8.99,38516219.771298
2022-02-20T00:00:00,8.99,9,8.68,8.71,101436230.94293
2022-02-20T04:00:00,8.71,8.71,8.35,8.46,139406407.336114
2022-02-20T08:00:00,8.46,8.46,8.29,8.4,85878216.04022
2022-02-20T12:00:00,8.4,8.46,8.27,8.37,52604444.298098
2022-02-20T16:00:00,8.36,8.45,8.31,8.445,12967725.533315
2022-02-20T20:00:00,8.45,8.6,8.3,8.53,30338049.38584
2022-02-21T00:00:00,8.48,8.68,8.37,8.59,155483365.521893
2022-02-21T04:00:00,8.59,8.74,8.57,8.65,49733111.283602
2022-02-21T08:00:00,8.65,8.72,8.35,8.42,89224292.288172
2022-02-21T12:00:00,8.41,8.42,8.09,8.37,166256206.09127
2022-02-21T16:00:00,8.4,8.47,8.35,8.41,18679231.861384
2022-02-21T20:00:00,8.41,8.46,7.71,7.82,92151621.116473
2022-02-22T00:00:00,7.84,9.27,7.71,7.89,4557673335.426979
2022-02-22T04:00:00,7.89,8.16,7.83,7.94,709991579.564732
2022-02-22T08:00:00,7.93,8.34,7.9,8.07,805453322.686303
2022-02-22T12:00:00,8.07,8.35,8.02,8.06,620994546.496215
2022-02-22T16:00:00,8.06,8.15,8.03,8.06,38233049.241427
2022-02-22T20:00:00,8.06,8.22,8.04,8.18,155761765.634038
2022-02-23T00:00:00,8.19,8.32,8.02,8.03,312908942.336636
2022-02-23T04:00:00,8.03,8.16,8.02,8.16,107639550.335345
2022-02-23T08:00:00,8.16,8.3,8.13,8.2,204108893.318532
2022-02-23T12:00:00,8.2,8.3,8.07,8.1,156044396.741379
2022-02-23T16:00:00,8.09,8.2,8.07,8.1,26213504.862055
2022-02-23T20:00:00,8.09,8.15,7.94,8.09,87911759.700095
2022-02-24T00:00:00,8.09,8.17,7.29,7.3,342763649.545781
2022-02-24T04:00:00,7.3,7.5,7.16,7.32,200218100.267975
2022-02-24T08:00:00,7.32,8.09,7.3,7.45,647469105.487613
2022-02-24T12:00:00,7.45,7.52,7.36,7.5,81185333.590358
2022-02-24T16:00:00,7.5,7.7,7.44,7.7,44971833.88476
2022-02-24T20:00:00,7.7,8.05,7.7,8.03,187438471.141994
2022-02-25T00:00:00,8.03,8.14,7.79,7.98,209597139.037243
2022-02-25T04:00:00,7.99,8.05,7.79,7.89,93659173.549192
2022-02-25T08:00:00,7.89,8.16,7.78,8.13,176306271.739339
2022-02-25T12:00:00,8.12,8.5,8.09,8.28,357278546.638272
2022-02-25T16:00:00,8.28,8.31,8.21,8.21,40704498.920904
2022-02-25T20:00:00,8.21,8.52,8.2,8.5,81088220.59619
2022-02-26T00:00:00,8.51,8.98,8.51,8.66,905354413.242234
2022-02-26T04:00:00,8.67,8.78,8.52,8.75,145925132.430562
2022-02-26T08:00:00,8.74,9.73,8.63,9.24,2568038706.936724
