datetime,open,high,low,close,volume
2020-07-01T00:00:00,217,230,214,224,2724271.942787
2020-07-02T00:00:00,224,228,210,216,1790124.933992
2020-07-03T00:00:00,216,224,211,224,1252855.754215
2020-07-04T00:00:00,222,229,221,226,1039320.171854
2020-07-05T00:00:00,226,226,217,221,599772.765249
2020-07-06T00:00:00,221,223,216,222,1033304.830216
2020-07-07T00:00:00,221,226,219,224,895373.01779
2020-07-08T00:00:00,223,238,220,233,2450472.656426
2020-07-09T00:00:00,234,237,224,230,1433973.459853
2020-07-10T00:00:00,230,234,225,232,1048808.034341
2020-07-11T00:00:00,232,234,227,232,553914.031099
2020-07-12T00:00:00,231,233,227,230,573535.964074
2020-07-13T00:00:00,231,232,223,227,995400.359906
2020-07-14T00:00:00,227,230,221,228,849981.431606
2020-07-15T00:00:00,229,229,223,226,621378.805154
2020-07-16T00:00:00,226,227,208,218,1308962.348019
2020-07-17T00:00:00,217,219,212,219,526235.766201
2020-07-18T00:00:00,219,224,214,222,461444.357601
2020-07-19T00:00:00,222,226,219,224,878997.285015
2020-07-20T00:00:00,224,230,223,229,1382692.428
2020-07-21T00:00:00,228,251,226,243,3734328.219135
2020-07-22T00:00:00,243,249,236,239,1408824.834788
2020-07-23T00:00:00,239,241,228,236,1384983.235311
2020-07-24T00:00:00,236,243,228,241,801892.138766
2020-07-25T00:00:00,241,246,237,241,792733.332042
2020-07-26T00:00:00,241,242,223,229,1513204.126968
2020-07-27T00:00:00,229,242,215,220,3423504.552611
2020-07-28T00:00:00,220,237,216,229,4372617.083286
2020-07-29T00:00:00,229,322,227,275,50599139.84075
2020-07-30T00:00:00,275,275,243,248,10117664.98206
2020-07-31T00:00:00,248,253,239,243,4501422.896673
2020-08-01T00:00:00,243,248,241,245,1890005.941082
2020-08-02T00:00:00,245,250,221,229,3533698.760826
2020-08-03T00:00:00,231,254,229,245,3512338.646816
2020-08-04T00:00:00,244,247,234,241,1505507.363127
2020-08-05T00:00:00,243,267,238,246,12662439.597913
2020-08-06T00:00:00,246,274,242,257,8091730.93778
2020-08-07T00:00:00,258,264,244,252,2220738.429958
2020-08-08T00:00:00,252,265,250,258,6397418.332515
2020-08-09T00:00:00,258,263,253,261,2202028.23512
2020-08-10T00:00:00,261,265,253,262,2802511.128309
2020-08-11T00:00:00,263,265,246,253,3239131.803872
2020-08-12T00:00:00,253,258,240,256,1735997.143465
2020-08-13T00:00:00,256,273,252,268,4433018.733627
2020-08-14T00:00:00,268,282,260,276,4526390.089184
2020-08-15T00:00:00,276,277,265,271,1221710.848044
2020-08-16T00:00:00,271,278,262,275,1836833.80419
2020-08-17T00:00:00,277,282,267,275,2408448.775647
