datetime,open,high,low,close,volume
2020-07-01T00:00:00,45.9,47.2,45.4,46.6,30374223.626795
2020-07-02T00:00:00,46.6,46.8,44.7,45.6,33801329.478155
2020-07-03T00:00:00,45.7,48.7,45.1,47.5,64604774.713026
2020-07-04T00:00:00,47.6,49.4,46.9,49.2,42155198.244653
2020-07-05T00:00:00,49.2,49.2,46.5,47.3,35644228.587353
2020-07-06T00:00:00,47.3,48.2,46.8,48,58884902.237012
2020-07-07T00:00:00,48,49.2,47,48.3,40904651.198494
2020-07-08T00:00:00,48.3,49.7,47.3,49.6,48284007.164944
2020-07-09T00:00:00,49.6,50.4,47.3,48.4,58001722.565706
2020-07-10T00:00:00,48.4,49.8,47.8,49.1,49607923.939675
2020-07-11T00:00:00,49.1,49.5,48.3,49.4,30593917.529653
2020-07-12T00:00:00,49.3,51.2,48,50.8,45354546.922602
2020-07-13T00:00:00,50.8,51.8,48.7,49.1,64761839.23117
2020-07-14T00:00:00,49,49.2,47.9,48.7,39647231.227188
2020-07-15T00:00:00,48.7,49.1,48,48.6,26252103.066998
2020-07-16T00:00:00,48.4,48.6,45.2,46.8,50260130.371134
2020-07-17T00:00:00,46.7,47.4,46.1,47.1,26030578.411615
2020-07-18T00:00:00,47.1,47.8,46.6,47.8,17062206.416736
2020-07-19T00:00:00,47.7,48.2,47,47.8,30542013.56009
2020-07-20T00:00:00,47.8,50.1,47.3,48.7,46303142.530672
2020-07-21T00:00:00,48.7,49.9,48.2,49.1,60910700.030306
2020-07-22T00:00:00,49.1,51.7,48.6,50,44947768.383131
2020-07-23T00:00:00,50,51.8,49.4,50.2,81278222.063359
2020-07-24T00:00:00,50.2,50.8,49.5,50.8,25664184.691396
2020-07-25T00:00:00,50.8,51.3,49.9,50.8,28688125.823996
2020-07-26T00:00:00,50.8,50.9,47.9,48.6,49011147.986795
2020-07-27T00:00:00,48.6,49.6,46.4,46.8,79037573.391364
2020-07-28T00:00:00,46.8,51.6,46.5,50.6,150129784.637595
