datetime,open,high,low,close,volume
2022-01-01T00:00:00,1040,1060,1030,1060,415833.417078
2022-01-01T04:00:00,1050,1060,1040,1060,284317.518278
2022-01-01T08:00:00,1060,1060,1040,1050,118117.694305
2022-01-01T12:00:00,1040,1050,1040,1050,120919.623582
2022-01-01T16:00:00,1050,1060,1050,1060,154809.495321
2022-01-01T20:00:00,1050,1060,1050,1060,85635.117407
2022-01-02T00:00:00,1050,1070,1050,1070,331991.089847
2022-01-02T04:00:00,1070,1070,1050,1060,337333.850375
2022-01-02T08:00:00,1070,1120,1060,1110,1728116.480375
2022-01-02T12:00:00,1110,1390,1100,1200,19161184.822393
2022-01-02T16:00:00,1200,1220,1140,1160,2119538.401233
2022-01-02T20:00:00,1150,1180,1140,1160,929595.667627
2022-01-03T00:00:00,1160,1250,1130,1230,5476112.05539
2022-01-03T04:00:00,1240,1250,1180,1200,2285591.601136
2022-01-03T08:00:00,1190,1210,1160,1180,1473864.436331
2022-01-03T12:00:00,1180,1210,1160,1160,1195956.487881
2022-01-03T16:00:00,1160,1170,1140,1140,648597.458966
2022-01-03T20:00:00,1140,1170,1130,1160,694127.10566
2022-01-04T00:00:00,1160,1180,1110,1130,1216030.844138
2022-01-04T04:00:00,1130,1140,1110,1130,478968.747009
2022-01-04T08:00:00,1130,1150,1120,1140,380919.366392
2022-01-04T12:00:00,1150,1150,1120,1130,545876.010906
2022-01-04T16:00:00,1140,1140,1110,1125,197525.004916
2022-01-04T20:00:00,1120,1140,1120,1120,120480.283455
2022-01-05T00:00:00,1130,1150,1100,1140,961345.715617
2022-01-05T04:00:00,1140,1140,1120,1130,226444.763955
2022-01-05T08:00:00,1140,1140,1130,1140,230637.783616
2022-01-05T12:00:00,1140,1160,1130,1150,469502.160139
2022-01-05T16:00:00,1150,1150,1120,1130,237411.591114
2022-01-05T20:00:00,1130,1130,999,1040,1985445.639238
2022-01-06T00:00:00,1040,1070,1020,1030,1209240.327414
2022-01-06T04:00:00,1030,1050,1010,1040,616140.454279
2022-01-06T08:00:00,1050,1050,1020,1020,413330.922181
2022-01-06T12:00:00,1030,1050,1020,1040,437918.986952
2022-01-06T16:00:00,1040,1050,1030,1050,225610.237457
2022-01-06T20:00:00,1040,1050,1030,1040,106562.445093
2022-01-07T00:00:00,1040,1050,1000,1010,775700.31071
2022-01-07T04:00:00,1010,1020,971,1010,1440043.262638
2022-01-07T08:00:00,1000,1020,1000,1010,525206.67861
2022-01-07T12:00:00,1000,1020,986,997,524133.670895
2022-01-07T16:00:00,1000,1010,988,994,252416.976016
2022-01-07T20:00:00,993,1010,988,1010,119669.722924
2022-01-08T00:00:00,1010,1020,1000,1010,319219.065249
2022-01-08T04:00:00,1010,1010,1000,1000,82380.863986
2022-01-08T08:00:00,1010,1020,1000,1010,141847.490468
2022-01-08T12:00:00,1010,1010,1000,1000,161520.839783
2022-01-08T16:00:00,1010,1010,960,969,503033.923447
2022-01-08T20:00:00,973,1010,969,999,153452.628992
2022-01-09T00:00:00,999,1010,990,998,335379.173975
2022-01-09T04:00:00,997,1010,997,1000,189905.298983
2022-01-09T08:00:00,1010,1010,996,1010,163489.674942
2022-01-09T12:00:00,1010,1010,990,991,269968.995068
2022-01-09T16:00:00,991,1010,991,998,237975.723659
2022-01-09T20:00:00,1000,1010,996,1000,177274.210406
2022-01-10T00:00:00,998,1010,994,1000,337357.849062
2022-01-10T04:00:00,1010,1010,992,994,246868.720524
2022-01-10T08:00:00,994,996,980,982,379708.075267
2022-01-10T12:00:00,980,980,913,937,1396368.92708
2022-01-10T16:00:00,933,965,932,954.5,218370.458284
2022-01-10T20:00:00,958,965,951,951,253099.372406
2022-01-11T00:00:00,951,1120,920,939,19218711.222387
2022-01-11T04:00:00,938,941,915,922,2056814.373544
2022-01-11T08:00:00,923,935,910,920,1151777.500774
2022-01-11T12:00:00,920,931,916,925,609520.705966
2022-01-11T16:00:00,926,963,925,963,866392.75485
2022-01-11T20:00:00,963,983,951,982,896330.041859
2022-01-12T00:00:00,982,992,950,951,1675320.337547
2022-01-12T04:00:00,951,958,946,951,463072.480047
2022-01-12T08:00:00,951,966,950,964,647550.029378
2022-01-12T12:00:00,964,1020,962,999,2476550.200358
2022-01-12T16:00:00,999,1010,991,1000,228834.966971
2022-01-12T20:00:00,1010,1020,999,1010,824272.083967
2022-01-13T00:00:00,1000,1020,990,1000,1605460.307014
2022-01-13T04:00:00,1000,1020,1000,1010,537255.561646
2022-01-13T08:00:00,1010,1020,997,1000,610820.872618
2022-01-13T12:00:00,1000,1010,975,986,930501.520345
