datetime,open,high,low,close,volume
2022-01-01T00:00:00,1835,1865,1820,1845,1209808.151849
2022-01-01T04:00:00,1840,1855,1820,1840,1108062.719078
2022-01-01T08:00:00,1840,1845,1815,1815,569278.069229
2022-01-01T12:00:00,1820,1835,1815,1825,859429.260559
2022-01-01T16:00:00,1825,1840,1820,1830,440443.982803
2022-01-01T20:00:00,1840,1860,1835,1855,543161.538515
2022-01-02T00:00:00,1855,1925,1830,1895,3797977.93863
2022-01-02T04:00:00,1890,1900,1845,1890,1805931.266534
2022-01-02T08:00:00,1890,2050,1890,1985,15434029.274743
2022-01-02T12:00:00,1990,2160,1965,1995,23714426.404673
2022-01-02T16:00:00,1995,2040,1980,1995,1855291.500532
2022-01-02T20:00:00,1995,2130,1990,2100,3911613.965513
2022-01-03T00:00:00,2105,2140,2010,2065,12067414.185642
2022-01-03T04:00:00,2065,2125,2035,2100,5408540.32944
2022-01-03T08:00:00,2095,2100,1980,2000,5476356.27498
2022-01-03T12:00:00,2005,2025,1990,2000,1788865.629247
2022-01-03T16:00:00,2000,2005,1950,1975,1732589.522685
2022-01-03T20:00:00,1970,2010,1925,1990,2516039.58257
2022-01-04T00:00:00,1995,2045,1905,1930,7519863.247872
2022-01-04T04:00:00,1930,1955,1910,1955,1444068.131343
2022-01-04T08:00:00,1955,1985,1945,1975,1615492.286122
2022-01-04T12:00:00,1975,1980,1925,1950,1976476.646964
2022-01-04T16:00:00,1945,1965,1930,1935,543775.365107
2022-01-04T20:00:00,1935,1970,1930,1950,842127.735694
2022-01-05T00:00:00,1950,2105,1950,1995,18071852.302313
2022-01-05T04:00:00,1995,2055,1995,2000,3464645.210162
2022-01-05T08:00:00,2000,2025,1990,2000,2393641.502943
2022-01-05T12:00:00,2000,2055,2000,2020,2684745.42799
2022-01-05T16:00:00,2015,2020,1950,1955,1179407.168662
2022-01-05T20:00:00,1955,1980,1715,1880,6816192.5539
2022-01-06T00:00:00,1880,1985,1730,1750,6559226.102731
2022-01-06T04:00:00,1750,1800,1735,1800,1806860.163551
2022-01-06T08:00:00,1800,1800,1730,1750,1726250.007154
2022-01-06T12:00:00,1755,1820,1730,1785,3514309.533608
2022-01-06T16:00:00,1785,1810,1765,1810,477970.148535
2022-01-06T20:00:00,1810,1845,1795,1835,889560.316331
2022-01-07T00:00:00,1835,1870,1710,1715,3524416.50302
2022-01-07T04:00:00,1715,1735,1665,1720,2560193.104834
2022-01-07T08:00:00,1720,1760,1710,1720,1518291.582575
2022-01-07T12:00:00,1720,1750,1685,1720,1790741.551749
2022-01-07T16:00:00,1720,1735,1670,1690,1283779.733136
2022-01-07T20:00:00,1685,1700,1670,1690,751141.334092
2022-01-08T00:00:00,1685,1725,1665,1700,3872579.506478
2022-01-08T04:00:00,1695,1705,1690,1700,877451.061991
2022-01-08T08:00:00,1700,1715,1680,1695,873991.167308
2022-01-08T12:00:00,1700,1700,1630,1640,1339369.212128
2022-01-08T16:00:00,1640,1650,1590,1595,1667158.772281
2022-01-08T20:00:00,1595,1680,1590,1655,1081626.606113
2022-01-09T00:00:00,1655,1680,1605,1650,1698451.541875
2022-01-09T04:00:00,1655,1720,1650,1695,2301582.539629
2022-01-09T08:00:00,1695,1695,1610,1640,2630395.795543
2022-01-09T12:00:00,1645,1650,1590,1600,1006146.192033
2022-01-09T16:00:00,1605,1670,1600,1655,429604.441292
2022-01-09T20:00:00,1660,1675,1640,1645,698538.180513
2022-01-10T00:00:00,1655,1740,1645,1700,9665737.303463
2022-01-10T04:00:00,1700,1720,1680,1690,2389982.244987
2022-01-10T08:00:00,1680,1690,1580,1585,4080493.702295
2022-01-10T12:00:00,1585,1595,1445,1510,7158465.541882
2022-01-10T16:00:00,1510,1555,1485,1510,1566214.041755
2022-01-10T20:00:00,1510,1570,1500,1555,1003839.381534
2022-01-11T00:00:00,1560,1580,1495,1535,3331720.024728
