datetime,open,high,low,close,volume
2022-01-01T00:00:00,905,913,899,909,1076079.320061
2022-01-01T04:00:00,908,911,903,907,832028.137247
2022-01-01T08:00:00,908,911,900,901,783355.591621
2022-01-01T12:00:00,902,906,899,904,619756.21959
2022-01-01T16:00:00,904,911,903,908.5,497497.861096
2022-01-01T20:00:00,907,913,907,913,615827.56275
2022-01-02T00:00:00,913,980,905,941,14560957.96405
2022-01-02T04:00:00,941,954,924,953,5503323.613451
2022-01-02T08:00:00,959,1000,951,986,28122665.378964
2022-01-02T12:00:00,986,1095,978,993,37895156.787971
2022-01-02T16:00:00,994,1010,990,995,3095998.7285
2022-01-02T20:00:00,996,1035,996,1025,3686981.081476
2022-01-03T00:00:00,1025,1035,993,1020,7992453.659122
2022-01-03T04:00:00,1020,1030,1010,1025,2598133.582951
2022-01-03T08:00:00,1025,1030,980,998,4605137.201238
2022-01-03T12:00:00,998,1010,990,992,1723939.102518
2022-01-03T16:00:00,992,997,977,990,1467367.158427
2022-01-03T20:00:00,991,996,970,984,1687397.722588
2022-01-04T00:00:00,985,1025,966,980,8085745.46201
2022-01-04T04:00:00,980,988,961,986,1672375.258073
2022-01-04T08:00:00,986,1005,978,994,3304734.307303
2022-01-04T12:00:00,994,998,972,982,2408272.296488
2022-01-04T16:00:00,982,991,973,981,666826.093809
2022-01-04T20:00:00,977,1005,975,998,2034339.109772
2022-01-05T00:00:00,998,1345,997,1020,142879671.733417
2022-01-05T04:00:00,1015,1025,1005,1010,6917879.659157
2022-01-05T08:00:00,1010,1025,1010,1015,6569651.563812
2022-01-05T12:00:00,1015,1020,998,1005,10231498.292137
2022-01-05T16:00:00,1005,1010,980,981,3288416.639822
2022-01-05T20:00:00,981,990,906,965,17498264.159149
2022-01-06T00:00:00,965,973,896,897,14664504.067617
2022-01-06T04:00:00,897,918,892,915,3367841.42315
2022-01-06T08:00:00,916,917,894,899,3391042.285464
2022-01-06T12:00:00,900,925,894,911,5507619.713554
2022-01-06T16:00:00,912,922,907,920,994529.81312
2022-01-06T20:00:00,922,934,920,930,2064648.57812
2022-01-07T00:00:00,929,931,883,891,5372745.064533
2022-01-07T04:00:00,891,898,852,871,5163124.063572
2022-01-07T08:00:00,872,895,872,890,1786189.867
2022-01-07T12:00:00,890,899,874,884,2156044.502236
2022-01-07T16:00:00,887,897,876,890,546863.708095
2022-01-07T20:00:00,890,901,886,897,992185.688948
2022-01-08T00:00:00,898,944,887,891,22717330.645151
2022-01-08T04:00:00,891,905,891,898,1422419.848322
2022-01-08T08:00:00,900,905,896,900,1548620.971892
2022-01-08T12:00:00,900,903,889,889,1679839.114751
2022-01-08T16:00:00,889,893,876,889,1464309.922601
2022-01-08T20:00:00,889,932,885,932,3175391.306428
2022-01-09T00:00:00,932,935,893,906,5475408.541443
2022-01-09T04:00:00,906,929,904,917,4242205.639468
2022-01-09T08:00:00,916,930,894,907,3183881.182448
2022-01-09T12:00:00,906,908,894,897,1424597.29178
2022-01-09T16:00:00,898,914,895,914,818664.336994
2022-01-09T20:00:00,914,921,910,919,1333307.240098
2022-01-10T00:00:00,918,923,899,907,4326322.698973
2022-01-10T04:00:00,907,919,902,906,1610005.910882
2022-01-10T08:00:00,906,907,868,869,4179114.44575
2022-01-10T12:00:00,869,873,805,843,6491317.20949
2022-01-10T16:00:00,843,869,842,858,1404483.785246
2022-01-10T20:00:00,858,873,851,873,1019967.753338
2022-01-11T00:00:00,873,873,842,857,3045027.636858
2022-01-11T04:00:00,857,860,821,829,3701786.563373
2022-01-11T08:00:00,829,845,820,829,1603104.680663
2022-01-11T12:00:00,829,840,825,834,1429043.186246
2022-01-11T16:00:00,834,871,833,871,1736573.48621
2022-01-11T20:00:00,871,896,869,893,2357997.472453
2022-01-12T00:00:00,894,898,864,865,3876550.650171
2022-01-12T04:00:00,866,875,865,867,925553.137105
2022-01-12T08:00:00,867,880,867,876,1308488.09211
2022-01-12T12:00:00,876,914,875,904,7202582.964264
2022-01-12T16:00:00,903,913,901,910,930130.308424
2022-01-12T20:00:00,910,926,907,925,2122582.43128
2022-01-13T00:00:00,925,925,897,907,4164087.429965
2022-01-13T04:00:00,906,914,905,909,1033903.274078
2022-01-13T08:00:00,909,918,903,903,1287726.554283
2022-01-13T12:00:00,903,917,891,900,2430938.006317
2022-01-13T16:00:00,900,903,888,896,876775.335203
2022-01-13T20:00:00,897,903,881,893,1565223.98852
2022-01-14T00:00:00,894,913,879,888,6115588.41324
2022-01-14T04:00:00,888,893,880,885,1855812.793468
2022-01-14T08:00:00,885,893,870,879,1972198.522848
2022-01-14T12:00:00,879,894,873,889,1021222.898538
2022-01-14T16:00:00,889,895,887,893,550063.979989
2022-01-14T20:00:00,894,909,892,907,1462093.159705
2022-01-15T00:00:00,912,935,895,896,13563962.410839
2022-01-15T04:00:00,896,918,892,903,5774631.067714
2022-01-15T08:00:00,903,906,900,901,896890.479379
2022-01-15T12:00:00,901,906,894,906,1241213.969871
2022-01-15T16:00:00,907,912,904,911,671344.597703
2022-01-15T20:00:00,911,917,907,916,1112034.218639
2022-01-16T00:00:00,915,917,900,903,2627700.83398
2022-01-16T04:00:00,903,906,901,905,688324.697945
2022-01-16T08:00:00,905,907,900,902,768317.247265
2022-01-16T12:00:00,902,906,896,903,1240206.343608
2022-01-16T16:00:00,904,908,902,903,497950.914894
2022-01-16T20:00:00,902,908,902,906,713025.730581
2022-01-17T00:00:00,910,911,886,887,2433114.883532
2022-01-17T04:00:00,888,890,877,881,1501422.072553
2022-01-17T08:00:00,881,885,879,881,516261.82636
2022-01-17T12:00:00,881,882,873,873,975777.469494
2022-01-17T16:00:00,873,887,870,880,568984.288434
2022-01-17T20:00:00,882,886,870,883,676166.61794
2022-01-18T00:00:00,883,883,860,860,1798255.637785
2022-01-18T04:00:00,860,861,843,848,1557863.675892
2022-01-18T08:00:00,848,849,834,838,1281351.313751
2022-01-18T12:00:00,838,847,822,844,2057200.131466
2022-01-18T16:00:00,843,849,840,845,432226.624946
2022-01-18T20:00:00,845.5,863,844,859,882727.579964
2022-01-19T00:00:00,859,859,825,830,1699584.2927
2022-01-19T04:00:00,831,836,815,819,1218879.773866
2022-01-19T08:00:00,819,837,815,835,944039.382482
2022-01-19T12:00:00,835,849,831,838,848237.194062
2022-01-19T16:00:00,838,848,835,846,419104.466
2022-01-19T20:00:00,848,848,831,834,504194.198157
2022-01-20T00:00:00,834,839,825,834,1024078.865568
2022-01-20T04:00:00,833,868,833,845,2500242.207316
2022-01-20T08:00:00,844,850,834,845,544171.273948
2022-01-20T12:00:00,845,862,842,857,1143173.117592
2022-01-20T16:00:00,858,861,855,857,441887.119268
2022-01-20T20:00:00,857,857,820,825,1533584.124121
2022-01-21T00:00:00,825,846,802,803,4823382.279705
2022-01-21T04:00:00,803,818,801,811,996333.498284
