datetime,open,high,low,close,volume
2022-01-01T00:00:00,38.4,38.9,38.4,38.5,7755277.685463
2022-01-01T04:00:00,38.6,39.2,38.3,38.9,8506249.287674
2022-01-01T08:00:00,38.9,38.9,38.3,38.6,4359878.499571
2022-01-01T12:00:00,38.5,39.3,38.5,39.2,6041961.241131
2022-01-01T16:00:00,39.3,39.5,39.1,39.2,3055831.897209
2022-01-01T20:00:00,39.3,39.9,39.1,39.8,5154370.239659
2022-01-02T00:00:00,39.9,41.5,39.4,39.9,111153954.354887
2022-01-02T04:00:00,39.9,40.5,39.5,39.9,50208262.14216
2022-01-02T08:00:00,39.9,40.8,39.7,40.6,45414662.022337
2022-01-02T12:00:00,40.6,42.6,40.3,41.4,76113914.874749
2022-01-02T16:00:00,41.5,42.2,41.1,41.7,11764184.240746
2022-01-02T20:00:00,41.6,41.9,41.4,41.5,11064110.463116
2022-01-03T00:00:00,41.6,42.7,41,41.9,45098346.286111
2022-01-03T04:00:00,42,42.1,41,41.2,17455103.757468
2022-01-03T08:00:00,41.2,41.4,40.6,41.1,16549131.102319
2022-01-03T12:00:00,41.1,41.4,40.4,40.6,38820947.054675
2022-01-03T16:00:00,40.4,40.8,40.1,40.2,12581417.954054
2022-01-03T20:00:00,40.1,40.7,39.7,40.6,12618414.69354
2022-01-04T00:00:00,40.6,40.7,39.3,39.7,15393913.632942
2022-01-04T04:00:00,39.9,40.7,39.6,40.5,10549108.722358
2022-01-04T08:00:00,40.5,40.9,40.1,40.8,7975154.070099
2022-01-04T12:00:00,40.8,41.2,40.3,40.7,19854029.318287
2022-01-04T16:00:00,40.7,41.1,39.6,39.8,9056861.57329
2022-01-04T20:00:00,39.9,40.3,39.7,39.7,3885302.749635
2022-01-05T00:00:00,40,40.4,39.7,40.4,9448846.98733
2022-01-05T04:00:00,40.4,40.6,40.1,40.4,4790976.271203
2022-01-05T08:00:00,40.4,40.6,39.9,40.1,7841285.536864
2022-01-05T12:00:00,40,40.2,39.7,40.1,12432138.821072
2022-01-05T16:00:00,40.1,40.2,37.9,38,13218212.048004
2022-01-05T20:00:00,38.2,38.4,35.7,37,41560164.920094
2022-01-06T00:00:00,37,37.3,35.6,35.7,23847915.085656
2022-01-06T04:00:00,35.7,36.5,35.4,36.5,9184143.173767
2022-01-06T08:00:00,36.5,36.6,35.9,36.4,11400534.920777
2022-01-06T12:00:00,36.4,37.2,36.1,37.2,16046809.843882
2022-01-06T16:00:00,37.2,37.9,36.8,37.7,14130958.443496
2022-01-06T20:00:00,37.65,38,37.3,38,6225487.678318
2022-01-07T00:00:00,38.1,38.1,35.7,35.7,18103673.401529
2022-01-07T04:00:00,35.9,36.1,35.1,35.8,18490450.698048
2022-01-07T08:00:00,35.8,36.6,35.6,36.1,5324748.082928
2022-01-07T12:00:00,36.1,36.6,35.2,35.7,8283116.575355
2022-01-07T16:00:00,35.9,36.4,35.4,36,3525354.015539
2022-01-07T20:00:00,36,36.2,35.6,36.1,3361438.733597
2022-01-08T00:00:00,36.2,36.8,35.8,36.2,8227032.284841
2022-01-08T04:00:00,36.3,36.8,36.2,36.7,2536128.263935
2022-01-08T08:00:00,36.7,36.9,36.4,36.6,3236013.819661
2022-01-08T12:00:00,36.6,36.8,35.5,35.7,3130351.695668
2022-01-08T16:00:00,35.6,35.9,34.7,35,11550590.86808
2022-01-08T20:00:00,35.2,36,34.5,35.4,4311319.565968
2022-01-09T00:00:00,35.5,36,35.2,35.5,6530453.045426
2022-01-09T04:00:00,35.5,35.8,35.3,35.3,4768387.948542
2022-01-09T08:00:00,35.4,35.6,34.7,35.6,6300796.453302
2022-01-09T12:00:00,35.6,35.6,34.7,35,3990699.687572
2022-01-09T16:00:00,35.1,36,34.9,35.8,3077551.447304
2022-01-09T20:00:00,35.8,35.8,35.2,35.5,2826855.267195
2022-01-10T00:00:00,35.4,36.5,35.2,35.9,25096984.022119
2022-01-10T04:00:00,35.9,36,35.6,35.8,6431195.526637
2022-01-10T08:00:00,35.8,35.8,34.7,34.7,5415130.827041
2022-01-10T12:00:00,34.7,34.8,32.5,33.7,37052560.71039
2022-01-10T16:00:00,33.6,34.2,32.7,33.3,5144831.33564
2022-01-10T20:00:00,33.4,34,33.1,33.9,8967144.485692
2022-01-11T00:00:00,34,35.8,33.4,34.2,55003500.248487
2022-01-11T04:00:00,34.2,34.3,33.8,34.2,10935234.661395
2022-01-11T08:00:00,34.3,34.5,33.6,34,7277551.379688
2022-01-11T12:00:00,34,34.2,33.4,34,6952482.742937
2022-01-11T16:00:00,34,35.8,34,35.2,12200330.817547
2022-01-11T20:00:00,35.35,35.9,35.2,35.8,8052995.760602
2022-01-12T00:00:00,35.8,37.1,35.6,36.6,30716060.153098
2022-01-12T04:00:00,36.5,36.7,36.1,36.4,9914507.188478
2022-01-12T08:00:00,36.4,36.7,36.2,36.4,5776528.216213
2022-01-12T12:00:00,36.6,37.3,36.5,36.6,8486622.144492
2022-01-12T16:00:00,36.8,37,36.5,36.6,3519929.441878
2022-01-12T20:00:00,36.65,36.8,36.5,36.7,7606165.155479
2022-01-13T00:00:00,36.8,37.1,36.1,36.6,43498693.974306
2022-01-13T04:00:00,36.6,37.1,36.5,36.9,13804604.253183
2022-01-13T08:00:00,36.9,37.3,36.4,36.5,11045274.78908
2022-01-13T12:00:00,36.5,37.2,35.8,36.3,11674810.350073
2022-01-13T16:00:00,36.3,36.5,35.5,36,4530840.881243
2022-01-13T20:00:00,35.9,36.1,35.3,35.4,13613753.80615
2022-01-14T00:00:00,35.6,37.3,35,35.9,23636816.101341
2022-01-14T04:00:00,35.9,36.2,35.7,35.9,7144831.4015
2022-01-14T08:00:00,35.8,36,35,35.2,9326260.661775
2022-01-14T12:00:00,35.2,35.9,35.1,35.7,4893692.800135
2022-01-14T16:00:00,35.8,36,35.6,35.8,3034222.470037
2022-01-14T20:00:00,35.8,36,35.6,35.8,7561975.10537
2022-01-15T00:00:00,36,36.3,35.8,35.8,19532675.242515
2022-01-15T04:00:00,35.8,36.2,35.7,36.1,6356791.716703
2022-01-15T08:00:00,36.1,36.2,35.8,36.066667,3215084.283563
2022-01-15T12:00:00,36.166667,36.3,35.7,36.3,4763701.520173
2022-01-15T16:00:00,36.1,36.4,36.1,36.3,2477617.056617
2022-01-15T20:00:00,36.4,36.5,36,36,5212791.084328
2022-01-16T00:00:00,36.1,36.4,35.5,35.6,20990453.96627
2022-01-16T04:00:00,35.6,36,35.5,35.9,6265979.817692
2022-01-16T08:00:00,36,36.5,35.8,36.2,8017179.648579
2022-01-16T12:00:00,36.3,36.7,35.8,36.7,12176613.339108
2022-01-16T16:00:00,36.7,36.8,36.2,36.3,2269808.872545
2022-01-16T20:00:00,36.3,36.6,36.2,36.3,4719846.36325
2022-01-17T00:00:00,36.3,36.4,35.6,35.7,12981400.443206
2022-01-17T04:00:00,35.5,35.8,35.2,35.4,11664041.156019
2022-01-17T08:00:00,35.4,35.4,34.9,35.1,7533040.750998
2022-01-17T12:00:00,35.1,35.2,34.7,34.8,5842115.029472
2022-01-17T16:00:00,34.9,35,34.3,34.7,5270795.546524
2022-01-17T20:00:00,34.7,34.9,34,34.8,5527838.225827
2022-01-18T00:00:00,34.8,35.1,34.1,34.4,15006529.578223
2022-01-18T04:00:00,34.4,34.7,34,34.4,5540675.978409
2022-01-18T08:00:00,34.4,34.4,33.6,34,6564666.698682
2022-01-18T12:00:00,34,34.2,33.6,33.8,6425177.077038
2022-01-18T16:00:00,33.7,34.1,33.7,34.1,1774359.274242
2022-01-18T20:00:00,34.1,34.7,33.9,34.2,4760724.217973
2022-01-19T00:00:00,34.2,34.4,33.3,33.5,7750418.93952
2022-01-19T04:00:00,33.5,33.7,32.5,32.6,12700148.6326
2022-01-19T08:00:00,32.6,34,32.5,34,6796202.798058
2022-01-19T12:00:00,34.1,34.1,33.3,33.5,5083661.639185
2022-01-19T16:00:00,33.5,33.6,33.2,33.5,1302233.672337
2022-01-19T20:00:00,33.5,33.5,33,33,3816735.513409
2022-01-20T00:00:00,33.1,33.2,32.6,33.1,7890888.207985
2022-01-20T04:00:00,33.1,33.2,32.9,33.1,4418811.019507
2022-01-20T08:00:00,33.2,33.5,33.1,33.4,3867862.181939
2022-01-20T12:00:00,33.4,34,33.2,33.7,5335803.675855
2022-01-20T16:00:00,33.7,34,33.4,33.5,6074560.340675
2022-01-20T20:00:00,33.5,33.5,31.5,31.5,18748409.285767
2022-01-21T00:00:00,31.7,31.9,29.8,29.9,33279019.411026
2022-01-21T04:00:00,30,30.8,30,30.7,13114128.371226
2022-01-21T08:00:00,30.8,31.1,30.7,31.1,5429855.241046
2022-01-21T12:00:00,31.2,31.2,29.9,30.4,18117003.499911
2022-01-21T16:00:00,30.3,30.6,29.9,30,3284503.487761
2022-01-21T20:00:00,30,30.4,27.6,28.6,27062016.936127
2022-01-22T00:00:00,28.6,29,28,28.2,20924721.649594
2022-01-22T04:00:00,28.3,28.3,25.4,25.5,36006406.556053
2022-01-22T08:00:00,25.5,26.2,23.7,25.6,28549262.767907
2022-01-22T12:00:00,25.7,26.9,24.6,25.3,10608545.890259
2022-01-22T16:00:00,25.4,26.1,25,25.3,4529509.886802
2022-01-22T20:00:00,25.3,27,25,26,4835086.042752
2022-01-23T00:00:00,26.2,27.6,26,27,44457684.5942
2022-01-23T04:00:00,27,27.7,26.6,27.5,13016691.650763
2022-01-23T08:00:00,27.6,28.3,27.5,28,15884892.237628
2022-01-23T12:00:00,28,28.2,26.7,27.1,8850616.560422
2022-01-23T16:00:00,27.1,27.4,26.5,26.7,5754967.055017
2022-01-23T20:00:00,26.7,27.8,26.5,27.7,7557446.667825
2022-01-24T00:00:00,27.7,28,26.5,26.9,8500379.340681
2022-01-24T04:00:00,26.9,27,26.1,26.1,5888468.400529
2022-01-24T08:00:00,26.1,28.6,24.7,25.4,834039401.02055
2022-01-24T12:00:00,25.5,25.6,24.2,25.5,109016716.801942
2022-01-24T16:00:00,25.6,26.3,24.7,26.1,17533571.996462
2022-01-24T20:00:00,26.1,26.8,25.9,26.6,22594052.234153
2022-01-25T00:00:00,26.6,26.9,25.7,26.8,32447669.541263
2022-01-25T04:00:00,26.8,26.8,26.1,26.4,13851611.725778
2022-01-25T08:00:00,26.4,27.4,26.4,26.9,39638919.504278
2022-01-25T12:00:00,26.9,27.5,26.3,26.6,21734343.017762
2022-01-25T16:00:00,26.6,27,26.6,26.7,8779693.360529
2022-01-25T20:00:00,26.7,26.9,26.2,26.6,6937616.237138
2022-01-26T00:00:00,26.6,27.3,26.4,27.2,19424894.703295
2022-01-26T04:00:00,27.2,28,27.2,27.4,68799719.342024
2022-01-26T08:00:00,27.5,28.2,27.4,28.1,12564392.050636
2022-01-26T12:00:00,28.1,30.4,27.9,29.3,142863918.569752
2022-01-26T16:00:00,29.3,30.6,28.8,29.5,65296890.640414
2022-01-26T20:00:00,29.5,29.5,27.9,28.8,63621261.986211
2022-01-27T00:00:00,28.8,29.2,27.4,27.7,19737461.482781
2022-01-27T04:00:00,27.5,28,27.5,27.8,10364372.133591
2022-01-27T08:00:00,27.8,28.4,27.6,28.2,20121627.932003
2022-01-27T12:00:00,28.3,29.5,28.3,29.2,13967312.865077
2022-01-27T16:00:00,29.2,29.3,28.6,28.8,4052162.251139
2022-01-27T20:00:00,28.75,29.6,28.3,29.3,8621743.18036
2022-01-28T00:00:00,29.4,29.6,28.8,29.3,13331787.964184
2022-01-28T04:00:00,29.4,29.7,29.1,29.2,13750729.606622
2022-01-28T08:00:00,29.2,29.3,28.6,28.9,13421604.620057
2022-01-28T12:00:00,28.9,29.1,28.4,29,20429358.70381
2022-01-28T16:00:00,29,29.6,28.9,29.3,9510748.456217
2022-01-28T20:00:00,29.3,30,29.2,29.8,14125636.911057
2022-01-29T00:00:00,29.9,30.8,29.7,30.8,33144760.943987
2022-01-29T04:00:00,30.8,31.8,30.5,31.6,32768235.416657
2022-01-29T08:00:00,31.6,31.7,30.7,31,38443911.544273
2022-01-29T12:00:00,31,31.8,30.8,31,27088608.078259
2022-01-29T16:00:00,31,31.6,30.7,31.2,4861004.171463
2022-01-29T20:00:00,31.233333,32.1,30.9,32,9988767.178316
2022-01-30T00:00:00,31.9,32.5,31.4,32.3,17973405.816044
2022-01-30T04:00:00,32.2,32.6,31.9,31.9,5269564.119767
2022-01-30T08:00:00,32,32.6,31.6,32.3,12700138.001489
2022-01-30T12:00:00,32.4,32.6,31.7,32.1,6661455.620604
2022-01-30T16:00:00,32.1,32.4,30.9,31,5004446.918187
2022-01-30T20:00:00,31,31.9,30.7,31.6,7652807.807836
2022-01-31T00:00:00,31.7,32.1,30.5,30.7,69925139.903901
2022-01-31T04:00:00,30.6,31.4,30,31.3,7606267.019829
2022-01-31T08:00:00,31.4,31.9,30.8,31.3,30164000.035363
2022-01-31T12:00:00,31.2,32.5,31,32.1,24266292.367082
2022-01-31T16:00:00,32,32.5,31.8,31.9,6126194.458301
2022-01-31T20:00:00,31.9,32.7,31.9,32.2,6750533.809987
2022-02-01T00:00:00,32.3,32.9,32,32.5,11598997.327131
2022-02-01T04:00:00,32.4,32.6,31.7,31.9,6036846.903323
2022-02-01T08:00:00,31.95,32.2,31.3,31.6,9093436.012063
2022-02-01T12:00:00,31.7,31.8,31.2,31.6,9929232.331262
2022-02-01T16:00:00,31.6,31.8,31.3,31.5,5246803.572071
2022-02-01T20:00:00,31.55,31.7,31.4,31.6,3351709.01549
2022-02-02T00:00:00,31.6,31.7,31.3,31.4,8344394.005409
2022-02-02T04:00:00,31.4,31.7,31.2,31.4,7405393.814848
2022-02-02T08:00:00,31.4,32.6,31.3,32.5,37219642.405784
2022-02-02T12:00:00,32.6,34.1,31.9,32.1,101940726.305622
2022-02-02T16:00:00,32.1,32.3,31.7,31.9,8687515.783426
2022-02-02T20:00:00,32,32,30.5,30.7,17703399.875855
2022-02-03T00:00:00,30.7,31.2,30.3,30.8,47922259.145268
2022-02-03T04:00:00,30.9,31,30.6,30.9,22219871.774492
2022-02-03T08:00:00,30.9,30.9,30,30.7,21379569.16224
2022-02-03T12:00:00,30.7,31.3,30.3,31.2,15628176.83542
2022-02-03T16:00:00,31.2,31.5,30.7,30.8,4822149.901608
2022-02-03T20:00:00,30.85,31.7,30.8,31.6,9754696.053218
2022-02-04T00:00:00,31.7,31.7,31.2,31.4,22311153.822527
2022-02-04T04:00:00,31.5,32.4,31.2,32.3,51071462.281436
2022-02-04T08:00:00,32.2,33.2,32.2,32.6,55159826.918554
2022-02-04T12:00:00,32.6,33.2,32,32.9,34086254.721082
2022-02-04T16:00:00,32.9,33.4,32.9,33.2,18530076.441347
2022-02-04T20:00:00,33.4,33.9,33,33.7,9272547.681871
2022-02-05T00:00:00,33.8,34.8,33.4,34.7,38928005.305901
2022-02-05T04:00:00,34.7,35.3,34.5,34.8,20846226.205811
2022-02-05T08:00:00,34.8,35.5,34.6,35.4,17235770.464352
2022-02-05T12:00:00,35.4,36,35,35.6,14457741.758442
2022-02-05T16:00:00,35.6,35.6,33.8,34.8,13962450.134399
2022-02-05T20:00:00,35,35.4,34.7,34.8,14386691.088269
2022-02-06T00:00:00,34.8,35.8,34.7,35,30150666.499489
2022-02-06T04:00:00,35,35.4,34.2,35.2,18089170.920273
2022-02-06T08:00:00,35.2,35.2,34.5,34.5,11412996.980364
2022-02-06T12:00:00,34.6,35.1,33.7,34.4,22442201.378925
2022-02-06T16:00:00,34.4,34.6,34.1,34.3,4403432.055777
