datetime,open,high,low,close,volume
2022-01-01T00:00:00,14.6,14.8,14.6,14.6,13085206.507045
2022-01-01T04:00:00,14.7,14.8,14.6,14.7,6298436.86475
2022-01-01T08:00:00,14.7,14.8,14.6,14.6,5848510.830446
2022-01-01T12:00:00,14.6,14.8,14.6,14.7,7204792.457117
2022-01-01T16:00:00,14.7,14.8,14.7,14.7,2762830.138872
2022-01-01T20:00:00,14.8,14.8,14.6,14.8,8300279.401275
2022-01-02T00:00:00,14.8,14.9,14.6,14.9,22052605.481385
2022-01-02T04:00:00,14.9,14.9,14.7,14.9,21322430.910982
2022-01-02T08:00:00,14.8,15.6,14.8,15.3,101358038.687125
2022-01-02T12:00:00,15.4,16.4,15.3,15.8,203917662.824487
2022-01-02T16:00:00,15.8,15.8,15.5,15.5,25175034.0846
2022-01-02T20:00:00,15.5,16,15.5,15.7,43822786.264219
2022-01-03T00:00:00,15.7,16.3,15.6,16,113078093.001016
2022-01-03T04:00:00,16.1,16.3,15.9,16.1,52564061.833477
2022-01-03T08:00:00,16.1,16.3,15.9,16,55513970.742347
2022-01-03T12:00:00,15.9,16.6,15.9,16.2,91628317.936998
2022-01-03T16:00:00,16.2,16.2,15.9,16,21156215.183206
2022-01-03T20:00:00,16,16.3,15.8,16.2,32282645.229218
2022-01-04T00:00:00,16.2,16.3,15.2,15.5,79852359.041468
2022-01-04T04:00:00,15.5,15.7,15.4,15.6,22726428.791211
2022-01-04T08:00:00,15.7,15.8,15.5,15.7,26488950.941902
2022-01-04T12:00:00,15.7,15.8,15.5,15.6,29386789.09107
2022-01-04T16:00:00,15.6,15.7,15.3,15.5,14769447.222211
2022-01-04T20:00:00,15.4,15.8,15.4,15.4,13976462.831287
2022-01-05T00:00:00,15.5,15.7,15.3,15.7,23344948.742896
2022-01-05T04:00:00,15.7,15.7,15.4,15.6,10578419.167973
2022-01-05T08:00:00,15.6,15.8,15.5,15.7,28297958.338032
2022-01-05T12:00:00,15.7,15.8,15.5,15.7,15541384.107981
2022-01-05T16:00:00,15.6,15.7,15.4,15.4,9325051.947299
2022-01-05T20:00:00,15.5,15.5,14,14.4,90437704.912944
2022-01-06T00:00:00,14.4,15.2,14.1,14.2,179163627.272688
2022-01-06T04:00:00,14.2,14.8,14.1,14.4,81714397.590889
2022-01-06T08:00:00,14.5,14.5,14,14.2,23890129.305885
2022-01-06T12:00:00,14.2,14.3,13.9,14,52911143.819569
2022-01-06T16:00:00,14,14.1,13.9,14,7067281.157098
2022-01-06T20:00:00,14.1,14.4,14,14.3,18095824.355116
2022-01-07T00:00:00,14.2,14.8,13.8,13.8,122448027.691241
2022-01-07T04:00:00,13.8,14,13.5,13.7,68307305.368061
2022-01-07T08:00:00,13.75,14,13.7,13.8,16251190.839529
2022-01-07T12:00:00,13.9,13.9,13.5,13.7,21072735.808301
2022-01-07T16:00:00,13.7,13.8,13.5,13.7,10631365.226389
2022-01-07T20:00:00,13.8,13.8,13.6,13.7,8074240.430288
2022-01-08T00:00:00,13.7,14.2,13.6,13.7,51647838.328426
2022-01-08T04:00:00,13.6,13.8,13.6,13.8,27991137.273476
2022-01-08T08:00:00,13.7,13.9,13.6,13.8,13836732.256981
2022-01-08T12:00:00,13.8,13.8,13.5,13.6,16509759.136221
2022-01-08T16:00:00,13.5,13.6,13.4,13.5,16218404.907344
2022-01-08T20:00:00,13.4,13.7,13.4,13.5,18089531.965367
2022-01-09T00:00:00,13.4,14,13.4,14,169368972.57543
2022-01-09T04:00:00,14,14.2,13.6,13.8,100308364.664029
2022-01-09T08:00:00,13.8,13.8,13.2,13.5,39627500.210304
2022-01-09T12:00:00,13.5,13.5,13.2,13.2,21151034.373789
2022-01-09T16:00:00,13.3,13.6,13.2,13.6,11956648.267625
2022-01-09T20:00:00,13.6,13.7,13.5,13.6,11982110.876877
2022-01-10T00:00:00,13.6,13.7,12.9,13.2,76687547.217203
2022-01-10T04:00:00,13.2,13.4,13.2,13.2,18657761.373253
2022-01-10T08:00:00,13.2,13.3,12.7,12.7,46099060.03687
2022-01-10T12:00:00,12.7,13,11.9,12.4,132161013.375334
2022-01-10T16:00:00,12.3,12.6,12.2,12.5,32569313.015083
2022-01-10T20:00:00,12.5,12.8,12.4,12.7,22478096.986828
2022-01-11T00:00:00,12.7,13,12.3,12.6,65743750.892054
2022-01-11T04:00:00,12.6,12.7,12.2,12.3,55675627.063386
2022-01-11T08:00:00,12.3,12.5,12.1,12.4,33720629.958202
2022-01-11T12:00:00,12.4,12.5,12.2,12.3,23753943.70052
2022-01-11T16:00:00,12.4,12.9,12.4,12.8,22417347.326493
2022-01-11T20:00:00,12.8,13,12.7,12.9,15914689.141342
2022-01-12T00:00:00,12.9,13.2,12.8,12.8,42299468.648359
2022-01-12T04:00:00,12.8,13,12.7,12.7,25208119.581536
2022-01-12T08:00:00,12.7,13,12.7,12.9,21991285.266352
2022-01-12T12:00:00,12.9,13.3,12.9,13.2,44556819.817613
2022-01-12T16:00:00,13.2,13.4,13.1,13.2,15566108.821814
2022-01-12T20:00:00,13.3,13.4,13.2,13.3,16670118.125365
2022-01-13T00:00:00,13.3,13.7,13,13.4,98912297.696186
2022-01-13T04:00:00,13.4,13.6,13.3,13.5,37651196.852639
2022-01-13T08:00:00,13.5,13.5,13.3,13.3,20173085.445811
2022-01-13T12:00:00,13.3,13.5,13.1,13.2,24073199.152515
2022-01-13T16:00:00,13.3,13.4,13.1,13.3,10369527.56826
2022-01-13T20:00:00,13.3,13.3,12.9,13,20018293.618022
2022-01-14T00:00:00,13.1,13.1,12.9,13,27776045.88662
2022-01-14T04:00:00,13.1,13.2,13,13,15084542.1989
2022-01-14T08:00:00,13,13.1,12.7,12.9,27298467.355519
2022-01-14T12:00:00,12.9,13.1,12.8,13.1,25873765.174363
2022-01-14T16:00:00,13.1,13.2,12.9,13,17660150.603393
2022-01-14T20:00:00,13,13.3,13,13.3,11852246.734906
2022-01-15T00:00:00,13.2,13.3,13,13.1,28765967.716328
2022-01-15T04:00:00,13.1,13.2,13.1,13.2,7748135.597782
2022-01-15T08:00:00,13.2,13.3,13.1,13.2,9573192.39314
2022-01-15T12:00:00,13.3,13.3,13.1,13.2,23538391.806997
2022-01-15T16:00:00,13.3,13.3,13.2,13.3,5529423.463981
2022-01-15T20:00:00,13.3,13.4,13.2,13.4,10069534.792655
2022-01-16T00:00:00,13.3,13.4,13.2,13.2,14613666.209052
2022-01-16T04:00:00,13.2,13.4,13.2,13.4,5820685.11455
2022-01-16T08:00:00,13.4,13.5,13.2,13.4,18537017.514462
2022-01-16T12:00:00,13.3,13.4,13.2,13.4,10347703.097039
2022-01-16T16:00:00,13.4,13.5,13.3,13.3,15199156.50659
2022-01-16T20:00:00,13.32,13.5,13.3,13.3,8685305.740785
2022-01-17T00:00:00,13.3,13.4,13,13.1,32593056.899033
2022-01-17T04:00:00,13,13.2,12.8,13,21345926.91879
2022-01-17T08:00:00,13.1,13.1,13,13.1,8395024.630733
2022-01-17T12:00:00,13,13.1,12.7,13,32315488.842862
2022-01-17T16:00:00,12.9,13,12.8,12.9,7270340.792619
2022-01-17T20:00:00,12.9,13,12.8,12.9,13174021.70905
2022-01-18T00:00:00,12.9,13,12.5,12.6,26063743.844907
2022-01-18T04:00:00,12.6,12.7,12.4,12.4,30022257.99461
2022-01-18T08:00:00,12.4,12.5,12.2,12.3,23067736.885857
2022-01-18T12:00:00,12.3,12.4,12.1,12.3,20137346.848154
2022-01-18T16:00:00,12.3,12.4,12.2,12.266667,5258034.204463
2022-01-18T20:00:00,12.3,12.6,12.2,12.4,7585129.037088
