datetime,open,high,low,close,volume
2022-01-01T00:00:00,4845,5690,4755,5465,11032872.346901
2022-01-02T00:00:00,5455,5465,5195,5205,2578987.532963
2022-01-03T00:00:00,5205,5555,5165,5555,1889833.561946
2022-01-04T00:00:00,5550,6160,5150,6125,3905673.328748
2022-01-05T00:00:00,6125,6200,5135,5425,2955888.894417
2022-01-06T00:00:00,5430,5505,4995,5195,1459873.458891
2022-01-07T00:00:00,5210,5620,4705,5565,3966160.607534
2022-01-08T00:00:00,5565,6050,5330,5875,3173318.152491
2022-01-09T00:00:00,5860,6165,5605,5650,2733758.811045
2022-01-10T00:00:00,5650,5700,4940,5255,1874737.866907
2022-01-11T00:00:00,5260,6035,5140,5955,6290888.111588
2022-01-12T00:00:00,5955,6420,5910,6055,4122680.339118
2022-01-13T00:00:00,6055,6100,5675,5685,1714652.068667
2022-01-14T00:00:00,5685,6680,5645,6625,9638001.743127
2022-01-15T00:00:00,6640,6780,6380,6390,3708283.099693
2022-01-16T00:00:00,6390,6790,6355,6790,3965981.649158
2022-01-17T00:00:00,6790,7110,6390,6480,5398575.750602
2022-01-18T00:00:00,6475,7025,5965,6095,15077311.498936
2022-01-19T00:00:00,6095,6095,5420,5455,3154766.177559
2022-01-20T00:00:00,5460,5550,4970,5015,4198762.271282
2022-01-21T00:00:00,5015,5385,4525,4715,7350473.457847
2022-01-22T00:00:00,4715,5140,3770,4230,7213711.555998
2022-01-23T00:00:00,4230,4355,3960,4250,2207710.307821
2022-01-24T00:00:00,4255,4255,3480,3940,3586253.394729
2022-01-25T00:00:00,3945,4130,3800,3875,4008041.875984
2022-01-26T00:00:00,3875,4220,3800,3915,2692178.903889
2022-01-27T00:00:00,3915,4060,3715,3905,1764172.019801
2022-01-28T00:00:00,3910,4070,3840,3975,2089936.677227
2022-01-29T00:00:00,3975,4150,3930,4025,2719619.077922
2022-01-30T00:00:00,4025,4200,3925,4035,2843520.793272
2022-01-31T00:00:00,4040,4070,3780,4020,2076357.392098
2022-02-01T00:00:00,4020,4160,3975,4085,1715983.846017
2022-02-02T00:00:00,4075,4195,3875,3895,2872144.173357
2022-02-03T00:00:00,3895,4095,3845,4090,1687655.109755
2022-02-04T00:00:00,4095,4440,4010,4405,4365450.858563
2022-02-05T00:00:00,4410,4900,4355,4755,3494202.540337
2022-02-06T00:00:00,4755,4800,4465,4715,3125459.724216
2022-02-07T00:00:00,4715,4905,4550,4780,3428931.16004
2022-02-08T00:00:00,4775,4855,4425,4630,2607195.051578
2022-02-09T00:00:00,4630,4670,4470,4610,985315.068403
2022-02-10T00:00:00,4590,4735,4350,4475,2646935.766937
2022-02-11T00:00:00,4475,4565,4050,4135,1723405.12625
2022-02-12T00:00:00,4135,4225,3970,4050,1159711.788319
2022-02-13T00:00:00,4050,4105,3905,3990,892597.237954
2022-02-14T00:00:00,3985,4075,3845,4015,929623.846863
2022-02-15T00:00:00,4005,4235,3995,4215,898613.028299
2022-02-16T00:00:00,4215,4530,4200,4400,3472592.551874
2022-02-17T00:00:00,4415,4570,4070,4075,3445961.980264
2022-02-18T00:00:00,4095,4325,3955,4010,1794790.818253
2022-02-19T00:00:00,4010,4240,3965,4225,1969635.557808
2022-02-20T00:00:00,4220,4250,3860,3915,1063167.026792
2022-02-21T00:00:00,3920,4030,3555,3575,1122552.640714
2022-02-22T00:00:00,3580,3740,3430,3715,830807.073968
2022-02-23T00:00:00,3715,3850,3600,3620,569659.849072
2022-02-24T00:00:00,3615,3750,3190,3685,1051688.790904
2022-02-25T00:00:00,3690,3880,3570,3845,769817.39039
2022-02-26T00:00:00,3845,3965,3800,3885,1210797.255906
2022-02-27T00:00:00,3895,4020,3665,3715,1371790.508245
2022-02-28T00:00:00,3715,4130,3635,4110,1094988.008951
2022-03-01T00:00:00,4110,4570,4105,4280,5789344.995789
2022-03-02T00:00:00,4285,4420,4155,4285,1791464.502018
2022-03-03T00:00:00,4285,4415,4070,4110,1664560.989108
2022-03-04T00:00:00,4110,4230,3865,3900,2128695.400523
2022-03-05T00:00:00,3895,4000,3760,4000,635741.044143
2022-03-06T00:00:00,4000,4055,3800,3900,754319.334887
2022-03-07T00:00:00,3900,3960,3695,3760,1241026.400072
2022-03-08T00:00:00,3765,4310,3735,3805,3809112.539356
2022-03-09T00:00:00,3805,4150,3780,3970,2422107.382782
2022-03-10T00:00:00,3960,4020,3760,3875,1367168.770662
2022-03-11T00:00:00,3875,4040,3780,3810,1524612.386196
2022-03-12T00:00:00,3810,3910,3795,3825,586062.350483
2022-03-13T00:00:00,3820,3900,3665,3720,576310.928105
2022-03-14T00:00:00,3715,3800,3655,3800,473635.495354
2022-03-15T00:00:00,3800,3805,3690,3765,357992.028461
2022-03-16T00:00:00,3760,3915,3725,3915,1234132.046734
2022-03-17T00:00:00,3910,4120,3820,4120,635751.546586
2022-03-18T00:00:00,4115,4135,3900,4130,1778430.043255
2022-03-19T00:00:00,4130,4225,4055,4150,1160621.081369
2022-03-20T00:00:00,4150,4395,4100,4295,2288130.531696
2022-03-21T00:00:00,4285,4395,4160,4310,942631.74599
2022-03-22T00:00:00,4300,4600,4285,4525,1623306.01931
2022-03-23T00:00:00,4525,4780,4485,4730,1109291.895825
2022-03-24T00:00:00,4730,4745,4515,4555,1208713.817988
2022-03-25T00:00:00,4555,4610,4495,4560,772983.989186
2022-03-26T00:00:00,4555,4985,4525,4710,2655974.622769
2022-03-27T00:00:00,4700,4930,4615,4910,1558583.666401
2022-03-28T00:00:00,4900,6710,4845,5325,45420530.080661
2022-03-29T00:00:00,5330,6535,5275,5440,23593421.11488
2022-03-30T00:00:00,5430,5565,5225,5480,3122561.458159
2022-03-31T00:00:00,5485,5640,5235,5470,3348579.819034
2022-04-01T00:00:00,5470,6050,5190,5555,5285758.619881
2022-04-02T00:00:00,5560,5665,5385,5490,3842645.284638
2022-04-03T00:00:00,5485,5695,5325,5690,1483573.420775
2022-04-04T00:00:00,5690,5690,5250,5530,1843531.076815
2022-04-05T00:00:00,5530,5560,5275,5315,1146679.19803
2022-04-06T00:00:00,5315,5665,5005,5250,8038049.175553
2022-04-07T00:00:00,5250,5950,5095,5745,9226512.494596
2022-04-08T00:00:00,5745,6285,5620,5695,14639678.080159
2022-04-09T00:00:00,5695,6525,5655,5940,24551686.468619
2022-04-10T00:00:00,5935,6045,5430,6010,7428709.381446
2022-04-11T00:00:00,6010,6020,5210,5365,7535944.646906
2022-04-12T00:00:00,5365,5435,5025,5235,6704284.483229
2022-04-13T00:00:00,5235,5320,4865,5175,3372554.048931
2022-04-14T00:00:00,5180,5780,5125,5425,16011904.982338
2022-04-15T00:00:00,5425,5620,5260,5415,3885025.821929
2022-04-16T00:00:00,5410,5425,5180,5270,1140789.102165
2022-04-17T00:00:00,5255,5455,5095,5120,1900405.523242
2022-04-18T00:00:00,5120,5495,4990,5480,7320048.563376
2022-04-19T00:00:00,5480,5580,5380,5540,2409198.662923
2022-04-20T00:00:00,5540,5540,5300,5385,1723896.131866
2022-04-21T00:00:00,5385,6670,5380,5650,43016784.693435
2022-04-22T00:00:00,5650,6060,5580,5940,12148758.966664
2022-04-23T00:00:00,5930,6345,5655,6125,7340282.292892
2022-04-24T00:00:00,6125,6785,6065,6520,22550341.313491
2022-04-25T00:00:00,6515,6930,6185,6695,20170875.83594
2022-04-26T00:00:00,6695,7025,6175,6375,12990757.573037
2022-04-27T00:00:00,6375,6760,6325,6585,6808953.18019
2022-04-28T00:00:00,6585,7140,6505,7095,7555636.415615
2022-04-29T00:00:00,7090,7230,6520,6730,7076860.560708
2022-04-30T00:00:00,6725,6910,5550,5690,8340903.10719
2022-05-01T00:00:00,5695,5755,5110,5500,6137262.980849
2022-05-02T00:00:00,5500,5680,5090,5290,4748462.581625
2022-05-03T00:00:00,5290,5575,5095,5420,3827438.423335
2022-05-04T00:00:00,5420,5850,5165,5815,3948317.989335
2022-05-05T00:00:00,5820,5850,5020,5185,3778276.385055
2022-05-06T00:00:00,5185,5215,4745,4925,3628533.581055
2022-05-07T00:00:00,4925,5110,4680,4810,2945649.386664
2022-05-08T00:00:00,4810,4840,4405,4460,1927654.274137
2022-05-09T00:00:00,4460,4580,3550,3575,3285340.993438
2022-05-10T00:00:00,3575,3975,3385,3565,3178181.091676
2022-05-11T00:00:00,3565,3685,2425,2660,8445446.646485
2022-05-12T00:00:00,2655,2770,1950,2255,6849727.639245
2022-05-13T00:00:00,2255,3110,2160,2745,23133045.292885
2022-05-14T00:00:00,2735,3100,2580,2995,5730010.537122
2022-05-15T00:00:00,3000,3710,2900,3505,8352414.693468
2022-05-16T00:00:00,3505,3510,3005,3160,3738019.576823
2022-05-17T00:00:00,3160,3530,3105,3420,8337865.861167
2022-05-18T00:00:00,3420,3470,2985,3035,4625465.240862
2022-05-19T00:00:00,3035,3420,2840,3215,4020520.173051
2022-05-20T00:00:00,3215,3330,3020,3200,3859162.1772
2022-05-21T00:00:00,3200,3820,3115,3590,12517194.695044
2022-05-22T00:00:00,3590,3700,3455,3595,4427968.883662
2022-05-23T00:00:00,3595,3730,3230,3280,4077196.943248
2022-05-24T00:00:00,3280,3730,3135,3615,4873539.898819
2022-05-25T00:00:00,3615,3810,3410,3465,10475885.055791
2022-05-26T00:00:00,3475,3485,3090,3155,3068994.339722
2022-05-27T00:00:00,3160,3210,2870,2955,1699150.970675
2022-05-28T00:00:00,2960,3080,2870,3020,785758.279065
2022-05-29T00:00:00,3015,3050,2905,3025,600317.267621
2022-05-30T00:00:00,3020,3385,2965,3340,3620897.245672
2022-05-31T00:00:00,3340,4200,3285,3650,30475939.878821
2022-06-01T00:00:00,3645,3660,3260,3305,7192418.924396
2022-06-02T00:00:00,3305,3465,3245,3325,2668277.70348
2022-06-03T00:00:00,3315,3315,3105,3155,1459998.902126
2022-06-04T00:00:00,3145,3285,3050,3230,1658910.538964
2022-06-05T00:00:00,3230,3325,3135,3260,1826435.653399
2022-06-06T00:00:00,3260,3485,3235,3315,2418977.069201
2022-06-07T00:00:00,3320,3455,3100,3430,8843519.055061
2022-06-08T00:00:00,3430,3455,3280,3310,4075572.784992
2022-06-09T00:00:00,3310,3450,3190,3220,2385036.400871
2022-06-10T00:00:00,3220,3360,2995,3055,5097444.6454
2022-06-11T00:00:00,3055,3140,2700,2770,1961844.718257
2022-06-12T00:00:00,2770,2795,2455,2455,1687871.301519
2022-06-13T00:00:00,2455,2475,2055,2270,2113973.316142
2022-06-14T00:00:00,2280,2290,2035,2210,3165218.390382
2022-06-15T00:00:00,2210,2385,1960,2380,3350462.539061
2022-06-16T00:00:00,2380,2405,2070,2120,2619891.318641
2022-06-17T00:00:00,2115,2215,2070,2180,1518788.324982
2022-06-18T00:00:00,2180,2220,1900,2010,1594233.135227
2022-06-19T00:00:00,2010,2100,1895,2070,1257728.907587
2022-06-20T00:00:00,2070,2195,1970,2145,3281870.071141
2022-06-21T00:00:00,2145,2320,2140,2235,3549112.221817
2022-06-22T00:00:00,2235,2265,2095,2120,2751311.104616
2022-06-23T00:00:00,2115,2435,2110,2300,9005427.104416
2022-06-24T00:00:00,2300,2440,2290,2385,5976482.291388
2022-06-25T00:00:00,2385,2440,2265,2355,2092318.20794
2022-06-26T00:00:00,2355,2680,2330,2385,14708667.249686
2022-06-27T00:00:00,2390,2885,2355,2500,26741793.51058
2022-06-28T00:00:00,2500,3150,2500,2615,36858226.116508
2022-06-29T00:00:00,2615,2635,2415,2500,7049912.254156
2022-06-30T00:00:00,2505,2515,2185,2325,5565824.746406
2022-07-01T00:00:00,2320,2450,2260,2375,5256021.966995
2022-07-02T00:00:00,2375,2430,2285,2375,1139072.443491
2022-07-03T00:00:00,2380,2390,2290,2305,1050535.317898
2022-07-04T00:00:00,2305,2365,2220,2355,1271461.651594
2022-07-05T00:00:00,2350,2460,2275,2385,2944860.550712
2022-07-06T00:00:00,2385,2480,2320,2400,2599790.631597
2022-07-07T00:00:00,2400,2470,2355,2440,1841945.443158
2022-07-08T00:00:00,2440,2485,2365,2390,2004873.488979
2022-07-09T00:00:00,2390,2585,2385,2485,3836502.019724
2022-07-10T00:00:00,2485,2485,2335,2355,2161883.531263
2022-07-11T00:00:00,2350,2355,2220,2225,1470046.046177
2022-07-12T00:00:00,2230,2285,2130,2130,1358744.517406
2022-07-13T00:00:00,2135,2170,1995,2160,1932473.065168
2022-07-14T00:00:00,2160,2285,2085,2235,1530690.46742
2022-07-15T00:00:00,2230,2360,2210,2290,2559963.638403
2022-07-16T00:00:00,2290,2335,2230,2320,1329283.904326
2022-07-17T00:00:00,2320,2375,2260,2305,1810022.937716
2022-07-18T00:00:00,2305,2450,2300,2420,2426198.030287
2022-07-19T00:00:00,2420,2690,2385,2560,19606196.053291
2022-07-20T00:00:00,2560,2620,2340,2370,3485371.421321
2022-07-21T00:00:00,2370,2410,2260,2375,1828044.411207
2022-07-22T00:00:00,2375,2490,2315,2345,2753361.896088
2022-07-23T00:00:00,2350,2420,2310,2395,2232657.622166
2022-07-24T00:00:00,2390,2445,2360,2380,1524711.048323
2022-07-25T00:00:00,2370,2390,2240,2250,1395087.737146
2022-07-26T00:00:00,2250,2290,2195,2285,1070754.376955
2022-07-27T00:00:00,2285,2500,2240,2485,2232137.368442
2022-07-28T00:00:00,2490,2665,2420,2530,2796101.81098
2022-07-29T00:00:00,2530,2620,2445,2515,3602662.078667
2022-07-30T00:00:00,2505,2670,2475,2520,3119119.031644
2022-07-31T00:00:00,2520,2645,2460,2510,3822887.603376
2022-08-01T00:00:00,2505,2865,2500,2620,8288933.190303
2022-08-02T00:00:00,2625,2925,2450,2720,19515113.211764
2022-08-03T00:00:00,2720,2880,2575,2740,4777477.411775
2022-08-04T00:00:00,2735,2935,2730,2820,10444823.352422
2022-08-05T00:00:00,2820,2965,2795,2880,5591098.571013
2022-08-06T00:00:00,2880,3035,2865,2880,4769175.222341
2022-08-07T00:00:00,2885,2905,2805,2830,2086416.563881
2022-08-08T00:00:00,2830,2960,2815,2860,4490625.917068
2022-08-09T00:00:00,2860,3070,2835,2990,13804252.813005
2022-08-10T00:00:00,2990,3075,2850,3045,6721168.656806
2022-08-11T00:00:00,3040,3100,3000,3020,3861073.905524
2022-08-12T00:00:00,3020,3045,2965,3035,1906982.383846
2022-08-13T00:00:00,3035,3105,3010,3025,2449586.025412
2022-08-14T00:00:00,3025,3055,2910,3000,1898123.117823
2022-08-15T00:00:00,3000,3175,2965,3035,6775155.184072
2022-08-16T00:00:00,3045,3045,2845,2915,2634399.378233
2022-08-17T00:00:00,2910,2960,2735,2755,2645283.364408
2022-08-18T00:00:00,2755,2920,2700,2710,3596804.513734
2022-08-19T00:00:00,2710,2800,2495,2525,3653040.614771
2022-08-20T00:00:00,2520,2620,2435,2515,1125012.773195
2022-08-21T00:00:00,2515,2560,2465,2525,678690.014313
2022-08-22T00:00:00,2525,2570,2380,2445,1889995.229415
2022-08-23T00:00:00,2450,2535,2360,2450,2546573.328318
2022-08-24T00:00:00,2450,2550,2400,2470,1536074.111631
2022-08-25T00:00:00,2460,2560,2455,2495,1258521.336559
2022-08-26T00:00:00,2505,2545,2245,2290,2501151.82746
2022-08-27T00:00:00,2285,2315,2240,2285,1316848.499468
2022-08-28T00:00:00,2290,2335,2230,2235,981294.726478
2022-08-29T00:00:00,2240,2365,2220,2360,1116942.353535
2022-08-30T00:00:00,2360,2425,2280,2325,1332598.079095
2022-08-31T00:00:00,2325,2615,2320,2450,12520615.643401
2022-09-01T00:00:00,2450,2450,2305,2385,2544357.467315
2022-09-02T00:00:00,2385,2475,2350,2375,2624534.734149
2022-09-03T00:00:00,2375,2385,2295,2315,1915574.752592
2022-09-04T00:00:00,2320,2345,2295,2330,848848.847157
2022-09-05T00:00:00,2340,2355,2280,2300,967242.994646
2022-09-06T00:00:00,2305,2340,2125,2130,1927230.772525
2022-09-07T00:00:00,2125,2230,2120,2205,1156581.495275
2022-09-08T00:00:00,2200,2315,2170,2290,2036298.943684
2022-09-09T00:00:00,2290,2450,2285,2410,2245759.468609
