datetime,open,high,low,close,volume
2020-07-01T00:00:00,1440,1615,1420,1600,1408798.112285
2020-07-02T00:00:00,1605,1855,1595,1825,6592397.175847
2020-07-03T00:00:00,1830,2345,1805,2220,16364379.178714
2020-07-04T00:00:00,2220,2245,1900,1975,5984289.723327
2020-07-05T00:00:00,1975,2195,1855,1920,4681447.642608
2020-07-06T00:00:00,1910,2140,1865,1980,4104983.50904
2020-07-07T00:00:00,1980,2040,1860,1870,2140698.480224
2020-07-08T00:00:00,1880,1975,1840,1870,1945606.266898
2020-07-09T00:00:00,1870,2045,1860,1980,2514343.982374
2020-07-10T00:00:00,1980,1995,1875,1925,898073.138428
2020-07-11T00:00:00,1920,1980,1890,1960,768264.78075
2020-07-12T00:00:00,1955,1980,1885,1910,630027.842177
2020-07-13T00:00:00,1910,1985,1790,1825,1414502.674656
2020-07-14T00:00:00,1825,1895,1750,1895,1505824.189564
2020-07-15T00:00:00,1895,1990,1865,1895,1200439.389424
2020-07-16T00:00:00,1895,1950,1785,1880,825869.656142
2020-07-17T00:00:00,1880,1960,1855,1955,491779.858083
2020-07-18T00:00:00,1955,2290,1950,2175,3305200.854737
2020-07-19T00:00:00,2180,2195,2005,2015,1766008.447342
2020-07-20T00:00:00,2015,2130,1940,1960,1251290.226248
2020-07-21T00:00:00,1955,2020,1910,1960,1011275.555313
2020-07-22T00:00:00,1960,2010,1925,1945,536498.269932
2020-07-23T00:00:00,1945,1985,1865,1895,564176.717065
2020-07-24T00:00:00,1895,1930,1835,1890,505308.927181
2020-07-25T00:00:00,1890,1970,1820,1825,1104364.725881
2020-07-26T00:00:00,1825,1900,1710,1790,1654691.214157
2020-07-27T00:00:00,1785,1815,1525,1615,2807886.992938
2020-07-28T00:00:00,1615,1780,1595,1700,1879890.218858
2020-07-29T00:00:00,1700,1765,1640,1680,1213165.951425
2020-07-30T00:00:00,1680,1780,1655,1710,1557266.216899
2020-07-31T00:00:00,1710,1775,1695,1745,735859.828112
2020-08-01T00:00:00,1745,1810,1710,1750,1124462.535047
2020-08-02T00:00:00,1745,1780,1550,1660,1436172.310391
2020-08-03T00:00:00,1655,1705,1635,1645,754098.918476
2020-08-04T00:00:00,1645,1780,1635,1760,920533.908971
2020-08-05T00:00:00,1765,1890,1760,1795,1474845.51054
2020-08-06T00:00:00,1800,1940,1765,1885,795849.404809
2020-08-07T00:00:00,1895,1935,1730,1815,711621.325365
2020-08-08T00:00:00,1815,2045,1795,1985,735791.171535
2020-08-09T00:00:00,1975,2150,1915,2110,1001621.216664
2020-08-10T00:00:00,2115,2135,1895,2030,1084229.506886
2020-08-11T00:00:00,2020,2035,1805,1925,887227.942649
2020-08-12T00:00:00,1925,2045,1840,1995,1073288.150789
2020-08-13T00:00:00,1990,2310,1910,2045,2528166.04329
2020-08-14T00:00:00,2045,2415,2000,2205,3969254.974757
2020-08-15T00:00:00,2205,2340,2100,2150,1282881.950375
2020-08-16T00:00:00,2150,2260,2100,2200,1566461.01096
2020-08-17T00:00:00,2205,2280,2040,2055,1827714.335625
2020-08-18T00:00:00,2065,2115,1895,1965,1550549.396787
2020-08-19T00:00:00,1965,2020,1770,1885,1101827.93972
2020-08-20T00:00:00,1880,2120,1835,2015,1653182.021942
2020-08-21T00:00:00,2010,2255,1950,1975,4074008.380319
2020-08-22T00:00:00,1975,2070,1850,2040,1592563.177487
2020-08-23T00:00:00,2045,2095,1950,2035,722348.384171
2020-08-24T00:00:00,2035,2035,1960,1990,745277.027004
2020-08-25T00:00:00,1990,1995,1835,1890,837028.549631
2020-08-26T00:00:00,1890,1945,1845,1930,594792.216685
2020-08-27T00:00:00,1930,1945,1775,1835,492062.305458
2020-08-28T00:00:00,1840,1920,1790,1870,303253.18281
2020-08-29T00:00:00,1880,1995,1855,1930,435555.39083
2020-08-30T00:00:00,1955,2100,1940,1995,997464.580924
2020-08-31T00:00:00,1990,2160,1990,2125,957451.555298
2020-09-01T00:00:00,2125,2175,2015,2035,874284.348241
2020-09-02T00:00:00,2035,2050,1850,1970,589683.339786
2020-09-03T00:00:00,1975,1990,1555,1560,1263366.521354
2020-09-04T00:00:00,1560,1700,1520,1620,1071469.953143
2020-09-05T00:00:00,1620,1675,1305,1440,992307.598536
2020-09-06T00:00:00,1435,1590,1320,1560,872736.162571
2020-09-07T00:00:00,1570,1610,1375,1490,673511.658563
2020-09-08T00:00:00,1485,1505,1365,1425,731857.964766
2020-09-09T00:00:00,1410,1485,1380,1460,603128.441492
2020-09-10T00:00:00,1460,1520,1445,1485,821213.501226
