datetime,open,high,low,close,volume
2022-01-01T00:00:00,23950,24650,23950,24200,121173.986576
2022-01-01T04:00:00,24200,24370,23960,24250,118433.736042
2022-01-01T08:00:00,24250,24370,23970,24010,65250.194526
2022-01-01T12:00:00,24010,24510,24010,24430,68917.639081
2022-01-01T16:00:00,24440,24800,24370,24550,50149.039925
2022-01-01T20:00:00,24550,25250,24550,25220,65631.026454
2022-01-02T00:00:00,25200,25940,24980,25590,345048.329642
2022-01-02T04:00:00,25600,25760,25180,25230,111054.036837
2022-01-02T08:00:00,25230,25740,25210,25680,139750.456031
2022-01-02T12:00:00,25670,26100,25510,26060,195870.265064
2022-01-02T16:00:00,26060,27020,26050,26800,157723.838727
2022-01-02T20:00:00,26800,26900,26340,26540,82898.283289
2022-01-03T00:00:00,26530,26640,25910,26020,137639.021765
2022-01-03T04:00:00,26020,26360,25910,26320,84897.284987
2022-01-03T08:00:00,26320,27650,26300,27260,326037.546682
2022-01-03T12:00:00,27260,28270,27060,27550,426348.73373
2022-01-03T16:00:00,27630,28450,26970,27840,223877.647556
2022-01-03T20:00:00,27840,28950,27410,28950,369537.49537
2022-01-04T00:00:00,28950,29100,27650,28050,384090.046404
2022-01-04T04:00:00,28040,28680,27750,28680,140898.654681
2022-01-04T08:00:00,28680,29400,28370,29280,209200.576934
2022-01-04T12:00:00,29270,29400,28710,28810,266369.438395
2022-01-04T16:00:00,28800,29690,28470,28850,197180.069427
2022-01-04T20:00:00,28900,29700,28550,28550,199176.934682
2022-01-05T00:00:00,28560,31250,28500,31090,1274208.915581
2022-01-05T04:00:00,31100,31600,30770,31040,601922.541291
2022-01-05T08:00:00,31030,31600,30820,31160,445511.173574
2022-01-05T12:00:00,31140,33000,30800,32900,1413814.636344
2022-01-05T16:00:00,32900,33340,31160,31200,896304.761116
2022-01-05T20:00:00,31230,32180,27940,31270,4205725.812794
2022-01-06T00:00:00,31320,31800,28710,28910,2129721.874275
2022-01-06T04:00:00,28910,30710,28780,30500,1011744.717734
2022-01-06T08:00:00,30450,30520,29310,29820,696281.180682
2022-01-06T12:00:00,29820,30350,29230,29700,722233.414732
2022-01-06T16:00:00,29700,31900,29500,31700,383261.852358
2022-01-06T20:00:00,31700,31900,30500,31360,312132.949193
2022-01-07T00:00:00,31360,31440,28800,29130,746941.834296
2022-01-07T04:00:00,29120,29870,28170,29150,1150031.175653
2022-01-07T08:00:00,29150,32210,29010,31450,1490872.852559
2022-01-07T12:00:00,31460,32090,29770,31270,2316279.810878
2022-01-07T16:00:00,31330,33680,30520,32740,1905395.819358
2022-01-07T20:00:00,32790,33240,31590,32090,634578.697912
2022-01-08T00:00:00,32110,33450,31810,32550,1149610.602732
2022-01-08T04:00:00,32550,33650,32460,32860,755541.014253
2022-01-08T08:00:00,32850,33110,31710,32010,693023.976682
2022-01-08T12:00:00,32010,32440,30730,31050,720769.131754
2022-01-08T16:00:00,31040,31110,29550,30210,758334.199811
2022-01-08T20:00:00,30200,32810,30030,31670,598441.353766
2022-01-09T00:00:00,31670,33940,31470,33420,1530485.84165
2022-01-09T04:00:00,33450,34230,33190,33430,832567.67253
2022-01-09T08:00:00,33430,33830,32340,33480,711882.434683
2022-01-09T12:00:00,33530,34080,32700,33620,737369.210233
2022-01-09T16:00:00,33620,35270,33430,34300,814528.008153
2022-01-09T20:00:00,34290,34980,33670,33950,470009.085604
2022-01-10T00:00:00,33950,35040,33700,34120,961962.024406
2022-01-10T04:00:00,34110,34960,34000,34650,368519.652348
2022-01-10T08:00:00,34630,34730,32540,32690,710393.449108
2022-01-10T12:00:00,32670,33190,30890,32580,2459566.802655
2022-01-10T16:00:00,32600,34210,32390,33110,1530060.241234
2022-01-10T20:00:00,33120,34410,32810,34320,548380.877292
2022-01-11T00:00:00,34320,34940,33610,34360,834599.280424
2022-01-11T04:00:00,34350,34500,33120,33580,619708.802931
2022-01-11T08:00:00,33580,33760,32430,32730,470586.377537
2022-01-11T12:00:00,32730,33270,31630,32070,925884.54127
2022-01-11T16:00:00,32050,33210,32020,32380,800296.549769
2022-01-11T20:00:00,32380,33250,32080,32650,577594.064931
2022-01-12T00:00:00,32630,32910,32150,32390,606191.397844
2022-01-12T04:00:00,32380,32490,31300,31650,549550.820877
2022-01-12T08:00:00,31630,32230,31530,32000,419100.569989
2022-01-12T12:00:00,32010,33300,31950,32250,976265.199114
2022-01-12T16:00:00,32260,32590,31860,32510,186768.363767
2022-01-12T20:00:00,32590,32880,32380,32530,263051.767694
2022-01-13T00:00:00,32530,32530,31720,31830,389785.011182
2022-01-13T04:00:00,31830,32230,31720,32020,171491.675272
2022-01-13T08:00:00,32070,32340,31410,31470,339104.02738
2022-01-13T12:00:00,31470,32210,30790,31150,516821.921621
2022-01-13T16:00:00,31150,31250,30010,30210,326697.069248
