datetime,open,high,low,close,volume
2020-07-01T00:00:00,1375,1410,1350,1400,156142.882648
2020-07-02T00:00:00,1400,1400,1330,1365,162853.489549
2020-07-03T00:00:00,1365,1370,1335,1350,118173.236542
2020-07-04T00:00:00,1350,1375,1330,1355,92034.236466
2020-07-05T00:00:00,1355,1360,1290,1335,156511.62763
2020-07-06T00:00:00,1335,1375,1315,1365,216688.038581
2020-07-07T00:00:00,1365,1380,1330,1375,200697.949994
2020-07-08T00:00:00,1375,1495,1355,1465,478577.733079
2020-07-09T00:00:00,1465,1485,1390,1425,320591.256282
2020-07-10T00:00:00,1425,1430,1380,1425,227043.607758
2020-07-11T00:00:00,1425,1460,1405,1455,136658.443566
2020-07-12T00:00:00,1455,1495,1435,1490,189080.597978
2020-07-13T00:00:00,1490,1565,1455,1465,423776.433734
2020-07-14T00:00:00,1465,1475,1440,1470,122903.223175
2020-07-15T00:00:00,1470,1500,1450,1460,125698.738781
2020-07-16T00:00:00,1460,1460,1365,1420,293594.642722
2020-07-17T00:00:00,1415,1425,1380,1420,125478.945247
2020-07-18T00:00:00,1425,1500,1405,1485,304805.214777
2020-07-19T00:00:00,1480,1490,1435,1470,297431.703342
2020-07-20T00:00:00,1470,1545,1445,1510,480642.807626
2020-07-21T00:00:00,1510,1565,1465,1525,566319.227548
2020-07-22T00:00:00,1525,1530,1490,1525,324089.170074
2020-07-23T00:00:00,1525,1535,1475,1515,343478.73427
2020-07-24T00:00:00,1515,1515,1475,1485,234423.298439
2020-07-25T00:00:00,1485,1550,1480,1525,348120.530537
2020-07-26T00:00:00,1525,1530,1475,1500,404664.405042
2020-07-27T00:00:00,1500,1505,1405,1445,674269.280912
2020-07-28T00:00:00,1445,1530,1430,1475,419948.14238
2020-07-29T00:00:00,1470,1555,1455,1520,562760.740627
2020-07-30T00:00:00,1510,1545,1485,1495,446808.093201
2020-07-31T00:00:00,1500,1585,1490,1515,731955.337974
2020-08-01T00:00:00,1515,1580,1500,1560,528664.400732
2020-08-02T00:00:00,1560,1695,1415,1475,1450601.015826
2020-08-03T00:00:00,1475,1550,1460,1505,545697.978097
2020-08-04T00:00:00,1510,1535,1455,1525,569217.943644
2020-08-05T00:00:00,1525,1615,1500,1565,620833.749573
2020-08-06T00:00:00,1560,1645,1510,1640,817528.82946
2020-08-07T00:00:00,1640,1690,1595,1670,783843.934268
2020-08-08T00:00:00,1680,1935,1635,1845,1791076.836588
2020-08-09T00:00:00,1855,1925,1740,1815,948472.620268
2020-08-10T00:00:00,1815,1835,1715,1825,881535.572731
2020-08-11T00:00:00,1820,1880,1655,1730,946684.089751
2020-08-12T00:00:00,1730,1785,1635,1765,598377.768368
2020-08-13T00:00:00,1770,2430,1730,1970,4052678.300109
2020-08-14T00:00:00,1960,2235,1915,2025,1826581.110081
2020-08-15T00:00:00,2030,2055,1920,1970,752611.299376
2020-08-16T00:00:00,1970,2130,1910,2100,1012121.549265
2020-08-17T00:00:00,2110,2265,2015,2070,1290832.383829
