datetime,open,high,low,close,volume
2022-01-01T00:00:00,9.99,10.1,9.97,10,19509371.224806
2022-01-01T04:00:00,10,10.1,10,10,15481454.914281
2022-01-01T08:00:00,10.1,10.1,10,10,12427432.428586
2022-01-01T12:00:00,10,10.1,10,10.05,23292864.804866
2022-01-01T16:00:00,10.1,10.1,10,10.1,6750283.963387
2022-01-01T20:00:00,10.1,10.2,10,10.1,37062750.60911
2022-01-02T00:00:00,10.2,10.2,10,10.2,41718729.276966
2022-01-02T04:00:00,10.1,10.2,10.1,10.2,19473135.223356
2022-01-02T08:00:00,10.2,10.5,10.1,10.5,206556672.847151
2022-01-02T12:00:00,10.5,11.7,10.3,10.6,1000114900.486728
2022-01-02T16:00:00,10.7,10.7,10.5,10.5,84013300.892184
2022-01-02T20:00:00,10.6,10.8,10.5,10.7,94599812.960878
2022-01-03T00:00:00,10.7,11.2,10.4,11,650449342.259015
2022-01-03T04:00:00,10.9,11.2,10.8,11,193918260.975284
2022-01-03T08:00:00,11,11.1,10.7,11,251153826.554452
2022-01-03T12:00:00,11.1,11.3,10.8,10.9,291725106.616295
2022-01-03T16:00:00,10.9,11,10.6,10.6,184189621.36278
2022-01-03T20:00:00,10.6,10.8,10.5,10.8,110087166.527222
2022-01-04T00:00:00,10.7,11,10.2,10.5,447803858.681767
2022-01-04T04:00:00,10.4,10.6,10.3,10.6,81871315.423065
2022-01-04T08:00:00,10.6,10.6,10.4,10.6,65298298.818381
2022-01-04T12:00:00,10.6,10.6,10.3,10.5,235047628.729392
2022-01-04T16:00:00,10.5,10.6,10.4,10.5,38484829.723055
2022-01-04T20:00:00,10.5,10.5,10.3,10.3,84556067.26193
2022-01-05T00:00:00,10.4,10.5,10.3,10.4,75573078.426364
2022-01-05T04:00:00,10.4,10.5,10.3,10.4,49752524.106061
2022-01-05T08:00:00,10.4,10.5,10.3,10.4,55724694.927131
2022-01-05T12:00:00,10.4,10.5,10.3,10.5,46976236.086757
2022-01-05T16:00:00,10.5,10.5,10.2,10.2,47042434.963471
2022-01-05T20:00:00,10.2,10.3,9.6,9.81,353506748.771509
2022-01-06T00:00:00,9.81,10.3,9.6,9.61,409912670.62564
2022-01-06T04:00:00,9.61,9.75,9.58,9.75,104732553.624564
2022-01-06T08:00:00,9.76,9.85,9.59,9.62,77263919.339609
2022-01-06T12:00:00,9.62,9.76,9.58,9.69,84448690.669367
2022-01-06T16:00:00,9.68,9.83,9.65,9.83,25902244.861731
2022-01-06T20:00:00,9.83,9.95,9.73,9.9,32929833.508058
