datetime,open,high,low,close,volume
2020-07-01T00:00:00,2.2,2.28,2.14,2.21,748613383.742578
2020-07-02T00:00:00,2.21,2.24,2.08,2.12,410725839.100507
2020-07-03T00:00:00,2.12,2.28,2.09,2.23,478995166.545753
2020-07-04T00:00:00,2.23,2.45,2.19,2.4,971359504.877087
2020-07-05T00:00:00,2.39,2.4,2.25,2.29,482914616.975922
2020-07-06T00:00:00,2.29,2.36,2.24,2.27,385788273.984334
2020-07-07T00:00:00,2.29,2.35,2.21,2.27,276413019.861115
2020-07-08T00:00:00,2.27,2.28,2.19,2.24,371002896.276063
2020-07-09T00:00:00,2.25,2.31,2.18,2.27,420999699.273058
2020-07-10T00:00:00,2.27,2.52,2.25,2.43,1028825176.800567
2020-07-11T00:00:00,2.44,2.48,2.36,2.44,273258858.575012
2020-07-12T00:00:00,2.44,2.51,2.35,2.4,425806500.662421
2020-07-13T00:00:00,2.4,2.58,2.34,2.36,563321965.965473
2020-07-14T00:00:00,2.36,2.53,2.33,2.46,1070277155.589733
2020-07-15T00:00:00,2.46,2.62,2.39,2.51,784890393.561358
2020-07-16T00:00:00,2.51,2.64,2.32,2.56,1274297204.550166
2020-07-17T00:00:00,2.56,2.66,2.49,2.56,380633420.845224
2020-07-18T00:00:00,2.56,2.58,2.49,2.52,251837280.246397
2020-07-19T00:00:00,2.51,2.57,2.48,2.55,588639290.270776
2020-07-20T00:00:00,2.55,2.69,2.52,2.55,853601043.417365
2020-07-21T00:00:00,2.55,2.55,2.44,2.51,446788014.940595
2020-07-22T00:00:00,2.51,2.6,2.47,2.53,328254360.154702
2020-07-23T00:00:00,2.54,2.62,2.47,2.55,410173518.496497
2020-07-24T00:00:00,2.54,2.56,2.5,2.51,164622925.181359
2020-07-25T00:00:00,2.51,2.55,2.47,2.48,241478282.279963
2020-07-26T00:00:00,2.47,2.49,2.34,2.38,302102383.640967
2020-07-27T00:00:00,2.37,2.41,2.17,2.21,675533417.734862
2020-07-28T00:00:00,2.21,2.33,2.19,2.27,673468857.727266
