datetime,open,high,low,close,volume
2020-07-01T00:00:00,4.7,5.24,4.7,4.95,339633410.101437
2020-07-02T00:00:00,4.95,4.96,4.67,4.76,78297656.358389
2020-07-03T00:00:00,4.76,4.85,4.69,4.84,52638226.016782
2020-07-04T00:00:00,4.83,4.9,4.77,4.85,39806095.823841
2020-07-05T00:00:00,4.87,4.93,4.7,4.81,42786675.901863
2020-07-06T00:00:00,4.8,5.05,4.74,4.88,75331902.501573
2020-07-07T00:00:00,4.88,4.9,4.78,4.86,50860268.325353
2020-07-08T00:00:00,4.87,5,4.78,4.97,116279905.134955
2020-07-09T00:00:00,4.96,5,4.75,4.85,76098354.715318
2020-07-10T00:00:00,4.86,4.99,4.85,4.94,60642420.83252
2020-07-11T00:00:00,4.96,5.08,4.85,4.95,66717303.907493
2020-07-12T00:00:00,4.95,5.27,4.93,5.1,193911013.782116
2020-07-13T00:00:00,5.1,5.14,4.98,5.06,65074905.337588
2020-07-14T00:00:00,5.05,5.21,4.99,5.07,77413607.694516
2020-07-15T00:00:00,5.06,5.28,5.03,5.22,70019482.084067
2020-07-16T00:00:00,5.22,5.26,4.9,5.08,105393192.858197
2020-07-17T00:00:00,5.08,5.78,5.06,5.41,715703824.717786
2020-07-18T00:00:00,5.41,5.42,5.11,5.3,272036797.22026
2020-07-19T00:00:00,5.3,5.33,5.13,5.22,152656269.69095
2020-07-20T00:00:00,5.2,5.53,5.17,5.49,275881928.408808
2020-07-21T00:00:00,5.5,5.87,5.41,5.61,509276030.892715
2020-07-22T00:00:00,5.62,5.84,5.61,5.72,309989461.623768
2020-07-23T00:00:00,5.72,5.81,5.53,5.67,190035211.706465
2020-07-24T00:00:00,5.64,5.72,5.5,5.59,104831381.719065
2020-07-25T00:00:00,5.58,5.69,5.4,5.48,88006835.101073
2020-07-26T00:00:00,5.48,5.6,5.18,5.34,160733430.053993
2020-07-27T00:00:00,5.32,5.41,4.91,5,199835394.253915
2020-07-28T00:00:00,5.04,5.26,4.92,5.2,138992591.775774
2020-07-29T00:00:00,5.2,5.77,5.1,5.58,443308735.468976
2020-07-30T00:00:00,5.58,5.99,5.41,5.66,529680690.097119
2020-07-31T00:00:00,5.66,5.67,5.47,5.54,149464173.202691
2020-08-01T00:00:00,5.54,5.81,5.49,5.61,273117561.253772
2020-08-02T00:00:00,5.61,5.61,5.15,5.26,261272896.059247
2020-08-03T00:00:00,5.26,5.43,5.22,5.35,136872829.406796
2020-08-04T00:00:00,5.35,5.42,5.16,5.32,117324709.059651
2020-08-05T00:00:00,5.32,5.34,5.2,5.26,68222445.570469
2020-08-06T00:00:00,5.27,5.3,5.19,5.27,64071270.464948
2020-08-07T00:00:00,5.27,5.41,5.24,5.28,79447040.919901
2020-08-08T00:00:00,5.3,5.49,5.27,5.42,82743096.039428
2020-08-09T00:00:00,5.42,5.52,5.3,5.51,114232028.040643
2020-08-10T00:00:00,5.52,5.71,5.39,5.7,185314000.621439
2020-08-11T00:00:00,5.7,5.75,5.29,5.42,234788635.574602
2020-08-12T00:00:00,5.44,5.58,5.28,5.51,119256612.809754
2020-08-13T00:00:00,5.51,5.73,5.43,5.6,178242043.336723
2020-08-14T00:00:00,5.6,5.71,5.57,5.68,151741698.343663
2020-08-15T00:00:00,5.68,5.69,5.59,5.69,59496394.108267
2020-08-16T00:00:00,5.68,5.71,5.51,5.69,128731215.634969
2020-08-17T00:00:00,5.69,5.73,5.6,5.71,169874253.735301
2020-08-18T00:00:00,5.71,6.43,5.44,5.81,530882184.900597
2020-08-19T00:00:00,5.8,5.95,5.49,5.61,252393456.419923
2020-08-20T00:00:00,5.61,5.87,5.53,5.87,182722662.127627
2020-08-21T00:00:00,5.87,6.06,5.66,5.73,265955028.327277
2020-08-22T00:00:00,5.74,6.48,5.55,6.31,949367095.159251
