datetime,open,high,low,close,volume
2020-07-01T00:00:00,237,238,231,238,3432790.708899
2020-07-02T00:00:00,238,238,225,229,4321183.042841
2020-07-03T00:00:00,230,235,228,229,4833901.394611
2020-07-04T00:00:00,230,240,228,232,5427992.701777
2020-07-05T00:00:00,234,234,227,229,2585875.254087
2020-07-06T00:00:00,229,235,226,232,4898991.061735
2020-07-07T00:00:00,232,236,229,235,3630141.253375
2020-07-08T00:00:00,234,255,230,241,19141680.541063
2020-07-09T00:00:00,242,245,232,235,7523781.966643
2020-07-10T00:00:00,235,238,232,238,4240463.558663
2020-07-11T00:00:00,237,241,236,237,3939360.421186
2020-07-12T00:00:00,237,239,234,238,3092310.779622
2020-07-13T00:00:00,237,240,234,236,3639062.539908
2020-07-14T00:00:00,234,236,229,233,3441168.750661
2020-07-15T00:00:00,232,235,229,232,2454853.48472
2020-07-16T00:00:00,233,237,223,228,6892262.905215
2020-07-17T00:00:00,227,232,226,230,3934863.47892
2020-07-18T00:00:00,230,233,225,233,3699793.571381
2020-07-19T00:00:00,233,235,228,234,4250277.104927
2020-07-20T00:00:00,234,239,231,234,6459534.780915
2020-07-21T00:00:00,234,236,230,234,7006429.240623
2020-07-22T00:00:00,234,238,232,237,6699121.269624
2020-07-23T00:00:00,236,238,230,233,7778312.265713
2020-07-24T00:00:00,232,234,228,232,4860048.52966
2020-07-25T00:00:00,232,236,230,233,2942147.043239
2020-07-26T00:00:00,233,234,226,229,5177420.394045
2020-07-27T00:00:00,228,245,226,234,19669896.538567
2020-07-28T00:00:00,233,247,231,245,21812318.925081
2020-07-29T00:00:00,245,291,240,279,52356279.463842
2020-07-30T00:00:00,280,289,244,251,26539020.458691
2020-07-31T00:00:00,251,256,245,249,13583634.940234
2020-08-01T00:00:00,249,258,246,252,14837075.320015
2020-08-02T00:00:00,252,254,233,237,15702598.983926
2020-08-03T00:00:00,236,248,235,244,10695466.363145
2020-08-04T00:00:00,244,258,237,248,13945720.525256
2020-08-05T00:00:00,248,251,243,247,7594457.403071
2020-08-06T00:00:00,247,251,240,245,10580094.258362
2020-08-07T00:00:00,245,247,235,240,7121621.032015
2020-08-08T00:00:00,240,247,239,243,7686372.274127
2020-08-09T00:00:00,243,246,239,243,7657520.855449
2020-08-10T00:00:00,243,258,242,256,13856937.451928
2020-08-11T00:00:00,257,266,247,263,14970093.679092
