datetime,open,high,low,close,volume
2022-01-01T00:00:00,2535,2595,2515,2590,678241.803961
2022-01-02T00:00:00,2595,2860,2570,2710,4697195.04309
2022-01-03T00:00:00,2705,2915,2700,2760,8131497.257071
2022-01-04T00:00:00,2760,2780,2610,2715,2162634.684349
2022-01-05T00:00:00,2715,2995,2465,2585,7493319.104449
2022-01-06T00:00:00,2585,2625,2420,2500,2273783.766758
2022-01-07T00:00:00,2500,2510,2180,2305,3020110.217992
2022-01-08T00:00:00,2300,2530,2295,2360,10160054.062869
2022-01-09T00:00:00,2360,2405,2295,2335,2284451.707781
2022-01-10T00:00:00,2335,2430,2075,2195,4087022.522218
2022-01-11T00:00:00,2195,2285,2150,2275,2578714.244027
2022-01-12T00:00:00,2275,2355,2235,2325,1921287.099728
2022-01-13T00:00:00,2320,2345,2220,2225,1918304.386034
2022-01-14T00:00:00,2230,2290,2200,2255,2215782.972951
2022-01-15T00:00:00,2255,2310,2240,2280,1011192.250248
2022-01-16T00:00:00,2280,2345,2255,2315,2487170.75574
2022-01-17T00:00:00,2315,2315,2200,2230,1216645.673624
2022-01-18T00:00:00,2225,2235,2100,2185,1422565.203046
2022-01-19T00:00:00,2180,2185,2045,2065,1620792.062421
2022-01-20T00:00:00,2070,2220,2030,2045,2662748.257159
2022-01-21T00:00:00,2045,2055,1760,1795,2668507.210922
2022-01-22T00:00:00,1795,1820,1455,1690,4686914.567006
2022-01-23T00:00:00,1690,1780,1665,1735,1682277.362431
2022-01-24T00:00:00,1745,1850,1650,1795,14570813.388389
2022-01-25T00:00:00,1800,1805,1655,1735,2886152.304455
2022-01-26T00:00:00,1730,1890,1665,1720,5082971.829595
2022-01-27T00:00:00,1720,1760,1650,1720,2756292.016494
2022-01-28T00:00:00,1730,1790,1700,1785,2277432.055177
2022-01-29T00:00:00,1785,1860,1770,1845,2752200.717183
2022-01-30T00:00:00,1845,1885,1805,1855,1858503.26786
2022-01-31T00:00:00,1860,1915,1745,1900,1571835.95325
2022-02-01T00:00:00,1900,1930,1860,1885,1421057.690587
2022-02-02T00:00:00,1890,2320,1870,1955,46264463.465106
2022-02-03T00:00:00,1960,2140,1920,2005,10286373.613009
2022-02-04T00:00:00,1995,2135,1990,2095,7942573.301851
2022-02-05T00:00:00,2095,2225,2090,2160,9270929.109187
2022-02-06T00:00:00,2160,2195,2040,2175,3126282.095645
2022-02-07T00:00:00,2175,2440,2110,2285,15572377.401781
2022-02-08T00:00:00,2280,2300,2055,2185,6171504.65908
2022-02-09T00:00:00,2185,2365,2180,2215,14642249.912007
2022-02-10T00:00:00,2215,2235,2075,2110,4255865.142237
2022-02-11T00:00:00,2110,2430,1965,2010,27065287.19151
2022-02-12T00:00:00,2010,2035,1910,1980,3658249.386431
2022-02-13T00:00:00,1980,2040,1920,1965,2382878.122831
2022-02-14T00:00:00,1965,2035,1890,1955,3489925.051495
2022-02-15T00:00:00,1955,2145,1945,2135,2037885.312079
2022-02-16T00:00:00,2135,2180,2015,2060,2345314.355201
2022-02-17T00:00:00,2055,2075,1860,1885,2606936.089318
2022-02-18T00:00:00,1885,1945,1830,1865,1656295.254744
2022-02-19T00:00:00,1865,1885,1775,1830,1008313.097664
2022-02-20T00:00:00,1830,1885,1720,1790,5701104.735555
2022-02-21T00:00:00,1790,1850,1635,1640,2940517.259617
2022-02-22T00:00:00,1650,1700,1550,1680,2784598.693886
2022-02-23T00:00:00,1680,1750,1615,1630,1863065.82996
2022-02-24T00:00:00,1630,1660,1430,1635,3969263.051506
2022-02-25T00:00:00,1640,1785,1600,1760,3059239.024995
2022-02-26T00:00:00,1760,1990,1750,1875,12629532.489375
2022-02-27T00:00:00,1865,1910,1725,1770,4009363.23949
2022-02-28T00:00:00,1770,1905,1740,1905,3805957.451127
2022-03-01T00:00:00,1900,1980,1865,1950,3865649.15117
2022-03-02T00:00:00,1960,2090,1860,1935,10435443.570634
2022-03-03T00:00:00,1935,1940,1825,1860,2198866.620278
2022-03-04T00:00:00,1860,1865,1725,1755,1694649.508215
2022-03-05T00:00:00,1750,1805,1705,1800,1485226.671355
2022-03-06T00:00:00,1795,1865,1745,1800,1518941.13385
2022-03-07T00:00:00,1805,1830,1725,1790,1866450.27967
2022-03-08T00:00:00,1790,1930,1765,1910,4617658.213533
2022-03-09T00:00:00,1910,1960,1870,1955,3358791.104254
2022-03-10T00:00:00,1950,1960,1825,1910,2418863.961166
2022-03-11T00:00:00,1910,1915,1800,1825,1620323.808268
2022-03-12T00:00:00,1825,1870,1820,1840,818492.220477
2022-03-13T00:00:00,1840,1890,1740,1760,2139377.639236
2022-03-14T00:00:00,1755,1820,1720,1805,1532140.521062
2022-03-15T00:00:00,1805,1850,1750,1830,1091824.443997
2022-03-16T00:00:00,1830,1885,1800,1880,1173692.312342
2022-03-17T00:00:00,1875,1900,1805,1860,1578598.606241
2022-03-18T00:00:00,1860,1920,1825,1910,1871892.839643
2022-03-19T00:00:00,1910,1995,1905,1990,2938608.142389
2022-03-20T00:00:00,1990,2050,1920,1920,2830622.287143
2022-03-21T00:00:00,1920,2045,1890,1980,5112318.41822
2022-03-22T00:00:00,1980,2020,1965,1995,2471702.119553
2022-03-23T00:00:00,1990,2075,1950,2065,2209080.061557
2022-03-24T00:00:00,2070,2095,2010,2060,1956972.426139
2022-03-25T00:00:00,2060,2085,2005,2045,1950923.373851
2022-03-26T00:00:00,2065,2380,2025,2305,40968001.62138
2022-03-27T00:00:00,2305,2345,2170,2320,10969119.169117
2022-03-28T00:00:00,2325,2745,2295,2340,28092643.665541
2022-03-29T00:00:00,2340,2505,2250,2345,7543546.484309
2022-03-30T00:00:00,2345,2580,2230,2525,10019610.128128
2022-03-31T00:00:00,2535,2615,2390,2475,6066555.5096
2022-04-01T00:00:00,2475,2545,2310,2535,3169370.468923
2022-04-02T00:00:00,2535,2930,2485,2605,11952700.772286
2022-04-03T00:00:00,2605,2790,2520,2575,4086145.19805
2022-04-04T00:00:00,2575,2605,2315,2405,2808120.546979
2022-04-05T00:00:00,2405,2495,2360,2400,4074822.686272
2022-04-06T00:00:00,2400,2405,2080,2090,2948102.060376
2022-04-07T00:00:00,2090,2210,2040,2185,1589161.517838
2022-04-08T00:00:00,2180,2230,2070,2090,1509422.389567
2022-04-09T00:00:00,2090,2230,2060,2230,1329951.121752
2022-04-10T00:00:00,2230,2240,2110,2115,1109827.996641
2022-04-11T00:00:00,2115,2120,1900,1940,1865431.065814
2022-04-12T00:00:00,1935,3100,1925,3035,213963628.676297
2022-04-13T00:00:00,3035,3350,2760,2885,107104020.808478
2022-04-14T00:00:00,2885,3025,2620,2640,25667927.835809
2022-04-15T00:00:00,2635,2835,2445,2540,21934483.11792
2022-04-16T00:00:00,2540,2590,2425,2450,5219915.893156
2022-04-17T00:00:00,2450,3475,2435,3410,112223456.060095
2022-04-18T00:00:00,3415,3975,3040,3710,160906612.143649
2022-04-19T00:00:00,3715,4345,3515,3840,137014440.039281
2022-04-20T00:00:00,3840,4020,3460,3510,68506451.534271
2022-04-21T00:00:00,3510,3600,3080,3190,31053050.589401
2022-04-22T00:00:00,3185,3640,3030,3050,55678329.718153
2022-04-23T00:00:00,3050,3720,3025,3475,123867531.906591
2022-04-24T00:00:00,3470,3655,3180,3205,41448661.500883
2022-04-25T00:00:00,3205,3395,3095,3310,54550959.887255
2022-04-26T00:00:00,3305,3610,3125,3250,51533987.502739
2022-04-27T00:00:00,3250,3445,3250,3425,28602910.663476
2022-04-28T00:00:00,3425,3535,3200,3485,21686767.953475
2022-04-29T00:00:00,3485,3515,3280,3335,19240582.555326
2022-04-30T00:00:00,3330,3350,2720,2790,15989711.623444
2022-05-01T00:00:00,2790,2845,2510,2660,15771741.500064
2022-05-02T00:00:00,2660,2890,2535,2670,29750395.951596
2022-05-03T00:00:00,2665,2670,2445,2485,9842605.820257
2022-05-04T00:00:00,2485,2660,2320,2650,20348265.511567
2022-05-05T00:00:00,2650,2910,2405,2495,39964404.008807
2022-05-06T00:00:00,2485,2510,2255,2410,12000085.089091
2022-05-07T00:00:00,2405,2485,2230,2280,8913886.290183
2022-05-08T00:00:00,2280,2325,2120,2160,6152340.806088
2022-05-09T00:00:00,2155,2310,1830,1835,21029295.082075
2022-05-10T00:00:00,1845,2010,1735,1835,14037143.123638
2022-05-11T00:00:00,1840,1875,1260,1385,18344849.236586
2022-05-12T00:00:00,1385,1420,1025,1215,18109996.550401
2022-05-13T00:00:00,1215,1475,1190,1355,17482895.939859
2022-05-14T00:00:00,1355,1610,1330,1495,20620223.56112
2022-05-15T00:00:00,1495,1845,1470,1780,62371989.357931
2022-05-16T00:00:00,1775,1780,1605,1640,9526253.142542
2022-05-17T00:00:00,1640,1915,1625,1820,43654547.850619
2022-05-18T00:00:00,1825,1960,1590,1735,27889845.375149
2022-05-19T00:00:00,1735,1845,1565,1830,16283632.191379
2022-05-20T00:00:00,1830,1860,1650,1770,14402984.325859
2022-05-21T00:00:00,1770,1965,1770,1910,32212301.293123
2022-05-22T00:00:00,1915,1950,1835,1945,15920943.872498
2022-05-23T00:00:00,1945,2090,1785,1855,21405242.467199
2022-05-24T00:00:00,1855,1915,1665,1830,10254141.302848
2022-05-25T00:00:00,1830,1830,1705,1790,7546123.627775
2022-05-26T00:00:00,1790,1825,1525,1640,10283161.081961
2022-05-27T00:00:00,1640,1695,1500,1565,7425879.12277
