datetime,open,high,low,close,volume
2022-01-01T00:00:00,17990,18590,17690,18440,4972891.610899
2022-01-02T00:00:00,18440,18600,17410,17520,7174323.730819
2022-01-03T00:00:00,17520,20260,16960,20220,11419306.123341
2022-01-04T00:00:00,20230,21570,19420,19580,22005856.971824
2022-01-05T00:00:00,19570,21190,17370,18970,14518541.970111
2022-01-06T00:00:00,18970,20030,18100,19690,15275925.652025
2022-01-07T00:00:00,19690,19830,17810,18650,12045269.146622
2022-01-08T00:00:00,18640,19170,16800,17370,8117889.024197
2022-01-09T00:00:00,17330,17590,16310,16710,8321745.03105
2022-01-10T00:00:00,16710,19030,16350,18960,22184299.858929
2022-01-11T00:00:00,18950,22650,18660,22100,20711495.035504
2022-01-12T00:00:00,22100,23000,21230,21370,13171515.086992
2022-01-13T00:00:00,21370,24720,20880,24140,17842088.758709
2022-01-14T00:00:00,24120,25380,22640,24490,15496017.71595
2022-01-15T00:00:00,24490,24660,23210,23410,5643080.056677
2022-01-16T00:00:00,23420,24800,22850,24370,9742195.681463
2022-01-17T00:00:00,24360,24450,21820,22600,6741400.725589
2022-01-18T00:00:00,22600,22700,21150,21820,5552517.144899
2022-01-19T00:00:00,21820,22200,19830,20050,6459156.361354
2022-01-20T00:00:00,20020,21450,18900,19130,7149876.565082
2022-01-21T00:00:00,19120,19800,16860,17540,9137767.998529
2022-01-22T00:00:00,17540,17660,14200,14900,10918561.74899
2022-01-23T00:00:00,14900,16420,14420,15400,9640974.607901
2022-01-24T00:00:00,15400,15400,12840,14280,8818827.972103
2022-01-25T00:00:00,14290,15250,12850,14940,8417318.225547
2022-01-26T00:00:00,14930,15850,13700,14710,9500810.620903
2022-01-27T00:00:00,14710,15030,13710,14360,4202842.59946
2022-01-28T00:00:00,14330,14580,13870,14460,2570216.586878
2022-01-29T00:00:00,14470,15030,14230,14740,3570098.267649
2022-01-30T00:00:00,14750,14920,14030,14360,2134088.034937
2022-01-31T00:00:00,14350,14420,13310,14210,1856227.578351
2022-02-01T00:00:00,14210,15030,14000,14680,3902234.854609
2022-02-02T00:00:00,14700,14900,13800,13800,3491138.659957
2022-02-03T00:00:00,13810,13910,13000,13470,3582455.188822
2022-02-04T00:00:00,13460,16050,13300,15850,8124016.336892
2022-02-05T00:00:00,15840,16580,15430,15760,9866294.326392
2022-02-06T00:00:00,15740,17180,15630,16470,11301228.526254
2022-02-07T00:00:00,16470,17180,16010,16520,8048006.634296
2022-02-08T00:00:00,16520,16840,14960,15580,7279219.301759
2022-02-09T00:00:00,15580,15850,14770,15700,3874570.610925
2022-02-10T00:00:00,15700,15710,14360,14450,5401840.408613
2022-02-11T00:00:00,14450,15050,12960,13310,5999869.028654
2022-02-12T00:00:00,13310,13690,12610,13190,3814325.612832
2022-02-13T00:00:00,13190,13340,12650,12770,3057374.714983
2022-02-14T00:00:00,12750,12970,12280,12820,2911381.701354
2022-02-15T00:00:00,12820,13980,12730,13910,3161042.504683
2022-02-16T00:00:00,13910,13920,13160,13640,2379966.436187
2022-02-17T00:00:00,13640,14200,12690,12750,5384782.207683
2022-02-18T00:00:00,12750,13370,12420,12590,2936966.790568
2022-02-19T00:00:00,12620,12760,12010,12280,1660595.192785
2022-02-20T00:00:00,12310,12370,11150,11420,2667888.462527
2022-02-21T00:00:00,11420,11920,10380,10460,3610744.018851
2022-02-22T00:00:00,10470,10960,10100,10910,2349899.142754
2022-02-23T00:00:00,10910,11460,10450,10470,2716866.20084
2022-02-24T00:00:00,10470,10690,9230,10410,5806512.988887
2022-02-25T00:00:00,10410,11030,10070,10900,2855520.253698
2022-02-26T00:00:00,10900,11460,10830,11150,2187653.089931
2022-02-27T00:00:00,11160,11210,10270,10470,2421622.001917
2022-02-28T00:00:00,10470,11820,10240,11780,2768483.454384
2022-03-01T00:00:00,11780,14490,11510,14340,20564636.48346
2022-03-02T00:00:00,14340,14490,13240,13500,12548202.043447
2022-03-03T00:00:00,13490,14220,13070,13440,8691174.954145
2022-03-04T00:00:00,13460,14500,12800,12900,12905532.953552
2022-03-05T00:00:00,12900,13300,12470,12970,4740004.105378
2022-03-06T00:00:00,12970,13410,12560,12580,6617961.059618
2022-03-07T00:00:00,12570,12780,11670,12060,5773446.745145
2022-03-08T00:00:00,12060,12370,11900,12130,2869628.980669
2022-03-09T00:00:00,12130,14410,12080,14280,13406725.454304
2022-03-10T00:00:00,14290,14850,13100,13680,12597637.464529
2022-03-11T00:00:00,13680,14120,12780,12790,6038392.09473
2022-03-12T00:00:00,12800,13230,12760,12890,3055274.899718
2022-03-13T00:00:00,12890,13040,12230,12350,3430853.621215
2022-03-14T00:00:00,12370,12650,12100,12560,2713337.541249
2022-03-15T00:00:00,12550,12920,12310,12530,2839840.909136
2022-03-16T00:00:00,12530,13280,12340,13240,4205452.151217
