datetime,open,high,low,close,volume
2022-01-01T00:00:00,919,925,912,921,210746.646187
2022-01-01T04:00:00,922,925,916,922,178610.588023
2022-01-01T08:00:00,923,923,918,919,94453.360617
2022-01-01T12:00:00,919,925,919,923,90593.399018
2022-01-01T16:00:00,921,1020,921,957,3666347.526614
2022-01-01T20:00:00,957,964,941,952,829788.80101
2022-01-02T00:00:00,951,1035,946,991,13127282.44043
2022-01-02T04:00:00,991,994,976,982,2043604.728323
2022-01-02T08:00:00,983,1015,983,998,4740071.074568
2022-01-02T12:00:00,999,1095,995,1015,6628578.64442
2022-01-02T16:00:00,1015,1015,1000,1005,525279.388238
2022-01-02T20:00:00,1010,1020,1000,1010,633367.924178
2022-01-03T00:00:00,1015,1040,996,1020,2593932.31752
2022-01-03T04:00:00,1020,1035,1010,1030,1364397.643639
2022-01-03T08:00:00,1030,1035,1005,1025,901671.199263
2022-01-03T12:00:00,1020,1075,1020,1035,1735061.62782
2022-01-03T16:00:00,1040,1045,1005,1030,718101.28495
2022-01-03T20:00:00,1030,1040,998,1035,898624.834148
2022-01-04T00:00:00,1035,1045,964,983,2415089.914839
2022-01-04T04:00:00,983,996,968,995,538999.19807
2022-01-04T08:00:00,995,1005,989,1000,447896.91015
2022-01-04T12:00:00,1000,1005,980,996,922892.655849
2022-01-04T16:00:00,996,1000,992,993,198211.674806
2022-01-04T20:00:00,993,998,987,989,234470.029494
2022-01-05T00:00:00,989,1005,980,992,917054.21098
2022-01-05T04:00:00,993,995,985,988,407625.793053
2022-01-05T08:00:00,991,995,987,989,264525.495947
2022-01-05T12:00:00,990,998,985,994,546667.40207
2022-01-05T16:00:00,997,1005,985,985,407969.871579
2022-01-05T20:00:00,989,989,891,925,1745227.467428
2022-01-06T00:00:00,926,932,885,885,1213215.558219
2022-01-06T04:00:00,886,907,883,904,502605.144479
2022-01-06T08:00:00,904,904,883,895,280135.900899
2022-01-06T12:00:00,894,902,886,897,495275.662847
2022-01-06T16:00:00,896,916,894,915,182697.868919
2022-01-06T20:00:00,915,920,905,914,335599.172645
2022-01-07T00:00:00,917,1040,913,969,30576708.962329
2022-01-07T04:00:00,969,1010,951,993,15651404.744496
2022-01-07T08:00:00,992,1005,966,978,7480137.141418
2022-01-07T12:00:00,975,999,944,959,8119126.963371
2022-01-07T16:00:00,958,962,935,940,1760631.097849
2022-01-07T20:00:00,942,966,924,952,2806679.199021
2022-01-08T00:00:00,952,955,905,908,3756637.130964
2022-01-08T04:00:00,908,922,908,921,1125133.063123
2022-01-08T08:00:00,921,936,915,920,1050520.354695
2022-01-08T12:00:00,920,923,904,906,674450.995307
2022-01-08T16:00:00,906,908,885,887,889866.577721
2022-01-08T20:00:00,891,915,887,909,411603.731367
2022-01-09T00:00:00,916,929,875,884,3991151.647557
2022-01-09T04:00:00,884,896,883,891,1657243.096006
2022-01-09T08:00:00,890,894,875,884,886478.562947
2022-01-09T12:00:00,884,892,878,884,575231.327866
2022-01-09T16:00:00,884,894,881,894,437822.401028
2022-01-09T20:00:00,895,901,889,901,574169.474688
2022-01-10T00:00:00,900,905,883,892,1593536.750085
2022-01-10T04:00:00,892,898,883,887,825905.589457
2022-01-10T08:00:00,887,888,857,858,1487489.992624
2022-01-10T12:00:00,858,860,800,835,3054808.835024
2022-01-10T16:00:00,836,847,829,831.5,442556.461347
2022-01-10T20:00:00,829,852,829,846,230101.44458
2022-01-11T00:00:00,847,887,827,844,3921213.598266
2022-01-11T04:00:00,845,845,807,811,943676.550144
2022-01-11T08:00:00,813,827,810,821,701921.160527
2022-01-11T12:00:00,821,835,817,832,487112.05283
2022-01-11T16:00:00,832,864,832,852,395586.400527
2022-01-11T20:00:00,854,865,848,863,456490.105068
2022-01-12T00:00:00,863,866,835,842,980239.023993
2022-01-12T04:00:00,843,851,842,844,285644.813779
2022-01-12T08:00:00,844,859,842,859,359064.545099
2022-01-12T12:00:00,859,877,855,867,1428820.239963
2022-01-12T16:00:00,867,880,861,879,335942.708711
2022-01-12T20:00:00,879,893,870,887,656115.616032
2022-01-13T00:00:00,887,891,865,871,1151959.068899
2022-01-13T04:00:00,873,880,871,875,415625.703522
2022-01-13T08:00:00,874,882,871,873,720737.53314
2022-01-13T12:00:00,872,884,860,863,802071.294386
2022-01-13T16:00:00,863,869,848,854,314347.783499
2022-01-13T20:00:00,854,871,847,857,398761.775652
2022-01-14T00:00:00,856,862,838,852,745408.096835
2022-01-14T04:00:00,852,862,849,851,376405.755663
2022-01-14T08:00:00,851,854,830,839,768516.588552
2022-01-14T12:00:00,837,873,833,857,519574.117223
2022-01-14T16:00:00,860,869,857,869,119230.739937
2022-01-14T20:00:00,869,871,859,869,367886.035447
2022-01-15T00:00:00,871,1005,867,915,47532159.162486
2022-01-15T04:00:00,915,923,901,905,5992934.341904
2022-01-15T08:00:00,904,915,900,905,3206435.723568
2022-01-15T12:00:00,904,911,899,905,2350238.994189
2022-01-15T16:00:00,904,910,903,906,443052.487077
2022-01-15T20:00:00,906,912,902,906,1023896.100185
2022-01-16T00:00:00,906,1005,901,940,48956762.819961
2022-01-16T04:00:00,940,948,925,936,3803411.522663
2022-01-16T08:00:00,936,987,930,946,16653513.639696
2022-01-16T12:00:00,946,953,932,941,4619912.096047
2022-01-16T16:00:00,941,945,935,943,492688.446462
2022-01-16T20:00:00,944,970,941,966,3302510.840314
2022-01-17T00:00:00,964,973,913,915,5541999.272943
2022-01-17T04:00:00,914,920,905,906,2106431.966565
2022-01-17T08:00:00,906,919,903,910,1103854.85016
2022-01-17T12:00:00,910,912,903,903,841890.120074
2022-01-17T16:00:00,903,904,894,903,546819.177966
2022-01-17T20:00:00,904,909,885,902,865528.936445
2022-01-18T00:00:00,903,907,861,865,2274859.588074
2022-01-18T04:00:00,864,866,852,861,918212.513293
2022-01-18T08:00:00,860,864,852,860,507547.461556
2022-01-18T12:00:00,860,866,851,860,612304.801856
2022-01-18T16:00:00,860,864,851,857.5,244470.285562
2022-01-18T20:00:00,858,875,858,867,320822.949301
2022-01-19T00:00:00,867,896,844,847,2330107.883208
2022-01-19T04:00:00,847,852,814,817,994648.365153
