datetime,open,high,low,close,volume
2022-01-01T00:00:00,101,103,100,103,12550618.484534
2022-01-02T00:00:00,103,110,102,108,63241656.015198
2022-01-03T00:00:00,108,110,104,106,47174222.428149
2022-01-04T00:00:00,106,108,101,105,32737627.75277
2022-01-05T00:00:00,105,107,99,102,47746234.369696
2022-01-06T00:00:00,102,103,95.7,99.6,44577388.601483
2022-01-07T00:00:00,99.6,100,90.5,94.3,35850181.95416
2022-01-08T00:00:00,94.3,96.4,90.5,92.7,20350446.137644
2022-01-09T00:00:00,92.5,95.5,91.4,92.3,18148501.293832
2022-01-10T00:00:00,92.3,92.9,82.6,87.2,52594123.074004
2022-01-11T00:00:00,87.2,110,86,93.3,849542797.915032
2022-01-12T00:00:00,93.3,105,92.3,99.1,378526640.913184
2022-01-13T00:00:00,99.4,102,95.1,96,83623156.82213
2022-01-14T00:00:00,96,101,94.2,99.2,131887961.081336
2022-01-15T00:00:00,99.2,99.4,94.8,97.9,29793112.11551
2022-01-16T00:00:00,98,99.7,96.1,97.2,28542013.068838
2022-01-17T00:00:00,97.2,101,97.1,100,134962870.36074
2022-01-18T00:00:00,101,109,92.9,95.7,327806933.743942
2022-01-19T00:00:00,95.9,98,88.2,91.1,72149480.760113
2022-01-20T00:00:00,91.1,96.5,87,88.1,85884820.4589
2022-01-21T00:00:00,88,89.2,78.3,78.9,63095663.491764
2022-01-22T00:00:00,78.9,82.8,68.3,74,63011212.345878
2022-01-23T00:00:00,74,77,71.4,74.9,30395654.948841
2022-01-24T00:00:00,75.1,75.1,64.6,70.9,50947558.080793
2022-01-25T00:00:00,70.9,72,67,71.8,21923507.1169
2022-01-26T00:00:00,71.8,86.4,70.6,75.8,148887012.625999
2022-01-27T00:00:00,75.8,78,72.7,77.8,40816904.609857
2022-01-28T00:00:00,77.8,80,75.2,79.9,38740834.842804
2022-01-29T00:00:00,79.9,81.9,78.1,80.7,30569904.90916
2022-01-30T00:00:00,80.6,87.5,80.1,82.5,168366783.301259
2022-01-31T00:00:00,82.4,82.7,76.5,80.9,25664659.780693
2022-02-01T00:00:00,80.6,81.4,79.7,81.3,12986988.898574
2022-02-02T00:00:00,81.3,85.4,78.2,79.2,63243790.142644
2022-02-03T00:00:00,79,85.4,77.8,80.9,90210608.092075
2022-02-04T00:00:00,80.9,86.5,80.2,86.2,162571955.484016
2022-02-05T00:00:00,86.1,99.4,85.6,93.3,639854520.437736
2022-02-06T00:00:00,94.7,98.8,88.8,93.8,193714188.039865
2022-02-07T00:00:00,93.8,98.5,90.5,97,123068422.726679
2022-02-08T00:00:00,96.9,97.7,91,95.7,92007588.384989
2022-02-09T00:00:00,95.8,99.4,92,95.7,97898809.007407
2022-02-10T00:00:00,95.7,95.7,91.5,92.7,35556203.644953
2022-02-11T00:00:00,92.5,94.5,86,87.8,39534559.02952
2022-02-12T00:00:00,88,91.7,84.5,87.8,34295029.026814
2022-02-13T00:00:00,87.8,88.9,85.7,88.1,15389018.001599
2022-02-14T00:00:00,88.1,90.8,84.2,85.5,43749498.691844
2022-02-15T00:00:00,85.5,90.4,85.1,90.4,27750942.163186
2022-02-16T00:00:00,90.4,94.5,90,91.8,115524378.517138
2022-02-17T00:00:00,91.6,92.1,84.5,85,40241475.315004
2022-02-18T00:00:00,85,87.2,82,83.4,21513606.370926
2022-02-19T00:00:00,83.5,84.6,79.6,82.8,13981144.530705
2022-02-20T00:00:00,82.8,83.8,77.9,79.6,20613733.330345
2022-02-21T00:00:00,79.7,81.7,74.4,74.7,28938278.645203
2022-02-22T00:00:00,74.7,76.9,72,76.8,32952543.259439
2022-02-23T00:00:00,76.9,78.6,74.9,76.3,17882099.716346
2022-02-24T00:00:00,76.3,77.2,67.8,74.3,40596285.732094
2022-02-25T00:00:00,74.2,84.1,72.8,78.5,256258954.759188
2022-02-26T00:00:00,78.5,84.7,78.2,82.4,118288528.009891
2022-02-27T00:00:00,82.4,82.4,78.3,79.3,41723552.953975
2022-02-28T00:00:00,79.3,84,78.6,83.7,43540567.756144
2022-03-01T00:00:00,83.7,97.2,82.5,88,403042245.121506
2022-03-02T00:00:00,88,89.1,84.8,86.8,62528316.238911
2022-03-03T00:00:00,86.8,89.7,84,88.3,49941154.987791
2022-03-04T00:00:00,88.3,88.3,83.3,83.5,35319067.347469
2022-03-05T00:00:00,83.5,84.9,81.7,84.5,20154113.715297
2022-03-06T00:00:00,84.6,86.8,81.8,83.6,26789870.943182
2022-03-07T00:00:00,83.6,85,79.9,83.2,36204617.07694
2022-03-08T00:00:00,83.2,98.2,82,87.1,540742166.485044
2022-03-09T00:00:00,87.1,93.6,86,89.2,150439979.535208
2022-03-10T00:00:00,90.6,94.9,84.7,87,321773114.272055
2022-03-11T00:00:00,87.4,88.7,83.5,84.4,38468684.814006
2022-03-12T00:00:00,84.4,86.8,84.4,84.9,23461744.913752
2022-03-13T00:00:00,84.9,85.7,83.5,84.5,17180722.500415
2022-03-14T00:00:00,84.5,86.2,81.6,84.9,43927253.67209
2022-03-15T00:00:00,84.8,93.3,82,91.5,290176024.38528
2022-03-16T00:00:00,91.6,95.6,86.7,88.7,251433356.203028
2022-03-17T00:00:00,88.7,90.7,86,87.8,53085393.138578
2022-03-18T00:00:00,87.8,88.6,86.8,88.6,31219729.418671
2022-03-19T00:00:00,88.6,89.9,87.9,89.4,39759481.886785
2022-03-20T00:00:00,89.4,94,88.1,91.4,86404617.253224
2022-03-21T00:00:00,91.5,97,88.4,90.9,208343745.765585
2022-03-22T00:00:00,90.8,93.7,90.4,92.8,93441813.375778
2022-03-23T00:00:00,92.8,93.8,91.6,93,50154238.213015
2022-03-24T00:00:00,93.2,95.5,92.4,93.6,102778494.053205
2022-03-25T00:00:00,93.7,95.3,92.8,94.2,66994251.885474
2022-03-26T00:00:00,94.1,98.7,92.4,98.6,88256311.431018
2022-03-27T00:00:00,98.6,103,96.9,103,209744677.892783
2022-03-28T00:00:00,102,113,100,105,201246720.437545
2022-03-29T00:00:00,105,111,101,105,188238336.658502
2022-03-30T00:00:00,105,110,102,108,139566443.950488
2022-03-31T00:00:00,108,115,105,112,336319771.633641
2022-04-01T00:00:00,113,113,106,112,90354772.009787
2022-04-02T00:00:00,112,122,110,117,260449356.178572
2022-04-03T00:00:00,117,127,111,114,208915593.225321
2022-04-04T00:00:00,115,115,107,112,78550488.399448
2022-04-05T00:00:00,111,113,108,109,50388563.213312
2022-04-06T00:00:00,109,109,94.1,94.5,97761020.164871
2022-04-07T00:00:00,94.6,103,93.1,101,101311249.749458
2022-04-08T00:00:00,101,102,96.5,98,38163841.868384
2022-04-09T00:00:00,98.1,100,97.6,98.9,29786330.575174
2022-04-10T00:00:00,98.9,99.9,97.5,97.6,22748717.434057
2022-04-11T00:00:00,97.6,99.5,88.1,89.6,53236519.37995
2022-04-12T00:00:00,89.6,100,88.8,96.1,218862891.304052
2022-04-13T00:00:00,96.1,101,95.3,98.6,158566241.508709
2022-04-14T00:00:00,99,99.9,95.4,97.4,51126727.230123
2022-04-15T00:00:00,97.4,98.1,95.5,96.9,23586989.189489
2022-04-16T00:00:00,97,98.4,94.7,96,13822954.084116
2022-04-17T00:00:00,95.9,97.7,92.4,93.7,24555814.577746
2022-04-18T00:00:00,93.7,95.7,88.8,94.1,35212191.150568
2022-04-19T00:00:00,94,95.7,93.2,95.5,18914318.488295
2022-04-20T00:00:00,95.4,95.6,92.7,94.9,19269971.686783
2022-04-21T00:00:00,94.9,99.6,94.9,95.4,114278272.308838
2022-04-22T00:00:00,95.4,98.4,94.5,95.7,46811537.335866
2022-04-23T00:00:00,95.7,99,95.1,98.4,45641524.246115
2022-04-24T00:00:00,98.5,98.6,93.3,94.5,29453525.754385
2022-04-25T00:00:00,94.6,102,90,99.2,682083723.774427
2022-04-26T00:00:00,99.1,109,96.6,99.7,474680959.511387
2022-04-27T00:00:00,99.7,107,99.6,103,199960878.727619
2022-04-28T00:00:00,103,105,98.3,101,84929864.563419
2022-04-29T00:00:00,101,101,95.3,95.6,102879924.720063
2022-04-30T00:00:00,95.6,96.3,86,87.4,57826581.618484
2022-05-01T00:00:00,87.3,88.6,79.8,85.8,65804336.413731
2022-05-02T00:00:00,85.9,93.2,85.1,87.6,284886464.455809
2022-05-03T00:00:00,87.4,88.1,84.1,84.9,56657148.991563
2022-05-04T00:00:00,84.7,91.3,83.3,90.6,41491327.936834
2022-05-05T00:00:00,91,91,81.8,83.9,48708542.012349
2022-05-06T00:00:00,84.4,84.4,78.7,82.1,41525837.522566
2022-05-07T00:00:00,82,83.6,79.2,79.8,23785891.802439
2022-05-08T00:00:00,79.8,80,76.4,77.2,22131054.191573
2022-05-09T00:00:00,77.4,81,69.3,69.7,93131127.536519
2022-05-10T00:00:00,69.9,75,65,70.1,61917876.850146
2022-05-11T00:00:00,70.1,71.9,56.6,59.4,71395047.471817
2022-05-12T00:00:00,59.2,62.6,48,53.2,69456758.567198
2022-05-13T00:00:00,53.1,60.8,51.5,57.7,51015523.132308
2022-05-14T00:00:00,57.7,65.3,56.8,61.8,69285618.392149
2022-05-15T00:00:00,62,63.8,59.1,63.8,36821383.94702
2022-05-16T00:00:00,63.8,64.5,59.2,60.7,27133998.592699
2022-05-17T00:00:00,60.7,61.8,59.9,61.7,20196938.327837
2022-05-18T00:00:00,61.6,61.9,55.9,56.2,16827164.423274
2022-05-19T00:00:00,56.3,60.6,54.7,58.8,40366894.87441
2022-05-20T00:00:00,58.9,59.9,56.2,58.5,17935481.727382
2022-05-21T00:00:00,58.5,59.5,57.1,59.5,15362241.314111
2022-05-22T00:00:00,59.5,68.4,59,62.8,189906032.013884
2022-05-23T00:00:00,62.8,66.6,59.6,60.8,71787558.047972
2022-05-24T00:00:00,61.1,64,58.5,62,42876752.357581
2022-05-25T00:00:00,62.1,63.3,60.3,62.3,35292331.586544
2022-05-26T00:00:00,62.3,65.3,59,63,145798181.760985
2022-05-27T00:00:00,62.8,62.9,59.4,60.4,27775637.609795
2022-05-28T00:00:00,60.4,62,60,60.8,15464660.056554
2022-05-29T00:00:00,60.8,65.1,60,61.7,118130941.245506
2022-05-30T00:00:00,61.8,65.9,61.7,65.2,93498273.609032
2022-05-31T00:00:00,65.3,65.9,62.2,64.5,35348469.331905
2022-06-01T00:00:00,64.4,74,62.7,63.4,298275973.318934
2022-06-02T00:00:00,63.6,66,62.1,65.1,42020252.991447
2022-06-03T00:00:00,65.2,68.3,62.9,65.2,98061632.085781
2022-06-04T00:00:00,65.2,77.4,65,68.1,588376665.067504
2022-06-05T00:00:00,68.1,68.3,64.3,66.2,105482426.116898
2022-06-06T00:00:00,66.2,68.1,65.5,66.5,57484323.338118
2022-06-07T00:00:00,66.9,72.8,64.8,68.4,482679901.268999
2022-06-08T00:00:00,68.3,68.4,66.5,67.4,50747477.844919
2022-06-09T00:00:00,67.4,69.6,67,68,59051763.646894
2022-06-10T00:00:00,68,68.2,64.2,64.5,44784512.398161
2022-06-11T00:00:00,64.7,65.7,60.9,62,27140637.934607
2022-06-12T00:00:00,62.4,63.4,56.8,56.9,52897741.575528
2022-06-13T00:00:00,57,57.5,48.3,49.6,58096251.536096
2022-06-14T00:00:00,49.8,53,45.7,51.2,94360699.006418
2022-06-15T00:00:00,51.3,53.7,46.9,53.4,52580571.543748
2022-06-16T00:00:00,53.6,55,50.1,51.4,78742817.151452
2022-06-17T00:00:00,51.4,54.1,50.8,53.5,45931891.031662
2022-06-18T00:00:00,53.5,56.4,48.9,51,93797840.802772
2022-06-19T00:00:00,51,53,48.3,52.5,39502305.530594
2022-06-20T00:00:00,52.4,57.5,50.6,53.5,125305875.657763
2022-06-21T00:00:00,53.5,57.8,52.8,56,127791873.686581
2022-06-22T00:00:00,56,56,53.1,53.6,34220789.526278
2022-06-23T00:00:00,53.7,55.6,53.7,55.5,25498264.242265
2022-06-24T00:00:00,55.5,56.9,54.6,56.7,40510932.712305
2022-06-25T00:00:00,56.7,57,54.9,56.3,20541039.448846
2022-06-26T00:00:00,56.5,57.3,55.2,55.7,36051217.276054
2022-06-27T00:00:00,55.8,57.6,54.8,56.6,64479925.298472
2022-06-28T00:00:00,56.6,59.4,55.2,56.7,89470899.788517
2022-06-29T00:00:00,56.7,56.9,53.6,54.8,32576550.207499
2022-06-30T00:00:00,55,55.6,49.2,51.7,56066634.659048
2022-07-01T00:00:00,51.7,52.9,50.1,52,25756397.319322
2022-07-02T00:00:00,52.1,58.5,50.9,53.2,178088621.580487
2022-07-03T00:00:00,53.2,58.1,53.1,55.9,553166505.451879
2022-07-04T00:00:00,55.9,56.6,53.4,55.4,74135795.495169
2022-07-05T00:00:00,55.4,55.4,53,54.2,32725428.567378
2022-07-06T00:00:00,54.2,54.9,53.5,54.4,22279040.190478
2022-07-07T00:00:00,54.4,56.4,53.6,55.2,66933104.853175
2022-07-08T00:00:00,55.3,56.4,54.3,55.3,67931447.931857
2022-07-09T00:00:00,55.5,56.2,54.6,56.1,37773239.724013
2022-07-10T00:00:00,56.1,57.3,54.2,54.5,72978658.313921
2022-07-11T00:00:00,54.6,55.8,51,51.3,41630500.174658
2022-07-12T00:00:00,51.5,59.4,51,53,772530155.932535
2022-07-13T00:00:00,53,54,49.7,53,135185513.032256
2022-07-14T00:00:00,53,53.7,50.6,53.1,65246728.446134
2022-07-15T00:00:00,53.2,56.5,52.3,54.3,159053743.550836
2022-07-16T00:00:00,54.3,55.1,53.2,54.7,36023037.546039
2022-07-17T00:00:00,54.7,55.7,53.8,53.9,46563479.57423
2022-07-18T00:00:00,54,56.2,53.6,55.8,58726375.166832
2022-07-19T00:00:00,56,58.2,55.1,57.7,95851037.678145
2022-07-20T00:00:00,57.8,59.3,55.2,56.2,77081568.446011
2022-07-21T00:00:00,56.3,56.9,54.6,56.4,32753063.430544
2022-07-22T00:00:00,56.4,57.1,55.1,55.8,30114631.550552
2022-07-23T00:00:00,56,56.5,55,55.8,21669757.512958
2022-07-24T00:00:00,55.9,56.7,55.4,55.8,14402696.785804
2022-07-25T00:00:00,55.8,56.1,53.1,53.2,25942220.750828
2022-07-26T00:00:00,53.1,54,51.6,52.9,19221123.803598
2022-07-27T00:00:00,52.9,55.1,52.4,54.9,27774075.664853
2022-07-28T00:00:00,54.7,59,54.1,56.8,135887436.513956
2022-07-29T00:00:00,56.8,58,56.1,57.6,56536128.29369
2022-07-30T00:00:00,57.6,58.7,56.7,57.1,40559962.446526
2022-07-31T00:00:00,57.1,60.3,56.8,58.8,96072033.194154
2022-08-01T00:00:00,58.8,62.8,58.2,61.8,155783037.247805
2022-08-02T00:00:00,61.7,65.7,57,58.8,128305107.417111
2022-08-03T00:00:00,59,59.3,56.4,58,29125887.205364
2022-08-04T00:00:00,58.1,59.4,57.6,58.1,25252340.345491
2022-08-05T00:00:00,58.2,59.8,57.9,59.8,34462800.454905
2022-08-06T00:00:00,59.8,63.6,59.7,61,93506636.202448
2022-08-07T00:00:00,61.1,62.6,60.3,61.1,36823648.104386
