datetime,open,high,low,close,volume
2022-01-01T00:00:00,589,601,583,597,1024581.942474
2022-01-01T04:00:00,598,598,589,594,616871.237427
2022-01-01T08:00:00,594,596,587,590,422572.577322
2022-01-01T12:00:00,590,592,588,592,259992.319694
2022-01-01T16:00:00,592,602,591,600,510944.76317
2022-01-01T20:00:00,600,603,595,600,399474.152573
2022-01-02T00:00:00,603,710,598,656,66048084.726235
2022-01-02T04:00:00,656,707,647,707,36275096.643994
2022-01-02T08:00:00,706,789,696,738,202965215.215806
2022-01-02T12:00:00,739,805,701,705,125319969.462651
2022-01-02T16:00:00,705,724,695,708,9685650.502018
2022-01-02T20:00:00,709,742,702,713,13845506.500984
2022-01-03T00:00:00,712,774,700,720,50413403.855681
2022-01-03T04:00:00,720,721,677,685,14284505.309135
2022-01-03T08:00:00,685,687,670,684,6389950.466486
2022-01-03T12:00:00,684,688,674,678,2115718.473264
2022-01-03T16:00:00,678,683,667,673,996857.800198
2022-01-03T20:00:00,673,675,661,671,1419755.842163
2022-01-04T00:00:00,670,692,653,661,5731438.444557
2022-01-04T04:00:00,661,663,653,663,1250229.020626
2022-01-04T08:00:00,663,683,657,665,6919209.859612
2022-01-04T12:00:00,665,667,651,660,3118824.366052
2022-01-04T16:00:00,657,667,652,652,726036.66963
2022-01-04T20:00:00,653,662,651,657,910658.874887
2022-01-05T00:00:00,659,716,657,661,29051702.715545
2022-01-05T04:00:00,661,678,660,674,3220539.685099
2022-01-05T08:00:00,673,677,662,664,3419436.574814
2022-01-05T12:00:00,664,666,659,660,1645445.076441
2022-01-05T16:00:00,660,662,638,640,1161010.220394
2022-01-05T20:00:00,640,640,588,612,4074455.240321
2022-01-06T00:00:00,610,669,586,586,20934981.427352
2022-01-06T04:00:00,586,603,580,600,2182939.800649
2022-01-06T08:00:00,600,602,585,590,1131172.655557
2022-01-06T12:00:00,590,600,582,600,1690456.169914
2022-01-06T16:00:00,600,608,593,606,627983.147225
2022-01-06T20:00:00,606,615,598,613,942664.017507
2022-01-07T00:00:00,613,613,578,579,2222754.065603
2022-01-07T04:00:00,579,585,564,578,1805830.662026
2022-01-07T08:00:00,580,588,576,583,887161.462472
2022-01-07T12:00:00,584,589,569,576,1517607.164935
