datetime,open,high,low,close,volume
2022-01-01T00:00:00,589,603,583,600,3234436.99266
2022-01-02T00:00:00,603,805,598,713,454139523.051688
2022-01-03T00:00:00,712,774,661,671,75620191.746927
2022-01-04T00:00:00,670,692,651,657,18656397.235364
2022-01-05T00:00:00,659,716,588,612,42572589.512614
2022-01-06T00:00:00,610,669,580,613,27510197.218204
2022-01-07T00:00:00,613,668,564,618,20697912.82408
2022-01-08T00:00:00,618,641,570,593,13366095.193029
2022-01-09T00:00:00,593,658,574,611,82962977.656728
2022-01-10T00:00:00,613,618,551,586,22488019.505618
2022-01-11T00:00:00,587,601,555,596,10550276.215172
2022-01-12T00:00:00,597,613,579,611,9523951.646404
2022-01-13T00:00:00,611,620,583,588,11848521.943721
2022-01-14T00:00:00,588,594,571,594,6451442.555418
2022-01-15T00:00:00,593,600,586,598,5152271.017896
2022-01-16T00:00:00,598,657,590,611,91402138.185826
2022-01-17T00:00:00,612,613,577,584,12139369.968104
2022-01-18T00:00:00,584,585,555,566,5250013.972029
2022-01-19T00:00:00,567,585,531,550,6095894.470422
2022-01-20T00:00:00,551,573,530,531,10154317.431965
2022-01-21T00:00:00,532,567,453,462,18654484.185846
2022-01-22T00:00:00,462,468,371,432,14557475.945438
2022-01-23T00:00:00,433,464,411,439,17868629.505614
2022-01-24T00:00:00,439,452,382,441,12851307.682723
2022-01-25T00:00:00,440,440,405,434,6844375.306948
2022-01-26T00:00:00,435,476,425,449,16865443.581549
2022-01-27T00:00:00,449,465,429,456,8445297.510121
2022-01-28T00:00:00,454,485,453,478,25351275.263578
2022-01-29T00:00:00,477,484,469,484,10710571.014126
2022-01-30T00:00:00,483,484,464,474,5837088.154772
2022-01-31T00:00:00,474,496,455,477,20203887.181056
2022-02-01T00:00:00,476,481,467,478,6280583.791773
2022-02-02T00:00:00,479,523,476,506,107800336.737184
2022-02-03T00:00:00,510,568,490,523,56692139.098672
2022-02-04T00:00:00,523,580,517,549,62725935.445172
2022-02-05T00:00:00,549,659,534,615,53387486.870052
2022-02-06T00:00:00,615,696,581,620,63402889.288269
2022-02-07T00:00:00,620,624,589,623,18936473.753231
2022-02-08T00:00:00,623,629,560,597,24246666.515357
2022-02-09T00:00:00,597,620,568,592,13906662.60602
2022-02-10T00:00:00,592,592,560,564,11206177.15616
2022-02-11T00:00:00,564,577,531,542,11793139.47107
2022-02-12T00:00:00,539,543,514,531,8062613.446237
2022-02-13T00:00:00,534,534,517,529,5161843.291239
2022-02-14T00:00:00,529,529,504,519,5068484.736066
2022-02-15T00:00:00,520,550,512,550,7924954.275349
2022-02-16T00:00:00,551,555,527,544,8556412.994769
2022-02-17T00:00:00,545,547,495,500,8763354.626618
2022-02-18T00:00:00,499,508,480,492,5474521.870323
2022-02-19T00:00:00,492,497,467,481,3734126.434177
2022-02-20T00:00:00,480,486,447,460,7578370.173756
2022-02-21T00:00:00,459,472,402,413,9586582.332478
2022-02-22T00:00:00,412,432,392,432,9273654.52745
2022-02-23T00:00:00,433,444,419,425,7119227.229765
2022-02-24T00:00:00,425,427,376,418,10775510.367803
2022-02-25T00:00:00,418,525,412,476,139903212.880735
2022-02-26T00:00:00,476,505,466,484,33073651.594355
2022-02-27T00:00:00,484,486,448,457,9873384.818163
2022-02-28T00:00:00,457,491,442,488,18806031.99033
2022-03-01T00:00:00,489,644,485,573,568785158.764146
2022-03-02T00:00:00,572,600,527,539,72178226.510414
2022-03-03T00:00:00,540,540,499,512,14368951.57196
2022-03-04T00:00:00,512,562,490,519,57502281.768863
2022-03-05T00:00:00,520,520,493,513,10015305.962369
2022-03-06T00:00:00,513,517,496,498,11529529.102636
2022-03-07T00:00:00,499,501,473,487,11118571.006073
2022-03-08T00:00:00,487,515,475,496,20438110.229009
2022-03-09T00:00:00,497,520,492,511,17115477.137812
2022-03-10T00:00:00,512,513,482,492,10900772.664359
2022-03-11T00:00:00,492,500,476,486,11260720.178654
2022-03-12T00:00:00,485,488,476,483,4025074.6672
2022-03-13T00:00:00,483,483,462,463,4269252.361039
2022-03-14T00:00:00,463,476,460,470,8315503.153357
2022-03-15T00:00:00,469,488,458,467,24747773.43454
2022-03-16T00:00:00,467,478,460,477,10775621.960231
2022-03-17T00:00:00,477,491,471,484,17789550.439277
2022-03-18T00:00:00,486,489,473,487,8398529.943126
2022-03-19T00:00:00,487,497,481,496,10288889.111322
2022-03-20T00:00:00,501,543,494,503,75359453.053838
2022-03-21T00:00:00,504,504,485,498,9843804.489829
2022-03-22T00:00:00,498,506,490,502,11364145.276957
2022-03-23T00:00:00,514,535,502,516,37474471.826102
2022-03-24T00:00:00,516,521,507,520,14523006.41875
2022-03-25T00:00:00,519,529,513,525,15348037.211271
2022-03-26T00:00:00,525,549,517,548,16100846.20764
2022-03-27T00:00:00,549,606,541,595,87698542.8158
2022-03-28T00:00:00,594,608,583,604,24903322.283881
2022-03-29T00:00:00,604,630,565,613,29530613.219323
2022-03-30T00:00:00,613,624,578,623,26287247.546869
2022-03-31T00:00:00,622,652,606,645,45561445.859681
2022-04-01T00:00:00,645,682,605,671,31034734.154755
2022-04-02T00:00:00,671,710,647,705,39368519.96653
2022-04-03T00:00:00,708,708,656,666,19550623.929839
2022-04-04T00:00:00,666,677,593,621,30715999.03567
2022-04-05T00:00:00,620,620,596,598,10313364.065417
2022-04-06T00:00:00,598,611,519,525,23958438.62227
2022-04-07T00:00:00,525,550,508,549,11267504.15387
2022-04-08T00:00:00,549,557,524,538,8746694.899448
2022-04-09T00:00:00,538,548,519,544,7069202.708464
2022-04-10T00:00:00,543,544,522,524,4032277.656648
2022-04-11T00:00:00,524,540,480,481,9771856.867506
2022-04-12T00:00:00,481,596,469,515,122839287.935032
2022-04-13T00:00:00,516,581,513,533,68944040.069254
2022-04-14T00:00:00,533,534,506,515,10241516.35479
2022-04-15T00:00:00,513,520,500,515,6349256.23271
2022-04-16T00:00:00,514,517,504,507,2527050.129867
2022-04-17T00:00:00,508,559,505,515,54764756.94074
2022-04-18T00:00:00,514,516,481,508,16285426.644998
2022-04-19T00:00:00,508,525,500,518,8840339.319085
2022-04-20T00:00:00,518,534,505,531,19296782.828114
2022-04-21T00:00:00,530,552,514,526,28161360.380875
2022-04-22T00:00:00,525,576,515,568,71662880.585244
2022-04-23T00:00:00,568,578,539,555,24622358.693676
2022-04-24T00:00:00,555,654,527,530,305862898.63394
2022-04-25T00:00:00,530,531,486,516,25691232.415111
2022-04-26T00:00:00,516,518,483,490,13788377.989828
2022-04-27T00:00:00,490,514,483,503,11514909.791048
2022-04-28T00:00:00,503,505,487,502,7365796.238507
2022-04-29T00:00:00,501,502,481,486,6461971.64991
2022-04-30T00:00:00,486,523,449,452,28599520.866823
2022-05-01T00:00:00,452,469,423,449,8305297.271477
2022-05-02T00:00:00,450,454,426,439,5912754.782113
2022-05-03T00:00:00,439,456,433,445,9352739.741979
2022-05-04T00:00:00,445,475,436,472,18055198.242205
2022-05-05T00:00:00,471,486,431,442,12780038.134304
2022-05-06T00:00:00,442,474,404,430,17767875.786947
2022-05-07T00:00:00,431,431,406,413,4773902.622932
2022-05-08T00:00:00,413,413,389,398,4533055.61066
2022-05-09T00:00:00,396,402,341,345,9661396.689244
2022-05-10T00:00:00,345,374,310,345,20005088.60683
2022-05-11T00:00:00,346,359,244,263,19413463.872773
2022-05-12T00:00:00,263,267,203,227,20318177.200614
2022-05-13T00:00:00,227,267,219,258,15729444.452283
2022-05-14T00:00:00,258,311,251,283,73037701.343714
2022-05-15T00:00:00,284,293,266,293,10734310.400539
2022-05-16T00:00:00,293,322,270,297,50747803.414058
2022-05-17T00:00:00,298,303,280,302,22207644.285246
2022-05-18T00:00:00,303,326,295,318,63120147.040078
2022-05-19T00:00:00,318,327,283,327,43982519.033238
2022-05-20T00:00:00,327,327,297,312,24573108.097547
2022-05-21T00:00:00,313,319,300,315,8237636.47159
2022-05-22T00:00:00,315,338,310,334,19889505.401502
2022-05-23T00:00:00,334,345,301,315,18228807.130903
2022-05-24T00:00:00,315,318,284,310,12526289.010651
2022-05-25T00:00:00,310,312,296,311,5470551.056836
2022-05-26T00:00:00,310,314,285,298,7172262.821307
2022-05-27T00:00:00,297,300,276,284,9749217.115002
2022-05-28T00:00:00,284,297,278,284,8378993.340396
2022-05-29T00:00:00,284,288,273,288,4227370.821662
2022-05-30T00:00:00,288,306,282,305,9779310.110419
2022-05-31T00:00:00,305,308,294,305,8356741.652946
2022-06-01T00:00:00,304,335,292,301,43798353.017703
2022-06-02T00:00:00,300,350,295,327,90018571.638438
2022-06-03T00:00:00,327,345,305,317,17992145.904651
2022-06-04T00:00:00,317,324,304,322,6653480.371951
2022-06-05T00:00:00,326,357,311,338,54877860.629737
2022-06-06T00:00:00,338,366,331,341,55146625.737964
2022-06-07T00:00:00,342,427,342,363,423182716.142625
2022-06-08T00:00:00,362,364,336,339,38428414.091649
2022-06-09T00:00:00,339,347,318,324,15855834.434875
2022-06-10T00:00:00,324,330,300,305,17835244.428056
2022-06-11T00:00:00,305,312,278,285,11277704.525423
2022-06-12T00:00:00,286,317,252,259,35220563.129954
2022-06-13T00:00:00,259,261,214,223,19842703.24069
2022-06-14T00:00:00,223,235,192,224,18257901.293341
2022-06-15T00:00:00,224,240,202,240,13291787.088606
2022-06-16T00:00:00,239,253,221,227,21605762.752098
2022-06-17T00:00:00,227,241,222,240,14530017.789249
2022-06-18T00:00:00,239,244,213,226,11013861.324755
2022-06-19T00:00:00,227,269,226,237,78702364.517434
2022-06-20T00:00:00,237,243,224,241,17115293.598065
2022-06-21T00:00:00,242,255,235,249,22515135.565289
2022-06-22T00:00:00,250,251,239,249,13024746.832816
2022-06-23T00:00:00,249,263,245,263,17181151.051167
2022-06-24T00:00:00,262,269,253,268,15769214.651028
2022-06-25T00:00:00,269,269,256,268,8460907.850991
2022-06-26T00:00:00,267,267,256,259,6923349.412419
2022-06-27T00:00:00,259,290,252,273,60229929.410989
2022-06-28T00:00:00,273,313,264,268,60322721.019825
2022-06-29T00:00:00,270,270,251,259,12211694.004915
2022-06-30T00:00:00,260,278,227,247,76888085.915389
2022-07-01T00:00:00,247,310,237,256,217161552.59977
2022-07-02T00:00:00,256,256,244,250,16445273.575726
2022-07-03T00:00:00,250,255,243,251,10392062.40603
2022-07-04T00:00:00,251,265,243,258,47185639.51139
2022-07-05T00:00:00,258,259,248,256,10139750.777417
2022-07-06T00:00:00,256,261,251,256,5669535.643148
2022-07-07T00:00:00,256,261,252,261,7507898.988378
2022-07-08T00:00:00,261,272,257,270,19664165.80693
2022-07-09T00:00:00,269,277,264,275,12236387.230693
2022-07-10T00:00:00,275,288,265,273,25295122.416632
2022-07-11T00:00:00,273,285,251,254,18500896.151033
2022-07-12T00:00:00,254,288,249,250,94421632.223244
2022-07-13T00:00:00,250,262,238,256,19711589.496991
2022-07-14T00:00:00,257,261,248,260,6147177.806682
2022-07-15T00:00:00,259,265,255,263,8601833.763868
2022-07-16T00:00:00,264,270,261,267,8520434.235803
2022-07-17T00:00:00,267,268,260,262,7600749.814175
2022-07-18T00:00:00,261,277,259,274,10069339.238564
2022-07-19T00:00:00,275,284,267,282,13026996.156944
2022-07-20T00:00:00,282,328,277,289,194132917.987196
2022-07-21T00:00:00,290,290,270,286,35176579.413426
2022-07-22T00:00:00,286,291,274,280,16830999.905317
2022-07-23T00:00:00,281,298,276,284,43533949.639435
2022-07-24T00:00:00,284,284,279,280,8517438.901692
2022-07-25T00:00:00,280,280,263,264,11837973.226243
2022-07-26T00:00:00,265,268,260,266,7090194.996627
2022-07-27T00:00:00,266,278,262,277,7457351.167723
2022-07-28T00:00:00,277,285,272,282,10910889.555297
2022-07-29T00:00:00,282,286,275,282,11093435.712722
2022-07-30T00:00:00,282,313,281,285,57211336.839079
2022-07-31T00:00:00,284,298,282,295,27840142.694874
2022-08-01T00:00:00,294,316,291,314,46056717.768354
2022-08-02T00:00:00,313,313,287,302,21048288.138876
2022-08-03T00:00:00,301,301,290,297,10507035.549652
2022-08-04T00:00:00,297,300,291,300,9059862.393836
2022-08-05T00:00:00,298,305,295,304,11216944.405464
2022-08-06T00:00:00,303,313,301,308,7408627.938152
2022-08-07T00:00:00,309,309,301,305,6882261.229779
2022-08-08T00:00:00,305,308,301,305,8282026.740894
2022-08-09T00:00:00,306,307,290,295,8995506.803819
2022-08-10T00:00:00,295,319,284,304,79265817.879374
2022-08-11T00:00:00,303,326,303,322,65671403.268193
2022-08-12T00:00:00,322,331,310,327,24695893.980372
2022-08-13T00:00:00,327,327,320,326,9563009.515925
2022-08-14T00:00:00,326,327,316,319,10189898.530823
2022-08-15T00:00:00,320,353,316,326,81485592.893832
2022-08-16T00:00:00,326,326,312,317,13533107.955045
2022-08-17T00:00:00,317,318,303,307,9824004.931277
2022-08-18T00:00:00,307,327,301,303,25051731.588147
2022-08-19T00:00:00,303,304,267,269,13470749.33797
2022-08-20T00:00:00,268,284,266,270,9610800.559305
2022-08-21T00:00:00,272,285,268,276,18766087.867368
