datetime,open,high,low,close,volume
2022-01-01T00:00:00,511,519,509,519,3758094.562641
2022-01-02T00:00:00,519,983,519,930,2031552975.719913
2022-01-03T00:00:00,928,1030,760,783,896222596.99124
2022-01-04T00:00:00,783,858,709,758,514138562.312887
2022-01-05T00:00:00,756,797,647,691,200544395.343775
2022-01-06T00:00:00,691,742,628,685,134560279.015201
2022-01-07T00:00:00,686,686,610,637,65285228.94799
2022-01-08T00:00:00,637,649,595,622,38095243.383505
2022-01-09T00:00:00,622,901,608,810,1164662360.513817
2022-01-10T00:00:00,810,911,696,764,666692369.646685
2022-01-11T00:00:00,764,810,677,766,320236624.636068
2022-01-12T00:00:00,769,773,716,759,176488426.145177
2022-01-13T00:00:00,759,825,737,783,320643267.933499
2022-01-14T00:00:00,783,784,719,760,104724228.107128
2022-01-15T00:00:00,761,775,736,771,63426501.553021
2022-01-16T00:00:00,771,873,750,790,405646552.823955
2022-01-17T00:00:00,788,819,740,759,100669713.665089
2022-01-18T00:00:00,759,760,705,729,53041811.353315
2022-01-19T00:00:00,729,729,652,689,66300635.392249
2022-01-20T00:00:00,689,736,682,708,162692942.547164
2022-01-21T00:00:00,707,719,630,665,86661948.270904
2022-01-22T00:00:00,665,708,574,699,135094636.271345
2022-01-23T00:00:00,699,709,631,678,187126286.896154
2022-01-24T00:00:00,679,680,601,650,103587475.265257
2022-01-25T00:00:00,650,652,598,637,72527695.999125
2022-01-26T00:00:00,638,674,621,651,138541907.500424
2022-01-27T00:00:00,650,659,619,653,69414082.774208
2022-01-28T00:00:00,654,704,653,685,189018454.946426
2022-01-29T00:00:00,686,710,672,705,111162144.070038
2022-01-30T00:00:00,705,705,672,685,48816648.525074
2022-01-31T00:00:00,686,686,633,675,42634835.194428
2022-02-01T00:00:00,674,708,671,690,85031387.8973
2022-02-02T00:00:00,689,695,656,663,72844485.428535
2022-02-03T00:00:00,664,693,648,688,78856942.310796
2022-02-04T00:00:00,689,735,675,732,169460144.626841
2022-02-05T00:00:00,732,768,715,758,131697451.873217
2022-02-06T00:00:00,759,775,714,758,87168261.213077
2022-02-07T00:00:00,758,767,722,764,69111347.507895
2022-02-08T00:00:00,765,767,684,732,89476581.330428
2022-02-09T00:00:00,731,735,693,729,41832138.105607
2022-02-10T00:00:00,729,731,697,704,37176780.247363
2022-02-11T00:00:00,704,758,688,735,134872448.14625
2022-02-12T00:00:00,730,736,688,710,56853222.233515
2022-02-13T00:00:00,710,713,691,702,26923596.088638
2022-02-14T00:00:00,703,703,661,687,41745614.287396
2022-02-15T00:00:00,688,725,679,721,47480814.156322
2022-02-16T00:00:00,722,758,711,733,114475095.731569
2022-02-17T00:00:00,733,735,670,677,59522386.860308
2022-02-18T00:00:00,677,692,655,687,44134145.824744
2022-02-19T00:00:00,687,688,656,671,20831095.843863
2022-02-20T00:00:00,671,671,615,630,40968157.579694
2022-02-21T00:00:00,629,657,580,591,52065561.029598
2022-02-22T00:00:00,593,607,541,606,54473726.943814
2022-02-23T00:00:00,607,622,582,595,60366903.089773
2022-02-24T00:00:00,594,613,522,591,74186172.903238
2022-02-25T00:00:00,590,698,577,649,276181748.043198
2022-02-26T00:00:00,649,688,630,674,121468881.501614
2022-02-27T00:00:00,674,674,631,635,53408838.893198
2022-02-28T00:00:00,636,679,612,678,54791463.751331
2022-03-01T00:00:00,679,734,660,699,158261078.356018
2022-03-02T00:00:00,698,701,658,692,54697260.917918
2022-03-03T00:00:00,691,693,661,672,28432424.72228
2022-03-04T00:00:00,671,700,640,657,57036727.995544
2022-03-05T00:00:00,657,660,638,658,17248336.483676
2022-03-06T00:00:00,658,662,622,628,19135524.445433
2022-03-07T00:00:00,627,637,595,613,30369716.919624
2022-03-08T00:00:00,612,658,605,639,66547493.494734
2022-03-09T00:00:00,639,666,628,650,54768347.954354
2022-03-10T00:00:00,650,655,606,622,29877749.732596
2022-03-11T00:00:00,622,631,608,625,21917226.96342
2022-03-12T00:00:00,626,627,615,620,9900650.167464
2022-03-13T00:00:00,619,619,597,600,10068737.743007
2022-03-14T00:00:00,601,608,589,607,21376219.041467
2022-03-15T00:00:00,607,661,598,619,120380544.846797
2022-03-16T00:00:00,619,627,605,621,44471067.706721
2022-03-17T00:00:00,621,638,610,619,35873873.354944
2022-03-18T00:00:00,619,629,616,625,27591120.632259
2022-03-19T00:00:00,625,637,621,628,25228414.953526
2022-03-20T00:00:00,628,668,624,630,70396702.803201
2022-03-21T00:00:00,630,632,613,623,20128637.59389
2022-03-22T00:00:00,623,636,620,629,18781114.212657
2022-03-23T00:00:00,628,635,622,631,18273781.972947
2022-03-24T00:00:00,632,650,628,644,34338312.047363
2022-03-25T00:00:00,644,661,635,659,38850476.458107
2022-03-26T00:00:00,660,674,643,672,21837954.075496
2022-03-27T00:00:00,673,726,662,698,124977612.604844
2022-03-28T00:00:00,698,715,684,699,66348620.299838
2022-03-29T00:00:00,700,730,660,696,70175927.090202
2022-03-30T00:00:00,695,714,670,705,58366547.964568
2022-03-31T00:00:00,705,806,693,728,257437456.888153
2022-04-01T00:00:00,727,895,693,877,230248890.669758
2022-04-02T00:00:00,883,898,782,785,218871081.558523
2022-04-03T00:00:00,786,786,743,760,52280271.930769
2022-04-04T00:00:00,761,783,713,733,46005054.461983
2022-04-05T00:00:00,732,747,721,736,20885632.483077
2022-04-06T00:00:00,735,739,640,646,39966220.813176
2022-04-07T00:00:00,646,681,627,679,21872044.995885
