datetime,open,high,low,close,volume
2020-07-01T00:00:00,170,260,160,250,16813687.922138
2020-07-02T00:00:00,250,290,230,250,21142691.108455
2020-07-03T00:00:00,260,260,210,210,6315735.999639
2020-07-04T00:00:00,210,220,200,220,3297787.863816
2020-07-05T00:00:00,220,240,210,210,4556692.921783
2020-07-06T00:00:00,210,230,210,220,3386995.289445
2020-07-07T00:00:00,230,230,210,210,1624141.626866
2020-07-08T00:00:00,210,230,200,210,3231401.99966
2020-07-09T00:00:00,210,250,210,230,3532956.669408
2020-07-10T00:00:00,230,260,220,240,10153243.603892
2020-07-11T00:00:00,240,250,230,240,3110802.239966
2020-07-12T00:00:00,250,280,240,270,9589293.666935
2020-07-13T00:00:00,270,280,240,240,5281042.464085
2020-07-14T00:00:00,240,260,240,260,3509744.296449
2020-07-15T00:00:00,260,270,250,260,1703973.882748
2020-07-16T00:00:00,260,260,240,250,2969934.81133
2020-07-17T00:00:00,250,260,240,240,901881.392194
2020-07-18T00:00:00,240,250,230,240,1836525.203844
2020-07-19T00:00:00,240,250,230,240,1800118.300591
2020-07-20T00:00:00,240,250,230,250,2134988.581673
2020-07-21T00:00:00,250,250,230,240,1152539.584832
2020-07-22T00:00:00,250,250,230,240,1375469.997012
2020-07-23T00:00:00,240,250,240,250,575806.269647
2020-07-24T00:00:00,240,250,230,250,1140598.672968
2020-07-25T00:00:00,250,250,230,230,979951.859032
2020-07-26T00:00:00,230,270,230,250,5994316.623275
2020-07-27T00:00:00,250,260,220,230,3962673.863916
2020-07-28T00:00:00,230,240,220,240,1373172.132689
2020-07-29T00:00:00,240,250,220,240,4804136.399448
2020-07-30T00:00:00,240,250,230,240,2425548.695537
2020-07-31T00:00:00,240,250,230,240,1887810.284567
2020-08-01T00:00:00,240,250,230,250,1759529.164147
2020-08-02T00:00:00,250,250,230,240,2525256.430965
2020-08-03T00:00:00,230,250,230,240,2402933.041135
2020-08-04T00:00:00,240,260,230,240,4411796.703491
2020-08-05T00:00:00,230,240,230,240,1037736.065511
2020-08-06T00:00:00,240,260,230,250,3557568.984225
2020-08-07T00:00:00,250,260,240,250,3585195.878543
2020-08-08T00:00:00,240,260,240,260,2533998.265841
2020-08-09T00:00:00,260,260,240,250,2512369.490833
2020-08-10T00:00:00,250,270,240,270,5626555.252727
2020-08-11T00:00:00,260,280,240,260,3215777.81069
2020-08-12T00:00:00,250,260,240,260,1591798.942886
2020-08-13T00:00:00,260,260,240,260,2267058.006339
2020-08-14T00:00:00,260,260,240,250,1629871.790584
2020-08-15T00:00:00,250,260,240,250,979357.024914
2020-08-16T00:00:00,250,260,240,250,1079283.144949
2020-08-17T00:00:00,250,270,250,260,5583199.555001
2020-08-18T00:00:00,270,280,250,260,5756134.310336
2020-08-19T00:00:00,260,260,240,250,1572439.23902
2020-08-20T00:00:00,240,250,240,250,819552.13471
2020-08-21T00:00:00,240,260,240,240,1444757.627713
2020-08-22T00:00:00,250,250,230,240,2330894.332005
2020-08-23T00:00:00,240,250,240,250,230790.711937
2020-08-24T00:00:00,240,250,230,240,1266701.614132
2020-08-25T00:00:00,240,250,230,240,1477607.924396
2020-08-26T00:00:00,230,240,230,240,771131.260535
2020-08-27T00:00:00,240,240,230,240,906561.456486
2020-08-28T00:00:00,240,240,220,240,1696138.843967
2020-08-29T00:00:00,230,240,230,240,322324.665273
2020-08-30T00:00:00,240,240,230,240,301477.451538
2020-08-31T00:00:00,230,240,230,240,507355.189595
2020-09-01T00:00:00,230,240,230,230,1194381.753744
2020-09-02T00:00:00,220,240,210,220,3878412.100151
2020-09-03T00:00:00,220,220,190,190,3124216.238477
2020-09-04T00:00:00,190,200,170,200,4609761.428737
2020-09-05T00:00:00,190,200,170,180,4160316.954819
2020-09-06T00:00:00,180,190,170,170,1989766.834654
2020-09-07T00:00:00,180,190,170,180,902421.979868
2020-09-08T00:00:00,170,180,170,180,475020.634169
2020-09-09T00:00:00,180,190,170,190,1033912.914082
2020-09-10T00:00:00,180,200,180,200,1185860.257327
2020-09-11T00:00:00,200,200,180,190,1062419.969302
2020-09-12T00:00:00,190,190,180,190,696438.974016
2020-09-13T00:00:00,180,200,180,190,310493.168723
2020-09-14T00:00:00,180,190,180,190,283021.299962
2020-09-15T00:00:00,180,190,170,180,1084637.660445
2020-09-16T00:00:00,180,180,170,180,229753.773432
2020-09-17T00:00:00,180,180,170,180,297111.438982
2020-09-18T00:00:00,180,180,170,180,140814.569485
2020-09-19T00:00:00,180,180,170,180,124647.171041
2020-09-20T00:00:00,170,180,170,180,130742.011962
2020-09-21T00:00:00,170,190,160,170,1623972.063385
2020-09-22T00:00:00,170,170,160,170,294138.734949
2020-09-23T00:00:00,160,170,150,160,1530149.817861
2020-09-24T00:00:00,160,170,150,170,803296.801626
2020-09-25T00:00:00,170,170,160,170,334171.227801
2020-09-26T00:00:00,170,170,160,170,167217.226723
2020-09-27T00:00:00,170,170,160,170,247158.497776
2020-09-28T00:00:00,160,170,160,170,277344.879967
2020-09-29T00:00:00,160,170,160,170,303612.626668
2020-09-30T00:00:00,170,170,160,170,199386.367221
2020-10-01T00:00:00,170,170,160,170,253697.368026
2020-10-02T00:00:00,170,170,150,170,1761453.851055
2020-10-03T00:00:00,170,170,160,170,37132.671733
2020-10-04T00:00:00,160,170,160,170,285812.251053
2020-10-05T00:00:00,160,170,160,170,190469.361744
2020-10-06T00:00:00,160,170,150,150,828528.237056
2020-10-07T00:00:00,160,160,150,160,192584.813391
2020-10-08T00:00:00,160,220,150,200,16960614.554276
2020-10-09T00:00:00,200,250,190,210,24478628.446199
2020-10-10T00:00:00,210,210,190,200,5972944.82177
2020-10-11T00:00:00,200,230,190,200,8237378.140233
2020-10-12T00:00:00,200,220,200,210,5151940.776477
2020-10-13T00:00:00,210,210,190,200,2344301.434113
2020-10-14T00:00:00,190,200,190,200,833973.647614
2020-10-15T00:00:00,200,200,180,190,1815906.472697
2020-10-16T00:00:00,190,190,180,180,632371.000202
2020-10-17T00:00:00,190,190,170,180,3568644.215827
2020-10-18T00:00:00,180,190,170,180,3068320.021097
2020-10-19T00:00:00,180,190,170,190,2100295.085566
2020-10-20T00:00:00,190,190,170,180,1012899.281124
2020-10-21T00:00:00,180,190,170,180,4251076.403001
2020-10-22T00:00:00,180,210,170,190,6167521.395777
2020-10-23T00:00:00,190,190,180,190,1536135.808107
2020-10-24T00:00:00,190,190,180,190,411154.098515
2020-10-25T00:00:00,180,190,180,190,329816.107063
2020-10-26T00:00:00,190,190,170,180,1559998.331831
2020-10-27T00:00:00,180,180,170,180,841069.552018
2020-10-28T00:00:00,170,180,170,170,764712.532808
2020-10-29T00:00:00,170,180,170,170,879702.46267
2020-10-30T00:00:00,170,180,160,170,1644290.899722
2020-10-31T00:00:00,180,180,170,180,300639.698938
2020-11-01T00:00:00,180,180,170,180,172361.9881
2020-11-02T00:00:00,180,180,170,180,480451.929544
2020-11-03T00:00:00,180,180,160,170,1515352.252946
2020-11-04T00:00:00,170,180,160,180,3000650.196026
2020-11-05T00:00:00,170,180,170,180,1147671.017836
2020-11-06T00:00:00,180,200,180,190,7771143.576662
2020-11-07T00:00:00,190,200,170,180,3455748.875932
2020-11-08T00:00:00,180,190,170,180,2257639.80984
2020-11-09T00:00:00,180,190,170,180,1440392.965116
2020-11-10T00:00:00,180,190,170,180,1258288.558367
2020-11-11T00:00:00,180,190,180,190,1019446.943783
2020-11-12T00:00:00,180,190,180,190,1165342.284648
2020-11-13T00:00:00,180,190,180,190,284746.904556
2020-11-14T00:00:00,180,200,180,190,2386413.559142
2020-11-15T00:00:00,180,200,180,190,1933535.982636
2020-11-16T00:00:00,190,190,180,190,588903.444779
2020-11-17T00:00:00,180,200,180,200,1433185.165189
2020-11-18T00:00:00,190,200,180,190,1085255.062716
2020-11-19T00:00:00,190,190,180,190,501875.641701
