datetime,open,high,low,close,volume
2020-07-01T00:00:00,3.35,3.74,3.28,3.64,86694781.009159
2020-07-02T00:00:00,3.64,3.82,3.3,3.51,61613831.280203
2020-07-03T00:00:00,3.49,3.63,3.4,3.58,27102884.699333
2020-07-04T00:00:00,3.58,3.71,3.48,3.68,24033111.786189
2020-07-05T00:00:00,3.69,3.72,3.42,3.53,27223903.820334
2020-07-06T00:00:00,3.53,3.7,3.34,3.55,83735267.315749
2020-07-07T00:00:00,3.54,3.83,3.51,3.66,164386146.00304
2020-07-08T00:00:00,3.66,4.83,3.61,4.55,526304430.712716
2020-07-09T00:00:00,4.57,4.69,4.1,4.32,240773281.917642
2020-07-10T00:00:00,4.32,4.35,3.9,4.07,217568284.386979
2020-07-11T00:00:00,4.07,4.39,3.93,4.19,344155519.46029
2020-07-12T00:00:00,4.19,4.25,4.03,4.14,94486366.035616
2020-07-13T00:00:00,4.13,4.16,3.99,4.02,95330328.129548
2020-07-14T00:00:00,4.01,4.16,3.9,3.96,137991625.678257
2020-07-15T00:00:00,3.99,4.22,3.93,4.14,176178846.096981
2020-07-16T00:00:00,4.14,4.23,3.83,3.97,189679695.353379
2020-07-17T00:00:00,3.97,4.02,3.9,3.96,52314954.151713
2020-07-18T00:00:00,3.96,4.27,3.91,4.09,168440972.989128
2020-07-19T00:00:00,4.11,4.26,4.01,4.07,157647101.18123
2020-07-20T00:00:00,4.08,4.12,3.99,4.02,121079660.825966
2020-07-21T00:00:00,4.04,4.09,3.9,3.92,193115022.219314
2020-07-22T00:00:00,3.92,3.95,3.87,3.92,134149713.843314
2020-07-23T00:00:00,3.92,3.93,3.81,3.83,127790851.107013
2020-07-24T00:00:00,3.83,3.87,3.67,3.77,109805184.793703
2020-07-25T00:00:00,3.78,3.87,3.71,3.77,116516702.798178
2020-07-26T00:00:00,3.76,3.79,3.66,3.71,61832985.324609
2020-07-27T00:00:00,3.71,3.74,3.43,3.55,154125644.072577
2020-07-28T00:00:00,3.55,3.67,3.45,3.61,147372533.047835
2020-07-29T00:00:00,3.61,4.1,3.56,3.75,799833485.102197
2020-07-30T00:00:00,3.75,3.81,3.6,3.72,186331773.715603
2020-07-31T00:00:00,3.73,3.76,3.59,3.61,105731635.264957
2020-08-01T00:00:00,3.63,3.89,3.54,3.86,192875254.232259
2020-08-02T00:00:00,3.86,3.94,3.55,3.68,144598705.715472
