datetime,open,high,low,close,volume
2022-01-01T00:00:00,83.8,85.2,83.6,85.1,10850273.658225
2022-01-02T00:00:00,85.2,91.6,84.7,89.2,226042377.198512
2022-01-03T00:00:00,89.2,93,86,87,106243338.06729
2022-01-04T00:00:00,87,91.3,86.8,88.2,171467228.042963
2022-01-05T00:00:00,88.3,89.1,77.9,81.5,96508231.399509
2022-01-06T00:00:00,81.5,87.1,77,80,94686251.195668
2022-01-07T00:00:00,80,80,74.4,76.5,48760002.604627
2022-01-08T00:00:00,76,77.4,72.4,74,42302407.367939
2022-01-09T00:00:00,74,75.9,72.6,73.6,23466843.484794
2022-01-10T00:00:00,73.7,75.9,65.8,70.4,67604216.354833
2022-01-11T00:00:00,70.2,73,68,72.4,64595411.551935
2022-01-12T00:00:00,72.3,75.3,70.9,75.2,33860400.33522
2022-01-13T00:00:00,75.2,81,74.3,75.7,143584091.023978
2022-01-14T00:00:00,76,90.8,75.5,78.6,1441379327.355969
2022-01-15T00:00:00,78.6,78.7,76.1,77.5,114631601.366987
2022-01-16T00:00:00,77.4,77.4,75.9,76.1,44808539.895231
2022-01-17T00:00:00,76.1,79.2,73.8,75,171024845.280297
2022-01-18T00:00:00,75,79.4,71.5,72.9,179001086.822258
2022-01-19T00:00:00,73,73,68.8,70.9,37408058.003825
2022-01-20T00:00:00,70.9,73.4,69,69.3,29781652.138697
2022-01-21T00:00:00,69.3,69.9,61.5,62.6,58238708.818853
2022-01-22T00:00:00,62.6,66,53.5,56.5,119641726.149232
2022-01-23T00:00:00,56.5,68.8,56.1,59.6,499099271.089442
2022-01-24T00:00:00,59.6,61.8,50.2,56.3,118237142.741125
2022-01-25T00:00:00,56.3,60.2,51.3,55.5,97469763.318553
2022-01-26T00:00:00,55.5,70.9,54.6,58.6,602899402.193908
2022-01-27T00:00:00,58.6,60,56.1,58.5,65971917.694858
2022-01-28T00:00:00,58.5,61.8,57.8,60.6,79149489.607518
2022-01-29T00:00:00,60.6,62.3,59.4,61.9,58145755.028734
2022-01-30T00:00:00,61.9,63.9,60.3,61.4,61152573.720804
2022-01-31T00:00:00,61.4,61.5,58.3,61.2,29947789.514082
2022-02-01T00:00:00,61,62,60.1,61.7,30594569.972621
2022-02-02T00:00:00,61.7,69.3,60.3,60.6,230265666.285812
2022-02-03T00:00:00,60.7,65.5,60.3,62.7,116237247.624227
2022-02-04T00:00:00,62.7,67.2,61.7,66.8,232140882.777582
2022-02-05T00:00:00,66.9,70.1,66.2,68.6,117493029.137741
2022-02-06T00:00:00,68.6,71,65.9,69.1,86813917.546945
2022-02-07T00:00:00,69.1,85,68.2,78.1,1902765334.480538
2022-02-08T00:00:00,78.2,88.8,75.7,79.9,2378726798.431024
2022-02-09T00:00:00,79.9,80,74.2,77.4,209861369.217827
2022-02-10T00:00:00,77.3,83,75,76.2,571942249.583104
2022-02-11T00:00:00,76,76.2,68.5,71.4,102607632.255761
2022-02-12T00:00:00,71.4,72.9,67.4,72.8,69095089.681524
2022-02-13T00:00:00,72.9,78.3,70,71.8,449939963.861121
2022-02-14T00:00:00,71.9,72.1,67.6,69.6,90445928.300298
2022-02-15T00:00:00,69.6,74,68.4,74,64994686.571604
2022-02-16T00:00:00,73.7,74.4,70.7,72.5,63596909.782618
2022-02-17T00:00:00,72.5,73.7,67.1,67.7,72675184.165254
2022-02-18T00:00:00,67.7,70.5,66.5,67.8,46478585.17089
2022-02-19T00:00:00,67.8,68.1,64.5,66.7,37359659.633743
