datetime,open,high,low,close,volume
2022-01-01T00:00:00,522,534,522,528,1583255.396056
2022-01-01T04:00:00,528,529,524,527,353811.330284
2022-01-01T08:00:00,527,528,518,523,470075.537702
2022-01-01T12:00:00,523,524,519,522,378030.277284
2022-01-01T16:00:00,523,529,522,525,399402.436063
2022-01-01T20:00:00,525,528,519,527,587544.642337
2022-01-02T00:00:00,526,538,525,535,1834602.961235
2022-01-02T04:00:00,536,541,528,536,1581098.36763
2022-01-02T08:00:00,536,560,535,550,4675244.54645
2022-01-02T12:00:00,551,583,544,559,10897665.806203
2022-01-02T16:00:00,559,562,549,559,891066.545577
2022-01-02T20:00:00,561,577,554,572,935355.415623
2022-01-03T00:00:00,572,580,561,566,3579626.138883
2022-01-03T04:00:00,567,567,551,557,2089288.012993
2022-01-03T08:00:00,557,559,549,553,1587289.895629
2022-01-03T12:00:00,554,561,553,555,1307121.597346
2022-01-03T16:00:00,554,555,547,551,650427.890644
2022-01-03T20:00:00,551,556,546,554,688745.244387
2022-01-04T00:00:00,556,557,527,536,1697432.026696
2022-01-04T04:00:00,536,541,532,537,545809.254533
2022-01-04T08:00:00,537,548,536,546,1081012.799415
2022-01-04T12:00:00,545,547,535,540,1365194.167598
2022-01-04T16:00:00,541,543,537,538,299025.741747
2022-01-04T20:00:00,538,543,536,538,353532.818836
2022-01-05T00:00:00,538,543,536,543,666586.582864
2022-01-05T04:00:00,543,546,537,538,582222.178789
2022-01-05T08:00:00,539,545,539,541,567962.986928
2022-01-05T12:00:00,541,547,539,544,551171.093243
2022-01-05T16:00:00,544,548,533,533,551112.911236
2022-01-05T20:00:00,535,536,493,509,2566348.287562
2022-01-06T00:00:00,509,518,490,492,1994130.468007
2022-01-06T04:00:00,491,500,489,498,1198853.636123
2022-01-06T08:00:00,498,498,484,489,1470457.044322
2022-01-06T12:00:00,488,497,483,490,1302973.331873
2022-01-06T16:00:00,490,501,489,501,395202.391971
2022-01-06T20:00:00,500,507,499,504,529698.190728
2022-01-07T00:00:00,517,521,483,486,4351063.581242
2022-01-07T04:00:00,486,489,465,473,2301781.3496
2022-01-07T08:00:00,476,488,474,485,616637.603299
2022-01-07T12:00:00,487,514,472,481,4578458.456908
2022-01-07T16:00:00,481,495,471,483,521471.980658
2022-01-07T20:00:00,483,488,478,482,382864.597288
2022-01-08T00:00:00,481,490,477,481,572241.122863
2022-01-08T04:00:00,481,488,481,487,238000.631075
2022-01-08T08:00:00,487,492,482,485,308115.327838
2022-01-08T12:00:00,485,489,475,477,649051.718894
2022-01-08T16:00:00,476,479,461,463,775306.536939
2022-01-08T20:00:00,464,493,462,477,799663.900864
2022-01-09T00:00:00,477,494,471,483,1239708.814714
2022-01-09T04:00:00,482,494,479,489,1367533.799239
2022-01-09T08:00:00,488,490,479,486,617690.133482
2022-01-09T12:00:00,486,488,474,476,601031.602915
2022-01-09T16:00:00,477,487,475,486,310157.224076
2022-01-09T20:00:00,484,489,480,482,584731.494422
2022-01-10T00:00:00,482,644,481,620,280314078.268859
2022-01-10T04:00:00,620,633,595,609,85810723.016678
2022-01-10T08:00:00,609,610,569,579,80210172.442187
2022-01-10T12:00:00,579,593,538,552,98693951.859922
2022-01-10T16:00:00,552,558,533,548,20462807.574454
2022-01-10T20:00:00,549,575,545,564,27939500.627661
2022-01-11T00:00:00,565,565,516,519,40118511.977546
2022-01-11T04:00:00,519,522,493,499,20130130.220617
2022-01-11T08:00:00,499,506,487,494,11111531.090829
2022-01-11T12:00:00,494,503,491,498,7066752.412218
2022-01-11T16:00:00,498,515,497,514,5760710.207836
2022-01-11T20:00:00,515,526,508,525,7965059.344244
2022-01-12T00:00:00,526,539,496,501,15098452.678102
2022-01-12T04:00:00,502,504,498,500,2283747.379693
2022-01-12T08:00:00,500,508,499,506,2271830.052984
2022-01-12T12:00:00,506,521,504,513,8741077.64217
2022-01-12T16:00:00,513,518,509,516,1299359.005527
2022-01-12T20:00:00,516,524,515,522,3572171.360307
2022-01-13T00:00:00,522,525,500,508,10495276.743164
2022-01-13T04:00:00,507,512,505,510,2867177.615173
2022-01-13T08:00:00,510,514,505,506,2859992.947654
2022-01-13T12:00:00,505,513,500,505,3905598.188403
2022-01-13T16:00:00,504,507,500,501,875843.450451
2022-01-13T20:00:00,502,504,493,501,1937771.808573
2022-01-14T00:00:00,501,504,492,497,3437279.56165
2022-01-14T04:00:00,498,504,497,498,1768851.405121
2022-01-14T08:00:00,498,500,488,490,2193292.80361
2022-01-14T12:00:00,490,501,489,499,1192945.857505
2022-01-14T16:00:00,500,501,497,501,423000.22546
2022-01-14T20:00:00,501,507,500,506,1293879.44996
2022-01-15T00:00:00,505,514,501,504,3698687.132803
2022-01-15T04:00:00,504,506,502,506,901826.58568
2022-01-15T08:00:00,505,511,504,507,959499.327098
2022-01-15T12:00:00,506,510,502,507,1934814.767801
2022-01-15T16:00:00,507,511,506,508,406280.018017
2022-01-15T20:00:00,508,511,503,509,1087364.410089
2022-01-16T00:00:00,510,510,503,503,1847052.723164
2022-01-16T04:00:00,503,506,502,504,797678.957951
2022-01-16T08:00:00,506,506,502,505,988232.900631
2022-01-16T12:00:00,504,505,501,503,995917.187244
2022-01-16T16:00:00,504,507,502,505,388634.732004
2022-01-16T20:00:00,506,508,504,506,653279.971521
2022-01-17T00:00:00,506,506,495,496,2472568.333441
2022-01-17T04:00:00,496,497,491,494,1464783.369916
2022-01-17T08:00:00,494,496,493,493,598685.531463
2022-01-17T12:00:00,493,494,491,493,1071436.104605
2022-01-17T16:00:00,493,495,489,493,805444.617223
2022-01-17T20:00:00,494,500,488,500,674997.723227
2022-01-18T00:00:00,500,500,482,484,1685164.543731
2022-01-18T04:00:00,484,491,480,485,1550652.11862
2022-01-18T08:00:00,485,486,475,478,1297465.351975
2022-01-18T12:00:00,478,480,468,475,1361887.383205
2022-01-18T16:00:00,477,478,472,475,315262.60753
2022-01-18T20:00:00,475,487,472,486,617250.991982
2022-01-19T00:00:00,486,487,472,475,1109579.731295
2022-01-19T04:00:00,473,473,454,457,1548401.826245
2022-01-19T08:00:00,457,469,454,469,1083874.494059
2022-01-19T12:00:00,469,475,466,470,683168.701522
2022-01-19T16:00:00,468.5,473,459,462,735729.197413
2022-01-19T20:00:00,463,467,460,465,502252.750141
2022-01-20T00:00:00,466,468,456,462,873242.762236
2022-01-20T04:00:00,463,485,462,469,3736206.296733
2022-01-20T08:00:00,469,470,465,469,531236.418231
2022-01-20T12:00:00,468,480,466,477,1129455.415143
2022-01-20T16:00:00,478,478,472,474,314873.083139
2022-01-20T20:00:00,474,476,453,458,1985185.564047
2022-01-21T00:00:00,459,459,422,425,3751409.958731
2022-01-21T04:00:00,425,436,423,433,2856596.105893
2022-01-21T08:00:00,433,435,427,431,1084485.011036
2022-01-21T12:00:00,431,431,417,425,2240314.02549
2022-01-21T16:00:00,426,427,417,419,528889.965535
2022-01-21T20:00:00,420,422,391,399,2511099.324923
2022-01-22T00:00:00,398,418,386,389,6211187.352664
2022-01-22T04:00:00,389,405,358,362,10231436.572313
2022-01-22T08:00:00,360,368,340,355,2813300.687353
2022-01-22T12:00:00,355,368,351,352,1523192.583429
2022-01-22T16:00:00,351,357,344,352,461984.417715
2022-01-22T20:00:00,352,363,347,363,1013108.614175
2022-01-23T00:00:00,363,378,351,359,5206580.911481
2022-01-23T04:00:00,359,368,357,367,1490434.222043
2022-01-23T08:00:00,367,374,364,368,1948705.678405
2022-01-23T12:00:00,367,370,357,359,1262967.099791
2022-01-23T16:00:00,358,363,356,356,402591.635752
2022-01-23T20:00:00,357,372,355,372,994669.424706
2022-01-24T00:00:00,371,386,357,361,6805707.050153
2022-01-24T04:00:00,361,364,352,354,1209922.134014
2022-01-24T08:00:00,354,355,320,327,3868832.889874
2022-01-24T12:00:00,327,336,313,325,3981230.789568
2022-01-24T16:00:00,326,342,322,337,944791.949701
2022-01-24T20:00:00,337,367,336,354,2152920.530386
2022-01-25T00:00:00,353,354,336,343,1795920.246648
2022-01-25T04:00:00,343,345,330,335,858093.772947
2022-01-25T08:00:00,335,345,334,340,1044936.212193
2022-01-25T12:00:00,340,346,337,341,976960.82371
2022-01-25T16:00:00,341,356,341,354.666667,519300.054591
2022-01-25T20:00:00,355,355,343,351,968474.33676
2022-01-26T00:00:00,352,364,347,363,2970512.708777
2022-01-26T04:00:00,363,386,356,358,4274435.580474
2022-01-26T08:00:00,359,368,358,366,1347784.365875
2022-01-26T12:00:00,367,379,362,371,3194410.333198
2022-01-26T16:00:00,370,380,363,369,1223066.424327
2022-01-26T20:00:00,371,371,347,364,1892159.512195
2022-01-27T00:00:00,364,369,346,350,2353384.014353
2022-01-27T04:00:00,349,358,348,358,616574.492244
2022-01-27T08:00:00,359,365,353,364,944450.947739
2022-01-27T12:00:00,364,371,361,365,1299300.207915
2022-01-27T16:00:00,364,366,360,362,437333.750855
2022-01-27T20:00:00,364,373,358,370,976027.96837
2022-01-28T00:00:00,371,378,362,370,1967830.479017
2022-01-28T04:00:00,371,371,366,369,764877.689152
2022-01-28T08:00:00,370,372,367,368,966846.827938
2022-01-28T12:00:00,368,375,365,374,1581398.129733
2022-01-28T16:00:00,374,375,371,373,405563.11092
2022-01-28T20:00:00,376,391,374,389,1495218.26601
2022-01-29T00:00:00,390,420,387,394,29414735.029357
2022-01-29T04:00:00,394,398,393,397,2230675.39086
2022-01-29T08:00:00,397,399,389,395,2078587.12736
2022-01-29T12:00:00,395,402,389,392,2405271.162289
2022-01-29T16:00:00,392,398,389,393,426990.063675
2022-01-29T20:00:00,395,403,394,402,770540.002057
2022-01-30T00:00:00,402,416,396,398,14155224.591757
2022-01-30T04:00:00,398,403,398,402,1158665.933079
2022-01-30T08:00:00,403,406,399,402,1985692.948983
2022-01-30T12:00:00,402,403,391,395,1530152.423291
2022-01-30T16:00:00,396,397,385,386,584821.528184
2022-01-30T20:00:00,387,398,382,395,621959.610958
2022-01-31T00:00:00,395,398,369,374,2945546.996595
2022-01-31T04:00:00,373,378,372,378,719809.074286
2022-01-31T08:00:00,378,382,376,381,501558.869019
2022-01-31T12:00:00,381,385,376,383,625078.337264
2022-01-31T16:00:00,384,389,383,388,375123.7304
2022-01-31T20:00:00,388,393,386,391,508085.374709
2022-02-01T00:00:00,389,395,386,389,2138913.742127
2022-02-01T04:00:00,390,392,386,388,921959.355205
2022-02-01T08:00:00,389,393,382,388,1340493.47661
2022-02-01T12:00:00,389,393,386,389,1027696.252054
2022-02-01T16:00:00,389,392,388,389,277505.61738
2022-02-01T20:00:00,390,393,389,392,406013.436419
2022-02-02T00:00:00,392,392,387,391,806620.839073
2022-02-02T04:00:00,391,415,387,396,7307726.228829
2022-02-02T08:00:00,396,408,395,399,3220568.319656
2022-02-02T12:00:00,400,434,392,395,24567970.027996
2022-02-02T16:00:00,397,410,395,401,3818908.395813
2022-02-02T20:00:00,401,401,390,396,1444675.402249
2022-02-03T00:00:00,395,445,388,416,25790470.321717
2022-02-03T04:00:00,417,427,409,412,10499445.005617
2022-02-03T08:00:00,413,516,412,417,165778003.620482
2022-02-03T12:00:00,416,420,410,412,14369951.996948
2022-02-03T16:00:00,412,412,404,408,1867439.643011
2022-02-03T20:00:00,408,419,406,415,3406819.9744
2022-02-04T00:00:00,415,415,403,406,6590845.255045
2022-02-04T04:00:00,406,413,404,410,4794048.417937
2022-02-04T08:00:00,410,424,409,414,8263021.803133
2022-02-04T12:00:00,414,417,404,415,5398375.905146
2022-02-04T16:00:00,415,422,413,421,3129887.879758
2022-02-04T20:00:00,421,433,420,432,3718588.267978
2022-02-05T00:00:00,432,455,425,440,21641371.495512
2022-02-05T04:00:00,439,449,439,449,6803065.690786
2022-02-05T08:00:00,448,464,442,444,13344637.83655
2022-02-05T12:00:00,443,448,443,445,3508715.718055
