datetime,open,high,low,close,volume
2022-01-01T00:00:00,522,534,518,527,3772119.619726
2022-01-02T00:00:00,526,583,525,572,20815033.642718
2022-01-03T00:00:00,572,580,546,554,9902498.779882
2022-01-04T00:00:00,556,557,527,538,5342006.808825
2022-01-05T00:00:00,538,548,493,509,5485404.040622
2022-01-06T00:00:00,509,518,483,504,6891315.063024
2022-01-07T00:00:00,517,521,465,482,12752277.568995
2022-01-08T00:00:00,481,493,461,477,3342379.238473
2022-01-09T00:00:00,477,494,471,482,4720853.068848
2022-01-10T00:00:00,482,644,481,564,593431233.789761
2022-01-11T00:00:00,565,565,487,525,92152695.25329
2022-01-12T00:00:00,526,539,496,522,33266638.118783
2022-01-13T00:00:00,522,525,493,501,22941660.753418
2022-01-14T00:00:00,501,507,488,506,10309249.303306
2022-01-15T00:00:00,505,514,501,509,8988472.241488
2022-01-16T00:00:00,510,510,501,506,5670796.472515
2022-01-17T00:00:00,506,506,488,500,7087915.679875
2022-01-18T00:00:00,500,500,468,486,6827682.997043
2022-01-19T00:00:00,486,487,454,465,5663006.700675
2022-01-20T00:00:00,466,485,453,458,8570199.539529
2022-01-21T00:00:00,459,459,391,399,12972794.391608
2022-01-22T00:00:00,398,418,340,363,22254210.227649
2022-01-23T00:00:00,363,378,351,372,11305948.972178
2022-01-24T00:00:00,371,386,313,354,18963405.343696
2022-01-25T00:00:00,353,356,330,351,6163685.446849
2022-01-26T00:00:00,352,386,347,364,14902368.924846
2022-01-27T00:00:00,364,373,346,370,6627071.381476
2022-01-28T00:00:00,371,391,362,389,7181734.50277
2022-01-29T00:00:00,390,420,387,402,37326798.775598
2022-01-30T00:00:00,402,416,382,395,20036517.036252
2022-01-31T00:00:00,395,398,369,391,5675202.382273
2022-02-01T00:00:00,389,395,382,392,6112581.879795
2022-02-02T00:00:00,392,434,387,396,41166469.213616
2022-02-03T00:00:00,395,516,388,415,221712130.562175
2022-02-04T00:00:00,415,433,403,432,31894767.528997
2022-02-05T00:00:00,432,464,425,461,56130478.9685
2022-02-06T00:00:00,462,474,434,456,31653783.681957
2022-02-07T00:00:00,456,467,442,466,24106300.483464
2022-02-08T00:00:00,466,468,424,446,18296653.025426
2022-02-09T00:00:00,446,448,431,446,5764455.053883
