datetime,open,high,low,close,volume
2020-07-01T00:00:00,2.34,2.4,2.26,2.38,164699114.29213
2020-07-02T00:00:00,2.38,2.4,2.18,2.26,184597743.550899
2020-07-03T00:00:00,2.26,2.34,2.2,2.29,133327519.574189
2020-07-04T00:00:00,2.31,2.33,2.26,2.3,62441163.672676
2020-07-05T00:00:00,2.3,2.37,2.21,2.25,106938688.963844
2020-07-06T00:00:00,2.26,2.3,2.22,2.28,90980070.357182
2020-07-07T00:00:00,2.28,2.34,2.24,2.34,112347032.828372
2020-07-08T00:00:00,2.34,2.63,2.3,2.58,582482605.505261
2020-07-09T00:00:00,2.58,2.86,2.5,2.75,420950331.100502
2020-07-10T00:00:00,2.76,2.85,2.6,2.78,235839777.775815
2020-07-11T00:00:00,2.78,2.97,2.62,2.8,289220919.664854
2020-07-12T00:00:00,2.82,2.96,2.75,2.82,207859172.514747
2020-07-13T00:00:00,2.83,2.89,2.62,2.64,274732040.663251
2020-07-14T00:00:00,2.64,2.7,2.62,2.68,181133908.15554
2020-07-15T00:00:00,2.68,2.73,2.62,2.63,134545111.517138
2020-07-16T00:00:00,2.63,3.09,2.53,2.97,883599919.919555
2020-07-17T00:00:00,2.96,3.09,2.84,2.86,324765816.946033
2020-07-18T00:00:00,2.88,2.99,2.79,2.88,250970562.370882
2020-07-19T00:00:00,2.88,3.05,2.83,3.03,443460874.577913
2020-07-20T00:00:00,3.02,3.38,3.01,3.14,2037688261.47788
2020-07-21T00:00:00,3.14,3.16,2.87,2.94,838218711.347504
2020-07-22T00:00:00,2.94,3.23,2.88,3.15,551301002.52152
2020-07-23T00:00:00,3.15,3.4,3.09,3.23,640578361.287439
2020-07-24T00:00:00,3.22,3.4,3.06,3.14,421678284.667611
2020-07-25T00:00:00,3.13,3.36,3.09,3.32,262441304.307761
2020-07-26T00:00:00,3.32,3.36,3.08,3.26,218142244.593425
2020-07-27T00:00:00,3.26,3.26,2.88,3,322750340.07699
2020-07-28T00:00:00,2.98,3.54,2.98,3.26,1010063603.521109
2020-07-29T00:00:00,3.31,5.42,3.19,4.37,11174500443.990788
2020-07-30T00:00:00,4.36,4.37,3.27,3.61,2962704836.998896
2020-07-31T00:00:00,3.59,4.08,3.38,3.5,1715593704.92992
2020-08-01T00:00:00,3.5,3.89,3.4,3.5,2065262728.38403
2020-08-02T00:00:00,3.5,3.52,3.07,3.19,614586297.387813
2020-08-03T00:00:00,3.2,3.41,3.11,3.2,321281182.193394
2020-08-04T00:00:00,3.2,3.38,3.17,3.28,595391968.79393
2020-08-05T00:00:00,3.3,3.61,3.2,3.52,675187889.711499
2020-08-06T00:00:00,3.52,3.54,3.29,3.38,548463639.556922
2020-08-07T00:00:00,3.37,3.4,3.23,3.34,354354480.81573
2020-08-08T00:00:00,3.34,3.5,3.26,3.42,256727663.077521
2020-08-09T00:00:00,3.44,3.45,3.3,3.43,221396607.417181
2020-08-10T00:00:00,3.43,3.53,3.32,3.52,599047221.160558
2020-08-11T00:00:00,3.52,4.44,3.5,3.97,3993440331.261336
2020-08-12T00:00:00,3.97,3.97,3.55,3.82,978920197.721233
2020-08-13T00:00:00,3.81,4.19,3.61,4.04,916306000.292421
2020-08-14T00:00:00,4.05,4.82,3.85,4.13,1570105039.373435
2020-08-15T00:00:00,4.13,4.24,3.9,3.95,814334906.891209
2020-08-16T00:00:00,3.95,4.03,3.82,3.9,507183129.700216
2020-08-17T00:00:00,3.89,3.91,3.75,3.83,522307387.683895
2020-08-18T00:00:00,3.83,3.87,3.59,3.74,386105421.850539
2020-08-19T00:00:00,3.74,3.83,3.5,3.7,385574184.151453
2020-08-20T00:00:00,3.69,3.8,3.54,3.8,210669064.406157
2020-08-21T00:00:00,3.79,3.84,3.63,3.69,349243462.705697
2020-08-22T00:00:00,3.69,3.74,3.51,3.72,188453582.294813
2020-08-23T00:00:00,3.72,3.72,3.56,3.68,122210376.023401
2020-08-24T00:00:00,3.68,3.78,3.61,3.73,203338120.984855
2020-08-25T00:00:00,3.73,3.73,3.33,3.5,208150379.810369
2020-08-26T00:00:00,3.5,3.66,3.38,3.6,223146606.51774
2020-08-27T00:00:00,3.6,3.65,3.33,3.39,190355537.056059
2020-08-28T00:00:00,3.39,3.58,3.38,3.48,537447611.481943
2020-08-29T00:00:00,3.48,3.51,3.41,3.47,124207891.516283
2020-08-30T00:00:00,3.47,3.51,3.42,3.49,108039611.281609
2020-08-31T00:00:00,3.47,3.51,3.38,3.45,156386385.081495
2020-09-01T00:00:00,3.42,3.74,3.41,3.67,459348284.908171
2020-09-02T00:00:00,3.67,3.68,3.3,3.4,280234552.177758
2020-09-03T00:00:00,3.4,3.53,2.7,2.79,420952622.984428
2020-09-04T00:00:00,2.79,3.04,2.72,2.91,340540280.107784
2020-09-05T00:00:00,2.91,2.95,2.49,2.61,198217736.190409
2020-09-06T00:00:00,2.64,2.72,2.29,2.56,239809903.107648
2020-09-07T00:00:00,2.57,2.61,2.3,2.51,123721481.063677
2020-09-08T00:00:00,2.51,2.63,2.44,2.52,90134527.780357
2020-09-09T00:00:00,2.52,2.68,2.42,2.63,86617816.588752
2020-09-10T00:00:00,2.62,2.82,2.62,2.76,134902444.928925
2020-09-11T00:00:00,2.79,3.5,2.75,2.99,2699943848.452797
2020-09-12T00:00:00,2.99,3.04,2.81,2.98,311658536.864691
2020-09-13T00:00:00,2.95,3,2.64,2.75,197134448.884164
2020-09-14T00:00:00,2.75,2.83,2.66,2.78,61356724.280982
2020-09-15T00:00:00,2.8,2.85,2.6,2.67,103966487.427705
2020-09-16T00:00:00,2.67,2.7,2.51,2.59,109777107.914552
2020-09-17T00:00:00,2.58,2.67,2.43,2.58,109434032.166651
2020-09-18T00:00:00,2.56,2.64,2.47,2.57,79346105.713636
2020-09-19T00:00:00,2.57,2.61,2.54,2.6,25140687.743511
2020-09-20T00:00:00,2.59,2.8,2.53,2.68,415140709.341136
2020-09-21T00:00:00,2.68,2.8,2.35,2.41,265427215.142484
2020-09-22T00:00:00,2.41,2.49,2.33,2.46,79144370.570067
2020-09-23T00:00:00,2.46,2.5,2.24,2.28,96607704.611765
2020-09-24T00:00:00,2.28,2.48,2.26,2.46,53731826.930162
2020-09-25T00:00:00,2.46,2.46,2.36,2.46,54764635.60165
2020-09-26T00:00:00,2.46,2.66,2.41,2.51,325760241.679446
2020-09-27T00:00:00,2.5,2.59,2.42,2.49,84882600.576814
2020-09-28T00:00:00,2.47,2.52,2.45,2.49,61574890.152105
2020-09-29T00:00:00,2.49,2.51,2.41,2.47,79431142.088411
2020-09-30T00:00:00,2.48,2.51,2.38,2.44,91091842.188468
2020-10-01T00:00:00,2.43,2.46,2.32,2.39,57601246.12066
2020-10-02T00:00:00,2.39,2.41,2.27,2.31,51680065.234516
2020-10-03T00:00:00,2.31,2.36,2.31,2.35,22460804.088017
2020-10-04T00:00:00,2.35,2.35,2.28,2.34,52318889.647131
2020-10-05T00:00:00,2.35,2.45,2.32,2.42,103634503.24206
2020-10-06T00:00:00,2.43,2.43,2.28,2.34,65409021.700467
2020-10-07T00:00:00,2.32,2.35,2.22,2.28,54437194.584704
2020-10-08T00:00:00,2.27,2.41,2.25,2.39,203436066.220772
2020-10-09T00:00:00,2.39,2.68,2.37,2.63,444806216.5787
2020-10-10T00:00:00,2.63,3.22,2.57,2.63,985391576.891681
2020-10-11T00:00:00,2.61,2.66,2.52,2.57,105247391.874775
2020-10-12T00:00:00,2.58,2.76,2.54,2.63,310040090.416269
2020-10-13T00:00:00,2.63,2.64,2.51,2.54,86466014.160079
2020-10-14T00:00:00,2.54,2.55,2.48,2.53,41684875.787151
2020-10-15T00:00:00,2.53,2.59,2.46,2.51,59166624.840096
2020-10-16T00:00:00,2.51,2.55,2.34,2.37,56618149.582179
2020-10-17T00:00:00,2.37,2.41,2.34,2.36,43431434.350294
2020-10-18T00:00:00,2.36,2.38,2.29,2.36,71306577.497449
2020-10-19T00:00:00,2.36,2.37,2.28,2.34,36751173.951831
2020-10-20T00:00:00,2.36,2.37,2.27,2.3,58338135.651822
2020-10-21T00:00:00,2.3,2.35,2.24,2.32,72126348.926831
2020-10-22T00:00:00,2.31,2.48,2.28,2.37,93922504.632013
2020-10-23T00:00:00,2.39,2.57,2.35,2.49,122812122.389243
2020-10-24T00:00:00,2.5,2.56,2.44,2.52,47492889.200918
2020-10-25T00:00:00,2.52,2.52,2.41,2.43,39736428.178266
2020-10-26T00:00:00,2.44,2.68,2.36,2.52,476075480.260699
2020-10-27T00:00:00,2.52,2.6,2.39,2.55,146058856.368999
2020-10-28T00:00:00,2.54,2.58,2.39,2.46,101849530.370694
2020-10-29T00:00:00,2.46,2.46,2.21,2.26,204684574.68999
2020-10-30T00:00:00,2.24,2.35,2.06,2.19,251029059.349806
2020-10-31T00:00:00,2.2,2.24,2.13,2.18,41592080.398615
2020-11-01T00:00:00,2.17,2.21,2.13,2.16,17897162.044815
2020-11-02T00:00:00,2.17,2.4,2.1,2.16,129459592.82999
2020-11-03T00:00:00,2.16,2.25,2.04,2.13,87693633.322596
2020-11-04T00:00:00,2.11,2.12,2.01,2.06,54799977.075594
2020-11-05T00:00:00,2.05,2.15,2,2.12,101231163.651175
2020-11-06T00:00:00,2.1,2.38,2.08,2.3,917205896.218947
2020-11-07T00:00:00,2.3,2.37,2.15,2.19,157297053.739961
2020-11-08T00:00:00,2.21,2.39,2.17,2.31,156484048.663934
2020-11-09T00:00:00,2.31,2.35,2.18,2.32,122338698.817905
2020-11-10T00:00:00,2.3,2.45,2.26,2.44,202123534.942972
2020-11-11T00:00:00,2.44,2.6,2.35,2.45,506862602.022367
2020-11-12T00:00:00,2.44,2.56,2.37,2.44,184636934.808194
2020-11-13T00:00:00,2.44,2.52,2.39,2.46,117608254.996096
2020-11-14T00:00:00,2.45,2.49,2.33,2.42,95925348.865646
2020-11-15T00:00:00,2.42,2.42,2.31,2.31,50836705.343784
2020-11-16T00:00:00,2.33,2.44,2.23,2.32,220904999.082454
2020-11-17T00:00:00,2.34,2.36,2.23,2.3,78316029.169195
2020-11-18T00:00:00,2.3,2.66,2.27,2.46,1014903497.669561
2020-11-19T00:00:00,2.47,2.53,2.32,2.42,258786905.166377
2020-11-20T00:00:00,2.42,2.48,2.34,2.46,172171235.403416
2020-11-21T00:00:00,2.46,2.64,2.37,2.58,184284075.05467
2020-11-22T00:00:00,2.58,2.72,2.44,2.67,637549263.698679
2020-11-23T00:00:00,2.65,2.69,2.54,2.62,333987377.735821
2020-11-24T00:00:00,2.64,2.93,2.57,2.8,682192033.98144
2020-11-25T00:00:00,2.81,3.19,2.71,2.99,700993073.276096
2020-11-26T00:00:00,2.98,3.11,2.35,2.55,622340453.933837
2020-11-27T00:00:00,2.55,2.7,2.35,2.54,162347326.790715
2020-11-28T00:00:00,2.54,2.64,2.5,2.58,127052204.82181
2020-11-29T00:00:00,2.58,2.6,2.46,2.55,99265918.600311
2020-11-30T00:00:00,2.56,2.61,2.43,2.57,127042567.565877
2020-12-01T00:00:00,2.57,3,2.45,2.72,1277779735.801942
2020-12-02T00:00:00,2.72,2.99,2.57,2.91,574740985.597884
2020-12-03T00:00:00,2.91,2.98,2.76,2.9,269734122.956173
2020-12-04T00:00:00,2.9,3.18,2.6,2.67,1079690857.306991
2020-12-05T00:00:00,2.67,2.85,2.6,2.78,469255188.411195
2020-12-06T00:00:00,2.78,2.82,2.66,2.75,145747373.784762
2020-12-07T00:00:00,2.75,2.99,2.71,2.93,550501000.619834
2020-12-08T00:00:00,2.93,2.96,2.63,2.68,396443844.680325
2020-12-09T00:00:00,2.68,2.81,2.42,2.69,235647042.273183
2020-12-10T00:00:00,2.69,2.76,2.58,2.65,161242412.357168
2020-12-11T00:00:00,2.65,2.69,2.43,2.56,266472887.223524
2020-12-12T00:00:00,2.55,2.7,2.54,2.69,118247801.633946
2020-12-13T00:00:00,2.67,2.75,2.62,2.71,107860197.001928
2020-12-14T00:00:00,2.71,2.71,2.6,2.66,93713071.123032
2020-12-15T00:00:00,2.66,2.75,2.58,2.66,147072787.322844
2020-12-16T00:00:00,2.66,2.76,2.57,2.73,127182626.547989
2020-12-17T00:00:00,2.73,2.98,2.67,2.74,565006410.565442
2020-12-18T00:00:00,2.74,2.83,2.65,2.82,340473569.212106
2020-12-19T00:00:00,2.81,3.31,2.79,3.02,2064685907.714728
2020-12-20T00:00:00,3.03,3.2,2.85,3.06,715964417.506397
2020-12-21T00:00:00,3.04,3.23,2.7,2.9,712638382.340882
2020-12-22T00:00:00,2.9,2.93,2.65,2.85,278491667.938391
2020-12-23T00:00:00,2.85,3.06,2.4,2.6,1518469066.195947
2020-12-24T00:00:00,2.6,2.73,2.35,2.71,619004322.517518
2020-12-25T00:00:00,2.7,2.71,2.45,2.57,456606170.017506
2020-12-26T00:00:00,2.57,2.57,2.46,2.55,230069317.583797
2020-12-27T00:00:00,2.55,2.74,2.4,2.56,908472890.73866
2020-12-28T00:00:00,2.56,2.67,2.52,2.64,189430931.892162
2020-12-29T00:00:00,2.63,2.64,2.37,2.48,389357953.092898
2020-12-30T00:00:00,2.48,2.59,2.4,2.51,415632614.846335
2020-12-31T00:00:00,2.49,2.51,2.4,2.48,211124341.79539
2021-01-01T00:00:00,2.48,3.15,2.45,2.81,2348614106.895989
2021-01-02T00:00:00,2.81,2.81,2.6,2.71,498796289.689903
2021-01-03T00:00:00,2.71,3.08,2.64,2.76,2069556592.660628
2021-01-04T00:00:00,2.78,3.67,2.57,2.91,6172269475.488004
2021-01-05T00:00:00,2.91,2.91,2.68,2.85,606685539.546634
2021-01-06T00:00:00,2.84,2.92,2.71,2.9,681298871.14477
2021-01-07T00:00:00,2.9,3.05,2.81,2.93,681447696.152414
2021-01-08T00:00:00,2.97,3.16,2.67,3.06,817467845.631268
2021-01-09T00:00:00,3.05,3.97,2.97,3.34,5009383384.780427
2021-01-10T00:00:00,3.33,3.34,2.78,3.09,1103302439.035147
2021-01-11T00:00:00,3.09,3.11,2.46,2.82,635127528.753172
2021-01-12T00:00:00,2.82,2.97,2.57,2.78,307572553.705785
2021-01-13T00:00:00,2.78,2.91,2.67,2.87,224941769.882924
2021-01-14T00:00:00,2.87,3.01,2.74,2.91,590942351.487884
2021-01-15T00:00:00,2.9,3.03,2.73,3.03,469210129.75118
2021-01-16T00:00:00,3.02,3.93,2.91,3.19,3912246937.626824
2021-01-17T00:00:00,3.19,3.33,2.88,3.16,779581356.890113
2021-01-18T00:00:00,3.14,3.34,3,3.2,462507690.113445
2021-01-19T00:00:00,3.2,3.7,3.19,3.41,2821931448.607533
2021-01-20T00:00:00,3.4,3.4,3.09,3.34,944017013.932088
2021-01-21T00:00:00,3.34,3.34,2.95,2.97,669066529.848486
2021-01-22T00:00:00,2.97,3.04,2.63,3,630366410.236173
2021-01-23T00:00:00,3,3.04,2.85,2.98,284811705.071507
2021-01-24T00:00:00,2.98,3.23,2.95,3.06,1361937483.539491
2021-01-25T00:00:00,3.05,3.33,2.99,3.09,975364583.836301
2021-01-26T00:00:00,3.08,3.09,2.92,3.03,250381028.778547
2021-01-27T00:00:00,3.02,3.03,2.76,2.88,181903051.354007
2021-01-28T00:00:00,2.89,3.41,2.86,3.27,2367579268.190575
2021-01-29T00:00:00,3.27,3.78,3.15,3.38,3582627499.788971
