datetime,open,high,low,close,volume
2022-01-01T00:00:00,2140,2305,2140,2205,5641642.561413
2022-01-01T04:00:00,2210,2230,2185,2205,1034941.606379
2022-01-01T08:00:00,2205,2215,2180,2185,658937.246472
2022-01-01T12:00:00,2180,2205,2175,2185,726132.080077
2022-01-01T16:00:00,2185,2215,2185,2210,376220.763071
2022-01-01T20:00:00,2210,2235,2200,2230,459690.74586
2022-01-02T00:00:00,2230,2230,2190,2205,1263867.318807
2022-01-02T04:00:00,2210,2255,2195,2215,2311836.154718
2022-01-02T08:00:00,2215,2320,2205,2295,2911907.728591
2022-01-02T12:00:00,2300,2505,2280,2390,6748908.837811
2022-01-02T16:00:00,2390,2415,2300,2345,1769448.632817
2022-01-02T20:00:00,2345,2350,2305,2345,773445.202516
2022-01-03T00:00:00,2345,2400,2305,2350,2387680.307924
2022-01-03T04:00:00,2355,2370,2325,2330,1249663.587399
2022-01-03T08:00:00,2330,2340,2250,2295,1558531.734492
2022-01-03T12:00:00,2305,2315,2265,2265,819300.671543
2022-01-03T16:00:00,2265,2285,2220,2240,833020.548706
2022-01-03T20:00:00,2240,2270,2205,2260,1128768.913216
2022-01-04T00:00:00,2265,2265,2150,2190,1597129.87925
2022-01-04T04:00:00,2190,2215,2170,2215,610178.359376
2022-01-04T08:00:00,2215,2250,2190,2240,951126.699622
2022-01-04T12:00:00,2240,2280,2200,2230,1763616.743319
2022-01-04T16:00:00,2230,2275,2170,2200,774589.829581
2022-01-04T20:00:00,2205,2230,2180,2190,405002.401691
2022-01-05T00:00:00,2185,2260,2175,2245,1203144.062747
2022-01-05T04:00:00,2250,2255,2220,2230,790589.023871
2022-01-05T08:00:00,2235,2260,2210,2220,888799.556275
2022-01-05T12:00:00,2220,2280,2200,2245,1236676.533255
2022-01-05T16:00:00,2245,2250,2095,2100,1403973.500622
2022-01-05T20:00:00,2100,2125,1890,2015,4459089.979469
2022-01-06T00:00:00,2015,2055,1920,1925,2710012.709932
2022-01-06T04:00:00,1930,1985,1900,1985,1656771.608268
2022-01-06T08:00:00,1985,1990,1910,1940,1227095.034942
2022-01-06T12:00:00,1945,2075,1915,2005,3688648.625844
2022-01-06T16:00:00,2005,2030,1975,2015,451752.874433
2022-01-06T20:00:00,2020,2055,1995,2040,556480.476447
2022-01-07T00:00:00,2050,2160,1925,1930,8902608.895247
2022-01-07T04:00:00,1930,1945,1865,1920,2758583.934295
2022-01-07T08:00:00,1920,1985,1915,1960,1232147.307679
2022-01-07T12:00:00,1960,2010,1900,1925,1522411.440823
2022-01-07T16:00:00,1925,1975,1890,1950,606757.542775
2022-01-07T20:00:00,1950,1965,1900,1945,410242.250934
2022-01-08T00:00:00,1940,1980,1910,1970,1194437.650914
2022-01-08T04:00:00,1970,1985,1950,1975,444241.689234
2022-01-08T08:00:00,1980,1990,1940,1955,491733.031021
2022-01-08T12:00:00,1955,1965,1895,1895,789995.338702
2022-01-08T16:00:00,1895,1915,1820,1855,1023049.705631
2022-01-08T20:00:00,1860,1920,1820,1895,641138.145783
2022-01-09T00:00:00,1900,1970,1880,1945,1893742.839195
2022-01-09T04:00:00,1935,2040,1930,1960,4400934.884101
2022-01-09T08:00:00,1955,1975,1895,1950,2090061.114789
2022-01-09T12:00:00,1945,1975,1885,1905,2633738.395651
2022-01-09T16:00:00,1905,1955,1895,1955,495973.755505
2022-01-09T20:00:00,1960,1960,1910,1915,550537.108607
2022-01-10T00:00:00,1925,1975,1910,1955,2072069.169226
2022-01-10T04:00:00,1955,1980,1935,1955,1081956.48331
2022-01-10T08:00:00,1955,1960,1850,1860,1601482.940885
2022-01-10T12:00:00,1860,1875,1705,1790,4706294.86181
2022-01-10T16:00:00,1790,1855,1765,1825,1036567.576805
2022-01-10T20:00:00,1815,1865,1810,1865,592880.606883
2022-01-11T00:00:00,1860,1890,1820,1870,1272570.098683
2022-01-11T04:00:00,1875,1880,1790,1820,1491201.535618
2022-01-11T08:00:00,1815,1845,1780,1810,970344.588096
2022-01-11T12:00:00,1810,1830,1775,1815,1019381.882236
2022-01-11T16:00:00,1815,1950,1810,1890,1682795.181554
2022-01-11T20:00:00,1895,1960,1890,1945,862919.005891
2022-01-12T00:00:00,1950,1960,1900,1940,1229307.217814
2022-01-12T04:00:00,1940,1950,1910,1925,637439.564265
2022-01-12T08:00:00,1925,1970,1920,1950,845225.687087
2022-01-12T12:00:00,1945,2025,1940,1970,2639663.127627
2022-01-12T16:00:00,1970,2035,1960,2020,404257.294768
2022-01-12T20:00:00,2015,2045,2005,2035,726958.861353
2022-01-13T00:00:00,2030,2055,1975,1990,2129927.576047
2022-01-13T04:00:00,1985,2025,1980,2015,1225357.352487
2022-01-13T08:00:00,2015,2030,1990,1990,978063.276285
2022-01-13T12:00:00,1990,2045,1970,1995,1551003.668488
2022-01-13T16:00:00,1995,2045,1950,1965,1051676.911487
