datetime,open,high,low,close,volume
2020-07-01T00:00:00,16.5,16.9,16.3,16.5,9046279.255019
2020-07-02T00:00:00,16.6,16.6,15.9,16.1,9792020.977333
2020-07-03T00:00:00,16.1,16.1,15.3,15.6,11044823.979476
2020-07-04T00:00:00,15.8,16.5,15.6,16.2,35833980.740266
2020-07-05T00:00:00,16.3,17.3,16.1,16.6,47173892.371874
2020-07-06T00:00:00,16.6,17.8,16.2,17.7,48598204.776415
2020-07-07T00:00:00,17.7,17.8,17,17.4,16650652.942069
2020-07-08T00:00:00,17.4,19,17.3,18.5,74056179.056828
2020-07-09T00:00:00,18.5,19.3,17.8,18.4,43479534.209943
2020-07-10T00:00:00,18.6,20.8,18.2,20.7,105218351.622143
2020-07-11T00:00:00,20.7,22.8,20.3,20.7,197773329.488584
2020-07-12T00:00:00,20.6,21.4,19.7,20,84872020.239841
2020-07-13T00:00:00,20,21.3,19.2,20.2,42082319.349698
2020-07-14T00:00:00,20.2,20.9,19.3,20.1,36421357.234108
2020-07-15T00:00:00,20.1,21,19.6,20.2,92963255.178453
2020-07-16T00:00:00,20.2,20.2,18.1,19.1,43033920.510071
2020-07-17T00:00:00,19.1,19.1,18.1,18.4,15401130.350109
2020-07-18T00:00:00,18.5,19.4,18.2,19.4,18119470.869874
2020-07-19T00:00:00,19.4,19.7,18.5,19.5,15936038.733286
2020-07-20T00:00:00,19.7,20.6,19.4,20.3,28137850.59152
2020-07-21T00:00:00,20.3,20.5,19.1,19.5,26456943.158702
2020-07-22T00:00:00,19.6,22.3,19.5,21.1,92658497.276437
2020-07-23T00:00:00,21.2,24.7,21,23.6,152219567.497512
2020-07-24T00:00:00,23.7,24.4,21.7,22.2,42726192.578626
2020-07-25T00:00:00,22.3,24.7,21.9,24.7,51101744.764181
2020-07-26T00:00:00,24.7,25.2,21.1,21.4,104528412.96259
2020-07-27T00:00:00,21.3,21.7,18.3,18.7,191256881.003909
2020-07-28T00:00:00,18.7,19.5,18.4,19.2,90589554.49858
2020-07-29T00:00:00,19.3,20.9,18.7,19.6,94859289.167012
2020-07-30T00:00:00,19.5,20.2,18.9,19.3,64994723.840105
2020-07-31T00:00:00,19.3,20.8,19.2,19.8,103134482.921843
2020-08-01T00:00:00,19.8,20.5,19.4,20.3,35715713.205482
2020-08-02T00:00:00,20.2,20.4,18.9,19.3,60199100.868795
2020-08-03T00:00:00,19.3,20.1,19.3,19.5,34508783.511044
2020-08-04T00:00:00,19.5,20.2,19,20.1,48830695.429527
2020-08-05T00:00:00,20.1,21.4,19.5,21.2,55576883.239475
2020-08-06T00:00:00,21.3,22.6,21.1,22.2,62360510.183655
2020-08-07T00:00:00,22.4,23.6,22.2,22.8,25393434.064587
2020-08-08T00:00:00,23,24,22,23,19917416.242479
2020-08-09T00:00:00,22.8,23.7,22.2,22.9,20297442.043922
2020-08-10T00:00:00,22.8,26.7,21.9,26,81468933.464132
2020-08-11T00:00:00,25.9,29.2,25.4,28.6,69225522.333921
2020-08-12T00:00:00,28.6,29.7,26.1,28.6,40249228.884352
2020-08-13T00:00:00,28.6,29.9,27.6,28.5,21937149.557909
2020-08-14T00:00:00,28.7,31.6,28,30.4,29623448.932109
2020-08-15T00:00:00,30.6,42.3,30.2,35.5,386037945.809483
2020-08-16T00:00:00,35.5,36.1,32.3,34.7,130810295.068463
2020-08-17T00:00:00,34.7,36.9,33.1,34.6,62492904.232787
2020-08-18T00:00:00,34.8,38.3,34,36,68670583.901899
2020-08-19T00:00:00,36,39.7,34,38.8,45587397.018995
2020-08-20T00:00:00,38.6,44.4,37.5,41.9,97319149.443644
2020-08-21T00:00:00,42,48.4,40.7,41.1,205274219.847921
2020-08-22T00:00:00,41.1,42.5,36.9,41.4,36977174.046472
2020-08-23T00:00:00,41.4,44,41,43.7,30248835.789306
2020-08-24T00:00:00,43.7,44.8,41.6,43,24028791.27443
2020-08-25T00:00:00,42.9,43.7,38.6,39.4,32920880.442228
2020-08-26T00:00:00,39.5,39.5,35.6,37.2,38275788.726629
2020-08-27T00:00:00,37,37.4,34,34.7,31431771.485989
2020-08-28T00:00:00,34.8,36.2,34,35.6,7535867.292509
2020-08-29T00:00:00,35.5,36.6,35.1,36.1,14739543.087657
2020-08-30T00:00:00,36.1,41.4,35.6,39.8,39223550.477424
2020-08-31T00:00:00,39.8,42.4,36,37.3,71235287.279378
2020-09-01T00:00:00,37.4,37.6,33.6,34.5,45704864.901573
2020-09-02T00:00:00,34.5,35.4,30.4,32.5,49910564.794958
