datetime,open,high,low,close,volume
2020-07-01T00:00:00,54.8,56.1,54.3,55.6,14507578.919974
2020-07-02T00:00:00,55.5,56.1,52.4,53.4,19510710.516205
2020-07-03T00:00:00,53.4,54,52.1,53.4,14985054.867103
2020-07-04T00:00:00,53.5,54.4,53,53.7,9085400.628964
2020-07-05T00:00:00,53.6,56.3,52.4,55.2,16654166.11919
2020-07-06T00:00:00,55.2,60.2,54.4,56.5,37160012.216204
2020-07-07T00:00:00,56.5,60,55.4,59.9,24039429.086377
2020-07-08T00:00:00,59.9,69.7,58.1,66.7,114310804.896015
2020-07-09T00:00:00,66.6,71.2,62.9,69.5,45818315.526813
2020-07-10T00:00:00,69.1,79.6,65.8,75.5,131876690.790645
2020-07-11T00:00:00,75.6,82.5,75.5,77.7,79303533.686666
2020-07-12T00:00:00,77.7,79.5,73.5,74.7,57173351.896088
2020-07-13T00:00:00,75,75.1,67.6,68.3,46840644.454424
2020-07-14T00:00:00,68.3,71.1,65.6,67.8,32969323.065526
2020-07-15T00:00:00,67.9,73.2,66.8,67.6,31352752.577876
2020-07-16T00:00:00,67.8,70,61.4,69.8,38208431.917321
2020-07-17T00:00:00,69.9,70.1,66.5,67.8,11474468.742347
2020-07-18T00:00:00,67.8,73.3,66.1,71.9,13121095.98456
2020-07-19T00:00:00,71.9,77.9,69,75.6,23613684.487758
2020-07-20T00:00:00,75.6,85.6,73.3,79.4,19357048.923121
2020-07-21T00:00:00,79.4,79.8,72.4,74.1,15015373.346499
2020-07-22T00:00:00,74.1,76,70.6,71.8,12851318.102311
2020-07-23T00:00:00,71.6,73.1,70,70.7,12961489.835444
2020-07-24T00:00:00,71,71.3,69,70.5,5476892.080144
2020-07-25T00:00:00,70.8,73.9,70.6,71.6,10131280.832125
2020-07-26T00:00:00,71.6,73.4,67.2,71.9,11442626.95163
2020-07-27T00:00:00,72,72,63,65.4,20736283.475749
2020-07-28T00:00:00,65.4,67.3,63.8,66.2,12275465.889202
2020-07-29T00:00:00,66.2,69.4,65.4,66.8,20866855.068793
2020-07-30T00:00:00,66.7,68.6,66,66.9,12890645.043683
2020-07-31T00:00:00,66.7,67.4,64.5,65.5,8763504.77721
2020-08-01T00:00:00,65.4,66.4,64.2,66,12891963.993652
2020-08-02T00:00:00,66.4,66.9,61.4,63.8,25946413.210977
2020-08-03T00:00:00,63.8,66.6,63.6,65.9,7494127.739948
2020-08-04T00:00:00,65.9,66.3,63.1,64.2,9719597.897622
2020-08-05T00:00:00,64.3,64.6,62.5,63.4,7007144.512129
2020-08-06T00:00:00,63.3,64.2,62.7,63.8,5163398.379171
2020-08-07T00:00:00,63.8,66.4,63.5,66.2,9740218.174918
2020-08-08T00:00:00,66.4,71.2,65.7,70,12358298.355315
2020-08-09T00:00:00,70,73.2,67.9,70.7,12812466.490729
2020-08-10T00:00:00,70.7,70.9,68.1,70.4,10558501.491464
2020-08-11T00:00:00,70.2,75,69.1,72.9,17958337.929688
2020-08-12T00:00:00,73.1,76.6,69.4,75.2,9637074.499266
2020-08-13T00:00:00,75.2,78.5,71.2,74.4,16067942.687839
2020-08-14T00:00:00,74.4,78.1,73.9,75.3,9699200.630166
2020-08-15T00:00:00,75.3,75.5,72,72.4,8178544.592127
2020-08-16T00:00:00,72.5,74.3,71.1,73.6,9207723.724435
2020-08-17T00:00:00,73.6,74.7,70.2,71.6,18271934.689641
2020-08-18T00:00:00,71.6,72.6,69,70.5,15472167.656225
2020-08-19T00:00:00,70.7,71.3,65,67.3,12408928.314347
2020-08-20T00:00:00,67.3,71,65,70.6,9332971.289191
2020-08-21T00:00:00,70.6,92,70.1,73.9,130077245.052563
2020-08-22T00:00:00,74.4,85.8,70,80.8,73726741.044909
2020-08-23T00:00:00,80.8,81.9,76.9,79,12981800.166085
2020-08-24T00:00:00,79.1,83.7,77,81.6,13920828.221978
2020-08-25T00:00:00,81.7,88,78,80.7,47787912.504047
2020-08-26T00:00:00,80.7,81.5,74.9,77.7,16520472.567028
2020-08-27T00:00:00,77.7,77.7,69.1,70.2,17648863.583292
2020-08-28T00:00:00,70.2,72.7,68.8,71.9,7569071.660237
2020-08-29T00:00:00,72,73.7,70.9,73,8398779.795134
2020-08-30T00:00:00,73,74.4,72.2,72.7,8167319.64835
2020-08-31T00:00:00,72.5,73.7,70,70.5,7899173.443095
2020-09-01T00:00:00,70.4,73,69,70.5,10109794.654859
2020-09-02T00:00:00,70.5,71,64.4,67.7,10734012.993168
2020-09-03T00:00:00,67.9,67.9,55.5,56.6,11138606.760583
2020-09-04T00:00:00,56.3,63,56.2,59.9,9823254.296706
2020-09-05T00:00:00,59.8,61.2,53.2,55,7709341.215391
2020-09-06T00:00:00,55.2,56.8,51.6,55.9,8073746.923088
2020-09-07T00:00:00,55.9,56.8,51.3,55.3,7351807.284276
2020-09-08T00:00:00,55.3,55.7,52,53.4,4037312.801583
2020-09-09T00:00:00,53.3,56.5,52.6,56.3,3549261.654936
2020-09-10T00:00:00,54.9,59.1,54.9,58.7,6221624.432703
2020-09-11T00:00:00,58.7,64,56.9,63.3,7827519.227625
2020-09-12T00:00:00,63.4,66.9,61.3,63.9,12660054.415639
2020-09-13T00:00:00,63.6,65.4,58.2,59.4,6607216.941625
