datetime,open,high,low,close,volume
2020-07-01T00:00:00,,,,,0
2020-07-02T00:00:00,,,,,0
2020-07-03T00:00:00,,,,,0
2020-07-04T00:00:00,,,,,0
2020-07-05T00:00:00,,,,,0
2020-07-06T00:00:00,,,,,0
2020-07-07T00:00:00,,,,,0
2020-07-08T00:00:00,,,,,0
2020-07-09T00:00:00,,,,,0
2020-07-10T00:00:00,,,,,0
2020-07-11T00:00:00,,,,,0
2020-07-12T00:00:00,,,,,0
2020-07-13T00:00:00,,,,,0
2020-07-14T00:00:00,,,,,0
2020-07-15T00:00:00,,,,,0
2020-07-16T00:00:00,,,,,0
2020-07-17T00:00:00,,,,,0
2020-07-18T00:00:00,,,,,0
2020-07-19T00:00:00,,,,,0
2020-07-20T00:00:00,,,,,0
2020-07-21T00:00:00,,,,,0
2020-07-22T00:00:00,,,,,0
2020-07-23T00:00:00,,,,,0
2020-07-24T00:00:00,,,,,0
2020-07-25T00:00:00,,,,,0
2020-07-26T00:00:00,,,,,0
2020-07-27T00:00:00,,,,,0
2020-07-28T00:00:00,,,,,0
2020-07-29T00:00:00,,,,,0
2020-07-30T00:00:00,,24100,1180,14100,16351133.207357
2020-07-31T00:00:00,14200,16800,8360,8520,4969531.605594
2020-08-01T00:00:00,8520,10300,8270,9380,3294326.66334
2020-08-02T00:00:00,9380,9730,6750,8020,1323973.625063
2020-08-03T00:00:00,8010,8290,7490,8180,676231.574229
2020-08-04T00:00:00,8170,8300,6580,7090,863953.56232
2020-08-05T00:00:00,7090,7210,6000,6170,650634.720729
2020-08-06T00:00:00,6160,6170,5410,5630,427177.830248
2020-08-07T00:00:00,5620,5780,5100,5470,156578.521216
2020-08-08T00:00:00,5470,6140,5390,5880,326267.843175
2020-08-09T00:00:00,5880,6050,5560,5730,219760.755899
2020-08-10T00:00:00,5740,5940,5720,5840,204842.826313
2020-08-11T00:00:00,5870,5980,5590,5780,194003.339604
2020-08-12T00:00:00,5760,5910,5670,5830,81382.969831
2020-08-13T00:00:00,5830,5830,5650,5750,120734.444959
2020-08-14T00:00:00,5750,5750,5410,5680,112793.169623
2020-08-15T00:00:00,5660,5690,5590,5610,29513.434475
2020-08-16T00:00:00,5620,5750,5580,5740,47186.989933
2020-08-17T00:00:00,5750,5940,5680,5900,130562.81521
2020-08-18T00:00:00,5900,6070,5430,5710,173550.753154
2020-08-19T00:00:00,5700,5740,5340,5480,63203.605675
2020-08-20T00:00:00,5510,5550,5300,5540,43034.448343
2020-08-21T00:00:00,5540,5730,5170,5280,113642.017221
2020-08-22T00:00:00,5280,5280,5000,5180,32300.905643
2020-08-23T00:00:00,5180,5230,5040,5160,25217.955161
2020-08-24T00:00:00,5130,5250,5070,5210,100339.449016
2020-08-25T00:00:00,5210,5210,4850,4910,62752.178694
2020-08-26T00:00:00,4940,5060,4640,4770,57742.036871
2020-08-27T00:00:00,4750,5170,4360,4540,126534.262064
2020-08-28T00:00:00,4550,4600,4370,4570,68377.177788
2020-08-29T00:00:00,4520,4560,4390,4480,34897.278906
2020-08-30T00:00:00,4490,4510,4390,4480,26849.167586
2020-08-31T00:00:00,4470,4970,4430,4950,155325.918814
2020-09-01T00:00:00,4950,4950,4600,4700,45196.424288
2020-09-02T00:00:00,4700,4720,4300,4380,48279.317535
2020-09-03T00:00:00,4410,4650,3990,4110,88032.101289
2020-09-04T00:00:00,4100,4100,3480,3890,45283.696171
2020-09-05T00:00:00,3870,3970,3500,3600,38426.882369
2020-09-06T00:00:00,3620,4200,3120,3520,262493.132237
2020-09-07T00:00:00,3520,4010,3360,3470,160233.863125
2020-09-08T00:00:00,3470,3850,3310,3650,84180.90484
2020-09-09T00:00:00,3670,4030,3570,3940,145581.013378
2020-09-10T00:00:00,3910,4800,3890,4270,738706.780835
2020-09-11T00:00:00,4280,4300,3900,4010,105560.557711
2020-09-12T00:00:00,4040,4440,3890,4160,374671.179795
2020-09-13T00:00:00,4160,4430,3760,3970,181220.112865
2020-09-14T00:00:00,3950,3950,3770,3880,18246.138178
2020-09-15T00:00:00,3880,4500,3850,4090,449179.259446
2020-09-16T00:00:00,4090,4260,3770,3880,129599.962859
2020-09-17T00:00:00,3890,4090,3700,3840,52130.114408
2020-09-18T00:00:00,3830,4010,3570,3810,66691.250977
2020-09-19T00:00:00,3850,3970,3700,3810,88479.54864
2020-09-20T00:00:00,3810,4040,3770,3900,68461.49144
2020-09-21T00:00:00,3900,4370,3530,3630,419930.26731
2020-09-22T00:00:00,3630,3780,3250,3440,47883.742016
2020-09-23T00:00:00,3440,3450,3130,3170,49339.512629
2020-09-24T00:00:00,3220,3680,3110,3560,125887.671119
2020-09-25T00:00:00,3560,3590,3330,3480,67063.694181
2020-09-26T00:00:00,3500,3580,3380,3550,28421.636061
2020-09-27T00:00:00,3550,4150,3490,3900,441095.412365
2020-09-28T00:00:00,3920,4510,3880,4020,780487.451992
2020-09-29T00:00:00,4020,4180,3850,3970,304822.86405
2020-09-30T00:00:00,3970,4150,3910,4050,57795.200403
2020-10-01T00:00:00,4050,4050,3680,3830,31679.768461
2020-10-02T00:00:00,3830,3840,3450,3510,52251.780907
2020-10-03T00:00:00,3510,4000,3510,3610,224388.781888
2020-10-04T00:00:00,3630,3820,3510,3580,158324.799703
2020-10-05T00:00:00,3580,3610,3430,3510,52446.351323
2020-10-06T00:00:00,3510,3580,3170,3260,131632.946097
2020-10-07T00:00:00,3270,3300,3080,3220,46428.451553
2020-10-08T00:00:00,3220,4990,3200,3940,3957809.609613
2020-10-09T00:00:00,3940,4680,3850,4080,2013549.884492
2020-10-10T00:00:00,4080,4110,3750,3860,194730.147371
2020-10-11T00:00:00,3860,4150,3750,3870,279587.481013
2020-10-12T00:00:00,3850,4240,3780,4150,379200.627486
2020-10-13T00:00:00,4150,4190,3830,3950,106816.906904
2020-10-14T00:00:00,3960,4120,3750,3900,78273.429226
2020-10-15T00:00:00,3900,4000,3630,3790,57330.462756
2020-10-16T00:00:00,3770,3880,3480,3640,81764.623346
2020-10-17T00:00:00,3640,3700,3560,3700,27871.642564
2020-10-18T00:00:00,3700,3940,3690,3800,207669.564495
2020-10-19T00:00:00,3810,3810,3550,3620,63577.429099
2020-10-20T00:00:00,3630,3870,3590,3660,204866.881549
2020-10-21T00:00:00,3670,3800,3430,3510,138798.596928
2020-10-22T00:00:00,3500,3560,3200,3420,108360.459714
2020-10-23T00:00:00,3420,3540,3280,3460,88750.758235
2020-10-24T00:00:00,3460,5320,3460,3780,2220533.983192
2020-10-25T00:00:00,3790,3800,3510,3630,249842.865769
2020-10-26T00:00:00,3630,4470,3610,3880,1180105.172693
2020-10-27T00:00:00,3870,3880,3470,3820,394227.209234
2020-10-28T00:00:00,3800,3820,3540,3640,96509.680644
2020-10-29T00:00:00,3650,3720,3450,3540,78916.655368
2020-10-30T00:00:00,3530,3600,3310,3460,67961.926191
2020-10-31T00:00:00,3460,4180,3410,3630,1205633.905632
2020-11-01T00:00:00,3660,4130,3630,3710,500710.847024
2020-11-02T00:00:00,3710,3890,3550,3660,264310.240286
2020-11-03T00:00:00,3660,3670,3450,3620,56963.356775
2020-11-04T00:00:00,3620,3730,3450,3570,96996.257541
2020-11-05T00:00:00,3580,3630,3500,3620,64978.409515
2020-11-06T00:00:00,3610,3970,3590,3960,160802.934766
2020-11-07T00:00:00,3960,4100,3660,3830,205673.755866
2020-11-08T00:00:00,3830,3890,3690,3880,53610.184435
2020-11-09T00:00:00,3880,3920,3730,3890,83512.185906
2020-11-10T00:00:00,3890,5220,3890,4360,1774613.10442
2020-11-11T00:00:00,4360,8140,4300,6020,9743878.951975
2020-11-12T00:00:00,6020,6050,4780,5110,1659684.905522
2020-11-13T00:00:00,5120,5320,4380,4850,1334714.680138
2020-11-14T00:00:00,4830,4850,4450,4540,307605.642885
2020-11-15T00:00:00,4520,4930,4410,4540,583074.036124
2020-11-16T00:00:00,4540,4890,4450,4620,888698.00692
2020-11-17T00:00:00,4640,4830,4170,4370,539944.622098
2020-11-18T00:00:00,4370,4420,3890,4110,497828.833254
2020-11-19T00:00:00,4110,4390,3940,4140,520754.89744
2020-11-20T00:00:00,4130,4220,4060,4160,212585.622326
2020-11-21T00:00:00,4160,4230,4040,4180,252876.825971
2020-11-22T00:00:00,4190,4890,4030,4390,1304177.375709
2020-11-23T00:00:00,4390,5060,4220,4580,1181409.996742
2020-11-24T00:00:00,4580,4680,4350,4650,426744.941496
2020-11-25T00:00:00,4640,4870,4490,4680,397597.505147
2020-11-26T00:00:00,4670,5350,3980,4350,1111436.48014
2020-11-27T00:00:00,4350,4460,4040,4240,166878.9449
2020-11-28T00:00:00,4210,4320,4080,4290,100118.041135
2020-11-29T00:00:00,4280,4380,4190,4310,107237.531604
2020-11-30T00:00:00,4310,4350,4200,4300,103574.090389
2020-12-01T00:00:00,4310,5230,4270,4920,1752957.917248
2020-12-02T00:00:00,4920,5200,4570,5120,653472.262808
2020-12-03T00:00:00,5120,5180,4680,4860,303165.748463
2020-12-04T00:00:00,4840,5110,4340,4430,237261.766273
2020-12-05T00:00:00,4460,6670,4360,5330,5289370.909277
2020-12-06T00:00:00,5330,6280,4860,5370,3311781.60065
2020-12-07T00:00:00,5370,5430,4930,5160,564678.810459
2020-12-08T00:00:00,5160,5220,4620,4690,259189.359191
2020-12-09T00:00:00,4690,5060,4300,4700,548251.381935
2020-12-10T00:00:00,4710,5010,4550,4880,312290.959089
2020-12-11T00:00:00,4880,5000,4390,4520,239734.94673
2020-12-12T00:00:00,4480,4860,4470,4740,322477.05831
2020-12-13T00:00:00,4740,4740,4570,4700,93220.480707
2020-12-14T00:00:00,4700,4720,4540,4620,78752.12499
2020-12-15T00:00:00,4610,4700,4550,4630,101958.000313
2020-12-16T00:00:00,4620,4710,4370,4630,234535.923428
2020-12-17T00:00:00,4650,5040,4600,4690,580693.413778
2020-12-18T00:00:00,4690,4990,4520,4900,377402.766501
2020-12-19T00:00:00,4900,5330,4770,5100,470792.57075
2020-12-20T00:00:00,5110,6680,4890,4950,2665628.255853
2020-12-21T00:00:00,4970,5310,4520,4800,414386.989665
2020-12-22T00:00:00,4800,4940,4550,4820,84867.913867
2020-12-23T00:00:00,4810,4830,4320,4420,159347.315304
2020-12-24T00:00:00,4410,4600,4020,4600,136335.958983
2020-12-25T00:00:00,4610,4920,4340,4510,285564.5373
2020-12-26T00:00:00,4510,4610,4380,4530,100690.359175
2020-12-27T00:00:00,4520,8700,4450,5720,15623165.252885
2020-12-28T00:00:00,5710,5770,4820,5020,1383633.157603
2020-12-29T00:00:00,5020,5910,4730,5200,1924485.992352
2020-12-30T00:00:00,5200,7450,4990,6000,6602227.415762
2020-12-31T00:00:00,6000,8170,5490,7090,6498690.842646
