datetime,open,high,low,close,volume
2022-01-01T00:00:00,2485,2770,2465,2740,76087813.22103
2022-01-02T00:00:00,2745,2920,2570,2605,104825005.093503
2022-01-03T00:00:00,2605,2605,2335,2380,47865440.771857
2022-01-04T00:00:00,2380,2410,2260,2275,30262748.062771
2022-01-05T00:00:00,2280,2430,1945,2060,47533483.210449
2022-01-06T00:00:00,2065,2135,1955,2105,27557893.588245
2022-01-07T00:00:00,2105,2105,1900,1965,24378885.67571
2022-01-08T00:00:00,1965,2010,1820,1905,13636932.515096
2022-01-09T00:00:00,1910,1970,1870,1920,12108291.932441
2022-01-10T00:00:00,1920,1980,1725,1830,24390123.782097
2022-01-11T00:00:00,1830,1955,1770,1935,22469834.154393
2022-01-12T00:00:00,1940,2100,1910,2055,23705967.543074
2022-01-13T00:00:00,2055,2165,1975,1985,22931278.948464
2022-01-14T00:00:00,1995,2245,1965,2170,48105067.711503
2022-01-15T00:00:00,2165,2290,2135,2145,23449180.857305
2022-01-16T00:00:00,2145,2200,2095,2110,11460659.113558
2022-01-17T00:00:00,2105,2140,1990,2030,13198279.138847
2022-01-18T00:00:00,2030,2040,1905,1960,14436935.26306
2022-01-19T00:00:00,1965,2060,1830,1905,21123663.666745
2022-01-20T00:00:00,1910,2020,1840,1855,16086910.425936
2022-01-21T00:00:00,1855,1930,1735,1780,42525305.726761
2022-01-22T00:00:00,1790,1835,1490,1590,42819594.499536
2022-01-23T00:00:00,1590,1670,1530,1625,21956379.174279
2022-01-24T00:00:00,1620,1625,1375,1545,44143875.069143
2022-01-25T00:00:00,1545,1555,1460,1520,17577811.787962
2022-01-26T00:00:00,1520,1705,1510,1575,25957747.580052
2022-01-27T00:00:00,1575,1670,1510,1610,21538762.845886
2022-01-28T00:00:00,1610,1685,1580,1660,14282548.716177
2022-01-29T00:00:00,1660,1740,1650,1700,16063143.033757
2022-01-30T00:00:00,1700,1720,1620,1660,11071943.016739
2022-01-31T00:00:00,1655,1700,1570,1685,11038087.882885
2022-02-01T00:00:00,1685,1710,1650,1700,10748375.547062
2022-02-02T00:00:00,1700,1775,1620,1630,22379908.31496
2022-02-03T00:00:00,1630,1705,1605,1695,14713321.351338
2022-02-04T00:00:00,1695,1860,1680,1840,23435037.260304
2022-02-05T00:00:00,1840,1910,1810,1880,16056106.970296
2022-02-06T00:00:00,1880,1930,1785,1880,18227230.269849
2022-02-07T00:00:00,1875,1940,1830,1915,19965887.90092
2022-02-08T00:00:00,1910,1985,1780,1830,23230803.576526
2022-02-09T00:00:00,1835,1895,1800,1865,14762455.553886
2022-02-10T00:00:00,1870,1890,1745,1780,19464077.909782
2022-02-11T00:00:00,1780,1820,1640,1675,14661467.644064
2022-02-12T00:00:00,1670,1725,1595,1690,12329605.398415
2022-02-13T00:00:00,1690,1720,1630,1645,6519406.333631
2022-02-14T00:00:00,1645,1705,1600,1685,15258673.867613
2022-02-15T00:00:00,1685,1830,1670,1815,9443601.308101
2022-02-16T00:00:00,1815,1830,1710,1780,10785921.199979
2022-02-17T00:00:00,1785,1810,1595,1620,19847696.24234
2022-02-18T00:00:00,1615,1660,1575,1600,13821551.006376
2022-02-19T00:00:00,1600,1615,1540,1595,7738255.230329
2022-02-20T00:00:00,1595,1600,1505,1530,10745152.344375
2022-02-21T00:00:00,1525,1590,1420,1435,17873856.005737
2022-02-22T00:00:00,1435,1515,1365,1505,19172065.653822
2022-02-23T00:00:00,1505,1630,1500,1515,28993473.171239
2022-02-24T00:00:00,1515,1530,1310,1475,39929005.008995
2022-02-25T00:00:00,1470,1595,1455,1575,19352540.756868
2022-02-26T00:00:00,1575,1615,1535,1570,15615902.091457
2022-02-27T00:00:00,1570,1680,1510,1575,33833246.827968
2022-02-28T00:00:00,1575,1730,1540,1715,25648375.353486
2022-03-01T00:00:00,1715,1765,1685,1745,22422585.903189
2022-03-02T00:00:00,1740,1750,1665,1690,15660284.403684
2022-03-03T00:00:00,1690,1750,1660,1715,16826196.332111
2022-03-04T00:00:00,1720,1835,1670,1720,33793179.491807
2022-03-05T00:00:00,1720,1745,1660,1740,12783662.433172
2022-03-06T00:00:00,1735,1770,1635,1655,18872484.30338
2022-03-07T00:00:00,1655,1685,1555,1585,21146461.607571
2022-03-08T00:00:00,1585,1630,1570,1600,10944595.965587
2022-03-09T00:00:00,1600,1680,1590,1655,10183824.136502
2022-03-10T00:00:00,1660,1670,1550,1590,15062674.912363
2022-03-11T00:00:00,1590,1610,1540,1560,9878551.327998
2022-03-12T00:00:00,1560,1580,1550,1555,3777667.534233
2022-03-13T00:00:00,1555,1585,1490,1495,8613831.825714
2022-03-14T00:00:00,1495,1560,1460,1545,10711663.919135
2022-03-15T00:00:00,1550,1585,1530,1560,8351981.429986
2022-03-16T00:00:00,1565,1670,1545,1665,11646637.321488
2022-03-17T00:00:00,1660,1750,1640,1695,10925182.345976
2022-03-18T00:00:00,1700,1860,1655,1785,15876806.459153
2022-03-19T00:00:00,1785,1895,1785,1870,16152088.736615
2022-03-20T00:00:00,1865,2015,1775,1790,24153373.316061
2022-03-21T00:00:00,1795,1845,1740,1810,11703441.539244
2022-03-22T00:00:00,1815,1970,1805,1930,22262754.791585
2022-03-23T00:00:00,1930,1985,1895,1980,12045269.558192
2022-03-24T00:00:00,1975,2025,1910,2020,16912332.036375
2022-03-25T00:00:00,2025,2080,1975,2000,17512907.515438
2022-03-26T00:00:00,2000,2050,1960,2045,11707495.570886
2022-03-27T00:00:00,2040,2100,1960,2060,19215557.9578
2022-03-28T00:00:00,2060,2190,1960,1995,33355837.767473
2022-03-29T00:00:00,1990,2075,1915,1985,35530869.302161
2022-03-30T00:00:00,1990,2055,1905,1985,27896150.846911
2022-03-31T00:00:00,1985,2035,1920,1955,24023777.434356
2022-04-01T00:00:00,1955,1985,1855,1980,15306682.561995
2022-04-02T00:00:00,1980,2045,1945,1990,17561372.206187
2022-04-03T00:00:00,1990,2170,1970,2140,33149237.058255
2022-04-04T00:00:00,2140,2145,1890,1975,24847170.470664
2022-04-05T00:00:00,1970,1995,1885,1895,13122046.867217
2022-04-06T00:00:00,1895,1895,1645,1655,22714211.981274
2022-04-07T00:00:00,1655,1745,1615,1725,10255010.165563
2022-04-08T00:00:00,1725,1750,1650,1665,8439085.116296
