datetime,open,high,low,close,volume
2022-01-01T00:00:00,5780,5925,5780,5885,64591.464926
2022-01-01T04:00:00,5885,5975,5815,5975,53228.722348
2022-01-01T08:00:00,5975,5975,5860,5880,64114.015298
2022-01-01T12:00:00,5880,5920,5825,5835,60520.595529
2022-01-01T16:00:00,5835,6020,5835,5960,39761.921645
2022-01-01T20:00:00,5960,6020,5940,5995,38497.716165
2022-01-02T00:00:00,6005,6020,5890,5950,99229.937088
2022-01-02T04:00:00,5940,5955,5850,5855,93446.849994
2022-01-02T08:00:00,5855,5980,5830,5970,194334.364788
2022-01-02T12:00:00,5965,5970,5840,5940,469213.452932
2022-01-02T16:00:00,5940,6015,5875,5910,159027.705683
2022-01-02T20:00:00,5910,5990,5900,5950,124445.883757
2022-01-03T00:00:00,5950,5955,5810,5830,280097.25571
2022-01-03T04:00:00,5830,5875,5810,5825,125164.256258
2022-01-03T08:00:00,5825,5890,5810,5860,235375.957297
2022-01-03T12:00:00,5860,5925,5815,5820,127344.122091
2022-01-03T16:00:00,5825,5850,5680,5730,180746.816907
2022-01-03T20:00:00,5730,5765,5665,5740,151067.200645
2022-01-04T00:00:00,5740,5755,5595,5655,178470.553608
2022-01-04T04:00:00,5655,5720,5595,5710,69323.820758
2022-01-04T08:00:00,5715,5835,5705,5835,158772.295959
2022-01-04T12:00:00,5835,5910,5770,5840,193990.411365
2022-01-04T16:00:00,5840,6010,5765,5825,171098.967776
2022-01-04T20:00:00,5840,5955,5750,5790,107019.443395
2022-01-05T00:00:00,5785,6070,5760,6055,455026.221815
2022-01-05T04:00:00,6060,6060,5955,6040,115117.837034
2022-01-05T08:00:00,6040,6240,5985,6170,534626.659022
2022-01-05T12:00:00,6170,6390,6075,6240,717061.213106
2022-01-05T16:00:00,6235,6335,5910,5940,206555.852597
2022-01-05T20:00:00,5940,6020,5150,5470,734546.287745
2022-01-06T00:00:00,5470,5525,5215,5230,325287.859795
2022-01-06T04:00:00,5230,5325,5180,5325,135374.639483
2022-01-06T08:00:00,5315,5315,5100,5235,188084.66256
2022-01-06T12:00:00,5235,5380,5180,5315,141633.719986
2022-01-06T16:00:00,5325,5445,5285,5425,33521.924633
2022-01-06T20:00:00,5420,5470,5350,5415,57844.543795
2022-01-07T00:00:00,5425,5435,5165,5170,161547.685322
2022-01-07T04:00:00,5180,5210,5000,5135,327931.588586
2022-01-07T08:00:00,5125,5260,5115,5210,131663.399098
2022-01-07T12:00:00,5215,5250,5005,5135,154137.692319
2022-01-07T16:00:00,5140,5230,5060,5220,66293.028897
2022-01-07T20:00:00,5230,5250,5110,5165,32435.312143
2022-01-08T00:00:00,5190,5360,5160,5295,217427.905049
2022-01-08T04:00:00,5305,5325,5235,5295,52678.956555
2022-01-08T08:00:00,5300,5355,5245,5300,85124.622046
2022-01-08T12:00:00,5300,5305,5060,5085,91322.363969
2022-01-08T16:00:00,5085,5125,4800,4845,222892.959302
2022-01-08T20:00:00,4840,5095,4805,4970,94169.874461
2022-01-09T00:00:00,4970,5035,4905,4965,162457.532843
2022-01-09T04:00:00,4965,5045,4960,5015,71026.24478
2022-01-09T08:00:00,5030,5085,4915,5060,150057.909061
2022-01-09T12:00:00,5065,5065,4930,4980,81298.166847
2022-01-09T16:00:00,4985,5170,4975,5065,36851.865183
2022-01-09T20:00:00,5080,5080,4950,4995,68226.05277
2022-01-10T00:00:00,4995,5070,4950,4995,103262.303418
2022-01-10T04:00:00,5015,5085,4985,5015,80168.644119
2022-01-10T08:00:00,5020,5040,4860,4865,156033.836829
2022-01-10T12:00:00,4880,4885,4540,4660,510198.263204
2022-01-10T16:00:00,4665,4785,4615,4665,170697.932885
2022-01-10T20:00:00,4675,4735,4655,4725,39465.691989
2022-01-11T00:00:00,4710,4850,4650,4830,148126.266028
2022-01-11T04:00:00,4820,4880,4745,4865,153963.763843
2022-01-11T08:00:00,4880,4930,4770,4850,188715.829072
2022-01-11T12:00:00,4850,4900,4750,4890,139380.054686
2022-01-11T16:00:00,4900,5050,4880,5010,106075.50775
2022-01-11T20:00:00,5020,5025,4965,5020,70096.606813
2022-01-12T00:00:00,5015,5120,5005,5075,140693.883697
2022-01-12T04:00:00,5075,5125,5035,5075,117518.615043
