datetime,open,high,low,close,volume
2020-07-01T00:00:00,,,,,0
2020-07-02T00:00:00,,,,,0
2020-07-03T00:00:00,,,,,0
2020-07-04T00:00:00,,,,,0
2020-07-05T00:00:00,,,,,0
2020-07-06T00:00:00,,,,,0
2020-07-07T00:00:00,,,,,0
2020-07-08T00:00:00,,,,,0
2020-07-09T00:00:00,,,,,0
2020-07-10T00:00:00,,,,,0
2020-07-11T00:00:00,,,,,0
2020-07-12T00:00:00,,,,,0
2020-07-13T00:00:00,,,,,0
2020-07-14T00:00:00,,,,,0
2020-07-15T00:00:00,,,,,0
2020-07-16T00:00:00,,,,,0
2020-07-17T00:00:00,,,,,0
2020-07-18T00:00:00,,,,,0
2020-07-19T00:00:00,,,,,0
2020-07-20T00:00:00,,,,,0
2020-07-21T00:00:00,,,,,0
2020-07-22T00:00:00,,,,,0
2020-07-23T00:00:00,,,,,0
2020-07-24T00:00:00,,,,,0
2020-07-25T00:00:00,,,,,0
2020-07-26T00:00:00,,,,,0
2020-07-27T00:00:00,,,,,0
2020-07-28T00:00:00,,,,,0
2020-07-29T00:00:00,,,,,0
2020-07-30T00:00:00,,,,,0
2020-07-31T00:00:00,,,,,0
2020-08-01T00:00:00,,,,,0
2020-08-02T00:00:00,,,,,0
2020-08-03T00:00:00,,,,,0
2020-08-04T00:00:00,,,,,0
2020-08-05T00:00:00,,,,,0
2020-08-06T00:00:00,,,,,0
2020-08-07T00:00:00,,,,,0
2020-08-08T00:00:00,,,,,0
2020-08-09T00:00:00,,,,,0
2020-08-10T00:00:00,,,,,0
2020-08-11T00:00:00,,,,,0
2020-08-12T00:00:00,,,,,0
2020-08-13T00:00:00,,,,,0
2020-08-14T00:00:00,,,,,0
2020-08-15T00:00:00,,,,,0
2020-08-16T00:00:00,,,,,0
2020-08-17T00:00:00,,,,,0
2020-08-18T00:00:00,,,,,0
2020-08-19T00:00:00,,,,,0
2020-08-20T00:00:00,,,,,0
2020-08-21T00:00:00,,,,,0
2020-08-22T00:00:00,,,,,0
2020-08-23T00:00:00,,,,,0
2020-08-24T00:00:00,,,,,0
2020-08-25T00:00:00,,19700,12390,12680,4740440.397535
2020-08-26T00:00:00,12670,13770,10830,11360,971668.87262
2020-08-27T00:00:00,11350,11850,8970,9440,847494.822931
2020-08-28T00:00:00,9440,9485,7990,8660,358032.984973
2020-08-29T00:00:00,8660,8780,7960,8180,172268.372582
2020-08-30T00:00:00,8180,8180,7940,8155,122044.094886
2020-08-31T00:00:00,8155,8795,8050,8510,374222.603221
2020-09-01T00:00:00,8510,8740,8005,8120,127430.407867
2020-09-02T00:00:00,8115,8135,7090,7470,167593.057527
2020-09-03T00:00:00,7470,7580,6535,6675,152414.384065
2020-09-04T00:00:00,6675,6985,6405,6730,73694.45536
2020-09-05T00:00:00,6725,7280,5980,6075,71362.143288
2020-09-06T00:00:00,6075,6375,5540,5930,37803.275679
2020-09-07T00:00:00,5925,6225,5280,5770,108789.998791
2020-09-08T00:00:00,5705,7960,5630,7740,3980753.567787
2020-09-09T00:00:00,7740,9960,7330,8010,5031084.639285
2020-09-10T00:00:00,8010,9000,7525,7855,2367465.56116
2020-09-11T00:00:00,7850,8030,4785,6230,1063893.221876
2020-09-12T00:00:00,6230,6265,5470,5775,1157873.621383
2020-09-13T00:00:00,5785,7250,5770,6200,4739852.406772
2020-09-14T00:00:00,6195,6640,5690,6105,973241.195753
2020-09-15T00:00:00,6105,6140,5500,5570,422486.429218
2020-09-16T00:00:00,5555,5570,5090,5200,272528.403512
2020-09-17T00:00:00,5200,5250,4800,5080,203817.223821
2020-09-18T00:00:00,5080,5320,4920,5035,356490.340051
2020-09-19T00:00:00,5060,5220,5005,5080,103031.832185
2020-09-20T00:00:00,5080,5105,4750,4860,140856.599582
2020-09-21T00:00:00,4860,5105,4075,4245,177234.971542
2020-09-22T00:00:00,4245,4310,3740,3975,107141.378745
2020-09-23T00:00:00,3975,4205,3820,3835,113591.040067
2020-09-24T00:00:00,3825,4100,3460,4010,147549.648048
2020-09-25T00:00:00,3975,4025,3680,4000,94389.884935
2020-09-26T00:00:00,4005,4010,3840,3980,79193.320254
2020-09-27T00:00:00,3965,4015,3820,3975,74690.707421
2020-09-28T00:00:00,3975,5065,3900,4505,1447463.62024
2020-09-29T00:00:00,4515,5620,4370,5140,3291900.888106
2020-09-30T00:00:00,5150,5585,4970,5190,2002624.009596
2020-10-01T00:00:00,5185,5365,4600,4725,621845.758141
2020-10-02T00:00:00,4725,4730,4110,4405,584783.71109
2020-10-03T00:00:00,4390,4580,4260,4435,389972.822294
2020-10-04T00:00:00,4435,4445,4160,4250,176308.909386
2020-10-05T00:00:00,4250,4380,4005,4130,296465.37998
2020-10-06T00:00:00,4130,4130,3805,3875,99735.281985
2020-10-07T00:00:00,3870,4015,3605,3835,94601.155465
2020-10-08T00:00:00,3825,4800,3670,4360,1165351.490716
2020-10-09T00:00:00,4360,4755,4005,4415,1151858.882082
2020-10-10T00:00:00,4415,4445,4075,4195,390519.557376
2020-10-11T00:00:00,4185,4200,3820,3950,380020.482541
2020-10-12T00:00:00,3950,4245,3900,4070,1243465.756313
2020-10-13T00:00:00,4055,4195,3865,3945,384014.48251
2020-10-14T00:00:00,3940,4045,3790,3855,279458.848622
2020-10-15T00:00:00,3850,3850,3670,3765,143392.73747
2020-10-16T00:00:00,3795,3825,3585,3695,165227.923644
2020-10-17T00:00:00,3680,3720,3630,3690,49950.559906
2020-10-18T00:00:00,3695,3790,3625,3675,82837.621731
2020-10-19T00:00:00,3675,3675,3585,3605,118398.050768
2020-10-20T00:00:00,3605,3750,3410,3465,207314.520956
2020-10-21T00:00:00,3420,3540,3300,3400,197449.953574
2020-10-22T00:00:00,3405,3455,3305,3390,108486.239925
2020-10-23T00:00:00,3390,3540,3300,3495,303134.777199
2020-10-24T00:00:00,3465,4000,3415,3635,1175646.950883
2020-10-25T00:00:00,3635,4250,3610,3685,2825987.717691
2020-10-26T00:00:00,3675,3675,3330,3400,594383.680488
2020-10-27T00:00:00,3390,3400,3100,3200,367524.815731
2020-10-28T00:00:00,3210,3345,2920,3045,240272.894381
2020-10-29T00:00:00,3045,3050,2870,2930,79954.815011
2020-10-30T00:00:00,2920,2930,2650,2745,124293.660904
2020-10-31T00:00:00,2740,2925,2715,2860,350266.426532
2020-11-01T00:00:00,2850,2860,2765,2815,76260.891248
2020-11-02T00:00:00,2810,2915,2620,2715,163827.927273
2020-11-03T00:00:00,2710,2755,2440,2550,294090.822263
2020-11-04T00:00:00,2550,2555,2335,2410,138284.28492
2020-11-05T00:00:00,2440,2655,2355,2520,332579.54032
2020-11-06T00:00:00,2525,2785,2475,2650,654809.077306
2020-11-07T00:00:00,2655,3100,2525,2660,1384833.822856
2020-11-08T00:00:00,2660,2830,2550,2775,508453.218741
2020-11-09T00:00:00,2770,2775,2545,2670,395171.75041
2020-11-10T00:00:00,2670,2735,2495,2625,674250.248645
2020-11-11T00:00:00,2625,2900,2530,2810,1503540.266349
2020-11-12T00:00:00,2815,2840,2630,2665,646813.09661
2020-11-13T00:00:00,2670,2805,2645,2725,501485.477881
2020-11-14T00:00:00,2725,3235,2715,2830,4003696.284245
2020-11-15T00:00:00,2830,3100,2750,2780,2455074.887329
2020-11-16T00:00:00,2800,2910,2755,2840,945775.098172
2020-11-17T00:00:00,2830,2840,2730,2765,645652.956305
2020-11-18T00:00:00,2765,2765,2450,2565,751163.719146
2020-11-19T00:00:00,2570,2590,2400,2545,389287.176924
2020-11-20T00:00:00,2530,2615,2495,2595,566915.288941
2020-11-21T00:00:00,2580,2685,2540,2655,711861.529432
2020-11-22T00:00:00,2650,2870,2465,2655,1032317.812895
2020-11-23T00:00:00,2655,2785,2595,2775,1133384.832442
2020-11-24T00:00:00,2780,2905,2655,2870,1797426.289839
2020-11-25T00:00:00,2870,3110,2730,2920,1697787.282495
2020-11-26T00:00:00,2935,3100,2440,2590,1072543.886086
2020-11-27T00:00:00,2590,2730,2500,2620,385370.689463
2020-11-28T00:00:00,2605,2905,2550,2705,1122580.858662
2020-11-29T00:00:00,2720,2780,2620,2700,382287.260838
2020-11-30T00:00:00,2695,2745,2635,2715,581884.529028
2020-12-01T00:00:00,2710,3165,2675,2995,4291965.336185
2020-12-02T00:00:00,2995,3970,2885,3390,5887922.22528
2020-12-03T00:00:00,3390,3455,3060,3225,1455720.772477
2020-12-04T00:00:00,3225,3235,2780,2860,848490.690695
2020-12-05T00:00:00,2855,3030,2760,2970,645609.331592
2020-12-06T00:00:00,2975,3470,2855,3225,3194963.200046
2020-12-07T00:00:00,3225,3435,3080,3265,1176726.10952
2020-12-08T00:00:00,3260,3420,2895,2985,779735.741346
2020-12-09T00:00:00,2975,3065,2615,2925,744086.445386
2020-12-10T00:00:00,2930,2930,2715,2730,462519.30356
2020-12-11T00:00:00,2730,2950,2550,2565,2016750.094134
2020-12-12T00:00:00,2565,2705,2555,2675,678886.39106
2020-12-13T00:00:00,2670,2680,2590,2655,401598.707024
2020-12-14T00:00:00,2640,2655,2590,2625,317085.950517
2020-12-15T00:00:00,2625,2735,2610,2685,613444.577064
2020-12-16T00:00:00,2685,2870,2590,2780,1390455.140921
2020-12-17T00:00:00,2780,3065,2725,2840,2072234.768598
2020-12-18T00:00:00,2850,3180,2780,2925,2261900.520731
2020-12-19T00:00:00,2935,3140,2855,3005,1669959.54713
2020-12-20T00:00:00,2990,3260,2930,3040,1797772.208029
2020-12-21T00:00:00,3020,3020,2700,2840,791954.632997
2020-12-22T00:00:00,2840,2935,2680,2870,679786.962931
2020-12-23T00:00:00,2865,2865,2410,2460,581643.425113
2020-12-24T00:00:00,2450,2770,2375,2620,445302.724883
2020-12-25T00:00:00,2630,3230,2580,2760,5846425.50798
2020-12-26T00:00:00,2765,2765,2585,2695,581305.066937
2020-12-27T00:00:00,2695,2885,2550,2710,1372524.938861
2020-12-28T00:00:00,2710,2760,2645,2705,495394.805702
2020-12-29T00:00:00,2700,2705,2505,2630,412014.74973
2020-12-30T00:00:00,2620,2805,2530,2640,574179.025939
2020-12-31T00:00:00,2630,2875,2535,2810,1545985.654754
2021-01-01T00:00:00,2815,2920,2710,2845,1596110.358184
2021-01-02T00:00:00,2840,3050,2750,2825,1351906.241828
2021-01-03T00:00:00,2825,3235,2755,2945,4679832.225323
2021-01-04T00:00:00,2945,2950,2560,2745,1479173.640361
2021-01-05T00:00:00,2745,2850,2630,2835,574143.449245
2021-01-06T00:00:00,2825,2920,2715,2855,1381006.643154
2021-01-07T00:00:00,2855,3020,2765,2920,1508389.071284
2021-01-08T00:00:00,2915,2990,2725,2920,1179065.245515
2021-01-09T00:00:00,2920,3300,2855,3090,2287722.342634
2021-01-10T00:00:00,3090,3490,2795,2925,5717328.286884
