datetime,open,high,low,close,volume
2022-01-01T00:00:00,92.4,94,92.2,93.1,171388445.423682
2022-01-02T00:00:00,93.1,95.4,92.7,94.5,219289076.274388
2022-01-03T00:00:00,94.4,95,93.3,94,219061389.953343
2022-01-04T00:00:00,94.1,95,92.5,92.8,263529496.156303
2022-01-05T00:00:00,92.8,94.4,85.8,88.2,354590538.100504
2022-01-06T00:00:00,88.2,88.8,85,88,290919907.903844
2022-01-07T00:00:00,87.9,88,82.7,84.3,266996991.359543
2022-01-08T00:00:00,84.4,85.5,80.5,81.8,195981204.028887
2022-01-09T00:00:00,81.8,82.9,80.6,81.6,153976587.290084
2022-01-10T00:00:00,81.6,82.5,75.3,77.9,280762822.278666
2022-01-11T00:00:00,77.9,80,76.9,79.6,273424229.5503
2022-01-12T00:00:00,79.6,83.4,79.2,82.7,252509995.271708
2022-01-13T00:00:00,82.7,83.6,80.4,80.6,242405858.211446
2022-01-14T00:00:00,80.6,83,80.1,82.1,220204485.392652
2022-01-15T00:00:00,82,83.8,81.6,83,180707202.120088
2022-01-16T00:00:00,83,85.5,83,84.5,187951531.561541
2022-01-17T00:00:00,84.6,88.2,83.9,86.3,345983940.045992
2022-01-18T00:00:00,86.3,86.8,81.9,82.7,262401197.48641
2022-01-19T00:00:00,82.7,84.1,80.2,83.5,252906382.424462
2022-01-20T00:00:00,83.5,86.9,82.2,82.8,254681681.635425
2022-01-21T00:00:00,82.7,83.6,74.8,75.8,416138077.864815
2022-01-22T00:00:00,75.9,76.8,66.5,70.4,458984737.582136
2022-01-23T00:00:00,70.5,72.3,68.3,70.2,243090816.740688
2022-01-24T00:00:00,70.2,70.4,63.3,67.5,364654125.007044
2022-01-25T00:00:00,67.3,68.5,66.1,67.8,302488111.53758
2022-01-26T00:00:00,67.9,71.7,67.5,69,423862565.508897
2022-01-27T00:00:00,69,70.1,67,69.7,287640679.156415
2022-01-28T00:00:00,69.6,71.5,69,71.4,280472947.072543
2022-01-29T00:00:00,71.2,74.8,70.7,74.7,244580561.369996
2022-01-30T00:00:00,74.7,75.2,72.6,73.3,128088341.807672
2022-01-31T00:00:00,73,73.3,70.5,72.6,105823721.45424
2022-02-01T00:00:00,72.6,74.2,72.5,73.9,98448971.812566
2022-02-02T00:00:00,73.8,75.9,72.1,72.1,173217491.755395
2022-02-03T00:00:00,72.1,73.5,72,73.4,164500395.087835
2022-02-04T00:00:00,73.4,78.7,73.3,78.6,654181212.719801
2022-02-05T00:00:00,78.4,81.1,77.5,79.2,533898857.631855
2022-02-06T00:00:00,79.2,81,78.7,80.7,257863761.740237
2022-02-07T00:00:00,80.8,84.5,79.9,83.7,324348868.486161
2022-02-08T00:00:00,83.7,85.6,81,83.1,439824635.899939
2022-02-09T00:00:00,83.1,84.8,82.1,84.5,239678210.31978
2022-02-10T00:00:00,84.5,86.7,83.6,83.7,305106135.591202
2022-02-11T00:00:00,83.7,83.8,77.3,78.2,376600751.410133
2022-02-12T00:00:00,78.5,79.7,75.7,77.8,251056302.639167
2022-02-13T00:00:00,77.8,79.5,77.3,78.8,157315695.501866
2022-02-14T00:00:00,78.8,79.6,77.2,78.2,182375170.858119
2022-02-15T00:00:00,78.2,81.2,78.1,80.9,297260711.359454
2022-02-16T00:00:00,80.9,81.4,79.5,80.6,301911151.676069
2022-02-17T00:00:00,80.7,81.5,76,76.1,325653137.105763
2022-02-18T00:00:00,76.1,78.3,75.7,77.5,271494706.418918
2022-02-19T00:00:00,77.3,78.7,76.8,77.7,221681102.580808
2022-02-20T00:00:00,77.7,77.8,74.5,76,223163987.06264
2022-02-21T00:00:00,76.1,77.6,72.6,73.1,282980917.288129
2022-02-22T00:00:00,73,76.3,72.7,76.2,291959132.171482
2022-02-23T00:00:00,76.1,77.5,74.3,74.4,292784543.446646
2022-02-24T00:00:00,74.4,75.3,69.8,74.7,422266522.519909
2022-02-25T00:00:00,74.8,77,71.5,75.1,577382904.835089
2022-02-26T00:00:00,75.1,75.3,72,72.9,608522566.845393
2022-02-27T00:00:00,72.8,74.2,70.9,71.6,401460646.447085
2022-02-28T00:00:00,71.4,75,70.6,74.7,414775040.812925
2022-03-01T00:00:00,74.7,76.2,74.3,75.4,456581122.318864
2022-03-02T00:00:00,75.4,76,74.3,74.8,335602731.640271
2022-03-03T00:00:00,74.8,75.1,72.5,73.2,288995496.708072
2022-03-04T00:00:00,73.2,73.6,71.6,72.1,313308692.474862
2022-03-05T00:00:00,72.1,75.1,71.7,74.5,233165249.188775
2022-03-06T00:00:00,74.4,75.5,73.2,73.3,189426924.661931
2022-03-07T00:00:00,73.4,75.2,72.3,73,254601831.045934
2022-03-08T00:00:00,73.2,76,73,75.5,237232405.810501
2022-03-09T00:00:00,75.3,77.7,74.3,74.9,383027794.546674
2022-03-10T00:00:00,74.9,75,71.7,74.2,353981189.8578
2022-03-11T00:00:00,74.3,75.6,73.7,75.1,250219626.957035
2022-03-12T00:00:00,75.1,75.7,74.2,74.5,180809411.141095
2022-03-13T00:00:00,74.5,75.1,74,74.4,173949452.320902
2022-03-14T00:00:00,74.5,75.2,74,74.5,235685582.298333
2022-03-15T00:00:00,74.5,75.7,74.1,74.9,289720438.933571
2022-03-16T00:00:00,74.9,76,73.7,74.8,384104765.444904
2022-03-17T00:00:00,74.9,75.2,74.2,74.4,329404140.691271
2022-03-18T00:00:00,74.4,75.2,73.8,75,371329283.999645
2022-03-19T00:00:00,75,75.5,74.7,75.2,324105224.854504
2022-03-20T00:00:00,75.1,76.2,74.5,75.4,346263897.325607
2022-03-21T00:00:00,75.3,75.8,74.6,75.4,314885393.076458
2022-03-22T00:00:00,75.5,78,75.4,77.6,623160017.743111
2022-03-23T00:00:00,77.6,79.2,76.9,78.3,568033262.976432
2022-03-24T00:00:00,78.3,79.5,77.3,79.1,570542722.867273
2022-03-25T00:00:00,79.2,80.4,78.1,78.3,263809402.443806
2022-03-26T00:00:00,78.2,81.8,77.4,80.7,282247534.234414
2022-03-27T00:00:00,80.6,87.4,79.6,82.2,983245592.922992
2022-03-28T00:00:00,82.3,88.6,81.9,83.7,909585506.558312
2022-03-29T00:00:00,83.5,87.3,82,83.3,682791044.848006
2022-03-30T00:00:00,83.4,90.3,81.2,88.4,1054414688.96939
2022-03-31T00:00:00,88.4,97.6,88.3,90,2134934338.272378
2022-04-01T00:00:00,89.8,92.1,87.2,91.8,665015933.712469
2022-04-02T00:00:00,91.9,94.3,89,89.8,873505581.747536
2022-04-03T00:00:00,89.7,90.3,88.1,89.5,307023701.458492
2022-04-04T00:00:00,89.4,89.6,84.8,86.8,325191987.127202
2022-04-05T00:00:00,86.8,88.2,85.5,86,278668560.228998
2022-04-06T00:00:00,86,86,77.6,77.8,355675653.210415
2022-04-07T00:00:00,77.8,80.4,77.3,79.9,339980963.426049
