datetime,open,high,low,close,volume
2022-01-01T00:00:00,168,173,168,172,2434205.488227
2022-01-01T04:00:00,171,172,169,171,1718544.423404
2022-01-01T08:00:00,171,172,170,170,1163182.150304
2022-01-01T12:00:00,170.5,171,169,170,447628.990123
2022-01-01T16:00:00,170,172,170,171,1162250.22529
2022-01-01T20:00:00,172,173,171,172,607635.571602
2022-01-02T00:00:00,172,181,171,177,14496842.601459
2022-01-02T04:00:00,177,179,174,176,5938666.591625
2022-01-02T08:00:00,176,186,176,183,16734825.43371
2022-01-02T12:00:00,184,193,182,186,16856611.933091
2022-01-02T16:00:00,186,186,180,182,4802415.694101
2022-01-02T20:00:00,182,188,182,185,2125317.082834
2022-01-03T00:00:00,185,197,182,191,14648134.707843
2022-01-03T04:00:00,192,196,188,195,9085283.77185
2022-01-03T08:00:00,195,222,189,216,90377742.523646
2022-01-03T12:00:00,216,231,194,195,288163235.185266
2022-01-03T16:00:00,195,196,190,191,18310853.556617
2022-01-03T20:00:00,191,193,187,193,18528080.221919
2022-01-04T00:00:00,192,193,181,184,33301424.763886
2022-01-04T04:00:00,184,186,181,184,11447247.125429
2022-01-04T08:00:00,184,188,183,188,10542896.620529
2022-01-04T12:00:00,187,188,183,185,13182991.627724
2022-01-04T16:00:00,185,185,183,183,1728320.353483
2022-01-04T20:00:00,184,185,179,181,7302141.933814
2022-01-05T00:00:00,181,186,178,182,16606095.202281
2022-01-05T04:00:00,182,183,180,182,3153427.494391
2022-01-05T08:00:00,182,183,180,182,3795675.911199
2022-01-05T12:00:00,181,184,181,182,3801717.121896
2022-01-05T16:00:00,183,183,178,179,2454520.024171
2022-01-05T20:00:00,178,179,167,171,10589171.334074
2022-01-06T00:00:00,171,174,164,165,9749020.669934
2022-01-06T04:00:00,165,169,163,169,3284772.937986
2022-01-06T08:00:00,169,170,165,167,2388113.007922
2022-01-06T12:00:00,167,180,164,170,13583360.085056
2022-01-06T16:00:00,170,175,169,171,2184459.84372
2022-01-06T20:00:00,172,174,170,173,1562758.567185
2022-01-07T00:00:00,172,177,166,167,7750637.788843
2022-01-07T04:00:00,167,171,164,168,6125110.787903
2022-01-07T08:00:00,168,174,168,170,3992752.891745
2022-01-07T12:00:00,171,173,166,168,3571579.357087
2022-01-07T16:00:00,169,170,167,169,848810.837933
2022-01-07T20:00:00,169,179,167,178,2648837.996775
2022-01-08T00:00:00,178,179,171,173,3959001.611226
