datetime,open,high,low,close,volume
2022-01-01T00:00:00,17800,18330,17800,18210,55827.818507
2022-01-01T04:00:00,18210,18460,18180,18340,106996.31851
2022-01-01T08:00:00,18320,18740,18140,18430,260605.431106
2022-01-01T12:00:00,18410,18510,18140,18300,73547.21352
2022-01-01T16:00:00,18290,18400,18190,18210,25309.092244
2022-01-01T20:00:00,18205,18350,18130,18350,27596.060194
2022-01-02T00:00:00,18370,18370,18040,18180,63671.62643
2022-01-02T04:00:00,18170,18340,18030,18290,37090.587677
2022-01-02T08:00:00,18300,18770,18210,18700,130377.95838
2022-01-02T12:00:00,18680,18950,18580,18720,107115.243899
2022-01-02T16:00:00,18720,18950,18620,18950,40310.065846
2022-01-02T20:00:00,18940,18950,18690,18710,23753.376341
2022-01-03T00:00:00,18680,18700,18510,18560,68074.897776
2022-01-03T04:00:00,18560,18730,18500,18530,54667.559605
2022-01-03T08:00:00,18540,19070,18430,18920,105276.797253
2022-01-03T12:00:00,18900,19230,18720,18950,63322.467831
2022-01-03T16:00:00,18960,19100,18500,18930,47358.832185
2022-01-03T20:00:00,18940,19080,18550,19000,54286.646782
2022-01-04T00:00:00,19000,19210,18330,18730,121939.552297
2022-01-04T04:00:00,18720,18800,18500,18800,34557.589766
2022-01-04T08:00:00,18790,19120,18720,19040,44273.095652
2022-01-04T12:00:00,19040,19400,18880,19150,111160.056514
2022-01-04T16:00:00,19120,19820,19120,19520,103880.309683
2022-01-04T20:00:00,19560,19700,19100,19270,63882.688791
2022-01-05T00:00:00,19270,19780,19160,19630,73981.989766
2022-01-05T04:00:00,19630,19710,19330,19550,38893.163479
2022-01-05T08:00:00,19550,19640,19170,19270,52532.111581
2022-01-05T12:00:00,19270,19350,19080,19230,65358.32122
2022-01-05T16:00:00,19230,19260,18250,18290,74705.506751
2022-01-05T20:00:00,18260,18460,16890,17820,140920.239667
2022-01-06T00:00:00,17850,17970,17040,17100,70717.642167
2022-01-06T04:00:00,17050,17350,16990,17310,34992.160716
2022-01-06T08:00:00,17330,17350,16870,17160,42747.386817
2022-01-06T12:00:00,17160,17410,16980,17380,38153.700406
2022-01-06T16:00:00,17380,17630,17290,17550,10676.364833
2022-01-06T20:00:00,17550,17670,17450,17520,16488.467751
2022-01-07T00:00:00,17530,17820,16690,16740,115472.944813
2022-01-07T04:00:00,16750,16940,16370,16800,72325.15321
2022-01-07T08:00:00,16790,17380,16660,17290,67519.845859
2022-01-07T12:00:00,17290,17360,16850,17000,59007.553486
2022-01-07T16:00:00,17000,17290,16880,17050,17231.735904
2022-01-07T20:00:00,17070,17070,16850,17050,12659.342684
2022-01-08T00:00:00,17060,17400,16930,17210,22119.941141
2022-01-08T04:00:00,17210,17330,17120,17310,10180.707633
2022-01-08T08:00:00,17310,17390,17080,17220,17953.516545
2022-01-08T12:00:00,17230,17350,16860,16880,26519.05506
2022-01-08T16:00:00,16880,16980,16320,16560,36235.415945
2022-01-08T20:00:00,16620,17230,16490,17200,11885.067101
2022-01-09T00:00:00,17220,17510,16920,17420,35500.262824
2022-01-09T04:00:00,17450,17570,17370,17480,18456.422412
2022-01-09T08:00:00,17420,17550,17030,17470,33599.886125
2022-01-09T12:00:00,17490,17540,16900,17140,23926.298321
2022-01-09T16:00:00,17140,17560,17140,17530,25439.44503
2022-01-09T20:00:00,17540,17590,17350,17400,13767.71002
2022-01-10T00:00:00,17400,17590,17240,17400,44368.631941
2022-01-10T04:00:00,17400,17750,17380,17450,28905.458385
2022-01-10T08:00:00,17440,17480,16870,16930,38796.026977
2022-01-10T12:00:00,16930,16930,15850,16080,148142.907396
2022-01-10T16:00:00,16080,16450,15890,16200,39662.715233
2022-01-10T20:00:00,16200,16440,16080,16410,24205.64847
2022-01-11T00:00:00,16410,16720,16260,16660,98752.947679
2022-01-11T04:00:00,16680,16710,16330,16490,61321.602613
2022-01-11T08:00:00,16490,16730,16400,16730,23966.351485
2022-01-11T12:00:00,16730,17050,16640,16910,81801.720461
2022-01-11T16:00:00,16920,17180,16920,17065,39256.381927
2022-01-11T20:00:00,17070,17290,17040,17250,29345.116199
2022-01-12T00:00:00,17250,17520,17060,17500,40089.920104
2022-01-12T04:00:00,17500,17900,17490,17760,47462.114237
2022-01-12T08:00:00,17780,18420,17770,18000,289101.575806
2022-01-12T12:00:00,18000,18280,17870,17900,168065.975153
2022-01-12T16:00:00,17900,18070,17850,17930,22580.128186
2022-01-12T20:00:00,17920,18020,17850,17930,32338.412704
2022-01-13T00:00:00,17950,18070,17660,17910,121868.229346
2022-01-13T04:00:00,17900,17910,17620,17760,64848.412437
2022-01-13T08:00:00,17750,17910,17550,17590,44936.750646
2022-01-13T12:00:00,17590,17920,17230,17350,72733.343733
2022-01-13T16:00:00,17360,17690,17250,17370,19741.811635
2022-01-13T20:00:00,17420,17420,17000,17010,44039.602169
2022-01-14T00:00:00,17070,17230,16820,17070,52351.82075
