datetime,open,high,low,close,volume
2022-01-01T00:00:00,17800,18740,17800,18350,549881.934081
2022-01-02T00:00:00,18370,18950,18030,18710,402318.858573
2022-01-03T00:00:00,18680,19230,18430,19000,392987.201432
2022-01-04T00:00:00,19000,19820,18330,19270,479693.292703
2022-01-05T00:00:00,19270,19780,16890,17820,446391.332464
2022-01-06T00:00:00,17850,17970,16870,17520,213775.72269
2022-01-07T00:00:00,17530,17820,16370,17050,344216.575956
2022-01-08T00:00:00,17060,17400,16320,17200,124893.703425
2022-01-09T00:00:00,17220,17590,16900,17400,150690.024732
2022-01-10T00:00:00,17400,17750,15850,16410,324081.388402
2022-01-11T00:00:00,16410,17290,16260,17250,334444.120364
2022-01-12T00:00:00,17250,18420,17060,17930,599638.12619
2022-01-13T00:00:00,17950,18070,17000,17010,368168.149966
2022-01-14T00:00:00,17070,17450,16790,17190,239971.843705
2022-01-15T00:00:00,17170,17980,17110,17680,407000.960335
2022-01-16T00:00:00,17680,18100,17170,17310,268226.509409
2022-01-17T00:00:00,17310,17340,16390,16740,292982.983754
2022-01-18T00:00:00,16740,16930,15910,16460,216755.800096
2022-01-19T00:00:00,16440,16720,15550,15930,245698.658641
2022-01-20T00:00:00,15940,16410,15330,15370,209825.669804
2022-01-21T00:00:00,15370,15550,13000,13290,544082.256841
2022-01-22T00:00:00,13290,14150,10200,11160,1341634.918829
2022-01-23T00:00:00,11160,11580,10700,11260,648071.383125
2022-01-24T00:00:00,11250,11250,9400,10430,1025598.652946
2022-01-25T00:00:00,10440,10460,9865,10200,457614.793678
2022-01-26T00:00:00,10200,17300,10130,12580,29261240.566645
2022-01-27T00:00:00,12570,12900,11510,12160,4544575.702952
2022-01-28T00:00:00,12200,12580,11640,12480,1616948.561841
2022-01-29T00:00:00,12490,12840,11900,12250,1387039.197859
2022-01-30T00:00:00,12260,12270,11360,11560,1097789.895741
2022-01-31T00:00:00,11580,11600,10620,11250,1657899.419312
2022-02-01T00:00:00,11230,11330,11010,11160,1150375.768441
2022-02-02T00:00:00,11160,11440,10570,10720,3917145.561754
2022-02-03T00:00:00,10710,10820,10230,10720,2402802.715429
2022-02-04T00:00:00,10720,11410,10570,11400,3085377.283391
2022-02-05T00:00:00,11400,12610,11230,12310,5897986.331946
2022-02-06T00:00:00,12310,13050,12190,12930,5722140.267925
2022-02-07T00:00:00,12940,14070,12680,13550,9111542.212228
2022-02-08T00:00:00,13540,13680,12320,12860,4187698.66571
2022-02-09T00:00:00,12870,14810,12360,14520,14517711.434512
2022-02-10T00:00:00,14520,14730,13290,13380,8057140.277578
2022-02-11T00:00:00,13380,13510,11810,12050,3143538.456043
2022-02-12T00:00:00,12050,12180,11310,11680,2227722.006127
2022-02-13T00:00:00,11680,11820,11400,11530,1444149.426997
2022-02-14T00:00:00,11520,11720,11010,11330,1827963.600901
2022-02-15T00:00:00,11340,12700,11330,12550,6328539.710254
2022-02-16T00:00:00,12550,13440,12260,12800,6356973.023417
2022-02-17T00:00:00,12810,13630,12030,12100,8593262.353693
2022-02-18T00:00:00,12080,12580,11730,12280,2791875.203765
2022-02-19T00:00:00,12280,12390,11400,11850,1525129.603166
2022-02-20T00:00:00,11850,12080,10930,11470,2016769.289997
2022-02-21T00:00:00,11470,12810,10350,10460,6251597.563521
2022-02-22T00:00:00,10460,11200,10080,10880,3818584.275463
2022-02-23T00:00:00,10890,12650,10830,11340,5271776.789612
2022-02-24T00:00:00,11340,11910,10400,11670,7044145.109963
2022-02-25T00:00:00,11670,13020,11270,12800,3581703.965357
2022-02-26T00:00:00,12820,15690,12650,14960,9521529.107325
2022-02-27T00:00:00,14960,16290,13560,13800,8727126.170632
2022-02-28T00:00:00,13810,20340,13600,20100,22262531.139042
2022-03-01T00:00:00,20110,24390,19590,21170,39431608.033755
2022-03-02T00:00:00,21150,23550,20390,21770,20440376.867952
2022-03-03T00:00:00,21780,24000,21010,22350,14542404.078293
2022-03-04T00:00:00,22370,25930,21610,22890,23966507.804734
2022-03-05T00:00:00,22890,23470,20670,21340,8951199.502211
2022-03-06T00:00:00,21340,24090,20810,22130,14123947.702014
2022-03-07T00:00:00,22130,28540,21860,28210,21187892.052752
2022-03-08T00:00:00,28230,30600,27230,27830,18488752.714046
2022-03-09T00:00:00,27860,35790,26500,35120,30231955.609259
2022-03-10T00:00:00,35120,38270,32300,33950,24232436.037389
2022-03-11T00:00:00,33960,35440,31550,31700,12642160.492543
