datetime,open,high,low,close,volume
2022-01-01T00:00:00,0.134,0.136,0.133,0.134,22661312445.681648
2022-01-01T04:00:00,0.133,0.135,0.133,0.135,5785917376.766261
2022-01-01T08:00:00,0.134,0.135,0.133,0.134,6282202807.621521
2022-01-01T12:00:00,0.134,0.135,0.133,0.135,5061085310.894981
2022-01-01T16:00:00,0.135,0.135,0.133,0.134,3515439421.855726
2022-01-01T20:00:00,0.135,0.135,0.133,0.135,3466463169.592164
2022-01-02T00:00:00,0.135,0.135,0.133,0.134,6588390414.964315
2022-01-02T04:00:00,0.134,0.135,0.133,0.134,9716223175.207111
2022-01-02T08:00:00,0.134,0.139,0.133,0.139,52478111067.228348
2022-01-02T12:00:00,0.139,0.143,0.137,0.139,123516300304.990417
2022-01-02T16:00:00,0.14,0.142,0.138,0.139,13245878927.338663
2022-01-02T20:00:00,0.139,0.14,0.137,0.137,8714391703.656626
2022-01-03T00:00:00,0.137,0.15,0.137,0.14,169267828069.1026
2022-01-03T04:00:00,0.14,0.144,0.138,0.141,77823858805.784607
2022-01-03T08:00:00,0.14,0.145,0.139,0.143,49337789664.387238
2022-01-03T12:00:00,0.143,0.145,0.141,0.143,33881285361.750462
2022-01-03T16:00:00,0.142,0.146,0.141,0.143,21953882906.535137
2022-01-03T20:00:00,0.143,0.144,0.141,0.143,18626183431.397335
2022-01-04T00:00:00,0.143,0.147,0.137,0.14,72139624244.538544
2022-01-04T04:00:00,0.139,0.14,0.138,0.139,12205949338.527294
2022-01-04T08:00:00,0.14,0.14,0.138,0.14,15452920823.120928
2022-01-04T12:00:00,0.14,0.144,0.138,0.14,83536731883.038361
2022-01-04T16:00:00,0.14,0.141,0.138,0.139,11428111757.100555
2022-01-04T20:00:00,0.139,0.14,0.138,0.138,6035188761.133131
2022-01-05T00:00:00,0.138,0.14,0.137,0.139,17140602753.638102
2022-01-05T04:00:00,0.139,0.14,0.138,0.138,9836264956.194878
2022-01-05T08:00:00,0.138,0.14,0.138,0.139,9643006548.688154
2022-01-05T12:00:00,0.139,0.139,0.137,0.138,18070040086.70118
2022-01-05T16:00:00,0.138,0.139,0.134,0.135,12492935093.712261
2022-01-05T20:00:00,0.134,0.135,0.127,0.132,45584389546.406891
2022-01-06T00:00:00,0.132,0.133,0.126,0.126,34984387182.341553
2022-01-06T04:00:00,0.126,0.128,0.125,0.128,20581951272.469635
2022-01-06T08:00:00,0.128,0.129,0.122,0.125,41988593368.907936
2022-01-06T12:00:00,0.125,0.127,0.124,0.127,22470962342.743629
2022-01-06T16:00:00,0.127,0.128,0.126,0.127,7317213377.89296
2022-01-06T20:00:00,0.126,0.129,0.126,0.129,9295189133.51803
2022-01-07T00:00:00,0.129,0.129,0.121,0.122,36490450466.833496
2022-01-07T04:00:00,0.122,0.124,0.12,0.124,32106831836.579403
2022-01-07T08:00:00,0.123,0.126,0.123,0.124,12390616207.880608
2022-01-07T12:00:00,0.125,0.126,0.121,0.124,14196741454.095915
2022-01-07T16:00:00,0.124,0.124,0.121,0.123,8247332826.892785
2022-01-07T20:00:00,0.122,0.123,0.121,0.122,7677239067.921401
2022-01-08T00:00:00,0.122,0.125,0.121,0.122,22732196053.65612
2022-01-08T04:00:00,0.122,0.124,0.122,0.124,5213294769.489772
2022-01-08T08:00:00,0.124,0.124,0.122,0.123,8867099696.73769
2022-01-08T12:00:00,0.123,0.123,0.121,0.121,8723510949.651733
2022-01-08T16:00:00,0.122,0.122,0.118,0.119,16887500450.616314
2022-01-08T20:00:00,0.119,0.122,0.117,0.12,9633847647.704199
2022-01-09T00:00:00,0.12,0.122,0.118,0.119,25617768474.37569
2022-01-09T04:00:00,0.119,0.121,0.119,0.12,12806989410.559586
2022-01-09T08:00:00,0.12,0.121,0.117,0.119,21942628798.141411
2022-01-09T12:00:00,0.119,0.119,0.116,0.116,14898539607.245327
2022-01-09T16:00:00,0.116,0.12,0.116,0.12,8372846853.260421
2022-01-09T20:00:00,0.12,0.12,0.118,0.119,7314563832.090832
2022-01-10T00:00:00,0.119,0.119,0.117,0.119,15851102571.73575
2022-01-10T04:00:00,0.119,0.12,0.118,0.119,9983989539.140579
2022-01-10T08:00:00,0.119,0.119,0.115,0.116,25067222127.495506
2022-01-10T12:00:00,0.116,0.116,0.104,0.11,104427222029.279053
2022-01-10T16:00:00,0.11,0.113,0.109,0.11,19190383183.729126
2022-01-10T20:00:00,0.111,0.112,0.109,0.111,8079083129.939932
2022-01-11T00:00:00,0.112,0.119,0.11,0.114,66482437731.631462
2022-01-11T04:00:00,0.114,0.114,0.109,0.112,38144182471.607956
2022-01-11T08:00:00,0.112,0.112,0.108,0.111,21527369028.907608
2022-01-11T12:00:00,0.111,0.111,0.109,0.111,23462074558.452782
2022-01-11T16:00:00,0.111,0.116,0.111,0.114,20160255121.007149
2022-01-11T20:00:00,0.115,0.116,0.114,0.116,11234550867.064152
2022-01-12T00:00:00,0.116,0.116,0.113,0.114,22536179723.969608
2022-01-12T04:00:00,0.113,0.115,0.113,0.114,13023245164.779224
2022-01-12T08:00:00,0.114,0.117,0.114,0.115,13315639033.901627
2022-01-12T12:00:00,0.115,0.12,0.115,0.118,27125473780.099632
2022-01-12T16:00:00,0.119,0.12,0.118,0.119,3579275076.394425
2022-01-12T20:00:00,0.119,0.12,0.118,0.119,7493234068.143782
2022-01-13T00:00:00,0.119,0.125,0.118,0.121,51730039710.861115
2022-01-13T04:00:00,0.121,0.123,0.12,0.121,11924262864.042721
2022-01-13T08:00:00,0.121,0.123,0.12,0.121,13962967149.594217
2022-01-13T12:00:00,0.121,0.122,0.117,0.119,23031335062.336891
2022-01-13T16:00:00,0.119,0.121,0.116,0.117,13028360032.388603
2022-01-13T20:00:00,0.117,0.118,0.116,0.116,11389380323.584356
2022-01-14T00:00:00,0.116,0.117,0.114,0.116,20924185989.119125
2022-01-14T04:00:00,0.117,0.119,0.115,0.118,24846005661.027927
2022-01-14T08:00:00,0.117,0.122,0.113,0.115,68298047164.007683
2022-01-14T12:00:00,0.115,0.119,0.114,0.117,23783679070.917679
2022-01-14T16:00:00,0.117,0.118,0.116,0.118,3738617063.246048
2022-01-14T20:00:00,0.118,0.12,0.117,0.117,8011814299.318006
2022-01-15T00:00:00,0.117,0.126,0.117,0.12,122117730357.217255
2022-01-15T04:00:00,0.12,0.121,0.119,0.12,13999546031.590302
2022-01-15T08:00:00,0.121,0.121,0.12,0.12,5753203047.936246
2022-01-15T12:00:00,0.12,0.121,0.119,0.121,9012982032.779613
