datetime,open,high,low,close,volume
2022-01-01T00:00:00,0.134,0.136,0.133,0.135,46772420532.4123
2022-01-02T00:00:00,0.135,0.143,0.133,0.137,214259295593.385468
2022-01-03T00:00:00,0.137,0.15,0.137,0.143,370890828238.957397
2022-01-04T00:00:00,0.143,0.147,0.137,0.138,200798526807.458801
2022-01-05T00:00:00,0.138,0.14,0.127,0.132,112767238985.341461
2022-01-06T00:00:00,0.132,0.133,0.122,0.129,136638296677.873734
2022-01-07T00:00:00,0.129,0.129,0.12,0.122,111109211860.203629
2022-01-08T00:00:00,0.122,0.125,0.117,0.12,72057449567.855835
2022-01-09T00:00:00,0.12,0.122,0.116,0.119,90953336975.673264
2022-01-10T00:00:00,0.119,0.12,0.104,0.111,182599002581.319946
2022-01-11T00:00:00,0.112,0.119,0.108,0.116,181010869778.671082
2022-01-12T00:00:00,0.116,0.12,0.113,0.119,87073046847.2883
2022-01-13T00:00:00,0.119,0.125,0.116,0.116,125066345142.807892
2022-01-14T00:00:00,0.116,0.122,0.113,0.117,149602349247.636414
2022-01-15T00:00:00,0.117,0.126,0.117,0.123,169952091389.302124
2022-01-16T00:00:00,0.123,0.126,0.12,0.125,56387157282.133354
2022-01-17T00:00:00,0.125,0.125,0.119,0.12,62249977139.672607
2022-01-18T00:00:00,0.121,0.122,0.112,0.116,126121531684.274048
2022-01-19T00:00:00,0.116,0.121,0.109,0.111,200080432565.024475
2022-01-20T00:00:00,0.111,0.118,0.11,0.11,78319976857.076553
2022-01-21T00:00:00,0.11,0.112,0.098,0.0998,209915802772.731323
2022-01-22T00:00:00,0.0998,0.102,0.083,0.0881,274592533412.612885
2022-01-23T00:00:00,0.0881,0.0926,0.086,0.0914,106929961244.42337
2022-01-24T00:00:00,0.0915,0.0922,0.0786,0.0882,235349629120.524445
2022-01-25T00:00:00,0.0882,0.0885,0.0833,0.0879,80919601900.325592
2022-01-26T00:00:00,0.088,0.0938,0.087,0.089,125975003018.839478
2022-01-27T00:00:00,0.089,0.0905,0.0845,0.0882,99315068039.902374
2022-01-28T00:00:00,0.0882,0.0902,0.087,0.09,78033751317.22644
2022-01-29T00:00:00,0.0901,0.0993,0.0893,0.0949,341895838753.893494
2022-01-30T00:00:00,0.0949,0.0954,0.0923,0.0938,70941704313.07312
2022-01-31T00:00:00,0.0939,0.0984,0.0897,0.0941,126388477872.82077
2022-02-01T00:00:00,0.0942,0.0957,0.0932,0.0957,79065275546.535568
2022-02-02T00:00:00,0.0956,0.102,0.0932,0.0935,395685047410.809937
2022-02-03T00:00:00,0.0933,0.0965,0.0899,0.0933,110789612497.672913
2022-02-04T00:00:00,0.0936,0.102,0.0931,0.1,146029299650.304443
2022-02-05T00:00:00,0.1,0.108,0.1,0.103,226799147345.006836
2022-02-06T00:00:00,0.103,0.109,0.1,0.105,161672710292.853882
2022-02-07T00:00:00,0.105,0.113,0.103,0.111,256204708787.444977
2022-02-08T00:00:00,0.11,0.126,0.107,0.115,584435941227.266479
2022-02-09T00:00:00,0.115,0.119,0.113,0.118,153401460840.923584
2022-02-10T00:00:00,0.118,0.118,0.109,0.112,151509063313.449005
2022-02-11T00:00:00,0.112,0.113,0.1,0.102,121380863242.6008
2022-02-12T00:00:00,0.103,0.106,0.0986,0.101,136383168205.207275
2022-02-13T00:00:00,0.101,0.104,0.1,0.101,70340808061.014648
2022-02-14T00:00:00,0.1,0.102,0.0956,0.0995,173769950085.161896
2022-02-15T00:00:00,0.0997,0.107,0.0992,0.107,137041845403.256592
2022-02-16T00:00:00,0.106,0.107,0.101,0.103,91943222870.025436
2022-02-17T00:00:00,0.103,0.105,0.095,0.0957,129319273709.727432
2022-02-18T00:00:00,0.0957,0.101,0.0951,0.0965,144479413201.96048
2022-02-19T00:00:00,0.0965,0.0973,0.0918,0.0957,65374182134.389221
2022-02-20T00:00:00,0.0957,0.0957,0.09,0.0914,66597513095.339035
2022-02-21T00:00:00,0.0914,0.0938,0.0831,0.0832,139327612244.457336
2022-02-22T00:00:00,0.0832,0.0884,0.0815,0.0877,89743358808.696045
2022-02-23T00:00:00,0.0878,0.0905,0.0857,0.086,56847759705.89299
2022-02-24T00:00:00,0.086,0.089,0.0792,0.0871,139903587600.391846
2022-02-25T00:00:00,0.087,0.0931,0.085,0.0917,97275532447.450653
2022-02-26T00:00:00,0.0918,0.0946,0.0897,0.0923,82090192626.577988
2022-02-27T00:00:00,0.0921,0.0984,0.0885,0.0893,149325768508.08609
2022-02-28T00:00:00,0.0894,0.0952,0.0887,0.0947,76882866693.726395
2022-03-01T00:00:00,0.0948,0.097,0.0932,0.0955,102544783485.793182
2022-03-02T00:00:00,0.0955,0.0957,0.0916,0.0925,72232326605.60611
2022-03-03T00:00:00,0.0925,0.0933,0.0903,0.0908,45231303639.780983
2022-03-04T00:00:00,0.0909,0.0916,0.0871,0.0881,56784853258.97332
2022-03-05T00:00:00,0.0882,0.0908,0.0868,0.09,32766036735.422768
2022-03-06T00:00:00,0.09,0.0907,0.0859,0.0872,44589099465.474701
2022-03-07T00:00:00,0.0872,0.0888,0.084,0.0859,75095966676.483704
2022-03-08T00:00:00,0.086,0.0871,0.0849,0.0862,56978302590.312523
2022-03-09T00:00:00,0.0862,0.102,0.0859,0.0943,418168090357.562988
2022-03-10T00:00:00,0.0942,0.103,0.0884,0.0995,818621280127.400757
2022-03-11T00:00:00,0.0995,0.0996,0.0912,0.0914,189316748252.839661
2022-03-12T00:00:00,0.0915,0.0949,0.0913,0.0921,92430735581.520538
2022-03-13T00:00:00,0.0921,0.0958,0.091,0.0926,250247973908.435608
2022-03-14T00:00:00,0.0925,0.0952,0.0892,0.0945,249167013125.445953
2022-03-15T00:00:00,0.0944,0.105,0.0934,0.0984,753013616207.997437
2022-03-16T00:00:00,0.0985,0.101,0.0945,0.0984,243323147251.516327
2022-03-17T00:00:00,0.0984,0.0989,0.0947,0.0964,111743101800.095184
2022-03-18T00:00:00,0.0964,0.101,0.0952,0.099,223579386068.370148
2022-03-19T00:00:00,0.099,0.102,0.0985,0.1,114782498501.427124
2022-03-20T00:00:00,0.101,0.101,0.096,0.0971,113578826839.771393
2022-03-21T00:00:00,0.0972,0.101,0.0965,0.0982,173016047537.462952
2022-03-22T00:00:00,0.0983,0.104,0.0981,0.102,189062524527.229279
2022-03-23T00:00:00,0.103,0.104,0.0995,0.102,120582501037.091919
2022-03-24T00:00:00,0.101,0.102,0.0992,0.102,121369172940.349869
2022-03-25T00:00:00,0.102,0.109,0.1,0.103,197923922720.740692
2022-03-26T00:00:00,0.103,0.106,0.101,0.106,80982600119.772949
2022-03-27T00:00:00,0.106,0.125,0.104,0.117,630904962996.149048
2022-03-28T00:00:00,0.117,0.124,0.113,0.113,378307160723.145447
2022-03-29T00:00:00,0.114,0.123,0.11,0.113,309516767430.961548
2022-03-30T00:00:00,0.114,0.117,0.11,0.115,214424905831.707092
2022-03-31T00:00:00,0.115,0.121,0.112,0.115,310715879845.434631
2022-04-01T00:00:00,0.114,0.121,0.113,0.119,322080974659.156982
2022-04-02T00:00:00,0.119,0.175,0.117,0.154,4511316130202.384766
2022-04-03T00:00:00,0.154,0.158,0.138,0.141,1613527937885.559814
2022-04-04T00:00:00,0.141,0.144,0.13,0.133,668315126520.932373
2022-04-05T00:00:00,0.133,0.152,0.132,0.135,891642341630.782593
2022-04-06T00:00:00,0.135,0.141,0.12,0.12,659010492505.447998
2022-04-07T00:00:00,0.12,0.133,0.12,0.126,521554535713.430542
2022-04-08T00:00:00,0.126,0.135,0.125,0.126,417484930104.984863
2022-04-09T00:00:00,0.127,0.129,0.125,0.127,105155185474.077057
2022-04-10T00:00:00,0.127,0.13,0.125,0.126,155837448980.369507
2022-04-11T00:00:00,0.126,0.127,0.11,0.112,285577773475.38147
2022-04-12T00:00:00,0.112,0.117,0.107,0.114,238021330571.245239
2022-04-13T00:00:00,0.114,0.121,0.113,0.119,217922163799.579773
2022-04-14T00:00:00,0.119,0.12,0.114,0.115,110298434607.683762
2022-04-15T00:00:00,0.116,0.118,0.115,0.117,89493742990.385498
2022-04-16T00:00:00,0.118,0.118,0.115,0.117,52694443458.090454
2022-04-17T00:00:00,0.116,0.117,0.111,0.112,66513986363.969864
2022-04-18T00:00:00,0.113,0.114,0.105,0.113,137339843386.569
2022-04-19T00:00:00,0.114,0.115,0.111,0.114,85796836501.92836
2022-04-20T00:00:00,0.114,0.115,0.112,0.113,53448274068.061852
2022-04-21T00:00:00,0.113,0.126,0.112,0.113,435941773696.067444
2022-04-22T00:00:00,0.113,0.117,0.111,0.112,148399917377.295624
2022-04-23T00:00:00,0.113,0.117,0.111,0.116,143909193485.006165
2022-04-24T00:00:00,0.115,0.119,0.112,0.112,130148564182.807251
2022-04-25T00:00:00,0.112,0.114,0.104,0.109,158104690965.672119
2022-04-26T00:00:00,0.109,0.111,0.101,0.103,120882193246.779297
2022-04-27T00:00:00,0.103,0.105,0.101,0.104,84379077977.313873
2022-04-28T00:00:00,0.104,0.106,0.101,0.102,76123967446.544067
2022-04-29T00:00:00,0.102,0.104,0.0971,0.098,90765832307.937836
2022-04-30T00:00:00,0.098,0.0997,0.0899,0.09,84360275014.746124
2022-05-01T00:00:00,0.09,0.101,0.0897,0.0945,373637016594.04834
2022-05-02T00:00:00,0.0945,0.0955,0.0911,0.0928,74208112308.612122
2022-05-03T00:00:00,0.0928,0.0977,0.0917,0.0928,75924168377.634293
2022-05-04T00:00:00,0.0928,0.101,0.0922,0.101,85156523957.065414
2022-05-05T00:00:00,0.101,0.102,0.0912,0.0935,119349778174.094131
2022-05-06T00:00:00,0.0936,0.0949,0.0899,0.0939,80103108376.056915
2022-05-07T00:00:00,0.0939,0.0982,0.09,0.0919,76482950935.536713
2022-05-08T00:00:00,0.0919,0.0922,0.0889,0.0903,53170220935.245621
2022-05-09T00:00:00,0.0903,0.0909,0.0757,0.0765,179063963945.549255
2022-05-10T00:00:00,0.0765,0.0832,0.07,0.0777,177392582851.937744
2022-05-11T00:00:00,0.0777,0.0803,0.0577,0.0603,257973083600.610962
2022-05-12T00:00:00,0.0603,0.0629,0.0495,0.0546,183592521213.596161
2022-05-13T00:00:00,0.0544,0.066,0.0522,0.0613,179155036081.495972
2022-05-14T00:00:00,0.0612,0.0661,0.0577,0.0627,88120719068.415451
2022-05-15T00:00:00,0.0629,0.065,0.0604,0.0648,53370446212.518944
2022-05-16T00:00:00,0.0647,0.0648,0.06,0.0618,114534412742.90448
2022-05-17T00:00:00,0.0618,0.0641,0.0615,0.0636,86566184183.993423
2022-05-18T00:00:00,0.0636,0.0647,0.0564,0.0573,91846620052.756531
2022-05-19T00:00:00,0.0572,0.0608,0.0557,0.0603,103238249829.289154
2022-05-20T00:00:00,0.0604,0.0613,0.0571,0.0589,83019975189.198166
2022-05-21T00:00:00,0.0589,0.0599,0.0579,0.0592,46128860021.798782
2022-05-22T00:00:00,0.0593,0.0646,0.0589,0.0626,125632733415.171402
2022-05-23T00:00:00,0.0626,0.0758,0.061,0.0617,924484552403.484253
2022-05-24T00:00:00,0.0617,0.0668,0.0606,0.0644,423636402326.168762
2022-05-25T00:00:00,0.0645,0.0656,0.0623,0.0631,126322783458.444977
2022-05-26T00:00:00,0.0631,0.0635,0.0573,0.0601,114002859044.51796
2022-05-27T00:00:00,0.0601,0.0624,0.0573,0.0606,124717032345.059158
2022-05-28T00:00:00,0.0607,0.0617,0.0593,0.0605,76085541717.704254
2022-05-29T00:00:00,0.0606,0.0608,0.0588,0.0608,69082325067.718674
2022-05-30T00:00:00,0.0608,0.0646,0.0598,0.0639,129336687132.932129
2022-05-31T00:00:00,0.0639,0.072,0.0617,0.0639,313759980672.728394
2022-06-01T00:00:00,0.064,0.0661,0.06,0.0606,220875674839.853912
2022-06-02T00:00:00,0.0609,0.0625,0.0596,0.062,130862065046.901337
2022-06-03T00:00:00,0.0619,0.0652,0.0599,0.0608,156233484888.221008
2022-06-04T00:00:00,0.0608,0.062,0.0602,0.0614,43169873695.652267
2022-06-05T00:00:00,0.0614,0.0618,0.0604,0.0613,60880262696.547966
2022-06-06T00:00:00,0.0614,0.0857,0.0608,0.0667,1346238922030.238037
2022-06-07T00:00:00,0.0666,0.0802,0.0666,0.0705,1531632331126.398438
2022-06-08T00:00:00,0.0705,0.0751,0.0673,0.0684,615955321118.821045
2022-06-09T00:00:00,0.0684,0.0684,0.0648,0.0654,141783385647.40271
2022-06-10T00:00:00,0.0654,0.0656,0.0608,0.062,153429028764.053864
2022-06-11T00:00:00,0.0619,0.0631,0.0571,0.0592,121665100230.901657
2022-06-12T00:00:00,0.0594,0.0599,0.0525,0.0535,146494022554.401123
2022-06-13T00:00:00,0.0536,0.0591,0.048,0.0497,559146385627.474731
2022-06-14T00:00:00,0.05,0.051,0.0439,0.0497,480021148658.322388
2022-06-15T00:00:00,0.0496,0.0524,0.0451,0.0524,249940171874.182922
2022-06-16T00:00:00,0.0524,0.0566,0.0479,0.0488,282209640218.305664
2022-06-17T00:00:00,0.0489,0.0512,0.0476,0.0502,125735602786.874985
2022-06-18T00:00:00,0.0502,0.0509,0.0451,0.0472,167299546121.356689
2022-06-19T00:00:00,0.0472,0.0491,0.0448,0.0487,205117675324.565613
2022-06-20T00:00:00,0.0487,0.0493,0.0466,0.0485,153963066288.628448
2022-06-21T00:00:00,0.0486,0.0517,0.0478,0.0499,209045976014.166168
2022-06-22T00:00:00,0.0499,0.0508,0.048,0.0485,141273172815.944061
2022-06-23T00:00:00,0.0487,0.0525,0.0485,0.0512,250657087998.120331
2022-06-24T00:00:00,0.0512,0.0648,0.0509,0.0558,1191876285010.290283
2022-06-25T00:00:00,0.0558,0.0581,0.053,0.0553,365851869650.080383
2022-06-26T00:00:00,0.0553,0.0558,0.0526,0.0529,100506393793.947983
2022-06-27T00:00:00,0.053,0.0576,0.0512,0.0526,324886254062.967407
2022-06-28T00:00:00,0.0526,0.0568,0.0506,0.0515,375373637624.341553
2022-06-29T00:00:00,0.0515,0.053,0.0499,0.051,124727310326.642624
2022-06-30T00:00:00,0.0512,0.0512,0.0477,0.0501,129158975477.15564
2022-07-01T00:00:00,0.0501,0.0509,0.0485,0.0496,84657612678.876892
2022-07-02T00:00:00,0.0498,0.0515,0.0488,0.0503,112440759816.63623
2022-07-03T00:00:00,0.0506,0.0515,0.0495,0.0502,65120803007.639526
2022-07-04T00:00:00,0.0505,0.0532,0.0498,0.0519,231380324031.707367
2022-07-05T00:00:00,0.0519,0.06,0.0511,0.0547,551700964463.619385
2022-07-06T00:00:00,0.0547,0.0667,0.0526,0.0558,1810985395400.816895
2022-07-07T00:00:00,0.0558,0.0568,0.0543,0.0559,437185412473.913391
2022-07-08T00:00:00,0.0559,0.0562,0.0534,0.0542,241013908292.827423
2022-07-09T00:00:00,0.0542,0.0547,0.0535,0.0544,91967368751.867096
2022-07-10T00:00:00,0.0544,0.0545,0.0526,0.0527,77433525935.255493
2022-07-11T00:00:00,0.0529,0.0542,0.0501,0.0504,185867415896.229156
2022-07-12T00:00:00,0.0505,0.0522,0.0496,0.0496,112074146426.525452
2022-07-13T00:00:00,0.0496,0.0511,0.0481,0.0506,110175744242.086502
2022-07-14T00:00:00,0.0507,0.0518,0.0495,0.0513,81370814611.317429
2022-07-15T00:00:00,0.0514,0.0523,0.0508,0.0518,88450335798.46759
2022-07-16T00:00:00,0.0518,0.0534,0.0511,0.0531,110458013431.031036
2022-07-17T00:00:00,0.0531,0.0558,0.0523,0.0528,310381584865.581665
2022-07-18T00:00:00,0.0528,0.056,0.0527,0.0553,335735514856.493835
2022-07-19T00:00:00,0.0553,0.0574,0.0536,0.0571,250853725891.378143
2022-07-20T00:00:00,0.0572,0.0594,0.0536,0.054,364086713325.815002
2022-07-21T00:00:00,0.054,0.0548,0.0521,0.054,138701704920.173737
2022-07-22T00:00:00,0.0541,0.0583,0.054,0.0554,556467348734.715942
2022-07-23T00:00:00,0.0554,0.0561,0.0536,0.0553,146635916082.396271
2022-07-24T00:00:00,0.0553,0.0561,0.0546,0.0551,100412246291.677078
2022-07-25T00:00:00,0.0552,0.0557,0.0514,0.0515,124236747966.844406
2022-07-26T00:00:00,0.0514,0.0527,0.0507,0.0522,77640320190.245956
2022-07-27T00:00:00,0.0523,0.0553,0.0513,0.0552,101034441229.217712
2022-07-28T00:00:00,0.0552,0.0587,0.0551,0.058,508595458092.124695
2022-07-29T00:00:00,0.0578,0.063,0.0571,0.0597,687518198665.266113
2022-07-30T00:00:00,0.0597,0.0612,0.0581,0.0584,177105887408.774994
2022-07-31T00:00:00,0.0584,0.0609,0.0575,0.058,195554434355.051971
2022-08-01T00:00:00,0.0582,0.06,0.0575,0.0599,175951213135.610657
2022-08-02T00:00:00,0.0599,0.0604,0.0562,0.0576,178554308346.480408
2022-08-03T00:00:00,0.0576,0.0582,0.056,0.0572,108163466850.663528
2022-08-04T00:00:00,0.0572,0.0599,0.0567,0.0577,109194890951.902359
2022-08-05T00:00:00,0.0585,0.0607,0.0575,0.0601,142764512414.979767
2022-08-06T00:00:00,0.0601,0.062,0.0593,0.0596,143157524117.843567
2022-08-07T00:00:00,0.0595,0.0608,0.0586,0.0599,73104857929.311111
2022-08-08T00:00:00,0.06,0.0616,0.0597,0.0607,112162327836.315735
2022-08-09T00:00:00,0.0607,0.0634,0.0576,0.0584,271674644185.587402
2022-08-10T00:00:00,0.0585,0.0616,0.0576,0.0612,245730254111.884888
2022-08-11T00:00:00,0.0612,0.0647,0.0609,0.0617,534228161411.543335
2022-08-12T00:00:00,0.0617,0.0655,0.0614,0.0634,291586972543.750854
2022-08-13T00:00:00,0.0635,0.0643,0.0626,0.0631,89400804703.648697
2022-08-14T00:00:00,0.0632,0.0649,0.0616,0.0621,127164866531.124969
2022-08-15T00:00:00,0.0621,0.0632,0.0612,0.0619,92713045727.770737
2022-08-16T00:00:00,0.0619,0.062,0.0603,0.0607,69114249683.243179
2022-08-17T00:00:00,0.0607,0.0625,0.0585,0.0591,142406769231.060059
2022-08-18T00:00:00,0.0591,0.0597,0.0584,0.0586,49711053746.159576
2022-08-19T00:00:00,0.0586,0.0586,0.0522,0.0529,212631578004.199768
2022-08-20T00:00:00,0.0528,0.0552,0.0522,0.0542,63680604398.035263
2022-08-21T00:00:00,0.0542,0.0545,0.053,0.0541,56756427290.453682
2022-08-22T00:00:00,0.0541,0.0542,0.0515,0.0533,76132175940.328461
2022-08-23T00:00:00,0.0532,0.0537,0.0514,0.0537,104924894452.579651
2022-08-24T00:00:00,0.0537,0.0539,0.0523,0.0528,69891361787.455048
