datetime,open,high,low,close,volume
2020-07-01T00:00:00,49.9,51.6,49.3,51.4,4966837.454288
2020-07-02T00:00:00,51.4,51.5,48.7,50.1,3021180.696183
2020-07-03T00:00:00,50.1,52.2,49,50.9,3198780.670668
2020-07-04T00:00:00,50.9,51.4,50.2,50.9,2208588.054507
2020-07-05T00:00:00,50.9,51.4,49.6,50.5,1849325.107049
2020-07-06T00:00:00,50.5,51.8,49.8,51.6,3038084.62841
2020-07-07T00:00:00,51.7,52.8,50.6,51.7,4617453.18496
2020-07-08T00:00:00,51.7,56,51,56,12554752.941928
2020-07-09T00:00:00,55.9,58.8,53.4,55.9,11922557.233463
2020-07-10T00:00:00,55.6,55.9,52.7,54.9,8157784.149499
2020-07-11T00:00:00,54.6,59,54,54.9,8365170.960747
2020-07-12T00:00:00,55,55.6,53.4,54.6,7194862.314465
2020-07-13T00:00:00,54.7,56.4,54.4,56.3,6643023.719792
2020-07-14T00:00:00,56.3,56.3,54.2,55.7,6801302.432251
2020-07-15T00:00:00,55.7,56.3,54.2,54.7,6222828.39966
2020-07-16T00:00:00,54.7,55,52.3,53.8,7490527.608969
2020-07-17T00:00:00,53.8,54.8,53.3,53.9,3140594.389258
2020-07-18T00:00:00,54,63.8,53.3,63.3,29312368.556505
2020-07-19T00:00:00,63.3,64.8,59.4,60.3,18930282.353172
2020-07-20T00:00:00,60.3,62.1,58.2,58.5,6509581.927164
2020-07-21T00:00:00,58.9,59.9,57.7,59.3,4436705.899735
2020-07-22T00:00:00,59.3,61.7,58.2,60.2,3487528.029846
2020-07-23T00:00:00,60.2,60.5,57.9,58.9,4116605.741724
2020-07-24T00:00:00,59.2,61.6,58.1,59.9,6250923.061716
2020-07-25T00:00:00,60.1,62.4,59.7,60.2,3293851.175795
2020-07-26T00:00:00,60.2,60.7,56.4,58.4,6907480.086548
2020-07-27T00:00:00,58.4,58.9,54.3,57.4,11800627.724247
2020-07-28T00:00:00,57.4,60.3,57.1,59.4,4924022.925541
2020-07-29T00:00:00,59.3,61.6,58.6,60.7,8651302.593989
2020-07-30T00:00:00,60.4,61.2,59.8,60.4,7426867.832161
2020-07-31T00:00:00,60.6,62,60.1,61.2,6585739.157619
2020-08-01T00:00:00,61.2,67,60.8,65.6,8236642.189088
2020-08-02T00:00:00,65.5,72.7,59.5,63,29562219.900819
2020-08-03T00:00:00,63.5,67.9,63.2,65.5,9564192.681742
2020-08-04T00:00:00,66.2,67.2,63.9,65.4,6223538.660986
2020-08-05T00:00:00,65.6,66.9,64.2,65.9,3260501.357902
2020-08-06T00:00:00,65.9,73.6,65.5,72.5,12747425.122871
2020-08-07T00:00:00,72.7,77.1,70,74.8,11550473.135095
2020-08-08T00:00:00,74.8,75.9,72.6,73.8,4605798.262042
2020-08-09T00:00:00,74,76,72.2,74.4,4740334.80561
2020-08-10T00:00:00,74.4,75.3,73.3,73.4,5853151.334987
2020-08-11T00:00:00,73.6,79.1,69.1,72.7,10843331.941248
2020-08-12T00:00:00,72.9,73,68.6,71.6,4190349.850821
2020-08-13T00:00:00,71.6,72.6,69.7,72.5,3886297.938438
2020-08-14T00:00:00,72.4,74.2,71.2,73.5,3011364.281381
2020-08-15T00:00:00,73.5,75.3,71.9,75.2,4972079.710096
2020-08-16T00:00:00,75.2,80.2,74,77.3,9784238.93458
2020-08-17T00:00:00,77.3,95,77.2,92.2,17800010.182386
2020-08-18T00:00:00,92.2,96,83.7,86.1,19203356.720685
2020-08-19T00:00:00,86.1,90.9,80.6,83.5,7716431.509531
2020-08-20T00:00:00,83.5,88.8,81.2,88.8,5060403.044908
2020-08-21T00:00:00,88.7,98,87.6,88.1,31006432.517202
2020-08-22T00:00:00,88.1,102,84.5,99.6,47808358.273646
2020-08-23T00:00:00,99.7,121,96,115,69279972.316831
2020-08-24T00:00:00,116,125,104,107,44491640.445379
2020-08-25T00:00:00,107,124,103,113,72440112.231195
2020-08-26T00:00:00,113,118,105,116,32274631.820627
2020-08-27T00:00:00,115,116,105,110,19798896.637209
2020-08-28T00:00:00,110,129,108,128,24635800.440828
2020-08-29T00:00:00,128,177,123,167,92475407.857698
2020-08-30T00:00:00,168,183,145,152,135044916.429571
2020-08-31T00:00:00,152,171,148,166,42720902.655842
2020-09-01T00:00:00,167,204,161,182,110977728.53072
2020-09-02T00:00:00,182,193,165,191,54474990.236079
2020-09-03T00:00:00,192,200,166,168,48144698.855214
2020-09-04T00:00:00,168,179,145,167,51553339.390529
2020-09-05T00:00:00,167,176,129,137,53766753.484178
2020-09-06T00:00:00,137,169,125,164,37433533.618087
2020-09-07T00:00:00,165,168,139,163,57620273.956088
2020-09-08T00:00:00,161,162,145,151,34950541.98155
2020-09-09T00:00:00,150,154,144,150,15260855.255058
2020-09-10T00:00:00,149,160,149,157,17537100.034572
2020-09-11T00:00:00,158,162,151,156,8362461.928457
2020-09-12T00:00:00,156,160,151,152,6126449.368972
2020-09-13T00:00:00,151,152,136,144,18490000.662366
2020-09-14T00:00:00,143,149,140,143,6668162.009944
2020-09-15T00:00:00,144,146,138,143,8350885.376378
2020-09-16T00:00:00,143,144,130,132,7900754.728682
2020-09-17T00:00:00,131,135,121,124,9530934.395461
2020-09-18T00:00:00,123,131,115,128,12950862.66941
2020-09-19T00:00:00,128,142,128,135,9359241.845551
2020-09-20T00:00:00,135,135,127,132,2477152.532587
2020-09-21T00:00:00,132,136,122,126,7031039.444987
2020-09-22T00:00:00,126,128,121,127,2079845.036421
2020-09-23T00:00:00,127,130,121,122,2393040.800133
2020-09-24T00:00:00,122,127,121,126,4878859.667517
2020-09-25T00:00:00,126,139,122,134,5175448.081297
2020-09-26T00:00:00,135,146,133,142,3317115.613028
2020-09-27T00:00:00,142,147,136,142,4141347.955583
2020-09-28T00:00:00,142,145,138,139,3547406.001171
2020-09-29T00:00:00,139,141,135,141,3559719.322233
2020-09-30T00:00:00,141,141,130,132,2371193.592335
2020-10-01T00:00:00,133,139,132,138,5506867.16437
2020-10-02T00:00:00,139,140,130,137,2580510.169871
2020-10-03T00:00:00,138,138,132,133,1044077.079153
2020-10-04T00:00:00,133,138,131,138,1628374.84045
2020-10-05T00:00:00,138,147,136,143,5571250.508822
2020-10-06T00:00:00,142,143,134,137,5579889.945761
2020-10-07T00:00:00,138,138,131,137,1773470.955289
2020-10-08T00:00:00,138,139,133,137,3172428.268717
2020-10-09T00:00:00,138,138,134,137,3378113.237241
2020-10-10T00:00:00,137,142,136,137,4614108.283646
2020-10-11T00:00:00,138,140,136,138,2219799.169882
2020-10-12T00:00:00,137,141,137,139,2700301.058424
2020-10-13T00:00:00,138,143,138,142,3570485.896
2020-10-14T00:00:00,142,142,135,138,3179557.150621
2020-10-15T00:00:00,138,138,131,132,2287397.493771
2020-10-16T00:00:00,132,134,123,129,3694362.81062
2020-10-17T00:00:00,129,134,127,131,722095.489003
2020-10-18T00:00:00,131,133,128,130,1004319.547875
2020-10-19T00:00:00,130,130,125,126,988640.470428
2020-10-20T00:00:00,126,128,123,123,1184827.049251
2020-10-21T00:00:00,124,126,114,118,6656121.464253
2020-10-22T00:00:00,119,125,118,123,1614919.198284
2020-10-23T00:00:00,123,127,120,121,1213415.3525
2020-10-24T00:00:00,121,123,118,119,955684.071458
2020-10-25T00:00:00,118,120,115,118,1822417.442752
2020-10-26T00:00:00,119,120,107,112,1802770.333986
2020-10-27T00:00:00,113,114,108,108,1502187.125212
2020-10-28T00:00:00,108,110,99.4,106,5847848.714329
2020-10-29T00:00:00,106,114,105,111,3816739.032466
2020-10-30T00:00:00,111,111,105,108,1022794.500164
2020-10-31T00:00:00,109,115,107,109,677099.395523
2020-11-01T00:00:00,109,115,109,112,724335.129476
2020-11-02T00:00:00,112,116,111,113,1247723.865392
2020-11-03T00:00:00,113,117,107,113,2293380.545863
2020-11-04T00:00:00,113,115,106,111,1009432.959852
2020-11-05T00:00:00,111,114,109,113,1130664.278028
2020-11-06T00:00:00,113,142,113,141,10318522.458852
2020-11-07T00:00:00,141,147,124,132,5262558.911511
2020-11-08T00:00:00,133,143,130,142,1727196.077251
2020-11-09T00:00:00,143,145,134,139,3720262.490592
2020-11-10T00:00:00,141,150,137,148,6664122.609842
2020-11-11T00:00:00,147,155,142,147,6480090.326544
2020-11-12T00:00:00,147,149,141,142,3388999.261234
2020-11-13T00:00:00,142,150,139,148,2869491.519125
2020-11-14T00:00:00,148,155,145,153,2431268.056699
2020-11-15T00:00:00,153,154,145,149,1606065.51159
2020-11-16T00:00:00,148,152,146,148,1822327.961267
2020-11-17T00:00:00,149,150,143,147,4226021.754914
2020-11-18T00:00:00,147,149,137,147,5153385.804092
2020-11-19T00:00:00,146,147,125,128,15091686.836142
2020-11-20T00:00:00,128,137,126,137,9341664.410885
2020-11-21T00:00:00,137,155,136,152,22324914.318207
2020-11-22T00:00:00,152,158,134,143,11409592.859833
2020-11-23T00:00:00,144,173,140,161,14317614.553929
2020-11-24T00:00:00,161,196,160,182,27724116.419546
2020-11-25T00:00:00,182,242,181,202,48285143.648618
2020-11-26T00:00:00,204,221,161,177,28156914.846303
2020-11-27T00:00:00,178,195,172,195,11092417.30232
2020-11-28T00:00:00,195,213,189,199,24403247.089428
2020-11-29T00:00:00,199,204,186,196,12882548.20097
2020-11-30T00:00:00,196,207,189,206,9947475.870847
2020-12-01T00:00:00,205,215,187,211,15395617.07741
2020-12-02T00:00:00,211,223,202,219,7378358.763016
2020-12-03T00:00:00,221,248,218,240,19303585.520167
2020-12-04T00:00:00,239,305,235,267,201803848.879061
2020-12-05T00:00:00,267,314,255,283,229631823.636237
2020-12-06T00:00:00,283,283,255,270,61714750.42538
2020-12-07T00:00:00,269,280,246,258,30076915.588252
2020-12-08T00:00:00,258,258,225,243,36795590.378695
2020-12-09T00:00:00,243,244,204,235,58743469.06126
2020-12-10T00:00:00,236,256,227,237,49970011.489929
2020-12-11T00:00:00,237,239,217,223,27737372.341151
2020-12-12T00:00:00,225,292,222,288,132127603.528487
2020-12-13T00:00:00,288,309,272,278,134254504.342135
2020-12-14T00:00:00,278,284,256,270,61013183.767101
2020-12-15T00:00:00,270,277,260,268,46289148.118958
2020-12-16T00:00:00,268,280,254,275,68288457.188109
2020-12-17T00:00:00,276,319,268,304,92953342.82446
2020-12-18T00:00:00,305,374,288,330,107876072.2994
2020-12-19T00:00:00,330,349,321,327,48757611.253312
2020-12-20T00:00:00,326,336,312,319,19129386.493513
2020-12-21T00:00:00,319,342,290,306,35986799.123369
2020-12-22T00:00:00,306,317,285,313,25679367.35179
2020-12-23T00:00:00,313,338,235,266,63359023.255906
2020-12-24T00:00:00,266,294,227,286,121098881.292015
