datetime,open,high,low,close,volume
2020-07-01T00:00:00,210,214,208,212,52112629.650123
2020-07-02T00:00:00,212,213,207,209,49179309.170472
2020-07-03T00:00:00,209,214,209,211,39616656.502884
2020-07-04T00:00:00,211,215,210,212,29663539.541306
2020-07-05T00:00:00,213,213,208,211,29089592.036812
2020-07-06T00:00:00,211,225,210,224,91214424.721907
2020-07-07T00:00:00,224,224,218,219,52713431.104293
2020-07-08T00:00:00,219,244,218,243,175839025.697106
2020-07-09T00:00:00,242,251,234,241,156393215.201513
2020-07-10T00:00:00,241,241,230,237,70327573.791551
2020-07-11T00:00:00,237,243,235,239,54789093.935654
2020-07-12T00:00:00,239,241,235,239,41062330.89727
2020-07-13T00:00:00,239,245,233,237,81375161.537398
2020-07-14T00:00:00,237,239,233,237,56739151.323633
2020-07-15T00:00:00,237,238,234,236,35542725.986278
2020-07-16T00:00:00,236,236,226,233,66152451.366044
2020-07-17T00:00:00,232,237,229,232,61704034.841019
2020-07-18T00:00:00,232,240,231,238,45630228.080792
2020-07-19T00:00:00,238,241,233,237,45615003.433885
2020-07-20T00:00:00,237,238,231,233,44416411.169783
2020-07-21T00:00:00,233,240,232,236,54586719.308173
2020-07-22T00:00:00,236,242,234,241,37307810.234107
2020-07-23T00:00:00,241,248,238,247,89382129.762213
2020-07-24T00:00:00,247,247,240,243,57138146.853134
2020-07-25T00:00:00,243,257,242,253,75213680.107735
2020-07-26T00:00:00,253,266,251,254,152296760.621572
2020-07-27T00:00:00,254,268,249,263,160062781.669819
2020-07-28T00:00:00,263,275,256,270,146779208.722223
2020-07-29T00:00:00,269,295,268,287,201049187.707225
2020-07-30T00:00:00,287,295,280,288,136403514.355172
2020-07-31T00:00:00,289,309,285,307,123623918.484771
2020-08-01T00:00:00,307,350,302,344,265852041.853977
2020-08-02T00:00:00,344,384,320,340,918142802.44751
2020-08-03T00:00:00,340,378,336,367,377130464.050252
2020-08-04T00:00:00,366,378,348,359,279545212.42814
2020-08-05T00:00:00,359,364,346,358,150694468.263802
2020-08-06T00:00:00,357,367,351,358,127765440.004655
2020-08-07T00:00:00,358,366,338,350,143940098.283617
2020-08-08T00:00:00,349,354,344,348,88491510.990235
2020-08-09T00:00:00,348,351,334,340,102708395.06863
2020-08-10T00:00:00,340,353,340,347,107014674.701601
2020-08-11T00:00:00,347,361,327,338,190101401.614051
2020-08-12T00:00:00,338,341,323,335,154329381.108958
2020-08-13T00:00:00,335,348,323,345,149550039.382683
2020-08-14T00:00:00,346,360,343,353,177911296.777777
2020-08-15T00:00:00,353,358,345,351,101596362.171753
2020-08-16T00:00:00,351,356,343,355,99285334.29581
2020-08-17T00:00:00,356,374,349,366,286573962.998753
2020-08-18T00:00:00,365,372,349,355,177240846.481587
2020-08-19T00:00:00,355,357,333,342,170176639.987582
2020-08-20T00:00:00,341,346,335,344,93831613.212543
2020-08-21T00:00:00,344,350,333,334,130314865.022623
2020-08-22T00:00:00,334,341,325,339,82562295.253101
2020-08-23T00:00:00,339,341,330,339,54721103.814843
2020-08-24T00:00:00,338,345,334,341,59478620.539451
2020-08-25T00:00:00,340,342,323,330,88224522.009363
2020-08-26T00:00:00,329,332,325,327,62690092.809149
2020-08-27T00:00:00,327,330,305,314,141756221.091693
2020-08-28T00:00:00,314,321,307,320,72661163.485852
2020-08-29T00:00:00,319,326,315,322,59634441.162691
2020-08-30T00:00:00,321,332,321,331,54900890.797578
2020-08-31T00:00:00,331,335,326,331,58946500.538603
2020-09-01T00:00:00,332,350,327,346,129075502.477877
2020-09-02T00:00:00,346,356,317,329,209261884.44344
2020-09-03T00:00:00,329,330,295,296,204764506.052376
2020-09-04T00:00:00,296,321,292,307,248544709.139994
2020-09-05T00:00:00,306,314,282,288,195850511.947382
2020-09-06T00:00:00,289,294,276,289,149000280.270792
2020-09-07T00:00:00,289,293,276,289,125556087.906384
2020-09-08T00:00:00,289,291,278,284,93704105.688898
2020-09-09T00:00:00,284,289,279,285,72456702.220892
2020-09-10T00:00:00,285,296,284,290,94052677.803426
2020-09-11T00:00:00,290,292,283,289,57408141.015423
2020-09-12T00:00:00,289,295,286,294,35447900.579898
2020-09-13T00:00:00,294,302,285,290,79568620.101843
2020-09-14T00:00:00,290,296,286,292,59553637.307878
2020-09-15T00:00:00,292,295,287,289,57729516.982645
2020-09-16T00:00:00,289,295,279,291,71709826.851368
2020-09-17T00:00:00,290,305,290,296,103884742.866667
2020-09-18T00:00:00,296,298,289,293,54898174.673606
2020-09-19T00:00:00,292,298,290,294,34920646.251913
2020-09-20T00:00:00,293,294,285,288,32746972.715047
2020-09-21T00:00:00,289,290,270,272,89905549.743351
2020-09-22T00:00:00,273,276,267,273,58279844.741349
2020-09-23T00:00:00,273,275,256,259,73102533.068212
2020-09-24T00:00:00,258,273,256,272,72701805.170931
2020-09-25T00:00:00,272,285,268,280,80419845.9645
2020-09-26T00:00:00,280,286,277,282,39017054.58934
2020-09-27T00:00:00,282,285,277,283,41536659.424347
2020-09-28T00:00:00,283,289,280,281,48222431.996914
2020-09-29T00:00:00,281,286,278,283,46654704.515103
2020-09-30T00:00:00,282,283,278,282,28133173.858782
2020-10-01T00:00:00,282,284,274,278,36897106.066279
