datetime,open,high,low,close,volume
2020-07-01T00:00:00,20.7,21.3,20.3,20.9,20765219.300074
2020-07-02T00:00:00,20.8,21.5,20,20.8,23336562.107446
2020-07-03T00:00:00,20.7,20.8,19.8,20.4,31176913.969318
2020-07-04T00:00:00,20.4,23.3,20.2,22.8,53155685.569673
2020-07-05T00:00:00,22.8,23.2,21.3,22.1,63246337.929346
2020-07-06T00:00:00,22.3,23.1,22,22.5,22317917.9656
2020-07-07T00:00:00,22.5,24.7,22.2,24,56191660.217191
2020-07-08T00:00:00,24.2,25.3,23.9,24.7,52098944.63668
2020-07-09T00:00:00,24.7,24.7,22.8,23.5,40889618.192658
2020-07-10T00:00:00,23.7,23.7,22.4,23.4,23465766.291833
2020-07-11T00:00:00,23.5,24.2,23.2,23.7,22509866.128634
2020-07-12T00:00:00,23.8,23.8,22.9,23.1,19666958.204471
2020-07-13T00:00:00,23.1,24.9,22.5,23.8,98069058.190682
2020-07-14T00:00:00,23.8,23.9,23.1,23.5,24130689.617346
2020-07-15T00:00:00,23.7,23.9,22.8,23.1,20277010.33942
2020-07-16T00:00:00,23.1,23.2,20.5,21.6,57787679.806771
2020-07-17T00:00:00,21.7,22.2,21.1,21.6,22074769.916273
2020-07-18T00:00:00,21.6,21.7,21.2,21.4,15159704.044598
2020-07-19T00:00:00,21.4,21.8,20.9,21.2,27041271.198868
2020-07-20T00:00:00,21.2,21.4,20.3,20.6,32317917.16604
2020-07-21T00:00:00,20.7,21.7,20.6,21.3,34402008.743629
2020-07-22T00:00:00,21.4,22.2,21,22.2,26075663.236584
2020-07-23T00:00:00,22.3,23.3,22,23.1,33686713.154736
2020-07-24T00:00:00,23.1,23.1,21.7,21.9,21889414.491218
2020-07-25T00:00:00,21.9,22.2,21.7,21.9,14014857.601105
2020-07-26T00:00:00,21.9,22,21,21.2,18832472.142573
2020-07-27T00:00:00,21.2,21.4,19.3,19.9,54359469.678814
2020-07-28T00:00:00,19.8,21.2,19.6,21.1,34256325.485019
2020-07-29T00:00:00,21,21.6,20.8,20.9,58035482.550959
2020-07-30T00:00:00,20.9,23.6,20.6,21.5,116816834.632359
2020-07-31T00:00:00,21.4,22.4,21,21.4,46106733.75402
2020-08-01T00:00:00,21.3,22.1,21.1,22,17053421.995284
2020-08-02T00:00:00,22.1,22.3,18.1,20.9,44455826.172829
2020-08-03T00:00:00,20.9,21.7,20.6,20.7,12154677.251987
2020-08-04T00:00:00,20.8,22,20.8,21.9,21446236.451492
2020-08-05T00:00:00,21.9,23.3,21.6,23.1,31932617.316684
2020-08-06T00:00:00,23.1,24.8,22.9,23.8,37698086.5361
2020-08-07T00:00:00,23.8,27,23.6,25.9,69931047.764517
2020-08-08T00:00:00,26,31.6,25.3,30.8,173229910.200665
2020-08-09T00:00:00,31,31,27.7,29.7,89936453.415252
2020-08-10T00:00:00,29.8,30.4,27.3,29.5,76160967.491712
2020-08-11T00:00:00,29.3,33.5,28.3,31.1,114326406.561725
2020-08-12T00:00:00,31.2,31.8,28,30.3,48605887.907465
2020-08-13T00:00:00,30.3,32.4,28.8,29.8,66521547.811739
2020-08-14T00:00:00,29.8,31.3,29,29.4,58535341.09452
2020-08-15T00:00:00,29.4,29.9,27.7,29.1,30452691.785506
2020-08-16T00:00:00,29,32,28.8,30.8,33246565.046832
2020-08-17T00:00:00,30.7,31.5,28.7,29.2,49318918.66564
2020-08-18T00:00:00,29.2,29.9,26.5,27.3,40221435.405167
2020-08-19T00:00:00,27.2,28.2,24.8,25.8,61253610.967743
2020-08-20T00:00:00,26,27.3,25.5,26.8,22475396.148386
2020-08-21T00:00:00,26.8,29.2,25.1,25.3,59895724.139117
2020-08-22T00:00:00,25.3,26.2,23.7,26,33798857.534231
2020-08-23T00:00:00,26.1,26.3,24.7,25.3,12609631.548464
2020-08-24T00:00:00,25.4,28.6,25,28,29051976.99325
2020-08-25T00:00:00,28,29.2,24.6,25.4,40832673.258085
2020-08-26T00:00:00,25.4,26.6,24.7,26.5,19353605.076861
2020-08-27T00:00:00,26.6,26.6,23,24,27736797.756799
2020-08-28T00:00:00,24.1,24.9,23.6,24.7,19725529.894136
2020-08-29T00:00:00,24.7,25.1,24,24.6,20257438.691161
2020-08-30T00:00:00,24.6,27.3,24.4,27.2,45652000.044968
2020-08-31T00:00:00,27.2,28.5,26.4,26.6,91249299.704764
2020-09-01T00:00:00,26.4,27.2,25.5,25.6,60244641.895009
2020-09-02T00:00:00,25.7,26.5,22.4,24.3,74162456.612583
2020-09-03T00:00:00,24.2,24.5,18.6,19.2,81860761.292869
2020-09-04T00:00:00,19.2,20.8,18.3,20.1,73406635.29024
2020-09-05T00:00:00,20.1,20.7,16.6,18.2,69221065.127334
2020-09-06T00:00:00,18.1,19.1,16.8,18.4,30505659.407465
2020-09-07T00:00:00,18.5,19,16.8,18.3,24595269.830275
2020-09-08T00:00:00,18.3,20.1,17.4,18.7,38002211.246136
2020-09-09T00:00:00,18.7,20.2,18.3,19.7,19098591.941605
2020-09-10T00:00:00,19.5,21.2,19.5,20.6,21925687.99049
2020-09-11T00:00:00,20.8,20.8,19.8,20.4,13446251.499086
2020-09-12T00:00:00,20.5,21.2,20.1,21.2,16452172.741076
2020-09-13T00:00:00,21.1,21.2,19.2,20,20644147.091616
2020-09-14T00:00:00,20,20.2,19.2,19.9,12475482.274094
2020-09-15T00:00:00,19.9,20.1,18.5,18.6,22263638.311559
2020-09-16T00:00:00,18.6,20,17.8,20,35097618.038857
2020-09-17T00:00:00,20,20.8,18.9,19.5,21723482.246785
2020-09-18T00:00:00,19.5,20.2,19.2,20,12771474.3289
2020-09-19T00:00:00,20,20.2,19.3,19.7,4118466.271223
2020-09-20T00:00:00,19.8,19.8,18,18.5,9583562.766294
2020-09-21T00:00:00,18.5,18.8,15.1,16.2,63468214.286019
2020-09-22T00:00:00,16.2,16.8,15.6,16.6,17129371.071136
2020-09-23T00:00:00,16.6,17.3,15.2,16.2,17193668.61671
2020-09-24T00:00:00,16.3,17.2,15.9,17,18055193.904848
2020-09-25T00:00:00,17.1,19.1,16.7,18.4,27498939.657245
2020-09-26T00:00:00,18.5,19.3,18.4,19.2,14244577.763157
2020-09-27T00:00:00,19.2,19.4,17.6,18,24558674.735116
2020-09-28T00:00:00,18,18.8,17.6,17.6,23374975.878886
2020-09-29T00:00:00,17.6,20.9,17.4,20.2,65254470.490343
2020-09-30T00:00:00,20.4,23.2,19.5,22.9,79492700.490501
2020-10-01T00:00:00,22.8,24.1,21.3,22.8,58398538.25797
2020-10-02T00:00:00,22.8,22.9,19.4,21.2,104019161.689817
2020-10-03T00:00:00,21.2,23,20.4,21.8,33183097.430394
2020-10-04T00:00:00,21.8,25.2,21.4,24.9,53223106.03779
2020-10-05T00:00:00,24.9,25.5,23.4,24,50612915.126537
2020-10-06T00:00:00,24,24.2,20.8,21.4,35028381.618015
2020-10-07T00:00:00,21.4,22.5,20.4,22.1,29031780.752891
2020-10-08T00:00:00,22.1,22.7,20.5,21.9,44221966.186403
2020-10-09T00:00:00,21.9,23.4,21.2,23.1,44418340.274011
2020-10-10T00:00:00,23,28.9,21.9,23.2,133457131.508276
2020-10-11T00:00:00,23.2,27.4,22.2,24,72015005.941789
2020-10-12T00:00:00,24,25,23.2,23.5,29461399.822991
2020-10-13T00:00:00,23.5,23.7,22.5,23,15988081.275251
2020-10-14T00:00:00,22.9,23,21.4,22,14537344.157364
2020-10-15T00:00:00,22.1,23,21.1,21.4,19802762.391873
2020-10-16T00:00:00,21.5,21.6,19.9,20.8,12374611.687076
2020-10-17T00:00:00,20.8,21.2,20.5,20.9,2928911.744102
2020-10-18T00:00:00,20.9,21.3,20.8,21.3,2947598.773489
2020-10-19T00:00:00,21.3,22.9,20.4,22.6,38450536.320064
2020-10-20T00:00:00,22.6,23.8,20.5,20.8,70904922.226939
2020-10-21T00:00:00,20.7,21.5,20.5,20.9,17367469.16275
2020-10-22T00:00:00,21,22.4,20.8,22,14165489.269222
2020-10-23T00:00:00,22,22.5,21.5,22.1,9614572.052376
2020-10-24T00:00:00,22.1,22.7,21.8,22,6213252.303957
2020-10-25T00:00:00,21.8,22.2,21.3,21.5,4492754.04022
2020-10-26T00:00:00,21.4,21.7,20.5,20.8,5584969.823947
2020-10-27T00:00:00,20.8,21.4,20.3,20.9,12072708.957712
2020-10-28T00:00:00,20.7,20.9,19.8,20.3,9676664.66143
2020-10-29T00:00:00,20.2,20.3,19.7,19.9,5124246.282285
2020-10-30T00:00:00,19.9,20.4,18.8,19.9,7072505.116508
2020-10-31T00:00:00,19.8,20.4,19.7,20,4212506.535138
2020-11-01T00:00:00,20,20.4,19.8,20.4,3201864.520048
2020-11-02T00:00:00,20.4,20.6,19.6,19.6,4938839.995885
2020-11-03T00:00:00,19.5,19.8,19,19.8,4917914.243691
2020-11-04T00:00:00,19.8,20,19,19.7,3916506.586745
2020-11-05T00:00:00,19.8,21.2,19.8,21,8543666.074268
2020-11-06T00:00:00,21,23,20.7,23,18053726.594757
2020-11-07T00:00:00,22.9,23.4,20.1,20.9,28926730.59806
2020-11-08T00:00:00,20.9,21.9,20.5,21.6,8473783.262914
2020-11-09T00:00:00,21.6,21.7,20.7,21.6,10528353.712274
2020-11-10T00:00:00,21.7,23.7,21.3,22.5,79571583.639596
2020-11-11T00:00:00,22.5,23.2,22.3,22.6,25929136.430023
2020-11-12T00:00:00,22.4,22.8,21,21.2,15964338.503643
2020-11-13T00:00:00,21.2,22.6,21.1,22.5,14162334.746456
2020-11-14T00:00:00,22.4,22.5,21.6,22.4,7211024.539899
2020-11-15T00:00:00,22.2,23.7,21.5,22,22563680.699501
2020-11-16T00:00:00,22,24.5,21.7,24,23891544.699665
2020-11-17T00:00:00,24,25.1,23.2,25,26528295.482703
2020-11-18T00:00:00,25,25.3,22.6,24.1,22988830.790583
2020-11-19T00:00:00,24.1,24.4,23.2,23.4,12061565.08742
2020-11-20T00:00:00,23.5,25,23.4,24.8,14006003.071064
2020-11-21T00:00:00,24.9,26.1,24.5,25.7,32488675.592938
2020-11-22T00:00:00,25.8,26.6,23.7,24.9,28199106.270478
2020-11-23T00:00:00,25,26.8,24.5,26.8,23893383.537773
2020-11-24T00:00:00,26.8,28.5,25.5,27.7,59146811.891575
2020-11-25T00:00:00,27.6,41,27.2,32,681948938.541341
2020-11-26T00:00:00,32,35.8,25.5,28.9,112471495.596536
2020-11-27T00:00:00,29,30.1,25.8,27.5,35047152.43215
2020-11-28T00:00:00,27.6,31.5,26.9,29.2,55669699.421994
2020-11-29T00:00:00,29.5,34.3,28.8,32.2,98312067.337037
2020-11-30T00:00:00,32,33.9,30.2,31.7,71367976.921373
2020-12-01T00:00:00,31.7,34.1,29.4,31.1,67321606.390318
2020-12-02T00:00:00,31.1,37.6,30.8,34.2,127016877.123131
2020-12-03T00:00:00,34.2,37.2,33.5,36.6,74572241.534506
2020-12-04T00:00:00,36.6,38.4,31.9,32.5,77645442.750689
2020-12-05T00:00:00,32.5,38.4,31.8,37,63329826.498697
2020-12-06T00:00:00,37,39,36.3,38.4,45755841.178132
2020-12-07T00:00:00,38.3,39.6,36.4,38.7,45485296.664849
2020-12-08T00:00:00,38.6,38.7,33.6,34,38148811.311096
2020-12-09T00:00:00,34.2,35.5,30.8,33.9,46690840.462602
2020-12-10T00:00:00,33.9,36.8,32.2,35.7,47071735.48231
2020-12-11T00:00:00,35.8,36,32.1,32.2,38031807.735314
2020-12-12T00:00:00,32.2,36.3,32.1,35.7,27833370.875568
2020-12-13T00:00:00,36,37.1,35,35.5,29402394.352199
2020-12-14T00:00:00,35.5,36.2,34.3,35.8,26550984.505064
2020-12-15T00:00:00,35.9,38.8,35.3,38,34852769.769225
2020-12-16T00:00:00,38.1,43.1,37.1,42,181154367.85091
