datetime,open,high,low,close,volume
2020-07-01T00:00:00,399,411,393,402,364153.058919
2020-07-02T00:00:00,402,429,401,414,1075151.965957
2020-07-03T00:00:00,413,481,410,458,4312173.189933
2020-07-04T00:00:00,456,574,447,461,13913526.942185
2020-07-05T00:00:00,460,501,431,500,6057183.769055
2020-07-06T00:00:00,499,506,463,473,5182506.395168
2020-07-07T00:00:00,473,506,462,482,1528680.091754
2020-07-08T00:00:00,484,567,481,530,8475483.246445
2020-07-09T00:00:00,528,533,485,507,2471596.159928
2020-07-10T00:00:00,506,511,473,489,1532285.701566
2020-07-11T00:00:00,489,525,486,518,1036925.122093
2020-07-12T00:00:00,519,525,493,507,642497.162735
2020-07-13T00:00:00,507,508,474,479,1347622.779952
2020-07-14T00:00:00,479,484,454,470,816344.303453
2020-07-15T00:00:00,470,488,463,464,643829.641395
2020-07-16T00:00:00,464,480,436,479,820082.996563
2020-07-17T00:00:00,479,493,458,475,515154.682515
2020-07-18T00:00:00,472,512,462,498,1278582.506722
2020-07-19T00:00:00,498,513,483,498,880650.502206
2020-07-20T00:00:00,498,511,473,473,1638500.324052
2020-07-21T00:00:00,473,487,468,474,1329548.118456
2020-07-22T00:00:00,474,485,468,473,628557.712113
2020-07-23T00:00:00,473,486,456,464,923250.424828
2020-07-24T00:00:00,463,470,452,458,925165.422279
2020-07-25T00:00:00,458,472,458,465,547202.852091
2020-07-26T00:00:00,466,467,446,456,995809.554872
2020-07-27T00:00:00,456,458,401,429,1414531.529261
2020-07-28T00:00:00,428,455,424,448,408988.268125
2020-07-29T00:00:00,449,512,448,453,9253632.261174
2020-07-30T00:00:00,453,469,444,458,1923423.5721
2020-07-31T00:00:00,459,465,446,450,741908.061396
2020-08-01T00:00:00,450,483,447,471,719448.296016
2020-08-02T00:00:00,471,484,430,447,1196767.175082
2020-08-03T00:00:00,447,466,443,452,586588.214285
2020-08-04T00:00:00,452,486,451,472,2439174.503574
2020-08-05T00:00:00,472,486,465,470,666335.224963
2020-08-06T00:00:00,469,491,455,489,891660.581962
2020-08-07T00:00:00,489,509,458,466,942235.978694
2020-08-08T00:00:00,466,517,463,495,2614166.976352
